score,radius_um,cutoff,n_sections,sections_high_lt_low,section_median_delta,section_p,patients_high_lt_low,patient_median_delta,patient_p,n_fovs,fovs_high_lt_low,fov_median_delta,fov_p,section_mean_high,section_mean_low
sum_broad,20,q4_q1,8,3/8,4.030891044563486,0.25,1/5,4.545496121883801,0.3125,210,84/210,3.1584024366450905,3.9572698470784045e-06,115.9104258446425,110.41257106258452
mean_broad,20,q4_q1,8,0/8,1.7342699468669371,0.0078125,0/5,2.5541595564568933,0.0625,210,22/210,1.2082421057104895,8.152786802460732e-28,16.334783095574757,14.659030108562549
sum_IFNG,20,q4_q1,8,2/8,0.04240050362892367,0.0390625,1/5,0.02544712886715783,0.125,210,95/210,0.018865447364912524,0.20744164241357832,1.118713255624089,1.063352240765335
mean_IFNG,20,q4_q1,8,1/8,0.010009166407059969,0.015625,1/5,0.010829855548232029,0.125,210,80/210,0.006456546134226304,0.0007134920314119262,0.17373278481461776,0.15322838702958447
npos_IFNG,20,q4_q1,8,1/8,0.0252583846449852,0.015625,0/5,0.02288714051246643,0.0625,210,84/210,0.01538829505443573,0.0005640946251738295,0.34002247266471386,0.30973424576222897
sum_CXCL9,20,q4_q1,8,2/8,0.042818395964940414,0.3828125,1/5,0.03916825831739823,0.1875,210,112/210,-0.015253631764266085,0.3555607371895342,2.1285212339318056,2.114845419174252
mean_CXCL9,20,q4_q1,8,0/8,0.013046522444424433,0.0078125,0/5,0.01420471186374414,0.0625,210,82/210,0.010102538680486606,0.002283847163959845,0.31050097346116334,0.2910154130241519
npos_CXCL9,20,q4_q1,8,2/8,0.037428632378578186,0.078125,1/5,0.04809792339801788,0.125,210,90/210,0.012209266424179077,0.044141001620835826,0.629225105047226,0.5982371121644974
sum_CXCL10,20,q4_q1,8,2/8,0.03356430742408334,0.3125,2/5,0.03865041759740229,0.625,210,87/210,0.11038513111646198,0.0003662403587803444,3.1992939742669666,3.039868025055066
mean_CXCL10,20,q4_q1,8,1/8,0.021015345032451574,0.078125,1/5,0.018028942252588914,0.3125,210,62/210,0.04218064866565231,3.3929874922710887e-12,0.45857304079612476,0.41101745360173614
npos_CXCL10,20,q4_q1,8,2/8,0.01942303776741028,0.109375,1/5,0.01949140429496765,0.1875,210,72/210,0.037829697132110596,2.9879231299607513e-07,0.8796464055776596,0.8035913556814194
sum_CCL5,20,q4_q1,8,3/8,0.013762910403286144,0.7421875,2/5,0.012435552499314939,0.8125,210,107/210,-0.015150639754843986,0.35746921216333793,2.1457706324734267,2.1694302782336714
mean_CCL5,20,q4_q1,8,1/8,0.007722317745077395,0.109375,1/5,0.008351818286905593,0.4375,210,89/210,0.008486956568441062,0.025411219259288936,0.31372440518233274,0.30017068700101107
npos_CCL5,20,q4_q1,8,2/8,0.010800868272781372,0.25,1/5,0.012370109558105469,0.1875,210,90/210,0.011876881122589111,0.05935954724641912,0.628543246537447,0.6085647493600845
sum_CD274,20,q4_q1,8,3/8,0.026974561858126744,0.546875,2/5,0.016482000379168138,0.625,210,107/210,-0.00666545564713783,0.2512548256062338,2.097821657021131,2.0722553275945343
mean_CD274,20,q4_q1,8,1/8,0.012764251556726752,0.015625,0/5,0.01088380609120404,0.0625,210,86/210,0.011169138283889324,0.00036151948032493454,0.3101432818488353,0.28978505087567286
npos_CD274,20,q4_q1,8,2/8,0.037545040249824524,0.078125,1/5,0.04732626676559448,0.125,210,89/210,0.01309475302696228,0.015234526906886073,0.6263956911861897,0.5926736071705818
sum_IDO1,20,q4_q1,8,1/8,0.077803145807044,0.078125,1/5,0.05789691261748031,0.1875,210,68/210,0.18027479855958928,9.343544320361687e-11,3.558656273955135,3.0528163610997376
mean_IDO1,20,q4_q1,8,1/8,0.04044220380693528,0.015625,0/5,0.05611627505354433,0.0625,210,50/210,0.04409697479951903,7.819589821088449e-19,0.5039189604745731,0.4101547279143867
npos_IDO1,20,q4_q1,8,1/8,0.04338930547237396,0.078125,1/5,0.05378085374832153,0.125,210,62/210,0.06425195932388306,8.837316685395341e-14,1.0044109001755714,0.8438099045306444
sum_STAT1,20,q4_q1,8,2/8,0.3804950061508876,0.1484375,1/5,0.5399290970484261,0.125,210,79/210,0.23043073890723687,1.2119953064378616e-05,7.316458995263077,6.822766233171999
mean_STAT1,20,q4_q1,8,1/8,0.13335653141230897,0.015625,0/5,0.14614524140262874,0.0625,210,50/210,0.08883192836533582,1.4895741011604064e-17,1.0341020622651056,0.9164731953354406
npos_STAT1,20,q4_q1,8,2/8,0.15342658758163452,0.078125,1/5,0.19047307968139648,0.125,210,69/210,0.08944270014762878,5.5202602893389085e-09,2.055299535393715,1.8721108138561249
sum_MX1,20,q4_q1,8,2/8,0.6666393076165407,0.0546875,0/5,0.8502221672537384,0.0625,210,58/210,0.3529511685283271,4.83634166927254e-11,7.0489490043163086,6.408062323926602
mean_MX1,20,q4_q1,8,0/8,0.14092918684113365,0.0078125,0/5,0.15469759678873773,0.0625,210,31/210,0.10618218321046446,2.4631754078537326e-25,1.0099652087690782,0.8650543931600314
npos_MX1,20,q4_q1,8,1/8,0.21943068504333496,0.0234375,0/5,0.3003288507461548,0.0625,210,48/210,0.12946218252182007,1.3492368668693499e-14,1.9492913633584976,1.7364469170570374
sum_CXCL8,20,q4_q1,8,3/8,0.19051047766853418,0.3125,2/5,0.04405009948441296,0.8125,210,106/210,-0.00922432370277515,0.5117140778433543,3.3567595283282077,2.903127533789186
mean_CXCL8,20,q4_q1,8,3/8,0.07459743515536849,0.1953125,2/5,0.009243233567494,0.4375,210,92/210,0.008802798285993563,0.010517629191998184,0.5015632646298125,0.4134770542540994
npos_CXCL8,20,q4_q1,8,2/8,0.07812435925006866,0.1484375,1/5,0.02161446213722229,0.3125,210,91/210,0.01541970670223236,0.005201920550820818,0.895497651770711,0.7601314019411802
sum_TNF,20,q4_q1,8,2/8,0.0748197371217113,0.0546875,2/5,0.08279270774882952,0.3125,210,75/210,0.09022701108520836,3.2485059808320396e-06,1.623191481438789,1.4665589343224896
mean_TNF,20,q4_q1,8,1/8,0.027846273451103777,0.015625,1/5,0.025179375433858175,0.125,210,63/210,0.01859854768209379,1.4232480207395922e-12,0.23585850280949003,0.20187407518704048
npos_TNF,20,q4_q1,8,0/8,0.03715747594833374,0.0078125,0/5,0.0275118350982666,0.0625,210,65/210,0.03655117005109787,7.123137514756991e-11,0.48405166156589985,0.42096185497939587
n_immune,40,q4_q1,8,5/8,-0.8651300072669983,0.25,4/5,-1.7186203002929688,0.1875,210,149/210,-0.6850250363349915,8.164262654164649e-12,3.3313930332660675,3.9655700474977493
n_cyto,40,q4_q1,8,4/8,-0.07912516593933105,0.3125,3/5,-0.16856741905212402,0.3125,210,157/210,-0.06357742473483086,1.1294502494459784e-14,0.24735914543271065,0.32998450193554163
frac_immune,40,q4_q1,8,5/8,-0.02982522640377283,0.25,4/5,-0.05825789272785187,0.1875,210,148/210,-0.02873804047703743,1.7760197299434324e-11,0.12556199892424047,0.14540601940825582
sum_chemokine,40,q4_q1,8,1/8,0.9149089632965914,0.0390625,0/5,0.9438650480465789,0.0625,210,87/210,0.5591618718201428,0.0008874981400908081,35.3796350153395,33.86183638763351
mean_chemokine,40,q4_q1,8,0/8,0.0764308647771163,0.0078125,0/5,0.10610875189550484,0.0625,210,40/210,0.061632372678241454,3.915455325820605e-15,1.2895870646999048,1.1837460296999824
n_chemokine_pos,40,q4_q1,8,1/8,0.3934304714202881,0.0390625,1/5,0.40902137756347656,0.125,210,72/210,0.1931513547897339,3.1006081979939356e-07,8.165602684020996,7.669914126396179
sum_chemokine_immune,40,q4_q1,8,4/8,-0.850490098040116,0.3125,3/5,-2.261393341202563,0.3125,210,138/210,-0.8194551130806972,4.706870169523831e-08,6.877277423267945,7.6122625190307325
n_chemokine_pos_immune,40,q4_q1,8,4/8,-0.1516534686088562,0.3828125,3/5,-0.41368934512138367,0.3125,210,139/210,-0.13879737630486488,1.814894784811307e-08,1.1805295143276453,1.3156790155917406
sum_isg,40,q4_q1,8,3/8,6.083257093482395,0.25,1/5,11.617597928397629,0.1875,210,78/210,3.272039194781385,2.306048942861686e-07,161.0913731972308,150.7682993042536
mean_isg,40,q4_q1,8,0/8,0.5046046868040863,0.0078125,0/5,0.518491248190236,0.0625,210,33/210,0.31939203206366473,8.43667768779644e-25,5.708167428301777,5.1706084800320475
sum_broad,40,q4_q1,8,3/8,17.524314572219353,0.25,1/5,27.03823431571442,0.1875,210,83/210,8.937010150069,2.395453881243464e-06,445.41395222775304,423.6022498909804
mean_broad,40,q4_q1,8,0/8,1.5029482082930494,0.0078125,0/5,2.0451029056442334,0.0625,210,32/210,0.8631527067027971,1.6469264546605846e-24,15.934695414012074,14.573151534124994
sum_IFNG,40,q4_q1,8,0/8,0.19824607868572697,0.0078125,0/5,0.3335410078388481,0.0625,210,74/210,0.1261705451539492,8.048439118062433e-06,4.377766110348734,4.125814495950915
mean_IFNG,40,q4_q1,8,0/8,0.011597585166332296,0.0078125,0/5,0.011286385808187999,0.0625,210,59/210,0.010057854922026044,3.973920582495602e-13,0.1715506067045658,0.1522935904437479
npos_IFNG,40,q4_q1,8,0/8,0.09105321764945984,0.0078125,0/5,0.17445582151412964,0.0625,210,55/210,0.06197462975978851,6.406975194017249e-11,1.321564607322216,1.2013311013579369
sum_CXCL9,40,q4_q1,8,1/8,0.24711907936780397,0.109375,0/5,0.26485437192128547,0.0625,210,99/210,0.028096695481780287,0.26461588094740596,8.941481433746379,8.551821859921363
mean_CXCL9,40,q4_q1,8,0/8,0.016435613175534297,0.0078125,0/5,0.013444035141061628,0.0625,210,71/210,0.010695696923427936,1.3713501557820344e-06,0.32512017866509824,0.2992433409017117
npos_CXCL9,40,q4_q1,8,1/8,0.12399828433990479,0.0234375,0/5,0.21594715118408203,0.0625,210,75/210,0.07056820392608643,2.208366399366631e-05,2.5790861397981644,2.3918266594409943
sum_CXCL10,40,q4_q1,8,1/8,0.25660897764335777,0.0390625,1/5,0.26111109719693726,0.125,210,88/210,0.23149390568464323,0.00011006095758222361,12.964718374057586,12.211529750780603
mean_CXCL10,40,q4_q1,8,0/8,0.01662590237651196,0.0078125,0/5,0.015251204943386276,0.0625,210,56/210,0.022286364846802548,2.264930123354529e-12,0.458959177111156,0.41725927678747077
npos_CXCL10,40,q4_q1,8,1/8,0.18090569972991943,0.0390625,1/5,0.24910187721252441,0.125,210,80/210,0.11892056465148926,1.1027844667874008e-07,3.5097867250442505,3.206581473350525
sum_CCL5,40,q4_q1,8,2/8,0.19811709021490786,0.1953125,1/5,0.14801141307474808,0.3125,210,98/210,0.04584078819203974,0.786758937630325,9.095669097186807,8.97267028098063
mean_CCL5,40,q4_q1,8,0/8,0.01533927984228492,0.0078125,0/5,0.012388952394862096,0.0625,210,73/210,0.010634927328709423,1.2832500217073004e-05,0.3339571022190848,0.31494982156705204
npos_CCL5,40,q4_q1,8,1/8,0.1255720853805542,0.0390625,0/5,0.12759089469909668,0.0625,210,84/210,0.051452040672302246,0.009100982152133957,2.599232867360115,2.478694438934326
sum_CD274,40,q4_q1,8,3/8,0.12937117515669927,0.3125,1/5,0.19198236322587814,0.1875,210,102/210,0.0301017310212921,0.707754278117718,8.26502136642011,8.033052365215859
mean_CD274,40,q4_q1,8,0/8,0.013337827039755168,0.0078125,0/5,0.017824552554169953,0.0625,210,71/210,0.008912180203656458,3.312324006265928e-07,0.3079247959113244,0.28768589828129953
npos_CD274,40,q4_q1,8,2/8,0.14491909742355347,0.0390625,0/5,0.15343880653381348,0.0625,210,86/210,0.043700337409973145,0.0003924069059273063,2.44584983587265,2.2950740307569504
sum_IDO1,40,q4_q1,8,1/8,0.3269178991864834,0.078125,0/5,0.28774251661313865,0.0625,210,62/210,0.6537276515764987,4.857612658351288e-13,13.878740490874039,11.965052491288011
mean_IDO1,40,q4_q1,8,0/8,0.03789702557986266,0.0078125,0/5,0.051891711940371454,0.0625,210,44/210,0.03789979707403337,1.743482372679928e-21,0.48773012289403767,0.41016607878861977
npos_IDO1,40,q4_q1,8,1/8,0.16504693031311035,0.0546875,0/5,0.21245288848876953,0.0625,210,54/210,0.2153504490852356,2.109442551410576e-15,3.9034180492162704,3.304026499390602
sum_STAT1,40,q4_q1,8,2/8,1.7466149687534678,0.1484375,1/5,3.269747129416089,0.1875,210,77/210,0.9389177658439651,2.6518802473928897e-08,28.32836283399528,26.198104777310544
mean_STAT1,40,q4_q1,8,0/8,0.10496176280086283,0.0078125,0/5,0.13874224570299099,0.0625,210,46/210,0.0675491080453397,1.3467688719430689e-19,0.9960635261522726,0.8941868908627604
npos_STAT1,40,q4_q1,8,2/8,0.6352940797805786,0.109375,1/5,1.070387840270996,0.125,210,69/210,0.3290212154388428,2.9842236407933614e-11,7.923084795475006,7.191613107919693
sum_MX1,40,q4_q1,8,1/8,1.9282164384308942,0.0234375,0/5,3.06998413360985,0.0625,210,65/210,1.1311385651306112,4.9860541944914455e-11,26.90756368510055,24.54601691851424
mean_MX1,40,q4_q1,8,0/8,0.11528188403191886,0.0078125,0/5,0.12439893251610157,0.0625,210,35/210,0.06998755460040298,2.849277954595807e-23,0.9634465731107049,0.8462621217619987
npos_MX1,40,q4_q1,8,2/8,0.6335777044296265,0.0390625,0/5,1.1020541191101074,0.0625,210,54/210,0.39616572856903076,2.1183902432150912e-14,7.39693209528923,6.639560639858246
sum_CXCL8,40,q4_q1,8,3/8,0.7395532138031153,0.3125,2/5,0.12775361649178718,0.8125,210,109/210,-0.02035800140425925,0.11791592873687863,13.513496194939165,11.713346296362875
mean_CXCL8,40,q4_q1,8,3/8,0.0681191064206866,0.25,2/5,0.004390034032528828,0.625,210,91/210,0.009586774158092233,0.00036941956550470953,0.5206121455796741,0.4317364772757123
npos_CXCL8,40,q4_q1,8,2/8,0.2952613830566406,0.109375,1/5,0.09919524192810059,0.3125,210,83/210,0.05023914575576782,8.152852177307511e-05,3.5073309391736984,3.0252342373132706
sum_TNF,40,q4_q1,8,0/8,0.27924925504564757,0.0078125,0/5,0.29482517790479434,0.0625,210,78/210,0.30853408581017416,1.0756648230894341e-07,6.361303764129112,5.744139823302339
mean_TNF,40,q4_q1,8,0/8,0.02624986197099983,0.0078125,0/5,0.02171475147951568,0.0625,210,54/210,0.01897262407943389,3.1252253325162843e-16,0.23422464710109098,0.20404410302484688
npos_TNF,40,q4_q1,8,0/8,0.16461580991744995,0.0078125,0/5,0.13431715965270996,0.0625,210,59/210,0.11569875478744507,2.8875919980157373e-12,1.8854625076055527,1.649029977619648
n_immune,60,q4_q1,8,5/8,-1.4987751245498657,0.4609375,4/5,-2.9816951751708984,0.3125,210,147/210,-1.297293245792389,1.1495548085066084e-08,9.463715761899948,10.355692744255066
n_cyto,60,q4_q1,8,4/8,-0.10831920802593231,0.3125,3/5,-0.24862146377563477,0.3125,210,143/210,-0.09843547642230988,1.58039917544167e-08,0.6786612048745155,0.8125779218971729
frac_immune,60,q4_q1,8,5/8,-0.024439295753836632,0.640625,4/5,-0.04803818464279175,0.3125,210,144/210,-0.024982083588838577,7.18929819000374e-09,0.15877659665420651,0.16911463998258114
sum_chemokine,60,q4_q1,8,0/8,2.110015481630331,0.0078125,0/5,2.2831841105800805,0.0625,210,76/210,1.3969610012106166,3.0293124740547996e-05,79.60316627515687,75.34718829502475
mean_chemokine,60,q4_q1,8,0/8,0.06786996952191349,0.0078125,0/5,0.11400867013133698,0.0625,210,42/210,0.05214243698176002,5.086527870557122e-16,1.2968305303326306,1.1957238833451276
n_chemokine_pos,60,q4_q1,8,2/8,0.8349018096923828,0.0390625,0/5,0.8461999893188477,0.0625,210,69/210,0.3503262996673584,1.5290636800707717e-08,18.00642228126526,16.874773740768433
sum_chemokine_immune,60,q4_q1,8,3/8,0.6626922154082306,1.0,2/5,0.31832462765014746,0.8125,210,136/210,-1.1642943399075156,4.300381524708911e-05,19.46925816176968,19.692318383870187
n_chemokine_pos_immune,60,q4_q1,8,4/8,-0.12697075307369232,0.9453125,3/5,-0.3153343200683594,0.625,210,132/210,-0.21785977482795715,3.656942616971091e-05,3.348995290696621,3.421865951269865
sum_isg,60,q4_q1,8,3/8,14.906381614509925,0.1953125,1/5,27.502460339716777,0.1875,210,70/210,6.644186727705133,6.029674981124009e-09,348.3557841794675,325.8622109147642
mean_isg,60,q4_q1,8,0/8,0.45121703834032933,0.0078125,0/5,0.4593887177285767,0.0625,210,36/210,0.26367676658758565,2.8834526689139312e-24,5.58926840651009,5.118298758842908
sum_broad,60,q4_q1,8,3/8,41.31744887191303,0.1953125,1/5,64.58511875487886,0.1875,210,76/210,19.998352127271403,1.3870940347358317e-07,961.3310049514475,913.2538116969483
mean_broad,60,q4_q1,8,1/8,1.3577324909198873,0.0234375,0/5,1.6873191995081065,0.0625,210,33/210,0.6903786406917325,8.938401710217433e-23,15.602731657140886,14.436519298101286
sum_IFNG,60,q4_q1,8,1/8,0.42001850187530243,0.0234375,0/5,0.739551587013759,0.0625,210,79/210,0.27209689554799876,3.898669936785208e-05,9.525148455518195,9.002926977739866
mean_IFNG,60,q4_q1,8,0/8,0.0089596139666233,0.0078125,0/5,0.010174890879584647,0.0625,210,62/210,0.0064710900421219505,8.159811339704866e-11,0.16720565773072243,0.1517194008236311
npos_IFNG,60,q4_q1,8,1/8,0.18906837701797485,0.0234375,0/5,0.369346022605896,0.0625,210,65/210,0.11372685432434082,8.007821367372801e-09,2.8537186980247498,2.6156723499298096
sum_CXCL9,60,q4_q1,8,0/8,0.5426361990810422,0.0078125,0/5,0.6358539574096174,0.0625,210,91/210,0.2029837466340929,0.011333582060091352,20.288661735767263,19.034017101914486
mean_CXCL9,60,q4_q1,8,0/8,0.0169092317151206,0.0078125,0/5,0.017308850664492226,0.0625,210,64/210,0.009613173038642689,1.297235114550336e-09,0.3293133832425904,0.3019557240186558
npos_CXCL9,60,q4_q1,8,0/8,0.27264368534088135,0.0078125,0/5,0.43848419189453125,0.0625,210,67/210,0.12934720516204834,1.6119998640281758e-08,5.755653440952301,5.279714077711105
sum_CXCL10,60,q4_q1,8,1/8,0.6254495618287308,0.0234375,0/5,0.7160624663845425,0.0625,210,83/210,0.7140321032831585,5.1356329200348296e-06,28.726237811959194,26.919105306280567
mean_CXCL10,60,q4_q1,8,0/8,0.022135746769354495,0.0078125,0/5,0.026391917836203094,0.0625,210,59/210,0.01980428656672857,9.282195680691575e-13,0.4546051189003807,0.41745928417088296
npos_CXCL10,60,q4_q1,8,1/8,0.3742178678512573,0.0390625,1/5,0.4682798385620117,0.125,210,74/210,0.21408510208129883,3.923393176561778e-09,7.688156187534332,7.029281318187714
sum_CCL5,60,q4_q1,8,1/8,0.6578674160266686,0.0234375,1/5,0.6082399930693185,0.125,210,94/210,0.14593168758334585,0.2840295089867638,21.063118271912206,20.391138909089822
mean_CCL5,60,q4_q1,8,0/8,0.022977323204187397,0.0078125,0/5,0.024709460984454423,0.0625,210,73/210,0.0097353965749339,6.103258843096601e-07,0.3457063704589369,0.3245894743319577
npos_CCL5,60,q4_q1,8,1/8,0.2755831480026245,0.015625,0/5,0.28150105476379395,0.0625,210,77/210,0.1090768575668335,0.00019493908398375066,5.9060991406440735,5.570549786090851
sum_CD274,60,q4_q1,8,1/8,0.31942931292005206,0.0546875,0/5,0.29261917137493754,0.0625,210,101/210,0.032609568247611964,0.39651512989354853,18.08092535456167,17.504318724165298
mean_CD274,60,q4_q1,8,0/8,0.013164599369092866,0.0078125,0/5,0.017576332166139214,0.0625,210,69/210,0.006306959438885457,2.6189830463829155e-07,0.3040200740559449,0.28577653275028725
npos_CD274,60,q4_q1,8,2/8,0.31074535846710205,0.0390625,0/5,0.34073829650878906,0.0625,210,85/210,0.08221638202667236,9.478587986928683e-05,5.305011481046677,4.979486644268036
sum_IDO1,60,q4_q1,8,1/8,0.5984398637793924,0.0546875,0/5,0.7493860828558239,0.0625,210,64/210,0.9530952340868604,1.1785773798969202e-12,29.821850829052032,26.019256295370823
mean_IDO1,60,q4_q1,8,0/8,0.032480072323448086,0.0078125,0/5,0.04692111158933382,0.0625,210,40/210,0.02691710307649977,7.747295292846632e-22,0.47372609758169415,0.4070506981081925
npos_IDO1,60,q4_q1,8,1/8,0.3331702947616577,0.0390625,1/5,0.3800845146179199,0.125,210,57/210,0.3577456474304199,3.2366777492688596e-15,8.351590812206268,7.174735009670258
sum_STAT1,60,q4_q1,8,2/8,3.525102356283252,0.1484375,1/5,7.658192848641093,0.125,210,67/210,1.714769663532154,1.1612427024273767e-10,60.984037466768335,56.310188372668215
mean_STAT1,60,q4_q1,8,0/8,0.08890129299897759,0.0078125,0/5,0.13000184788556113,0.0625,210,45/210,0.051775356493730246,3.5982462155443907e-20,0.9650858014639978,0.8756137458065911
npos_STAT1,60,q4_q1,8,2/8,1.2559177875518799,0.109375,1/5,2.4706859588623047,0.125,210,57/210,0.5640156269073486,5.739195488312685e-13,16.979179620742798,15.439068377017975
sum_MX1,60,q4_q1,8,2/8,3.9189998829903594,0.0390625,0/5,6.294562495599841,0.0625,210,59/210,1.9743610461035797,9.436648364899846e-13,57.708472410372295,52.6902500315761
mean_MX1,60,q4_q1,8,0/8,0.09817223584109086,0.0078125,0/5,0.10882231294283295,0.0625,210,38/210,0.05215351684003472,4.2205379076159497e-22,0.9299741378084809,0.828976560207634
npos_MX1,60,q4_q1,8,2/8,1.287297010421753,0.0390625,0/5,2.228323459625244,0.0625,210,50/210,0.6757616996765137,3.009867019699634e-16,15.782839238643646,14.21120309829712
sum_CXCL8,60,q4_q1,8,3/8,1.7451219832805607,0.3125,2/5,0.2834918095326282,0.8125,210,95/210,0.1406593622393757,0.03237199911762236,29.946174412633404,26.00856837092895
mean_CXCL8,60,q4_q1,8,3/8,0.06295157452970422,0.25,2/5,0.003388491740565297,0.625,210,89/210,0.007547015264982956,0.0007260827570861819,0.5261921473649946,0.43921900909375067
npos_CXCL8,60,q4_q1,8,2/8,0.6327724456787109,0.078125,1/5,0.18315362930297852,0.3125,210,79/210,0.12264490127563477,7.512123699332549e-06,7.659368634223938,6.656425982713699
sum_TNF,60,q4_q1,8,0/8,0.6586638382389376,0.0078125,0/5,0.46721037577245994,0.0625,210,76/210,0.45057292876804844,7.915990237395437e-08,13.704787879585766,12.527391473692896
mean_TNF,60,q4_q1,8,1/8,0.02039128655563025,0.015625,1/5,0.016837735726347614,0.125,210,52/210,0.012746664658331658,7.112127964366283e-16,0.2288510200007827,0.20401163411655435
npos_TNF,60,q4_q1,8,1/8,0.32352370023727417,0.0234375,0/5,0.316983699798584,0.0625,210,63/210,0.19213801622390747,9.119575928888673e-12,4.030864924192429,3.587930291891098
n_immune,100,q4_q1,8,5/8,-2.080249547958374,0.9453125,4/5,-4.066680908203125,0.4375,210,135/210,-2.129077911376953,5.56339561181478e-05,33.392356634140015,33.71285933256149
n_cyto,100,q4_q1,8,4/8,-0.1352372169494629,0.546875,3/5,-0.3514547348022461,0.4375,210,128/210,-0.14333340525627136,0.00046368596487562116,2.3320846408605576,2.548103466629982
frac_immune,100,q4_q1,8,5/8,-0.01670643500983715,0.9453125,4/5,-0.03169021010398865,0.625,210,137/210,-0.017667725682258606,2.1065947999699147e-06,0.2016990832053125,0.2010112227872014
sum_chemokine,100,q4_q1,8,0/8,7.316062239309403,0.0078125,0/5,6.5825739362697675,0.0625,210,65/210,4.384613199294797,7.63913753211493e-09,219.80003411324464,206.3661578219158
mean_chemokine,100,q4_q1,8,0/8,0.06710853805969541,0.0078125,0/5,0.08880544266945822,0.0625,210,42/210,0.036534667194730586,1.2098537723567907e-18,1.299899873243558,1.2079436197185969
n_chemokine_pos,100,q4_q1,8,1/8,2.217801094055176,0.015625,0/5,2.325063705444336,0.0625,210,62/210,1.300252914428711,1.909520525521466e-12,48.704123735427856,45.59371900558472
sum_chemokine_immune,100,q4_q1,8,3/8,7.2221261855589445,0.3828125,2/5,0.8254363890215384,0.8125,210,130/210,-1.9681865130712115,0.01321962834709889,67.20965755434577,63.36909280745095
n_chemokine_pos_immune,100,q4_q1,8,3/8,0.9004811644554138,0.546875,2/5,0.15728557109832764,1.0,210,132/210,-0.33081579208374023,0.0166205487736599,11.691831842064857,11.109223157167435
sum_isg,100,q4_q1,8,3/8,42.9459630302691,0.1953125,1/5,75.60052547730413,0.1875,210,64/210,21.29895793374564,1.6358200690532824e-10,918.6589477717331,861.836664613114
mean_isg,100,q4_q1,8,1/8,0.3859815226359622,0.015625,0/5,0.4203970760455613,0.0625,210,40/210,0.1782479450816319,1.2287323818853836e-21,5.429079841914605,5.046518236768394
sum_broad,100,q4_q1,8,3/8,115.7391476309673,0.1953125,1/5,176.3425347707357,0.1875,210,62/210,60.47118278560902,4.2889428911407595e-09,2537.5945977840056,2412.524850322592
mean_broad,100,q4_q1,8,2/8,1.1391686243038306,0.0546875,1/5,1.3166013265742578,0.125,210,43/210,0.5131752055924919,2.912726644240847e-20,15.173621349662447,14.243961839275006
sum_IFNG,100,q4_q1,8,0/8,1.197455844120019,0.0078125,0/5,1.675047361635027,0.0625,210,67/210,0.6209959261359934,9.144850209215735e-08,25.393576858255713,24.0447561036959
mean_IFNG,100,q4_q1,8,0/8,0.008526252462698461,0.0078125,0/5,0.008152677325615587,0.0625,210,57/210,0.005402789081509263,2.348848501188863e-11,0.1626771743794121,0.15058584361824132
npos_IFNG,100,q4_q1,8,1/8,0.4692680835723877,0.0234375,0/5,0.826615571975708,0.0625,210,58/210,0.2959892749786377,7.740220259491064e-11,7.5241201519966125,6.9526461362838745
