score,radius_um,cutoff,n_sections,sections_high_lt_low,section_median_delta,section_p,patients_high_lt_low,patient_median_delta,patient_p,n_fovs,fovs_high_lt_low,fov_median_delta,fov_p,section_mean_high,section_mean_low,section_p_rank,fov_p_rank
n_chemokine_pos,40,top10_vs_bot50,8,6/8,-0.30456972122192383,0.0390625,4/5,-0.15812110900878906,0.125,210,128/210,-0.16128313541412354,1.3655359745526627e-05,7.653719365596771,8.023878574371338,0.0390625,1.3655359745526627e-05
sum_CXCL9,60,top10_vs_bot50,8,6/8,-0.4557702218745048,0.0390625,4/5,-0.394079001592182,0.125,210,133/210,-0.4122591607301973,0.00015403777996517192,19.482465469207785,19.89496331823915,0.0390625,0.00015403777996517192
npos_STAT1,40,top10_vs_bot50,8,6/8,-0.30060625076293945,0.0546875,3/5,-0.14511418342590332,0.4375,210,128/210,-0.17373335361480713,1.8934975534646476e-06,7.198095947504044,7.687258094549179,0.0546875,1.8934975534646476e-06
npos_STAT1,60,top10_vs_bot50,8,6/8,-0.5429401397705078,0.0546875,3/5,-0.2584514617919922,0.4375,210,133/210,-0.23346805572509766,4.000709333630631e-06,15.577699542045593,16.459162414073944,0.0546875,4.000709333630631e-06
n_chemokine_pos,60,top10_vs_bot50,8,6/8,-0.530390739440918,0.0546875,4/5,-0.3435649871826172,0.125,210,128/210,-0.2883462905883789,0.00021514755382163046,17.053728103637695,17.62803316116333,0.0546875,0.00021514755382163046
n_chemokine_pos,20,top10_vs_bot50,8,6/8,-0.08473196625709534,0.0546875,4/5,-0.044282734394073486,0.1875,210,126/210,-0.04982706904411316,0.0010474837966892485,1.9087440446019173,2.010343059897423,0.0546875,0.0010474837966892485
sum_STAT1,150,top10_vs_bot50,8,7/8,-7.280768045566845,0.0546875,4/5,-1.6373609421410293,0.3125,210,115/210,-2.3452946996253132,0.016672034388091415,326.9812615112288,334.6134515862548,0.0546875,0.016672034388091415
sum_IFNG,40,top10_vs_bot50,8,6/8,-0.13930782512822515,0.0546875,3/5,-0.13248738461547926,0.3125,210,122/210,-0.13269129536590052,0.04708586115132731,4.136764658373121,4.252397076377833,0.0546875,0.04708586115132731
n_cyto,40,pos_vs_zero,8,6/8,-0.04668112471699715,0.078125,4/5,-0.08950740098953247,0.1875,211,155/211,-0.06582922488451004,6.682709559567103e-16,0.24007548298686743,0.32998450193554163,0.078125,6.682709559567103e-16
n_cyto,20,fov_q4_q1,8,6/8,-0.026963349897414446,0.078125,4/5,-0.052145687863230705,0.1875,214,146/214,-0.01729311910457909,8.302341461843351e-16,0.04260521486867219,0.07057694543618709,0.078125,8.302341461843351e-16
sum_broad,40,top10_vs_bot50,8,6/8,-9.23437309045066,0.078125,4/5,-8.163209899047956,0.3125,210,139/210,-11.899280030135515,5.6339645911488586e-09,411.3866795791804,443.7728149529106,0.078125,5.6339645911488586e-09
npos_STAT1,100,top10_vs_bot50,8,6/8,-1.0538349151611328,0.078125,3/5,-0.6282138824462891,0.4375,210,124/210,-0.599543571472168,0.0001694735044319469,41.11969017982483,42.81695771217346,0.078125,0.0001694735044319469
n_chemokine_pos,100,top10_vs_bot50,8,6/8,-0.64959716796875,0.078125,4/5,-0.5151443481445312,0.125,210,119/210,-0.30664920806884766,0.017300870925007004,46.72301149368286,47.47599458694458,0.078125,0.017300870925007004
