score,sec,dmed,sp,pat,pp,fov,fp,hi,lo,ratio
npos_IFIT1,6/8,-0.0046679070219397545,0.109375,5/5,0.0625,139/211,3.476349791513471e-06,0.07173743308521807,0.0768097173422575,0.9339629875939035
npos_CXCL9,7/8,-0.004246188327670097,0.109375,5/5,0.0625,139/211,4.937586343298532e-06,0.09528255695477128,0.10215145070105791,0.9327577464720676
sum_STAT1,5/8,-0.08916525778655643,0.1484375,4/5,0.125,144/211,4.587328595217006e-08,1.136701916802825,1.201858820866085,0.9457865575123818
mean_STAT1,2/8,0.03542107624033952,0.1484375,2/5,0.625,94/211,0.05900297388574858,0.6920270397343152,0.6531547198420592,1.0595147194246042
npos_OAS1,6/8,-0.004603475332260132,0.1953125,4/5,0.125,135/211,2.321315381377668e-06,0.1553112743422389,0.1617321977391839,0.9602990407185361
mean_IFNG,3/8,0.005929106698122286,0.1953125,2/5,0.625,104/211,0.931125074936488,0.10311733842969537,0.09875464583594037,1.0441770871317049
sum_TNF,5/8,-0.011740730420885775,0.25,4/5,0.125,132/211,5.401610681743281e-05,0.24159414068535467,0.2600700806078633,0.9289578413659707
npos_CXCL8,5/8,-0.004741990007460117,0.3125,4/5,0.3125,154/211,1.2297038009656117e-12,0.1283381835091859,0.13279449427500367,0.9664420517571368
mean_CD274,5/8,-0.009930891461252679,0.3125,4/5,0.1875,124/211,0.011096895919384961,0.19240259084223038,0.19605608391486729,0.9813650614677005
mean_IDO1,4/8,0.0049971009018451445,0.3828125,3/5,0.8125,86/211,2.1242095708586223e-05,0.33086009277721895,0.2942588288967207,1.1243845903204643
mean_CXCL9,6/8,-0.007715208353730171,0.3828125,4/5,0.1875,124/211,0.012023807590504074,0.19339889034061158,0.19666423049802897,0.9833963697966412
mean_OAS1,3/8,0.0039018909499929366,0.4609375,3/5,0.8125,115/211,0.1410278046105614,0.2959489382025381,0.290606128424091,1.0183850554268083
npos_STAT1,5/8,-0.015653036534786224,0.546875,4/5,0.3125,133/211,0.00012264539055130156,0.3182036066427827,0.3247650349512696,0.9797963832237314
npos_CXCL10,5/8,-0.0009457617998123169,0.640625,4/5,0.3125,115/211,0.06237905858979739,0.13076126808300614,0.13694477314129472,0.9548467245850365
mean_IFIT1,5/8,-0.0038356797942742243,0.640625,3/5,0.3125,110/211,0.07188569185234119,0.14270129107943955,0.14638617040212087,0.9748276813816564
mean_CXCL10,4/8,0.004514400132675317,0.640625,3/5,0.8125,97/211,0.19667926815294956,0.29161068967983356,0.28734863641242525,1.0148323420657932
mean_TNF,4/8,0.00020494517487837371,0.7421875,3/5,1.0,102/211,0.6232031647869983,0.1436951817359477,0.13830382160009766,1.038982004065217
mean_CXCL8,5/8,-0.009068465226508057,0.84375,4/5,0.4375,141/211,1.7852112771203515e-06,0.2701431941575345,0.2753433969997532,0.981113755045946
npos_IFNG,5/8,-0.0017731878906488419,0.84375,3/5,0.625,123/211,0.013916316281178443,0.051109671825543046,0.051626908825710416,0.9899812517942236
sum_IDO1,5/8,-0.02237724564001317,0.84375,4/5,0.625,122/211,0.378743181928182,0.5400372471395827,0.5402391838945333,0.9996262086109806
npos_IDO1,4/8,-0.0016074776649475098,0.84375,3/5,0.8125,111/211,0.41960815133706286,0.15174603345803916,0.14620717568323016,1.0378836247190042
npos_TNF,5/8,-0.0019001420587301254,0.9453125,4/5,0.625,118/211,0.07284185606359314,0.07198114204220474,0.07325742184184492,0.9825781502057834
npos_MX1,4/8,-0.0008229129016399384,1.0,2/5,1.0,128/211,0.0006824108258494907,0.3057225849479437,0.30366457905620337,1.0067772339406087
