score,sample,patient,n_high,n_low,mean_high,mean_low,delta
sum_IFNG,LUAD-5 R3,Lung5,9985,5908,0.1269038906527107,0.1433480906948013,-0.0164442000420906
sum_IFNG,LUSC-6,Lung6,16323,49873,0.054516060706472254,0.06999262300553917,-0.015476562299066916
sum_IFNG,LUAD-9 R1,Lung9,27834,11030,0.1924884729717275,0.19325920171047667,-0.0007707287387491712
sum_IFNG,LUAD-9 R2,Lung9,57922,36954,0.18313541713206777,0.20326740487511685,-0.020131987743049085
sum_IFNG,LUAD-12,Lung12,7260,11007,0.2203878745406849,0.2368022150800688,-0.016414340539383898
sum_IFNG,LUAD-13,Lung13,19177,6853,0.14360060560651108,0.17135987905510494,-0.027759273448593857
npos_IFNG,LUAD-5 R1,Lung5,12611,5226,0.05185948684811592,0.04745503142476082,0.0044044554233551025
npos_IFNG,LUAD-5 R2,Lung5,12377,5537,0.08499636501073837,0.0872313529253006,-0.0022349879145622253
npos_IFNG,LUAD-5 R3,Lung5,9985,5908,0.03985979035496712,0.042823292315006256,-0.002963501960039139
npos_IFNG,LUSC-6,Lung6,16323,49873,0.016050970181822777,0.020271489396691322,-0.0042205192148685455
npos_IFNG,LUAD-9 R1,Lung9,27834,11030,0.05895667150616646,0.0543970987200737,0.004559572786092758
npos_IFNG,LUAD-9 R2,Lung9,57922,36954,0.047046028077602386,0.048357415944337845,-0.0013113878667354584
npos_IFNG,LUAD-12,Lung12,7260,11007,0.06625344604253769,0.06359589099884033,0.002657555043697357
npos_IFNG,LUAD-13,Lung13,19177,6853,0.043854616582393646,0.048883698880672455,-0.005029082298278809
mean_IFNG,LUAD-5 R1,Lung5,12611,5226,0.08849679774255087,0.07546508514066558,0.013031712601885292
mean_IFNG,LUAD-5 R2,Lung5,12377,5537,0.1378574981716889,0.12734250236333988,0.010514995808349026
mean_IFNG,LUAD-5 R3,Lung5,9985,5908,0.07367048418338318,0.06926079291665652,0.004409691266726662
mean_IFNG,LUSC-6,Lung6,16323,49873,0.040594829558659465,0.048360167463457816,-0.0077653379047983515
mean_IFNG,LUAD-9 R1,Lung9,27834,11030,0.11695007355480441,0.10395363798418085,0.012996435570623563
mean_IFNG,LUAD-9 R2,Lung9,57922,36954,0.1152076580981171,0.11762577710002785,-0.0024181190019107457
mean_IFNG,LUAD-12,Lung12,7260,11007,0.15783663639732384,0.15038811426780593,0.007448522129517909
mean_IFNG,LUAD-13,Lung13,19177,6853,0.09432472973103519,0.09764108945138861,-0.0033163597203534206
sum_CXCL9,LUAD-5 R1,Lung5,12611,5226,0.3517510850673637,0.37738577304096305,-0.025634687973599357
sum_CXCL9,LUAD-5 R2,Lung5,12377,5537,0.46744761216112146,0.569119490422591,-0.10167187826146956
sum_CXCL9,LUAD-5 R3,Lung5,9985,5908,0.2794762127654874,0.24923145983294698,0.03024475293254042
sum_CXCL9,LUSC-6,Lung6,16323,49873,0.09645222267507454,0.11679999269990093,-0.020347770024826392
sum_CXCL9,LUAD-9 R1,Lung9,27834,11030,0.32883933651671454,0.39232806574333684,-0.0634887292266223
sum_CXCL9,LUAD-9 R2,Lung9,57922,36954,0.2518569883931467,0.2758162501311545,-0.02395926173800783
sum_CXCL9,LUAD-12,Lung12,7260,11007,0.23493739382309264,0.27598509784191005,-0.04104770401881741
sum_CXCL9,LUAD-13,Lung13,19177,6853,0.5589967533543767,0.6681754534735407,-0.10917870011916397
npos_CXCL9,LUAD-5 R1,Lung5,12611,5226,0.11141066998243332,0.1140451580286026,-0.002634488046169281
npos_CXCL9,LUAD-5 R2,Lung5,12377,5537,0.14882443845272064,0.17355969548225403,-0.024735257029533386
npos_CXCL9,LUAD-5 R3,Lung5,9985,5908,0.08592889457941055,0.07295192778110504,0.012976966798305511
npos_CXCL9,LUSC-6,Lung6,16323,49873,0.02818109467625618,0.03364545851945877,-0.005464363843202591
npos_CXCL9,LUAD-9 R1,Lung9,27834,11030,0.0985485389828682,0.10815956443548203,-0.00961102545261383
npos_CXCL9,LUAD-9 R2,Lung9,57922,36954,0.06418976932764053,0.0655680000782013,-0.0013782307505607605
npos_CXCL9,LUAD-12,Lung12,7260,11007,0.06983470916748047,0.07286272197961807,-0.0030280128121376038
npos_CXCL9,LUAD-13,Lung13,19177,6853,0.15534234046936035,0.17641907930374146,-0.021076738834381104
mean_CXCL9,LUAD-5 R1,Lung5,12611,5226,0.18677432827991355,0.17699916275168423,0.009775165528229324
mean_CXCL9,LUAD-5 R2,Lung5,12377,5537,0.23645892192789017,0.24691531766590102,-0.010456395738010854
mean_CXCL9,LUAD-5 R3,Lung5,9985,5908,0.15454310827494067,0.12763062209808182,0.026912486176858846
mean_CXCL9,LUSC-6,Lung6,16323,49873,0.06999602334987809,0.08418152635929907,-0.01418550300942098
mean_CXCL9,LUAD-9 R1,Lung9,27834,11030,0.2022619463493668,0.21560093673166128,-0.013338990382294469
mean_CXCL9,LUAD-9 R2,Lung9,57922,36954,0.15429900385933534,0.15927302482878483,-0.004974020969449489
mean_CXCL9,LUAD-12,Lung12,7260,11007,0.172654568403623,0.17539476745391588,-0.0027401990502928797
mean_CXCL9,LUAD-13,Lung13,19177,6853,0.3702032222799451,0.38731848609490377,-0.017115263814958648
sum_CXCL10,LUAD-5 R1,Lung5,12611,5226,0.3486905921836248,0.37010528795906933,-0.021414695775444526
sum_CXCL10,LUAD-5 R2,Lung5,12377,5537,0.422924082802914,0.49974744616157807,-0.07682336335866408
sum_CXCL10,LUAD-5 R3,Lung5,9985,5908,0.29173819424269604,0.2960143137742505,-0.00427611953155449
sum_CXCL10,LUSC-6,Lung6,16323,49873,0.09326386295761184,0.10162441995348026,-0.00836055699586842
sum_CXCL10,LUAD-9 R1,Lung9,27834,11030,0.9932433602502299,1.0426726805853763,-0.049429320335146465
sum_CXCL10,LUAD-9 R2,Lung9,57922,36954,0.728088613140684,0.7503035377909785,-0.02221492465029451
sum_CXCL10,LUAD-12,Lung12,7260,11007,0.2513326993245852,0.2889616908092815,-0.03762899148469634
sum_CXCL10,LUAD-13,Lung13,19177,6853,0.6708730794094752,0.8573060068998449,-0.18643292749036977
npos_CXCL10,LUAD-5 R1,Lung5,12611,5226,0.10974545776844025,0.11327975243330002,-0.0035342946648597717
npos_CXCL10,LUAD-5 R2,Lung5,12377,5537,0.13411973416805267,0.15224851667881012,-0.018128782510757446
npos_CXCL10,LUAD-5 R3,Lung5,9985,5908,0.08843264728784561,0.08496953547000885,0.0034631118178367615
npos_CXCL10,LUSC-6,Lung6,16323,49873,0.027200881391763687,0.028933491557836533,-0.0017326101660728455
npos_CXCL10,LUAD-9 R1,Lung9,27834,11030,0.2619099020957947,0.2572982907295227,0.004611611366271973
npos_CXCL10,LUAD-9 R2,Lung9,57922,36954,0.17285314202308655,0.1686420887708664,0.004211053252220154
npos_CXCL10,LUAD-12,Lung12,7260,11007,0.07479339092969894,0.07495230436325073,-0.00015891343355178833
npos_CXCL10,LUAD-13,Lung13,19177,6853,0.17703498899936676,0.2152342051267624,-0.03819921612739563
mean_CXCL10,LUAD-5 R1,Lung5,12611,5226,0.18829107739263554,0.17619168324520268,0.012099394147432857
mean_CXCL10,LUAD-5 R2,Lung5,12377,5537,0.2195833253360612,0.22436077831115217,-0.004777452975090968
mean_CXCL10,LUAD-5 R3,Lung5,9985,5908,0.15896521958144005,0.14806256759838607,0.010902651983053985
mean_CXCL10,LUSC-6,Lung6,16323,49873,0.06587149146658543,0.07231264471049119,-0.006441153243905762
mean_CXCL10,LUAD-9 R1,Lung9,27834,11030,0.6252509471594057,0.5738541334953924,0.051396813664013274
mean_CXCL10,LUAD-9 R2,Lung9,57922,36954,0.4593592243699353,0.4307725571326048,0.0285866672373305
mean_CXCL10,LUAD-12,Lung12,7260,11007,0.18199926465804472,0.18387311637574807,-0.001873851717703351
mean_CXCL10,LUAD-13,Lung13,19177,6853,0.4335649674745603,0.48936161043042475,-0.05579664295586445
sum_CCL5,LUAD-5 R1,Lung5,12611,5226,0.3251260834302976,0.37584524809750514,-0.05071916466720755
sum_CCL5,LUAD-5 R2,Lung5,12377,5537,0.4391680864121772,0.538761041801271,-0.09959295538909385
sum_CCL5,LUAD-5 R3,Lung5,9985,5908,0.2819778439066317,0.31768207839903045,-0.035704234492398734
sum_CCL5,LUSC-6,Lung6,16323,49873,0.0882484351617181,0.11759050365259079,-0.02934206849087269
sum_CCL5,LUAD-9 R1,Lung9,27834,11030,0.3616559867607156,0.41655413942474007,-0.05489815266402448
sum_CCL5,LUAD-9 R2,Lung9,57922,36954,0.3043437280105458,0.34051461812044304,-0.036170890109897214
sum_CCL5,LUAD-12,Lung12,7260,11007,0.2740982755156635,0.324909003036464,-0.05081072752080046
sum_CCL5,LUAD-13,Lung13,19177,6853,0.48567356806279577,0.5909256132150393,-0.10525204515224357
npos_CCL5,LUAD-5 R1,Lung5,12611,5226,0.10221235454082489,0.11538461595773697,-0.013172261416912079
npos_CCL5,LUAD-5 R2,Lung5,12377,5537,0.13832108676433563,0.16561314463615417,-0.027292057871818542
npos_CCL5,LUAD-5 R3,Lung5,9985,5908,0.0862293466925621,0.09055517613887787,-0.004325829446315765
npos_CCL5,LUSC-6,Lung6,16323,49873,0.025485511869192123,0.03322438895702362,-0.007738877087831497
npos_CCL5,LUAD-9 R1,Lung9,27834,11030,0.10731479525566101,0.11332728713750839,-0.006012491881847382
npos_CCL5,LUAD-9 R2,Lung9,57922,36954,0.0772072821855545,0.08012664318084717,-0.0029193609952926636
npos_CCL5,LUAD-12,Lung12,7260,11007,0.08030302822589874,0.08476424217224121,-0.004461213946342468
npos_CCL5,LUAD-13,Lung13,19177,6853,0.13750846683979034,0.15628191828727722,-0.018773451447486877
mean_CCL5,LUAD-5 R1,Lung5,12611,5226,0.16869247729455455,0.17842294934937655,-0.009730472054821998
mean_CCL5,LUAD-5 R2,Lung5,12377,5537,0.22598956648810412,0.25558920873381175,-0.02959964224570763
mean_CCL5,LUAD-5 R3,Lung5,9985,5908,0.15264189161098304,0.16293109791355803,-0.010289206302574988
mean_CCL5,LUSC-6,Lung6,16323,49873,0.0653426560120346,0.08217783216024155,-0.016835176148206954
mean_CCL5,LUAD-9 R1,Lung9,27834,11030,0.22070974313132208,0.22546562904177014,-0.0047558859104480655
mean_CCL5,LUAD-9 R2,Lung9,57922,36954,0.18597885692164665,0.1923416397631941,-0.006362782841547454
mean_CCL5,LUAD-12,Lung12,7260,11007,0.19737335621361446,0.20408863185289383,-0.006715275639279372
mean_CCL5,LUAD-13,Lung13,19177,6853,0.32180750106360767,0.33611435588462,-0.01430685482101235
sum_CD274,LUAD-5 R1,Lung5,12611,5226,0.3100899151706907,0.3718324171868796,-0.061742502016188916
sum_CD274,LUAD-5 R2,Lung5,12377,5537,0.48013968406669016,0.5198306494598686,-0.0396909653931784
sum_CD274,LUAD-5 R3,Lung5,9985,5908,0.23049264108127385,0.23361617955276215,-0.003123538471488302
sum_CD274,LUSC-6,Lung6,16323,49873,0.09807379941920058,0.1165779175620873,-0.018504118142886716
sum_CD274,LUAD-9 R1,Lung9,27834,11030,0.2762037698106813,0.32506882549498106,-0.048865055684299774
sum_CD274,LUAD-9 R2,Lung9,57922,36954,0.3056631674512742,0.32369334121011883,-0.018030173758844636
sum_CD274,LUAD-12,Lung12,7260,11007,0.2729115557652838,0.33494477450929794,-0.06203321874401413
sum_CD274,LUAD-13,Lung13,19177,6853,0.5869884401844874,0.6760978747467533,-0.08910943456226594
npos_CD274,LUAD-5 R1,Lung5,12611,5226,0.09840615093708038,0.11174894869327545,-0.013342797756195068
npos_CD274,LUAD-5 R2,Lung5,12377,5537,0.15213702619075775,0.15947264432907104,-0.0073356181383132935
npos_CD274,LUAD-5 R3,Lung5,9985,5908,0.07150726020336151,0.06787406653165817,0.0036331936717033386
npos_CD274,LUSC-6,Lung6,16323,49873,0.02934509515762329,0.03378581628203392,-0.004440721124410629
npos_CD274,LUAD-9 R1,Lung9,27834,11030,0.08320758491754532,0.08893925696611404,-0.005731672048568726
npos_CD274,LUAD-9 R2,Lung9,57922,36954,0.07744898647069931,0.0763922706246376,0.0010567158460617065
npos_CD274,LUAD-12,Lung12,7260,11007,0.07892561703920364,0.08621785789728165,-0.007292240858078003
npos_CD274,LUAD-13,Lung13,19177,6853,0.17265474796295166,0.18750911951065063,-0.014854371547698975
mean_CD274,LUAD-5 R1,Lung5,12611,5226,0.1623522437572866,0.1733005834573139,-0.010948339700027288
mean_CD274,LUAD-5 R2,Lung5,12377,5537,0.2379763297285835,0.23033445388714674,0.007641875841436774
mean_CD274,LUAD-5 R3,Lung5,9985,5908,0.12399785064549035,0.11087888022943401,0.013118970416056336
mean_CD274,LUSC-6,Lung6,16323,49873,0.07254928508109669,0.08177022524387051,-0.009220940162773819
mean_CD274,LUAD-9 R1,Lung9,27834,11030,0.17149818891207771,0.18229893288902665,-0.01080074397694894
mean_CD274,LUAD-9 R2,Lung9,57922,36954,0.18869693678778124,0.18059019695478237,0.008106739832998866
mean_CD274,LUAD-12,Lung12,7260,11007,0.19357224309123858,0.2100569071633443,-0.01648466407210572
mean_CD274,LUAD-13,Lung13,19177,6853,0.38857764873428824,0.3992184914940198,-0.01064084275973154
sum_IDO1,LUAD-5 R1,Lung5,12611,5226,0.2844119244589924,0.3338138311181034,-0.04940190665911104
sum_IDO1,LUAD-5 R2,Lung5,12377,5537,0.4459109474807413,0.5238533813561896,-0.07794243387544836
sum_IDO1,LUAD-5 R3,Lung5,9985,5908,0.2591876691842279,0.2557396548072009,0.00344801437702702
sum_IDO1,LUSC-6,Lung6,16323,49873,0.06588958717383778,0.08949470973392323,-0.023605122560085456
sum_IDO1,LUAD-9 R1,Lung9,27834,11030,1.5386315862343858,1.4276670900312474,0.11096449620313842
sum_IDO1,LUAD-9 R2,Lung9,57922,36954,0.9755076704514397,0.8738796246817156,0.10162804576972406
sum_IDO1,LUAD-12,Lung12,7260,11007,0.2780581693025318,0.32361538787744065,-0.04555721857490885
sum_IDO1,LUAD-13,Lung13,19177,6853,0.4727004228305042,0.49384979155044506,-0.021149368719940886
npos_IDO1,LUAD-5 R1,Lung5,12611,5226,0.0917453020811081,0.10294680297374725,-0.01120150089263916
npos_IDO1,LUAD-5 R2,Lung5,12377,5537,0.1419568508863449,0.16236229240894318,-0.020405441522598267
npos_IDO1,LUAD-5 R3,Lung5,9985,5908,0.08032047748565674,0.07379823923110962,0.006522238254547119
npos_IDO1,LUSC-6,Lung6,16323,49873,0.019420450553297997,0.025464680045843124,-0.006044229492545128
npos_IDO1,LUAD-9 R1,Lung9,27834,11030,0.41844508051872253,0.3745240271091461,0.043921053409576416
npos_IDO1,LUAD-9 R2,Lung9,57922,36954,0.24234315752983093,0.20760945975780487,0.03473369777202606
npos_IDO1,LUAD-12,Lung12,7260,11007,0.08071625232696533,0.08476424217224121,-0.004047989845275879
npos_IDO1,LUAD-13,Lung13,19177,6853,0.13902069628238678,0.13818766176700592,0.0008330345153808594
mean_IDO1,LUAD-5 R1,Lung5,12611,5226,0.15130789589809854,0.1606749180335372,-0.009367022135438663
mean_IDO1,LUAD-5 R2,Lung5,12377,5537,0.23104644159493803,0.24175589108408865,-0.010709449489150619
mean_IDO1,LUAD-5 R3,Lung5,9985,5908,0.14646993427923397,0.13275769463784654,0.01371223964138743
mean_IDO1,LUSC-6,Lung6,16323,49873,0.048967305088910625,0.06340835140132266,-0.014441046312412033
mean_IDO1,LUAD-9 R1,Lung9,27834,11030,0.943297110776997,0.7652611992673617,0.17803591150963527
mean_IDO1,LUAD-9 R2,Lung9,57922,36954,0.608915818337203,0.4969427650554395,0.11197305328176349
mean_IDO1,LUAD-12,Lung12,7260,11007,0.2021123659336922,0.20583040377138934,-0.0037180378376971412
mean_IDO1,LUAD-13,Lung13,19177,6853,0.31476387030867814,0.2874394079227805,0.02732446238589764
sum_STAT1,LUAD-5 R1,Lung5,12611,5226,0.9615452222534425,1.0703040508145605,-0.10875882856111796
sum_STAT1,LUAD-5 R2,Lung5,12377,5537,1.1320590775431782,1.2395469848092544,-0.10748790726607615
sum_STAT1,LUAD-5 R3,Lung5,9985,5908,0.9008546684769329,0.8866867040193132,0.014167964457619697
sum_STAT1,LUSC-6,Lung6,16323,49873,0.7956625509038698,0.9378756206830117,-0.14221306977914183
sum_STAT1,LUAD-9 R1,Lung9,27834,11030,1.5972274250619125,1.5504082488081796,0.046819176253732886
sum_STAT1,LUAD-9 R2,Lung9,57922,36954,0.9946624360518709,0.9198523990116517,0.07481003704021916
sum_STAT1,LUAD-12,Lung12,7260,11007,0.33803306455152005,0.40887567285855675,-0.0708426083070367
sum_STAT1,LUAD-13,Lung13,19177,6853,2.3735708895798724,2.6013208859241526,-0.22774999634428017
npos_STAT1,LUAD-5 R1,Lung5,12611,5226,0.3029894530773163,0.3254879415035248,-0.022498488426208496
npos_STAT1,LUAD-5 R2,Lung5,12377,5537,0.3512967526912689,0.37601590156555176,-0.024719148874282837
npos_STAT1,LUAD-5 R3,Lung5,9985,5908,0.27150726318359375,0.25609344244003296,0.015413820743560791
npos_STAT1,LUSC-6,Lung6,16323,49873,0.21779084205627441,0.25332343578338623,-0.035532593727111816
npos_STAT1,LUAD-9 R1,Lung9,27834,11030,0.44316303730010986,0.41214868426322937,0.031014353036880493
npos_STAT1,LUAD-9 R2,Lung9,57922,36954,0.24902455508708954,0.21929967403411865,0.029724881052970886
npos_STAT1,LUAD-12,Lung12,7260,11007,0.09876032918691635,0.1075679138302803,-0.008807584643363953
npos_STAT1,LUAD-13,Lung13,19177,6853,0.6110966205596924,0.648183286190033,-0.037086665630340576
mean_STAT1,LUAD-5 R1,Lung5,12611,5226,0.5029601347991821,0.5018686959178569,0.0010914388813252351
mean_STAT1,LUAD-5 R2,Lung5,12377,5537,0.5690205966627488,0.5427267797601982,0.026293816902550615
mean_STAT1,LUAD-5 R3,Lung5,9985,5908,0.4862111097460099,0.4210602426312585,0.06515086711475138
mean_STAT1,LUSC-6,Lung6,16323,49873,0.5896924786413151,0.6542302743936541,-0.06453779575233898
mean_STAT1,LUAD-9 R1,Lung9,27834,11030,0.9821665295522803,0.8246173538953621,0.15754917565691828
mean_STAT1,LUAD-9 R2,Lung9,57922,36954,0.6117228248763209,0.513817318870823,0.09790550600549786
mean_STAT1,LUAD-12,Lung12,7260,11007,0.24115527685591814,0.25817806210470273,-0.01702278524878459
mean_STAT1,LUAD-13,Lung13,19177,6853,1.5532873667407463,1.5087390311626179,0.04454833557812843
sum_MX1,LUAD-5 R1,Lung5,12611,5226,1.0999635375076509,1.133479282391582,-0.033515744883931164
sum_MX1,LUAD-5 R2,Lung5,12377,5537,1.2170404765029796,1.311648874480554,-0.09460839797757425
sum_MX1,LUAD-5 R3,Lung5,9985,5908,0.9130579008456374,0.843219166299657,0.06983873454598044
sum_MX1,LUSC-6,Lung6,16323,49873,0.6303375821025523,0.6483743991793638,-0.018036817076811484
sum_MX1,LUAD-9 R1,Lung9,27834,11030,1.0372812549385297,1.1093148823891021,-0.0720336274505724
sum_MX1,LUAD-9 R2,Lung9,57922,36954,1.2175346566375755,1.2153595558326344,0.002175100804941099
sum_MX1,LUAD-12,Lung12,7260,11007,0.35866500294923015,0.4004546237685492,-0.04178962081931903
sum_MX1,LUAD-13,Lung13,19177,6853,2.363132557522854,2.437313928143827,-0.0741813706209733
npos_MX1,LUAD-5 R1,Lung5,12611,5226,0.3351042866706848,0.3369689881801605,-0.001864701509475708
npos_MX1,LUAD-5 R2,Lung5,12377,5537,0.37117233872413635,0.39461803436279297,-0.023445695638656616
npos_MX1,LUAD-5 R3,Lung5,9985,5908,0.27451175451278687,0.24306026101112366,0.03145149350166321
npos_MX1,LUSC-6,Lung6,16323,49873,0.1736200451850891,0.1774306744337082,-0.0038106292486190796
npos_MX1,LUAD-9 R1,Lung9,27834,11030,0.28378960490226746,0.2815956473350525,0.002193957567214966
npos_MX1,LUAD-9 R2,Lung9,57922,36954,0.2903732657432556,0.2751799523830414,0.015193313360214233
npos_MX1,LUAD-12,Lung12,7260,11007,0.10606060922145844,0.1058417335152626,0.0002188757061958313
npos_MX1,LUAD-13,Lung13,19177,6853,0.6111487746238708,0.6146213412284851,-0.003472566604614258
mean_MX1,LUAD-5 R1,Lung5,12611,5226,0.5728098241158464,0.5251807078320161,0.047629116283830264
mean_MX1,LUAD-5 R2,Lung5,12377,5537,0.6146980104657138,0.5777792794415585,0.03691873102415533
mean_MX1,LUAD-5 R3,Lung5,9985,5908,0.49868472853456597,0.4133964055371969,0.08528832299736905
mean_MX1,LUSC-6,Lung6,16323,49873,0.48004163076457546,0.45246420468368054,0.027577426080894918
mean_MX1,LUAD-9 R1,Lung9,27834,11030,0.6396240818798586,0.5965472411792049,0.04307684070065376
mean_MX1,LUAD-9 R2,Lung9,57922,36954,0.7562413677107822,0.6838895630464783,0.07235180466430391
mean_MX1,LUAD-12,Lung12,7260,11007,0.2615169547855099,0.2542874116964686,0.007229543089041279
mean_MX1,LUAD-13,Lung13,19177,6853,1.5439326481075752,1.4270719106068481,0.11686073750072712
sum_CXCL8,LUAD-5 R1,Lung5,12611,5226,0.7003540755923365,0.7120382265955726,-0.011684151003236054
sum_CXCL8,LUAD-5 R2,Lung5,12377,5537,0.8200337330699895,0.8286987595623904,-0.008665026492400862
sum_CXCL8,LUAD-5 R3,Lung5,9985,5908,0.7118867318360925,0.6426090807840561,0.06927765105203643
sum_CXCL8,LUSC-6,Lung6,16323,49873,0.06449447392864585,0.077673864397205,-0.013179390468559149
sum_CXCL8,LUAD-9 R1,Lung9,27834,11030,0.3843910019851157,0.6011301808864448,-0.21673917890132904
sum_CXCL8,LUAD-9 R2,Lung9,57922,36954,0.30851751760571966,0.40932496168697624,-0.10080744408125658
sum_CXCL8,LUAD-12,Lung12,7260,11007,0.39696864975483875,0.4595332469176298,-0.06256459716279106
sum_CXCL8,LUAD-13,Lung13,19177,6853,0.28609602012653224,0.34987205758861906,-0.06377603746208682
npos_CXCL8,LUAD-5 R1,Lung5,12611,5226,0.1951470971107483,0.19383850693702698,0.0013085901737213135
npos_CXCL8,LUAD-5 R2,Lung5,12377,5537,0.23058900237083435,0.22864367067813873,0.0019453316926956177
npos_CXCL8,LUAD-5 R3,Lung5,9985,5908,0.19439159333705902,0.16638456284999847,0.028007030487060547
npos_CXCL8,LUSC-6,Lung6,16323,49873,0.019175397232174873,0.0220760740339756,-0.002900676801800728
npos_CXCL8,LUAD-9 R1,Lung9,27834,11030,0.11216498166322708,0.14369900524616241,-0.03153402358293533
npos_CXCL8,LUAD-9 R2,Lung9,57922,36954,0.0770864263176918,0.09222276508808136,-0.015136338770389557
npos_CXCL8,LUAD-12,Lung12,7260,11007,0.1114325076341629,0.11801581084728241,-0.006583303213119507
npos_CXCL8,LUAD-13,Lung13,19177,6853,0.08671846240758896,0.0974755585193634,-0.010757096111774445
mean_CXCL8,LUAD-5 R1,Lung5,12611,5226,0.3797371284190807,0.35803305674990965,0.021704071669171043
mean_CXCL8,LUAD-5 R2,Lung5,12377,5537,0.4231704974699302,0.3883326497138193,0.034837847756110873
mean_CXCL8,LUAD-5 R3,Lung5,9985,5908,0.40390776765343644,0.33316037819605293,0.07074738945738351
mean_CXCL8,LUSC-6,Lung6,16323,49873,0.048040724283050784,0.054964503392249724,-0.0069237791091989395
mean_CXCL8,LUAD-9 R1,Lung9,27834,11030,0.23700638194471685,0.32538664402459744,-0.08838026207988059
mean_CXCL8,LUAD-9 R2,Lung9,57922,36954,0.1920976828623357,0.2398697181589779,-0.0477720352966422
mean_CXCL8,LUAD-12,Lung12,7260,11007,0.2863516094520232,0.2975647607958404,-0.011213151343817174
mean_CXCL8,LUAD-13,Lung13,19177,6853,0.1908337611757023,0.2054354649665784,-0.014601703790876108
sum_TNF,LUAD-5 R1,Lung5,12611,5226,0.22449232891756302,0.2712246537219925,-0.04673232480442949
sum_TNF,LUAD-5 R2,Lung5,12377,5537,0.3237357006083283,0.4017273761508203,-0.07799167554249203
sum_TNF,LUAD-5 R3,Lung5,9985,5908,0.18004686193645686,0.14857304584331302,0.03147381609314384
sum_TNF,LUSC-6,Lung6,16323,49873,0.06556374404537121,0.07565466049283734,-0.010090916447466125
sum_TNF,LUAD-9 R1,Lung9,27834,11030,0.451875259966774,0.44030782545561004,0.011567434511163988
sum_TNF,LUAD-9 R2,Lung9,57922,36954,0.34977586581431375,0.34935616850980517,0.00041969730450858167
sum_TNF,LUAD-12,Lung12,7260,11007,0.20011686229253337,0.24317986839272532,-0.04306300610019195
sum_TNF,LUAD-13,Lung13,19177,6853,0.13714650190149696,0.1505370462958024,-0.013390544394305426
npos_TNF,LUAD-5 R1,Lung5,12611,5226,0.07200063765048981,0.0834290087223053,-0.01142837107181549
npos_TNF,LUAD-5 R2,Lung5,12377,5537,0.10293286293745041,0.12389380484819412,-0.020960941910743713
npos_TNF,LUAD-5 R3,Lung5,9985,5908,0.05728592723608017,0.04519295692443848,0.012092970311641693
npos_TNF,LUSC-6,Lung6,16323,49873,0.019481712952256203,0.02179536037147045,-0.0023136474192142487
npos_TNF,LUAD-9 R1,Lung9,27834,11030,0.13332614302635193,0.12184949964284897,0.01147664338350296
npos_TNF,LUAD-9 R2,Lung9,57922,36954,0.08934429287910461,0.08334686607122421,0.005997426807880402
npos_TNF,LUAD-12,Lung12,7260,11007,0.05991735681891441,0.06350503861904144,-0.0035876818001270294
npos_TNF,LUAD-13,Lung13,19177,6853,0.041560202836990356,0.04304683953523636,-0.0014866366982460022
mean_TNF,LUAD-5 R1,Lung5,12611,5226,0.11708029390428426,0.125618068128706,-0.00853777422442173
mean_TNF,LUAD-5 R2,Lung5,12377,5537,0.16381217204661802,0.18379724510429915,-0.01998507305768113
mean_TNF,LUAD-5 R3,Lung5,9985,5908,0.09735154520124173,0.07093679871154455,0.026414746489697175
