gsm	library	tissue	treatment	n_cells	n_genes	nnz	gene	on_reference	nonzero_cells	umi_sum	pct_cells
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	mm10:Cldn4	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	mm10:Cldn18	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	mm10:Ptprc	yes	889	2761	34.2450
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CLDN4	yes	1	1	0.0207
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CLDN18	yes	0	0	0.0000
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CLDN3	yes	1	1	0.0207
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CLDN7	yes	1	1	0.0207
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	LILRB2	yes	6	8	0.1241
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	LILRB5	yes	0	0	0.0000
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CD8A	yes	392	871	8.1075
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	NKG7	yes	463	3141	9.5760
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	GZMB	yes	121	500	2.5026
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	PRF1	yes	315	561	6.5150
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	IFNG	yes	54	69	1.1169
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	CD274	yes	38	39	0.7859
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	IDO1	yes	15	20	0.3102
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	NEAT1	yes	3074	63040	63.5781
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	PTPRC	yes	3061	25957	63.3092
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	KRT8	yes	2	3	0.0414
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	EPCAM	yes	0	0	0.0000
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	mm10:Cldn4	yes	0	0	0.0000
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	mm10:Cldn18	yes	0	0	0.0000
GSM9457801	PB_CTR	peripheral blood	isotype	4835	68886	7673498	mm10:Ptprc	yes	1876	10313	38.8004
