panel	feature	library	label	gsm	arm	genotype	log2_fpkm_plus1
d	Tjp1	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	5.4908909789
d	Cldn2	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	0.1110313124
d	Cldn5	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	0.0000000000
d	Cldn18	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	0.0285691522
a	Tacstd2	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	5.7398481027
b	Cldn4	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	9.1684464835
c	Epithelial_TJ_core	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	5.2071508799
d	Tacstd2	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	5.7398481027
d	Cldn6	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	7.9094731114
d	Cldn4	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	9.1684464835
d	Cldn7	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	6.9179090739
d	Cldn3	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	8.3155118891
d	Cldn1	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	5.7219194456
d	Ocln	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	4.8967562185
d	Tjp1	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	6.2684718229
d	Cldn2	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	0.1243281350
d	Cldn5	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	0.0000000000
d	Cldn18	KLC-RNA	KLC	GSM4073823	KL	KrasG12D;Lkb1	0.0143552930
a	Tacstd2	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	6.5846619079
b	Cldn4	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	9.6185139808
c	Epithelial_TJ_core	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	5.1278382498
d	Tacstd2	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	6.5846619079
d	Cldn6	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	8.6873056905
d	Cldn4	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	9.6185139808
d	Cldn7	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	7.0340836266
d	Cldn3	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	8.7756431998
d	Cldn1	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	3.6123524988
d	Ocln	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	5.5068430990
d	Tjp1	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	6.2935176304
d	Cldn2	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	0.4329594073
d	Cldn5	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	0.0000000000
d	Cldn18	KLD-RNA	KLD	GSM4073824	KL	KrasG12D;Lkb1	0.0285691522
a	Tacstd2	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	6.0609120496
b	Cldn4	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	9.0899271075
c	Epithelial_TJ_core	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	5.2342264779
d	Tacstd2	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	6.0609120496
d	Cldn6	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	8.2297801667
d	Cldn4	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	9.0899271075
d	Cldn7	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	6.8052924556
d	Cldn3	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	8.4306616228
d	Cldn1	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	5.0887352462
d	Ocln	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	5.0785244454
d	Tjp1	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	6.6232230759
d	Cldn2	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	0.8073549221
d	Cldn5	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	0.0000000000
d	Cldn18	KLE-RNA	KLE	GSM4073825	KL	KrasG12D;Lkb1	0.0285691522
