gene	mean_fpkm	max_fpkm	n_libs_fpkm_ge1	mean_fpkm_kl	mean_fpkm_kp	delta_log2	welch_t	U	mw_p	cliffs_delta	n_tie_pairs	complete_separation	hits_floor	label
Cldn20	0.17900000000000002	0.33	0	0.11200000000000002	0.246	-0.16428687720076873	-3.9884515709806743	1.0	0.015873015873015872	-0.92	0	False	False	False
Cldn9	0.06999999999999999	0.22	0	0.004	0.136	-0.17623460914058675	-4.632846814909733	0.0	0.007936507936507936	-1.0	0	True	True	False
Cldn22	0.121	0.58	0	0.0	0.242	-0.28064481725812707	-1.863148540294004	5.0	0.15079365079365079	-0.6	10	False	False	False
Cldn8	0.302	0.77	0	0.144	0.4600000000000001	-0.32993751759383727	-1.8987111949457063	5.5	0.2222222222222222	-0.56	1	False	False	False
Cldnd1	13.547999999999998	21.1	10	11.402	15.693999999999999	-0.4346614446935293	-2.5601886883703378	2.0	0.031746031746031744	-0.84	0	False	False	False
Cldn10	0.446	1.56	2	0.0	0.892	-0.8428854484255552	-3.4381378448508717	2.5	0.05555555555555555	-0.8	5	False	False	False
Jam3	0.6	1.5	4	0.094	1.1059999999999999	-0.8766475957271112	-3.5396591780055418	5.0	0.15079365079365079	-0.6	0	False	False	False
Cldn15	0.6980000000000001	2.64	3	0.092	1.304	-0.9852372674080763	-3.7149339940681227	0.0	0.007936507936507936	-1.0	0	True	True	False
Esam	14.856	42.78	4	0.046	29.665999999999997	-4.205556486330967	-4.332068464843346	0.0	0.007936507936507936	-1.0	0	True	True	True
Cldn5	27.076999999999998	92.1	4	0.002	54.152	-4.864602436367031	-4.093147631852155	0.0	0.007936507936507936	-1.0	0	True	True	True
Cldn18	18.961000000000002	46.92	5	0.022	37.9	-5.197598491552208	-24.856326069805945	0.0	0.007936507936507936	-1.0	0	True	True	True
Cldn2	64.213	152.33	5	0.288	128.138	-6.617443862875555	-26.45811103552063	0.0	0.007936507936507936	-1.0	0	True	True	True
