analysis_set,stratum,cohort,gene,n_benefit,n_nobenefit,median_benefit,median_nobenefit,mean_benefit,mean_nobenefit,hedges_g,hedges_g_se,mw_u,mw_p,auc,rank_biserial,permutation_p
sensitivity_LUSC_plus_inferred,LUSC,YUHS,TACSTD2,2,5,6.7809,6.352,6.7809,6.500839999999999,0.22910508173039384,0.839790994145251,6.0,0.8571428571428571,0.6,0.19999999999999996,0.8133186681331867
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,CLDN4,5,6,3.9574,4.1382,3.53782,4.125299999999999,-0.6752494599619746,0.6260973403721278,9.0,0.32900432900432897,0.3,-0.4,0.2598740125987401
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,CLDN4,4,8,5.9603,6.36295,5.410024999999999,5.5963625,-0.07772058715371519,0.6126189880205933,12.0,0.5696969696969697,0.375,-0.25,0.9151084891510849
sensitivity_LUSC_plus_inferred,LUSC,PLA,CLDN4,2,7,6.98695,4.8567,6.98695,5.394128571428572,1.263604335855896,0.8700039374949411,12.0,0.2222222222222222,0.8571428571428571,0.7142857142857142,0.10838916108389161
sensitivity_LUSC_plus_inferred,LUSC,YUHS,CLDN4,2,5,3.3697,4.0887,3.3697,3.4077000000000006,-0.022694892883496354,0.836690806580483,4.0,0.8571428571428571,0.4,-0.19999999999999996,0.950904909509049
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,ACTB,5,6,10.2426,10.19,10.21448,10.205066666666665,0.010934564322766085,0.6055355556446124,14.0,0.9307359307359306,0.4666666666666667,-0.06666666666666665,0.9821017898210179
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,ACTB,4,8,11.186250000000001,11.068249999999999,11.077675,11.135,-0.12256096283165036,0.6129853664489153,15.0,0.9333333333333333,0.46875,-0.0625,0.8421157884211579
sensitivity_LUSC_plus_inferred,LUSC,PLA,ACTB,2,7,11.38425,11.3302,11.38425,11.287757142857142,0.18330337818408235,0.803279000119141,8.0,0.8888888888888888,0.5714285714285714,0.1428571428571428,0.7835216478352165
sensitivity_LUSC_plus_inferred,LUSC,YUHS,ACTB,2,5,13.47165,13.4005,13.47165,13.115199999999998,0.5059369491188429,0.8518199455567874,8.0,0.38095238095238093,0.8,0.6000000000000001,0.5281471852814719
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,GAPDH,5,6,8.7812,8.7755,8.71716,8.969483333333335,-0.19117613548173337,0.6072043548911378,13.0,0.7922077922077921,0.43333333333333335,-0.1333333333333333,0.7370262973702629
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,GAPDH,4,8,10.654,11.7265,11.031375,11.500675000000001,-0.3750800490337863,0.6180891943394249,12.0,0.5696969696969697,0.375,-0.25,0.5127487251274873
sensitivity_LUSC_plus_inferred,LUSC,PLA,GAPDH,2,7,9.92185,9.9288,9.92185,9.695314285714288,0.19067301188854768,0.8034015273227174,6.0,0.8888888888888888,0.42857142857142855,-0.1428571428571429,0.7977202279772023
sensitivity_LUSC_plus_inferred,LUSC,YUHS,GAPDH,2,5,10.240400000000001,10.7411,10.240400000000001,10.797540000000001,-0.7116853432211165,0.8664003709461209,3.0,0.5714285714285714,0.3,-0.4,0.3772622737726227
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,PPIA,5,6,8.8008,8.33895,8.39498,8.346033333333335,0.059890304528404756,0.6056945897331658,16.0,0.9307359307359306,0.5333333333333333,0.06666666666666665,0.9072092790720928
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,PPIA,4,8,10.23095,10.7046,10.39265,10.7451375,-0.47158931925712316,0.6213854072167047,10.0,0.3676767676767677,0.3125,-0.375,0.40975902409759024
sensitivity_LUSC_plus_inferred,LUSC,PLA,PPIA,2,7,8.4339,8.0716,8.4339,7.760542857142857,0.8792141614490613,0.8355074395536343,12.0,0.2222222222222222,0.8571428571428571,0.7142857142857142,0.2806719328067193
sensitivity_LUSC_plus_inferred,LUSC,YUHS,PPIA,2,5,8.3231,8.8888,8.3231,8.90726,-0.9484327754927572,0.8887927052822212,2.0,0.38095238095238093,0.2,-0.6,0.23317668233176683
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,TACSTD2,4,10,6.24525,5.9392,6.063175,5.799799999999999,0.2497711094812588,0.5938008086026372,22.0,0.8391608391608392,0.55,0.10000000000000009,0.6822317768223177
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,TACSTD2,3,5,4.9992,6.7847,5.143566666666666,6.29424,-0.6546686037657248,0.7543535301146143,3.0,0.25,0.2,-0.6,0.3357664233576642
contrast_pathology_nonLUSC,non-LUSC,PLA,TACSTD2,3,13,7.09,7.3859,7.9619,7.245038461538461,0.6815096897418741,0.6533330736744016,20.0,1.0,0.5128205128205128,0.02564102564102555,0.25717428257174285
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,CLDN4,4,10,4.9782,4.0494,5.21555,4.213469999999999,1.4964717912818997,0.6658149086552526,34.0,0.05394605394605395,0.85,0.7,0.016198380161983803
contrast_pathology_nonLUSC,non-LUSC,FRANCE4,CLDN4,15,33,6.0388,4.821,5.042773333333333,4.735778787878789,0.15348820093416088,0.3118104696947875,304.0,0.21286223316689867,0.6141414141414141,0.2282828282828282,0.6262373762623737
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,CLDN4,3,5,5.1467,6.4929,5.2473,5.7351,-0.2256499127393904,0.7331960789992955,3.0,0.25,0.2,-0.6,0.7613238676132387
contrast_pathology_nonLUSC,non-LUSC,PLA,CLDN4,3,13,6.7982,6.6543,7.324599999999999,6.5491,0.7497645887382486,0.6559977794416174,24.0,0.6107142857142858,0.6153846153846154,0.23076923076923084,0.23297670232976703
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,ACTB,4,10,11.1671,10.420950000000001,10.96365,10.32133,0.9539874846632679,0.622832646091433,30.0,0.18781218781218784,0.75,0.5,0.10748925107489252
contrast_pathology_nonLUSC,non-LUSC,FRANCE4,ACTB,15,33,10.282,10.6547,9.910439999999998,10.264236363636364,-0.2915210827870424,0.31287927701955054,208.0,0.38568440425197714,0.4202020202020202,-0.15959595959595962,0.36266373362663734
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,ACTB,3,5,11.0744,10.9421,11.153466666666668,11.003359999999999,0.23577423301546774,0.7334615127913456,9.0,0.7857142857142857,0.6,0.19999999999999996,0.7541245875412459
contrast_pathology_nonLUSC,non-LUSC,PLA,ACTB,3,13,12.2234,11.5889,12.035766666666667,11.508046153846152,1.0550429656055382,0.6708282499602695,30.0,0.18928571428571428,0.7692307692307693,0.5384615384615385,0.11588841115888411
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,GAPDH,4,10,9.15335,8.0595,9.080224999999999,8.295080000000002,0.5208135097835535,0.601083976106676,27.0,0.3736263736263737,0.675,0.3500000000000001,0.3745625437456254
contrast_pathology_nonLUSC,non-LUSC,FRANCE4,GAPDH,15,33,8.8869,8.9585,8.221859999999998,8.552963636363636,-0.16794446966255291,0.3118914503564668,271.0,0.6089414713751444,0.5474747474747474,0.0949494949494949,0.601039896010399
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,GAPDH,3,5,11.0586,11.1553,10.632,11.16464,-0.5189808522118374,0.7455054842723898,5.0,0.5714285714285714,0.3333333333333333,-0.33333333333333337,0.44195580441955806
contrast_pathology_nonLUSC,non-LUSC,PLA,GAPDH,3,13,9.8812,9.1951,9.852333333333334,9.097853846153846,1.2892606379595406,0.6852885857112454,35.0,0.039285714285714285,0.8974358974358975,0.7948717948717949,0.0446955304469553
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,PPIA,4,10,8.72545,8.48535,8.691400000000002,8.33815,0.5205883753981488,0.6010758499210562,25.0,0.5394605394605395,0.625,0.25,0.38016198380161986
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,PPIA,3,5,10.5518,11.0765,10.3799,10.9805,-0.9340386519515809,0.7784829372642841,2.0,0.14285714285714285,0.13333333333333333,-0.7333333333333334,0.15758424157584242
contrast_pathology_nonLUSC,non-LUSC,PLA,PPIA,3,13,8.0336,7.6217,8.158666666666667,7.67496153846154,1.2144467317552332,0.680390128409809,33.0,0.08214285714285714,0.8461538461538461,0.6923076923076923,0.06629337066293371
