family	tag	method	contrast	adjustment	n	rho	p	k	lo	hi	q
control	keratin_held_out	bayes	KRT8_vs_malignant_fraction	none	516	0.12084987594948536	0.005984959861700573	0	0.03489312533212811	0.20503176545459148	
biological	keratin_held_out	bayes	CLDN4_vs_CD8_fraction	none	516	-0.025472433534384983	0.5637281182392128	0	-0.11154791256744313	0.06098240508878986	0.8953328936740439
biological	keratin_held_out	bayes	CLDN4_vs_CD8_fraction	malignant_fraction	516	0.004783860887607749	0.9137577999908091	1	-0.08165447802986787	0.091150771182943	0.990140640677527
biological	keratin_held_out	bayes	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	-0.05005937006707311	0.2577337868905436	3	-0.13604278533552702	0.03667255716488952	0.711306573365078
biological	author_malignant	nusvr	CLDN4_vs_CD8_fraction	none	516	-0.030042219866576805	0.49591784511188397	0	-0.1160619906765071	0.0564248553834247	0.8926521212013913
biological	author_malignant	nusvr	CLDN4_vs_CD8_fraction	malignant_fraction	516	-0.04936726837946397	0.26344687902410296	1	-0.1351951727094888	0.03719598049037462	0.711306573365078
biological	author_malignant	nusvr	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	0.0029842284296211353	0.946242124900317	3	-0.08361036869313432	0.08953409305802985	0.990140640677527
biological	author_malignant	nusvr	CLDN4_vs_CD8_plus_NK	none	516	-0.02598401213629446	0.5559207881909355	0	-0.11205343137222129	0.060472375484963904	0.8953328936740439
control	author_malignant	nusvr	CD8A_vs_CD8_fraction	none	516	-0.042273616496059	0.3378754128527238	0	-0.128126820693443	0.04420845468371151	
control	author_malignant	nusvr	ACTB_vs_CD8_fraction	none	516	-0.01316614557222992	0.7654246366668367	0	-0.09937395645764775	0.07323784061724478	
control	author_malignant	nusvr	KRT8_vs_malignant_fraction	none	516	0.25209451117521814	6.373894170106341e-09	0	0.16946140820943664	0.3312078518179006	
control	author_malignant	nusvr_vs_bayes	CD8_fraction_concordance	none	516	0.08548908429069918	0.05228456776657251	0	-0.0008378491383043917	0.1705512549252131	
control	author_malignant	nnls	CD8A_vs_CD8_fraction	none	516	0.1227206568584584	0.005246837416134714	0	0.03678963136636182	0.2068501733437731	
control	author_malignant	nnls	ACTB_vs_CD8_fraction	none	516	0.09305989225170733	0.034568628406670826	0	0.006793715631196688	0.17795116115613122	
control	author_malignant	nnls	KRT8_vs_malignant_fraction	none	516	0.6527596714549617	5.652142203082374e-64	0	0.6002616890925052	0.6996570526145383	
biological	author_malignant	nnls	CLDN4_vs_CD8_fraction	none	516	0.06977963869085121	0.11338162595509035	0	-0.016641349864646972	0.15516575901780444	0.43732912868391993
control	author_malignant	bayes	CD8A_vs_CD8_fraction	none	516	0.7559083288314707	1.274185291534562e-96	0	0.7163284190095489	0.7906394041946428	
control	author_malignant	bayes	ACTB_vs_CD8_fraction	none	516	0.06795618643257272	0.1231448718938465	0	-0.018472926828659936	0.1533772217358441	
control	author_malignant	bayes	KRT8_vs_malignant_fraction	none	516	0.5644769636381978	9.366073981964728e-45	0	0.5026482915350364	0.6205602488469084	
biological	author_malignant	bayes	CLDN4_vs_CD8_fraction	none	516	-0.08689719987789288	0.04851026256372995	0	-0.17192831073751522	-0.0005808059854558025	0.33233243564031234
biological	author_malignant	bayes	CLDN4_vs_CD8_fraction	malignant_fraction	516	-0.03531446696909199	0.42387599618263666	1	-0.12134877880523168	0.05124649032479982	0.8642321373927853
biological	author_malignant	bayes	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	-0.04149159203250238	0.34830843373832227	3	-0.1276062200101892	0.04524392254771672	0.7836939759112251
