cohort	x	y	n	rho	p	q_global
patient Tumor V2 beads LUAD	tac_cpm_gate	cd8_broad_of_T	22	0.06606437041219651	0.7702096134744482	0.9406336425834375
patient Tumor V2 beads LUAD	tac_cpm_epi	cd8_broad_of_T	22	0.1993224167137211	0.37383975032592714	0.8458068440440807
patient Tumor V2 beads LUAD	tac_cpm_all	cd8a_cpm_immune	22	0.11914172783738003	0.5974355927153715	0.9020961915179546
patient Tumor V2 beads LUAD	tac_cpm_gate	cd8a_cpm_immune	22	0.14285714285714288	0.5259420073570243	0.9020961915179546
patient Tumor V2 beads LUAD	tac_cpm_epi	cd8a_cpm_immune	22	0.03557312252964427	0.875116871458223	0.9406336425834375
patient Tumor V2 beads LUAD	tac_cpm_all	bulk_lcam_diff	22	0.12704686617730096	0.5731558222741562	0.9020961915179546
patient Tumor V2 beads LUAD	tac_cpm_gate	bulk_lcam_diff	22	0.233201581027668	0.2962759077686691	0.8094216542857646
patient Tumor V2 beads LUAD	frac_gate	cd8_trm_of_T	22	0.14963297571993225	0.5062867949707297	0.9020961915179546
patient Tumor V2 beads LUAD	epcam_cpm_all	lcam_diff	22	0.36984754376058726	0.09023504043384367	0.588062991067213
patient Tumor V2 beads LUAD	epcam_cpm_all	cd8_trm_of_T	22	-0.18351214003387917	0.4136532337074153	0.863040034702368
patient Tumor V2 beads LUSC	tac_cpm_all	lcam_diff	4			
patient Tumor V2 beads LUSC	tac_cpm_gate	lcam_diff	4			
patient Tumor V2 beads LUSC	tac_cpm_epi	lcam_diff	4			
patient Tumor V2 beads LUSC	tac_cpm_immune	lcam_diff	4			
patient Tumor V2 beads LUSC	frac_gate	lcam_diff	4			
patient Tumor V2 beads LUSC	tac_cpm_all	cd8_trm_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_gate	cd8_trm_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_epi	cd8_trm_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_all	cd8_broad_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_gate	cd8_broad_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_epi	cd8_broad_of_T	4			
patient Tumor V2 beads LUSC	tac_cpm_all	cd8a_cpm_immune	4			
patient Tumor V2 beads LUSC	tac_cpm_gate	cd8a_cpm_immune	4			
patient Tumor V2 beads LUSC	tac_cpm_epi	cd8a_cpm_immune	4			
patient Tumor V2 beads LUSC	tac_cpm_all	bulk_lcam_diff	4			
patient Tumor V2 beads LUSC	tac_cpm_gate	bulk_lcam_diff	4			
patient Tumor V2 beads LUSC	frac_gate	cd8_trm_of_T	4			
patient Tumor V2 beads LUSC	epcam_cpm_all	lcam_diff	4			
patient Tumor V2 beads LUSC	epcam_cpm_all	cd8_trm_of_T	4			
patient Tumor digest (n=2, underpowered)	tac_cpm_all	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_gate	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_epi	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_immune	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	frac_gate	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_all	cd8_trm_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_gate	cd8_trm_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_epi	cd8_trm_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_all	cd8_broad_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_gate	cd8_broad_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_epi	cd8_broad_of_T	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_all	cd8a_cpm_immune	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_gate	cd8a_cpm_immune	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_epi	cd8a_cpm_immune	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_all	bulk_lcam_diff	2			
patient Tumor digest (n=2, underpowered)	tac_cpm_gate	bulk_lcam_diff	2			
patient Tumor digest (n=2, underpowered)	frac_gate	cd8_trm_of_T	2			
patient Tumor digest (n=2, underpowered)	epcam_cpm_all	lcam_diff	2			
patient Tumor digest (n=2, underpowered)	epcam_cpm_all	cd8_trm_of_T	2			
patient Normal (all preps)	tac_cpm_all	lcam_diff	29	-0.37093596059113293	0.04759114247470999	0.529891240332326
patient Normal (all preps)	tac_cpm_gate	lcam_diff	29	-0.3329225712138564	0.07761158413542217	0.588062991067213
patient Normal (all preps)	tac_cpm_epi	lcam_diff	27	-0.338424009387384	0.08422860529947926	0.588062991067213
patient Normal (all preps)	tac_cpm_immune	lcam_diff	29	0.08423645320197042	0.6639639059569392	0.9217068585216323
patient Normal (all preps)	frac_gate	lcam_diff	29	-0.26256157635467975	0.16881387476708334	0.7219486984719946
patient Normal (all preps)	tac_cpm_all	cd8_trm_of_T	29	-0.10738916256157634	0.5792519109953266	0.9020961915179546
patient Normal (all preps)	tac_cpm_gate	cd8_trm_of_T	29	0.31319382625303527	0.09805999792027445	0.588062991067213
patient Normal (all preps)	tac_cpm_epi	cd8_trm_of_T	27	0.4141723436184951	0.031731035247748056	0.44725301029394743
patient Normal (all preps)	tac_cpm_all	cd8_broad_of_T	29	0.10738916256157634	0.5792519109953266	0.9020961915179546
patient Normal (all preps)	tac_cpm_gate	cd8_broad_of_T	29	0.2786685225715983	0.14323666284909703	0.6258819398406196
patient Normal (all preps)	tac_cpm_epi	cd8_broad_of_T	27	0.31643255751383553	0.1078217649625731	0.588062991067213
patient Normal (all preps)	tac_cpm_all	cd8a_cpm_immune	29	0.21871921182266005	0.2543290454922613	0.762987136476784
patient Normal (all preps)	tac_cpm_gate	cd8a_cpm_immune	29	0.09617763168400296	0.619680555981441	0.9020961915179546
patient Normal (all preps)	tac_cpm_epi	cd8a_cpm_immune	27	0.21747102408286764	0.2758679445175151	0.802719858625183
patient Normal (all preps)	tac_cpm_all	bulk_lcam_diff	29	0.09655172413793102	0.6183130367657458	0.9020961915179546
patient Normal (all preps)	tac_cpm_gate	bulk_lcam_diff	29	-0.1568435224385279	0.41649195704542136	0.863040034702368
patient Normal (all preps)	frac_gate	cd8_trm_of_T	29	-0.0502463054187192	0.7957542957250501	0.9406336425834375
patient Normal (all preps)	epcam_cpm_all	lcam_diff	29	-0.23598965568828334	0.21778470893369423	0.7280887780718085
patient Normal (all preps)	epcam_cpm_all	cd8_trm_of_T	29	-0.042123414533086066	0.8282399655200596	0.9406336425834375
patient Normal V2 beads	tac_cpm_all	lcam_diff	23	-0.37154150197628455	0.08088157371504434	0.588062991067213
patient Normal V2 beads	tac_cpm_gate	lcam_diff	23	-0.33852237257817314	0.11410177438617568	0.588062991067213
patient Normal V2 beads	tac_cpm_epi	lcam_diff	23	-0.40652838877612746	0.054230002285948785	0.5450115229737853
patient Normal V2 beads	tac_cpm_immune	lcam_diff	23	-0.05039525691699605	0.8193712029624162	0.9406336425834375
patient Normal V2 beads	frac_gate	lcam_diff	23	-0.2658102766798419	0.22023883150460433	0.7280887780718085
patient Normal V2 beads	tac_cpm_all	cd8_trm_of_T	23	-0.0899209486166008	0.6832553329339464	0.9217068585216323
patient Normal V2 beads	tac_cpm_gate	cd8_trm_of_T	23	0.3157894833247484	0.14213596597095127	0.6258819398406196
patient Normal V2 beads	tac_cpm_epi	cd8_trm_of_T	23	0.3353117367277547	0.11779464671938182	0.5919180997648936
patient Normal V2 beads	tac_cpm_all	cd8_broad_of_T	23	0.08498023715415019	0.6998508154199036	0.9274633572987216
patient Normal V2 beads	tac_cpm_gate	cd8_broad_of_T	23	0.3622436483208773	0.08938967549649901	0.588062991067213
patient Normal V2 beads	tac_cpm_epi	cd8_broad_of_T	23	0.3234422947196926	0.13220161301790986	0.6237975588898993
patient Normal V2 beads	tac_cpm_all	cd8a_cpm_immune	23	0.3389328063241107	0.11363585102172945	0.588062991067213
patient Normal V2 beads	tac_cpm_gate	cd8a_cpm_immune	23	0.21942180062001296	0.31443747688222684	0.8094216542857646
patient Normal V2 beads	tac_cpm_epi	cd8a_cpm_immune	23	0.2195846771491491	0.314069344864725	0.8094216542857646
