contrast	accession	is_adc_treatment	set	n_in_set	n_present	n_tested	median_log2FC_set	median_log2FC_bg	n_up	n_down	binom_p	delta_median	mw_U	mw_p	direction	n_treat	n_ctrl	mean_treat	mean_ctrl	delta	t	p	n_pairs	wilcoxon_p
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	IFN	55.0	55.0	55.0	0.0820367336887102	-0.03744702403979294	35.0	19.0	0.05806414679240905	0.11948375772850314	425037.0	0.011483714818352322	up									
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	JUNCTION	27.0	27.0	27.0	-0.15618717340796504	-0.036689738783455536	9.0	17.0	0.12207812070846558	-0.1194974346245095	148667.0	0.1814614619278273	null									
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	C4_IFN_MHCI_zscore															0.11276994317476133	-0.11276994317476148	0.22553988634952277	0.4080410988895489	0.704140324490532	5.0	0.8125
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	APM_zscore															-0.10165221667872278	0.1016522166787227	-0.20330443335744555	-1.1178155654637434	0.3262472514633179	5.0	0.4375
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	IFN_zscore															0.05352767139935194	-0.053527671399352016	0.10705534279870395	0.2732518097101766	0.7981878173974326	5.0	0.8125
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	JUNCTION_zscore															-0.12219825350332188	0.12219825350332245	-0.24439650700664434	-1.8511436593837467	0.13780674622135283	5.0	0.3125
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	C4_IFN_MHCI	6.0	6.0	6.0	0.27155902224688744	-0.024679011841856502	5.0	1.0	0.21875	0.29623803408874394	52175.0	0.11057185627991037	null									
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	APM	19.0	19.0	19.0	0.4991144014548472	-0.0252790972935929	17.0	2.0	0.000728607177734375	0.5243934987484401	193577.0	3.3803191161457366e-06	up									
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	IFN	55.0	55.0	55.0	0.011992412767306348	-0.02479366537298411	33.0	20.0	0.1770013647703581	0.03678607814029046	411361.0	0.015951860731867395	up									
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	JUNCTION	27.0	27.0	27.0	0.14692323256548834	-0.02501852357994583	20.0	6.0	0.0191572904586792	0.17194175614543417	231112.0	0.0013007014686321977	up									
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	C4_IFN_MHCI_zscore													2.0	3.0	0.6061737066345197	-0.40411580442301376	1.0102895110575334	4.970237546601604	0.01585364451431737		
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	APM_zscore													2.0	3.0	0.791375082586975	-0.5275833883913156	1.3189584709782904	15.922160783207236	0.0005458215252314107		
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	IFN_zscore													2.0	3.0	0.20353346667934125	-0.13568897778622765	0.33922244446556893	3.420737363243882	0.04478753641630111		
GSE304294_KYSE30_IMMU132_vs_ctrl	GSE304294	True	JUNCTION_zscore													2.0	3.0	0.44028288210360367	-0.2935219214024018	0.7338048035060054	5.436588464388514	0.026980787189714917		
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	C4_IFN_MHCI	6.0	6.0	6.0	0.05580629245393354	-0.008297390747208588	3.0	3.0	1.0	0.06410368320114213	61642.0	0.5646709714318564	null									
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	APM	19.0	14.0	14.0	0.14570746630787745	-0.008607585629212267	10.0	4.0	0.1795654296875	0.15431505193708972	166881.0	0.0369703671798414	up									
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	IFN	55.0	48.0	48.0	0.09026313964939625	-0.008419576214476088	26.0	22.0	0.6654658120766188	0.09868271586387234	514588.0	0.02191868941795176	up									
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	JUNCTION	27.0	23.0	23.0	-0.6273431750786624	-0.008017330951566315	3.0	20.0	0.00048828125	-0.6193258441270961	100099.0	1.7686269985394538e-05	down									
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	C4_IFN_MHCI_zscore													5.0	5.0	0.08325050471867307	-0.08325050471867287	0.16650100943734594	0.3958310493691411	0.7033665786299366		
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	APM_zscore													5.0	5.0	0.16240069175043007	-0.16240069175043045	0.3248013835008605	0.8725344551944519	0.410569076876146		
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	IFN_zscore													5.0	5.0	0.1164490880785131	-0.11644908807851273	0.23289817615702585	0.692013331862018	0.5175407935309828		
GSE334497_4T1_Trop2KO_vs_WT	GSE334497	False	JUNCTION_zscore													5.0	5.0	-0.31875332650588006	0.3187533265058805	-0.6375066530117606	-2.906310461165308	0.022657650146315225		
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	C4_IFN_MHCI	6.0	6.0	6.0	0.9861458894648227	-0.005317936264534806	6.0	0.0	0.03125	0.9914638257293575	88086.0	0.00020953013014375193	up									
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	APM	19.0	19.0	19.0	0.08317658124391336	-0.005352990139683822	13.0	5.0	0.1670684814453125	0.08852957138359718	177297.0	0.1474849722075963	null									
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	IFN	55.0	53.0	53.0	0.6334615511481347	-0.006299927348135226	43.0	9.0	5.550520889130439e-06	0.63976147849627	606232.0	5.266181970001585e-09	up									
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	JUNCTION	27.0	25.0	25.0	0.14028295940948698	-0.005444952857025953	16.0	9.0	0.2295229434967041	0.14572791226651294	209242.0	0.5485508954104662	null									
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	C4_IFN_MHCI_zscore													4.0	3.0	0.433124018000603	-0.5774986906674712	1.0106227086680741	1.8037273240045197	0.1595700937680789		
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	APM_zscore													4.0	3.0	0.11816575978813174	-0.15755434638417734	0.2757201061723091	0.5541532319401349	0.6034633914615491		
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	IFN_zscore													4.0	3.0	0.25422886290208396	-0.33897181720277886	0.5932006801048628	1.4370142519465872	0.23614874354704032		
GSE289287_T47D_Trop2KO_xenograft	GSE289287	False	JUNCTION_zscore													4.0	3.0	0.06389696910761394	-0.0851959588101503	0.14909292791776424	0.7414389246965235	0.4978151155248597		
