term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	fdr_family	size_note	contrast	kind	n_genes_ranked	n_perm	seed
REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	0.435723	1.12581	0.14985	19	0.127097	HLA-C,SEC24C,SEC24A,SEC24D,SEC13,SEC14L2,BECN1,PIK3C3	8	0.262238	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
IFN	-0.533845	-1.52357	0.014985	29	-0.235451	USP18,IFITM1,IFI6,OAS3,IFNAR1,BST2,GBP2,IFI44L,IFITM2,OAS1,IFIT1,SOCS3,IFI44,IFITM3	14	0.0524476	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
APM	0.375243	0.784354	0.3996	9	8.52313e-05	HLA-C	1	0.526474	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
NHEJ_CORE	-0.234619	-0.450687	0.444555	6	0.0180339	XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,PRKDC	6		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	MCF7	named_panel	12635	1000	42
STING_AXIS	0.555494	0.891055	0.325674	3	0.124612	MB21D1,IRF3,TBK1	3		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	MCF7	named_panel	12635	1000	42
REACTOME_NONHOMOLOGOUS_END_JOINING	0.268258	0.799869	0.344655	29	0.0478446	LIG4,ATM,ARTN	3	0.402098	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
REACTOME_STING_MEDIATED_INDUCTION	0.305531	0.66803	0.422577	8	0.0420261	MB21D1,XRCC5,DTX4	3	0.422577	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	-0.619024	-1.86514	0.000999001	38	-0.241749	IRF1,USP18,IRF6,GBP2,IFITM3,SOCS3,IFIT1,OAS3,OAS1,IFI35,ISG15,IFI6,BST2	13	0.00699301	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
REACTOME_INTERFERON_GAMMA_SIGNALING	-0.401144	-1.26419	0.0719281	47	-0.0848754	SMAD7,IRF1,MT2A,NCAM1,IRF6,GBP2,SOCS3,HLA-DRB5,HLA-DRB1,OAS3,OAS1,TRIM6-TRIM34	12	0.145105	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	0.459283	1.24422	0.0829171	19	0.0816909	SEC24A,SEC24D,HLA-C,PIK3C3,BECN1,SEC23A	6	0.145105	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
IFN	-0.662859	-1.89295	0.001998	29	-0.343401	IRF1,IFI44L,USP18,GBP2,IFITM3,SOCS3,IFIT1,OAS3,OAS1,IFI35,ISG15,IFI6,IFI44,BST2	14	0.00699301	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
APM	-0.396697	-0.87434	0.323676	9	-0.0773574	CALR,PSME2,PSME1,ERAP1	4	0.402098	pathway_sets_min8	standard floor	mean_both_lines	pathway	12635	1000	42
NHEJ_CORE	0.570164	1.1514	0.164835	6	0.124923	LIG4,XRCC5,XRCC4	3		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	mean_both_lines	named_panel	12635	1000	42
STING_AXIS	0.583365	0.95468	0.26973	3	0.0690756	MB21D1	1		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	mean_both_lines	named_panel	12635	1000	42
