gene	deposited_symbol	method	contrast	log2FC	stat	pvalue	fdr	fit
STING1	STING1	edgeR_QL	MCF7	0.399217	1.34596	0.267735	0.382835	QLF_common_disp_0.0004436
TBK1	TBK1	edgeR_QL	MCF7	0.0514228	2.57674	0.13348	0.219826	QLF_common_disp_0.0004436
IRF3	IRF3	edgeR_QL	MCF7	0.187486	14.1446	0.00255098	0.00799358	QLF_common_disp_0.0004436
CLDN4	CLDN4	limma_trend	MCF7	-0.761024	-21.2272	1.47732e-10	1.47572e-08	limma_trend
TACSTD2	TACSTD2	limma_trend	MCF7	-1.03838	-27.5916	7.72801e-12	1.78517e-09	limma_trend
PRKDC	PRKDC	limma_trend	MCF7	-0.156214	-5.53899	0.000151474	0.000775413	limma_trend
LIG4	LIG4	limma_trend	MCF7	-0.0216501	-0.19173	0.851309	0.898405	limma_trend
XRCC4	XRCC4	limma_trend	MCF7	0.291695	3.94518	0.00212119	0.00699057	limma_trend
XRCC5	XRCC5	limma_trend	MCF7	0.163393	6.71852	2.69244e-05	0.000187494	limma_trend
XRCC6	XRCC6	limma_trend	MCF7	0.09555	3.52998	0.00443786	0.0130022	limma_trend
NHEJ1	NHEJ1	limma_trend	MCF7	-0.126052	-1.43776	0.177248	0.275515	limma_trend
CGAS	CGAS	limma_trend	MCF7	0.193356	2.51366	0.0280412	0.060786	limma_trend
STING1	STING1	limma_trend	MCF7	0.347804	1.19062	0.257884	0.371197	limma_trend
TBK1	TBK1	limma_trend	MCF7	0.0512476	1.60614	0.135431	0.221828	limma_trend
IRF3	IRF3	limma_trend	MCF7	0.187231	3.80825	0.00270099	0.00854698	limma_trend
CLDN4	CLDN4	DESeq2	pooled	-0.887678	-10.9827	4.62918e-28	5.90915e-25	parametric
TACSTD2	TACSTD2	DESeq2	pooled	-0.835345	-9.00706	2.1165e-19	1.08068e-16	parametric
PRKDC	PRKDC	DESeq2	pooled	0.0571268	0.60983	0.541974	0.78565	parametric
LIG4	LIG4	DESeq2	pooled	0.0498484	0.36884	0.712247	0.88356	parametric
XRCC4	XRCC4	DESeq2	pooled	0.109816	0.87149	0.383487	0.667756	parametric
XRCC5	XRCC5	DESeq2	pooled	0.17151	4.41482	1.01096e-05	0.000295531	parametric
XRCC6	XRCC6	DESeq2	pooled	-0.0431607	-0.576974	0.563957	0.799895	parametric
NHEJ1	NHEJ1	DESeq2	pooled	-0.0330515	-0.300375	0.763891	0.911605	parametric
CGAS	CGAS	DESeq2	pooled	0.285617	3.13789	0.00170167	0.0184474	parametric
STING1	STING1	DESeq2	pooled	0.422255	1.00999	0.312501	0.602732	parametric
TBK1	TBK1	DESeq2	pooled	0.0459621	0.787673	0.430888	0.706523	parametric
IRF3	IRF3	DESeq2	pooled	0.0658917	0.758884	0.447922	0.719949	parametric
CLDN4	CLDN4	edgeR_QL	pooled	-0.899926	-192.795	5.61774e-07	0.00054274	QLF_common_disp_0.01435
TACSTD2	TACSTD2	edgeR_QL	pooled	-0.840771	-109.788	5.03326e-06	0.00113736	QLF_common_disp_0.01435
PRKDC	PRKDC	edgeR_QL	pooled	0.0515459	0.379802	0.554455	0.736919	QLF_common_disp_0.01435
LIG4	LIG4	edgeR_QL	pooled	0.044581	0.19897	0.667116	0.815748	QLF_common_disp_0.01435
XRCC4	XRCC4	edgeR_QL	pooled	0.103621	1.03259	0.33864	0.553606	QLF_common_disp_0.01435
XRCC5	XRCC5	edgeR_QL	pooled	0.165939	20.8511	0.00172888	0.0248433	QLF_common_disp_0.01435
XRCC6	XRCC6	edgeR_QL	pooled	-0.0488896	-0.605492	0.458388	0.658925	QLF_common_disp_0.01435
NHEJ1	NHEJ1	edgeR_QL	pooled	-0.0386314	-0.209953	0.658723	0.809882	QLF_common_disp_0.01435
CGAS	CGAS	edgeR_QL	pooled	0.279263	17.0248	0.00315544	0.0349494	QLF_common_disp_0.01435
STING1	STING1	edgeR_QL	pooled	0.4108	3.45236	0.132652	0.316999	QLF_common_disp_0.01435
TBK1	TBK1	edgeR_QL	pooled	0.040329	0.725274	0.418633	0.625866	QLF_common_disp_0.01435
IRF3	IRF3	edgeR_QL	pooled	0.0583948	0.724502	0.418871	0.625916	QLF_common_disp_0.01435
CLDN4	CLDN4	limma_trend	pooled	-0.901548	-14.1227	4.99361e-07	0.000627321	limma_trend
TACSTD2	TACSTD2	limma_trend	pooled	-0.838873	-10.5848	4.71544e-06	0.00129041	limma_trend
PRKDC	PRKDC	limma_trend	pooled	0.0518251	0.62072	0.551697	0.733686	limma_trend
LIG4	LIG4	limma_trend	pooled	0.0505055	0.517559	0.61848	0.781737	limma_trend
XRCC4	XRCC4	limma_trend	pooled	0.0998023	0.993165	0.34912	0.564474	limma_trend
XRCC5	XRCC5	limma_trend	pooled	0.16618	4.59549	0.00167015	0.0268169	limma_trend
XRCC6	XRCC6	limma_trend	pooled	-0.0487611	-0.77961	0.4576	0.658851	limma_trend
NHEJ1	NHEJ1	limma_trend	pooled	-0.0369801	-0.439693	0.671555	0.817398	limma_trend
CGAS	CGAS	limma_trend	pooled	0.278162	4.14702	0.00307565	0.0366067	limma_trend
STING1	STING1	limma_trend	pooled	0.342495	1.80584	0.107789	0.283014	limma_trend
TBK1	TBK1	limma_trend	pooled	0.0400954	0.856586	0.416081	0.625285	limma_trend
IRF3	IRF3	limma_trend	pooled	0.0560412	0.820147	0.435397	0.640842	limma_trend
