method	contrast	term	thesis	direction	thesis_sign_match	test	effect	mean_log2FC	pvalue	n_set_in_test	lfc_floor	family	note	gsea_lead	de_fit	fdr_within_family	fdr_global
DESeq2	T47D	APM	up	down	False	gsea	-1.28584	-0.117791	0.0949051	20	0	primary	two-sided gene-set permutation	TAP2,PSMB10,TAP1,TAPBP,ERAP1,PSME1,HLA-C,HLA-E,CALR,PSME2	parametric	0.21978	0.44289
DESeq2	T47D	APM	up	down	False	mean_stat_perm	-1.03095	-0.117791	0.103896	20	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.285714	0.457207
DESeq2	T47D	APM	up	down	False	wilcoxon_log2FC	-0.117791	-0.117791	0.0120792	20	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.0442905	0.196167
DESeq2	T47D	APM	up	down	False	wilcoxon_thesis_sided	-0.117791	-0.117791	0.994656	20	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	1
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	gsea	0.661585	-0.0177576	0.345654	47	0	primary	two-sided gene-set permutation	PRKDC,XRCC5,UBE2V2,HERC2,BABAM2,TP53BP1,H2BC4,H2BC12,TDP2,LRIF1,H2BC9	parametric	0.345654	0.65625
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	mean_stat_perm	0.0561628	-0.0177576	0.889111	47	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.889111	1
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	wilcoxon_log2FC	-0.0177576	-0.0177576	0.757096	47	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.925339	0.938568
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	wilcoxon_thesis_sided	-0.0177576	-0.0177576	0.625435	47	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.844011
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	gsea	1.12007	-0.0444143	0.138861	14	0	primary	two-sided gene-set permutation	PRKDC,XRCC5,CGAS,DTX4	parametric	0.254579	0.492381
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	mean_stat_perm	0.263012	-0.0444143	0.644356	14	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.864469	0.859246
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	wilcoxon_log2FC	-0.0444143	-0.0444143	0.6698	14	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.920975	0.875093
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	wilcoxon_thesis_sided	-0.0444143	-0.0444143	0.687134	14	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.886111
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	gsea	-1.20138	-0.275928	0.0999001	54	0	primary	two-sided gene-set permutation	IRF5,IRF9,IRF1,USP18,IFI27,ISG20,IFI35,HLA-C,HLA-E,OAS3,BST2,IFI6,ISG15	parametric	0.21978	0.45066
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	mean_stat_perm	-0.54735	-0.275928	0.153846	54	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.338462	0.518353
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_log2FC	-0.275928	-0.275928	0.0576233	54	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.158464	0.375771
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_thesis_sided	-0.275928	-0.275928	0.971188	54	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	gsea	0.948423	0.0193962	0.201798	69	0	primary	two-sided gene-set permutation	IFI30,SUMO1,IRF6,HLA-F,GBP5,HLA-DQA1,TRIM22,HLA-A,PTPN1,TRIM2,PTPN11,PTPN2,OAS1,MT2A,CAMK2B	parametric	0.274725	0.539014
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	mean_stat_perm	0.0621484	0.0193962	0.864136	69	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.889111	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_log2FC	0.0193962	0.0193962	0.997615	69	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.997615	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_thesis_sided	0.0193962	0.0193962	0.498807	69	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.74359
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	gsea	0.88578	0.0232921	0.24975	26	0	primary	two-sided gene-set permutation	SEC24D,SEC23A,HLA-F,BECN1,CANX,HLA-A,SEC24A	parametric	0.274725	0.573
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	mean_stat_perm	0.202865	0.0232921	0.707293	26	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.864469	0.904558
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_log2FC	0.0232921	0.0232921	0.920455	26	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.997615	1
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_thesis_sided	0.0232921	0.0232921	0.549671	26	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.788573
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	gsea	-1.55445	-0.317921	0.00699301	84	0	primary	two-sided gene-set permutation	TAP1,IFIH1,IRF9,SLC25A28,IRF1,USP18,IFI27,CMTR1,HELZ2,SAMD9,PARP14,LY6E,OGFR,TMEM140,PSME1,IL4R,ISG20,TRIM25,IFI35,HLA-C,PSME2,PARP9,IFI44,NUB1,LGALS3BP	parametric	0.0769231	0.167009
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	mean_stat_perm	-0.978673	-0.317921	0.000999001	84	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.010989	0.0492917
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_log2FC	-0.317921	-0.317921	0.000892038	84	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.00579135	0.0492917
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-0.317921	-0.317921	0.999554	84	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	1
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	gsea	-1.26568	-0.203537	0.0599401	153	0	primary	two-sided gene-set permutation	IL18BP,TAP1,IFIH1,IRF5,IRF9,SLC25A28,IRF1,JAK2,USP18,NOD1,SSPN,VAMP8,IFI27,CMTR1,HELZ2,ARID5B,PARP14,LY6E,CASP4,TAPBP,OGFR,PSME1,CASP7,IL4R,ISG20	parametric	0.21978	0.375771
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	mean_stat_perm	-0.507602	-0.203537	0.030969	153	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.17033	0.291663
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_log2FC	-0.203537	-0.203537	0.00105297	153	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.00579135	0.0492917
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-0.203537	-0.203537	0.999474	153	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	1
DESeq2	T47D	NHEJ_CORE	down	zero	False	gsea				0	0.5	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	mean_stat_perm				0	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	wilcoxon_log2FC				0	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	wilcoxon_thesis_sided				0	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	gsea				0	0.5	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	mean_stat_perm				0	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	wilcoxon_log2FC				0	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	wilcoxon_thesis_sided				0	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	IFN	up	down	False	gsea	-1.08189	-1.2854	0.254745	13	0.5	sensitivity	two-sided gene-set permutation	IFI35,OAS3,IFI44,BST2,IFI6,ISG15	parametric	0.345255	0.573
DESeq2	T47D	IFN	up	down	False	mean_stat_perm	-2.53915	-1.2854	0.111888	13	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.223776	0.457207
DESeq2	T47D	IFN	up	down	False	wilcoxon_log2FC	-1.2854	-1.2854	0.0214844	13	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.0402832	0.231768
DESeq2	T47D	IFN	up	down	False	wilcoxon_thesis_sided	-1.2854	-1.2854	0.991455	13	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	1
DESeq2	T47D	APM	up	up	True	gsea		1.4294		1	0.5	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	APM	up	up	True	mean_stat_perm		1.4294		1	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	APM	up	up	True	wilcoxon_log2FC	1.4294	1.4294		1	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	APM	up	up	True	wilcoxon_thesis_sided	1.4294	1.4294		1	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	gsea		-0.902913		1	0.5	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	mean_stat_perm		-0.902913		1	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	wilcoxon_log2FC	-0.902913	-0.902913		1	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	down	True	wilcoxon_thesis_sided	-0.902913	-0.902913		1	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	gsea	0.849163	-0.197429	0.287712	3	0.5	sensitivity	two-sided gene-set permutation	DTX4,TREX1,TRIM21	parametric	0.345255	0.5975
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	mean_stat_perm	3.02989e-05	-0.197429	1	3	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	1	1
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	wilcoxon_log2FC	-0.197429	-0.197429	0.75	3	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.75	0.932619
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	down	False	wilcoxon_thesis_sided	-0.197429	-0.197429	0.75	3	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	0.932619
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	gsea	-1.0587	-1.17128	0.270729	12	0.5	sensitivity	two-sided gene-set permutation	IRF5,IFI27,ISG20,IFI35,OAS3,BST2,IFI6,ISG15	parametric	0.345255	0.589362
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	mean_stat_perm	-2.80971	-1.17128	0.0969031	12	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.223776	0.44455
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_log2FC	-1.17128	-1.17128	0.0268555	12	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.0402832	0.263881
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_thesis_sided	-1.17128	-1.17128	0.989502	12	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	gsea	0.898022	0.182912	0.207792	11	0.5	sensitivity	two-sided gene-set permutation	IFI30,HLA-F,GBP5	parametric	0.345255	0.546043
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	mean_stat_perm	0.368571	0.182912	0.842158	11	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	1	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_log2FC	0.182912	0.182912	0.365234	11	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.438281	0.65625
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_thesis_sided	0.182912	0.182912	0.182617	11	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	0.520897
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	gsea		0.460007		2	0.5	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	mean_stat_perm		0.460007		2	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_log2FC	0.460007	0.460007		2	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_thesis_sided	0.460007	0.460007		2	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	gsea	-1.21481	-0.936063	0.140859	24	0.5	sensitivity	two-sided gene-set permutation	IFI27,HELZ2,SAMD9,TMEM140,IL4R,ISG20,IFI35,PARP9,IFI44,LGALS3BP,BST2,ISG15,TXNIP	parametric	0.345255	0.495141
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	mean_stat_perm	-2.27527	-0.936063	0.0899101	24	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.223776	0.440762
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_log2FC	-0.936063	-0.936063	0.00109267	24	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.00327802	0.0492917
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-0.936063	-0.936063	0.999519	24	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	1
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	gsea	-0.903152	-0.752257	0.426573	36	0.5	sensitivity	two-sided gene-set permutation	IFI44,SRI,LGALS3BP,BST2,ARL4A,ISG15,NAMPT,TXNIP	parametric	0.426573	0.696
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	mean_stat_perm	-1.78679	-0.752257	0.176823	36	0.5	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.265235	0.520897
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_log2FC	-0.752257	-0.752257	0.000546065	36	0.5	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.00327639	0.0492917
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-0.752257	-0.752257	0.999745	36	0.5	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999745	1
DESeq2	T47D	NHEJ_CORE	down	zero	False	gsea				0	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	mean_stat_perm				0	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	wilcoxon_log2FC				0	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	NHEJ_CORE	down	zero	False	wilcoxon_thesis_sided				0	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	gsea				0	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	mean_stat_perm				0	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	wilcoxon_log2FC				0	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	STING_AXIS	up	zero	False	wilcoxon_thesis_sided				0	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	IFN	up	down	False	gsea	-1.07576	-1.69187	0.250749	9	1	sensitivity	two-sided gene-set permutation	IFI44,BST2,IFI6,ISG15	parametric	0.250749	0.573
DESeq2	T47D	IFN	up	down	False	mean_stat_perm	-3.60332	-1.69187	0.18981	9	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.18981	0.520897
DESeq2	T47D	IFN	up	down	False	wilcoxon_log2FC	-1.69187	-1.69187	0.0195312	9	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.0260417	0.231768
DESeq2	T47D	IFN	up	down	False	wilcoxon_thesis_sided	-1.69187	-1.69187	0.994141	9	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	1	1
DESeq2	T47D	APM	up	up	True	gsea		1.4294		1	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	APM	up	up	True	mean_stat_perm		1.4294		1	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	APM	up	up	True	wilcoxon_log2FC	1.4294	1.4294		1	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	APM	up	up	True	wilcoxon_thesis_sided	1.4294	1.4294		1	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	zero	False	gsea				0	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	zero	False	mean_stat_perm				0	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	zero	False	wilcoxon_log2FC				0	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_NONHOMOLOGOUS_END_JOINING	down	zero	False	wilcoxon_thesis_sided				0	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	zero	False	gsea				0	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	zero	False	mean_stat_perm				0	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	zero	False	wilcoxon_log2FC				0	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_STING_MEDIATED_INDUCTION	up	zero	False	wilcoxon_thesis_sided				0	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	gsea	-1.17868	-1.86687	0.173826	6	1	sensitivity	two-sided gene-set permutation	BST2,IFI6,ISG15	parametric	0.250749	0.520897
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	mean_stat_perm	-4.6528	-1.86687	0.136863	6	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.182484	0.489572
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_log2FC	-1.86687	-1.86687	0.09375	6	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.09375	0.440762
DESeq2	T47D	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	down	False	wilcoxon_thesis_sided	-1.86687	-1.86687	0.96875	6	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	1	1
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	gsea		1.22179		2	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	mean_stat_perm		1.22179		2	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_log2FC	1.22179	1.22179		2	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_INTERFERON_GAMMA_SIGNALING	up	up	True	wilcoxon_thesis_sided	1.22179	1.22179		2	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	gsea		1.4294		1	1	sensitivity	two-sided gene-set permutation		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	mean_stat_perm		1.4294		1	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_log2FC	1.4294	1.4294		1	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric		
DESeq2	T47D	REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	up	up	True	wilcoxon_thesis_sided	1.4294	1.4294		1	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric		
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	gsea	-1.17509	-2.41668	0.181818	8	1	sensitivity	two-sided gene-set permutation	IFI27,SAMD9,IFI35,IFI44,LGALS3BP,BST2,ISG15	parametric	0.250749	0.520897
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	mean_stat_perm	-4.7181	-2.41668	0.117882	8	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.182484	0.457207
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_log2FC	-2.41668	-2.41668	0.0078125	8	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.015625	0.170777
DESeq2	T47D	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-2.41668	-2.41668	1	8	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	1	1
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	gsea	-1.13988	-2.16812	0.220779	10	1	sensitivity	two-sided gene-set permutation	SSPN,IFI27,BANK1,IFI35,IFI44,LGALS3BP,BST2,ISG15	parametric	0.250749	0.558482
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	mean_stat_perm	-4.23681	-2.16812	0.114885	10	1	sensitivity	two-sided gene-label permutation of mean statistic		parametric	0.182484	0.457207
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_log2FC	-2.16812	-2.16812	0.00195312	10	1	sensitivity	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.0078125	0.0654199
DESeq2	T47D	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	down	False	wilcoxon_thesis_sided	-2.16812	-2.16812	1	10	1	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	1	1
edgeR_QL	T47D	NHEJ_CORE	down	up	False	gsea	0.865775	0.0438479	0.300699	6	0	primary	two-sided gene-set permutation	PRKDC,XRCC5	QLF_common_disp_0.001336	0.372405	0.606616
