set	symbol	deposited_symbol	alias_used	mapped	T47D_WT	T47D_KO	log2FC_T47D	dir_T47D	MCF7_WT	MCF7_KO	log2FC_MCF7	dir_MCF7	log2FC_mean	consensus	note
IFN	BST2	BST2	False	True	8.22435	0.223806	-3.59137	DOWN	0.628339	0.180084	-0.730416	LOW	-2.16089	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFITM1	IFITM1	False	True	9.44832	10.783	0.181626	FLAT	1.21007	0.772711	-0.426151	DOWN	-0.122262	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFITM2	IFITM2	False	True	51.4519	81.1973	0.653112	UP	35.7235	16.7911	-1.0669	DOWN	-0.206892	DISCORDANT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFITM3	IFITM3	False	True	75.095	83.025	0.143917	FLAT	47.0849	20.6026	-1.17308	DOWN	-0.514583	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	DDX58	DDX58	False	True	10.1026	8.3337	-0.263328	DOWN	4.22753	5.49201	0.341953	UP	0.0393125	DISCORDANT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFIH1	IFIH1	False	True	3.83419	2.78052	-0.401838	DOWN	0.20697	1.03956	1.1228	UP	0.36048	DISCORDANT	descriptive; group-mean FPKM, no gene-level FDR
IFN	DDX60		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	HERC5	HERC5	False	True	3.77091	8.70442	1.10778	UP	4.16165	17.1943	1.92437	UP	1.51608	UP	descriptive; group-mean FPKM, no gene-level FDR
IFN	XAF1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	EIF2AK2	EIF2AK2	False	True	11.2584	12.8619	0.184433	FLAT	9.06659	8.64484	-0.0650468	FLAT	0.0596933	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	LY6E		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	CMPK2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	EPSTI1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	SAMD9L		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	TRIM22		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	ZBP1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	PLSCR1	PLSCR1	False	True	10.0577	11.4673	0.180802	FLAT	8.72318	9.02064	0.0457943	FLAT	0.113298	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	STAT1	STAT1	False	True	24.152	25.9968	0.104113	FLAT	34.9779	33.6943	-0.0531648	FLAT	0.0254743	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	STAT2	STAT2	False	True	6.72633	6.80434	0.0154908	FLAT	8.83472	7.18218	-0.281091	DOWN	-0.1328	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IRF1	IRF1	False	True	4.0123	2.7409	-0.477468	DOWN	2.74523	2.41637	-0.154147	FLAT	-0.315808	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IRF7		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IRF9		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	JAK1	JAK1	False	True	32.9549	34.1005	0.0485754	FLAT	37.4113	43.1203	0.202372	FLAT	0.125474	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	JAK2	JAK2	False	True	12.1464	6.21673	-0.912896	DOWN	1.20587	2.77163	0.939502	UP	0.013303	DISCORDANT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFNAR1	IFNAR1	False	True	18.3103	19.6087	0.096297	FLAT	10.3178	6.93243	-0.541501	DOWN	-0.222602	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFNAR2	IFNAR2	False	True	4.2239	3.90514	-0.100791	FLAT	2.61485	2.41003	-0.0981287	FLAT	-0.0994596	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFNGR1	IFNGR1	False	True	22.6744	22.5716	-0.00641393	FLAT	19.7315	18.6901	-0.0762411	FLAT	-0.0413275	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFNGR2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	SOCS1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	SOCS3	SOCS3	False	True	0.545867	0.569773	0.0326053	LOW	6.03821	2.52842	-1.11033	DOWN	-0.538863	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	GBP1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	GBP2	GBP2	False	True	4.31222	3.61122	-0.227136	FLAT	7.38002	4.04543	-0.793783	DOWN	-0.510459	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	GBP4		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	GBP5		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	CXCL9		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	CXCL10		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	CXCL11		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	CIITA		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IDO1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IFNG		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IFNB1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	HLA-A		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	HLA-B		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	HLA-C	HLA-C	False	True	10.8526	7.53342	-0.498937	DOWN	3.09998	8.2832	1.28676	UP	0.393911	DISCORDANT	descriptive; group-mean FPKM, no gene-level FDR
APM	HLA-E		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	HLA-F		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	HLA-G		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	B2M		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	NLRC5		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	TAP1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	TAP2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	TAPBP		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	PSMB8		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	PSMB9		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	PSMB10	PSMB10	False	True	22.8328	22.1521	-0.0427146	FLAT	12.7734	16.5049	0.357413	UP	0.157349	UP	descriptive; group-mean FPKM, no gene-level FDR
APM	ERAP1	ERAP1	False	True	15.0387	11.3888	-0.386263	DOWN	8.01057	4.6334	-0.729341	DOWN	-0.557802	DOWN	descriptive; group-mean FPKM, no gene-level FDR
APM	ERAP2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
APM	CALR	CALR	False	True	331.015	287.075	-0.205136	FLAT	400.529	368.677	-0.119394	FLAT	-0.162265	FLAT	descriptive; group-mean FPKM, no gene-level FDR
APM	CANX	CANX	False	True	467.05	521.424	0.158719	FLAT	315.644	305.356	-0.0477293	FLAT	0.0554949	FLAT	descriptive; group-mean FPKM, no gene-level FDR
APM	PDIA3	PDIA3	False	True	57.7448	58.876	0.0277507	FLAT	64.3749	55.8692	-0.202753	FLAT	-0.0875013	FLAT	descriptive; group-mean FPKM, no gene-level FDR
APM	SEC61A1	SEC61A1	False	True	53.0073	58.5202	0.141473	FLAT	97.1459	96.3272	-0.0121471	FLAT	0.064663	FLAT	descriptive; group-mean FPKM, no gene-level FDR
APM	PSME1	PSME1	False	True	164.64	139.925	-0.23389	FLAT	169.28	126.867	-0.414675	DOWN	-0.324282	DOWN	descriptive; group-mean FPKM, no gene-level FDR
APM	PSME2	PSME2	False	True	108.325	84.634	-0.354203	DOWN	109.702	101.092	-0.117364	FLAT	-0.235783	DOWN	descriptive; group-mean FPKM, no gene-level FDR
