accession,category,reason,taxon,n_samples,pubmed,title
GSE154286,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,133,32767058,Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study
GSE159785,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,363,33298930,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [GeoMx human protein]
GSE159787,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Severe acute respiratory syndrome coronavirus 2; Homo sapiens,363,33298930,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [gene expression]
GSE168707,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,6,,RT-PCR profiling analysis of microRNA expression in cisplatin-resistant cancer
GSE171650,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,30,34038737,PD-L1 alteration in lung cancer affects tumorigenicity lung tumors
GSE173351,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,212,34290408;37713507,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade
GSE180347,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,144,34572789,Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape
GSE181820,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,22,34767457,Highly Immunogenic Cancer Cells Require Activation of the WNT Pathway for Immunological Escape
GSE184053,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,9,34593620,"CD8+ TILs in NSCLC differentiate into TEMRA via a bifurcated trajectory, deciphering immunogenicity of tumor-antigens"
GSE190265,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,34,35051357;41271647,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]
GSE190266,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,70,35051357;41271647,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]
GSE99995,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,12,29516506,Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ
GSE117570,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,8,31033233;34295900;40978058,Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC
GSE127465,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Mus musculus; Homo sapiens,40,30979687,Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species
GSE128822,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,10,32125291;34552178,High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression
GSE131933,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,8,,Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment
GSE141383,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,9,34011400,Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker
GSE144945,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,10,34663810,Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer
GSE145896,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,8,32332901,PD-1 blockade-unresponsive human tumor-infiltrating CD8+ T cells are marked by loss of CD28 expression and rescued by IL-15
GSE146100,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,3,33820821,Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma
GSE152590,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,8,34807232,RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients
GSE154826,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,166,34767762,CITEseq analysis of non-small-cell lung cancer lesions
GSE162154,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,6,,RNA-seq of human small airawy epithelial cells in patients with COPD and Never-smoker
GSE167235,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,9,33658301,A burned-out CD8+ T-cell subset expands in the tumor microenvironment and curbs cancer immunotherapy
GSE173896,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,16,36108172,Single-cell Transcriptome Analysis Reveals an Anomalous Epithelial Variation and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease
GSE176021,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,110,34290408,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]
GSE176022,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,102,34290408;37713507,Distinct transcriptional programs characterize neoantigen-specific T cells in   lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]
GSE179994,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,47,35121991,Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer
GSE115246,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens,81,30100403,"Epigenetic prediction of response to anti-PD-1 treatment in non-small-cell lung cancer: a multicenter, retrospective analysis"
GSE119144,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens,60,31537801;32762727;38110532,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load
GSE126043,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens,18,32879421,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE126045,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens,34,32879421,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE138571,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens; Mus musculus,10,31744829,In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma
GSE142620,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic assay,Homo sapiens,36,31941995,Chronic IL-1β-induced inflammation regulates epithelial-to-mesenchymal transition memory phenotypes via epigenetic modifications in non-small cell lung cancer
GSE118933,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,18,30763282;35980387,Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq]
GSE129380,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens; Mus musculus; Sarcophilus harrisii,24,31564637,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [ChIP-Seq]
GSE129381,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens; Mus musculus,30,31564637,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [RNA-Seq]
GSE129968,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,12,32984844,EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer
GSE133715,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,24,,"Transcriptional profiling of HCC515 lung cells with dox-inducible KEAP1 knockdown and/or STK11 re-addition, under different metabolic tstress conditions"
GSE135976,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,4,31480591,MET regulates expression of co-stimulatory and co-inhibitory molecules in tumor cells and contributes to suppression of immune cell function
GSE136932,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,24,32039023,Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf]
GSE136933,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,6,,Effect of Pirfenidone on NSCLC  [A549 1.5 mg/ml Pirf 6hrs]
GSE136934,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,8,,Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs]
GSE153051,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,2,,PD-L1 lncRNA splice promotes lung adenocarcinoma proliferation and metastasis via enhancing c-Myc activity
GSE179934,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,9,34394068,The immune heterogeneity between pulmonary adenocarcinoma and squamous cell carcinoma: a comprehensive analysis based on lncRNA model
GSE111894,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,1084,31227543;36701231,Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [scRNA-seq]
GSE111898,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,1252,31227543;36701231,Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer.
GSE133605,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,1,,"Transcriptome of tumor biopsy sample of patient with non-small-cell lung adenocarcinoma, ALK rearrangement positive"
GSE135164,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,15,31959344,Genome-wide profiling of non-small cell lung cancer derived cells
GSE148466,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,3,33712615,Single cell RNA sequencing analysis of freshly resected non-small cell lung carcinoma (NSCLC) tissues
GSE160878,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,21,34399838,A novel DNA methylation signature in Merkel Cell Carcinoma
GSE162712,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,15,34534436,Follicular helper-like T cells in the lung highlight a novel role of B cells in sarcoidosis
GSE162798,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens; Mus musculus,15,34686316,Simple oligonucleotide-based multiplexing of single-cell chromatin accessibility
GSE168294,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Mus musculus; Homo sapiens,22,,Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations [Cell line]
GSE168295,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Mus musculus; Homo sapiens,40,,Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations
GSE175692,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,184,34051058,Gene expression profiles of breast cancer metastasis according to organ site
GSE124574,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,41,30761123;41369171,CD56dim NK cell gene signature in melanoma patients with better and worse clinical outcomes
GSE127462,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,302,31061481,High-throughput tissue dissection and cell purification with digital cytometry [Affymetrix]
GSE127471,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,1,31061481,High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq]
GSE139555,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,32,32103181;35263569,Peripheral clonal expansion of T lymphocytes associates with tumour infiltration and response to cancer immunotherapy
GSE143791,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,41,34719426,Human prostate cancer bone metastases have an actionable immunosuppressive microenvironment
GSE145550,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,248,32492431,Cas12a base editors induce efficient and specific editing with low DNA damage response (DNA targeted sequencing)
GSE145552,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,265,32492431,Cas12a base editors induce efficient and specific editing with low DNA damage response
GSE149383,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,33,33712615,Drug resistant changes at the level of single cells
GSE150956,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,404,32630542,Integrated Assessment of Circulating Cell-Free MicroRNA Signatures in Plasma of Patients with Melanoma Brain Metastasis
GSE155972,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,177,33953401,Epigenetic Silencing by SETDB1 Suppresses Tumor-cell Intrinsic Immunogenicity
GSE156405,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,17,34426439,Elucidation of tumor-stromal heterogeneity and the ligand-receptor interactome by single cell transcriptomics in real-world pancreatic cancer biopsies
GSE158403,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,95,33288749,PD-L1 blockade in combination with inhibition of MAPK oncogenic signaling in patients with advanced melanoma
GSE162353,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,14,33378668,Distinct population of immune suppressive macrophages differentiate from monocytic myeloid-derived suppressor cells in cancer
GSE165404,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,15,34686340,Targeting TREM2 on tumor associated macrophages enhances efficacious immunotherapy
GSE165745,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,24,33951424,Nanostring Wnt Pathway Panel of Metastatic Melanoma Patients Prior to Anti-PD-1 Treatment
GSE166449,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,22,33857424,Synthetic lethality-mediated precision oncology via the tumor transcriptome
GSE169246,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,83,34653365,PD-L1 blockade-induced temporal single cell dynamics in triple negative breast cancer
GSE176307,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,90,34294892,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience
GSE179373,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,21,35584630;35707680,Single cell RNA-sequencing of human brain metastasis-infiltrating T cells
GSE190141,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,16,35090594,Transcriptomes of TILss
GSE85352,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,48,32718321,DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumour immunotolerance [ChIPSeq]
