n_kl	n_kp	n5vs5	mean_kl	mean_kp	sd_kl	sd_kp	delta	welch_t	welch_df	welch_p	abs_t	min_kl	max_kp	complete_separation	U	mw_p	cliffs_delta	endpoint	dropped	arm_dropped	short
4	5	False	8.821249758328177	3.3053580662263338	0.7240988825956092	1.0423710267048671	5.515891692101843	9.345113738912106	6.922609558692801	3.5787098654395926e-05	9.345113738912106	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	KLE-RNA	KL	KL KLE
5	5	True	5.855612554685915	2.6173850660030213	0.5133440714732446	1.4709825008367077	3.2382274886828935	4.647609029620379	4.960058855183051	0.0057080067472804925	4.647609029620379	5.189429245809757	3.403267722339301	True	25.0	0.007936507936507936	1.0	Tacstd2	none	none	
5	4	False	5.855612554685915	2.4209144019189512	0.5133440714732446	1.6210226848256986	3.4346981527669636	4.077290502078887	3.483862889716374	0.01993811070210499	4.077290502078887	5.189429245809757	3.3950627995175777	True	20.0	0.015873015873015872	1.0	Tacstd2	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	5.855612554685915	2.5145890444545835	0.5133440714732446	1.6776787167738167	3.3410235102313313	3.8416379527838753	3.4517149430735676	0.024185616474125413	3.8416379527838753	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	5.855612554685915	3.2717313325037765	0.5133440714732446	0.17490696708222683	2.5838812221821383	10.517796733109831	5.101891055732909	0.000119017748534956	10.517796733109831	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	5.855612554685915	2.422965632624382	0.5133440714732446	1.6226706124540327	3.432646922061533	4.071024145471441	3.4828802765364477	0.02004097178652899	4.071024145471441	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	5.855612554685915	2.4567249185134123	0.5133440714732446	1.6471110477887845	3.3988876361725024	3.9755162076892905	3.4686496565155704	0.021675407161912106	3.9755162076892905	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	5.893712826509607	2.6173850660030213	0.5845385440972864	1.4709825008367077	3.276327760506586	4.551424475160277	5.451739408865323	0.004934573394820483	4.551424475160277	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	6.022158381904954	2.6173850660030213	0.4079780596982424	1.4709825008367077	3.4047733159019327	4.94344670805482	4.747689543449089	0.00495944421562079	4.94344670805482	5.703211467391146	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	5.884553667682561	2.6173850660030213	0.5880296994872558	1.4709825008367077	3.26716860167954	4.53422537048339	5.4667874163969365	0.004984615249122541	4.53422537048339	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	KLC-RNA	KL	KL KLC
4	5	False	5.673350216372026	2.6173850660030213	0.36041519738304734	1.4709825008367077	3.055965150369005	4.480363900626495	4.588405353616339	0.007989225958097122	4.480363900626495	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	KLD-RNA	KL	KL KLD
4	5	False	5.804287680960425	2.6173850660030213	0.5777553373785369	1.4709825008367077	3.186902614957404	4.435640481630776	5.4225596198885775	0.005604124937087174	4.435640481630776	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	KLE-RNA	KL	KL KLE
5	5	True	7.348401041158039	4.079883270273624	0.26377731900213797	0.6929773825111354	3.268517770884415	9.85677889728222	5.135282702932917	0.0001576094898197512	9.85677889728222	7.069169147857404	4.545190846400181	True	25.0	0.007936507936507936	1.0	TJ7	none	none	
