dataset	contrast	gene_set	CLDN4_log2FC	n_in_set	n_observed	n_up	frac_up	median_log2FC	mean_log2FC	sign_p_greater	wilcoxon_p_greater	ranksum_p_greater	wilcoxon_p_less	direction_call
GSE50927	VILI-low KO vs WT VILI	CLAIM6	-12.69283342	6	6	2	0.3333333333333333	-0.1807619195	-0.012122690166666663	0.890625	0.78125	0.7560326511266755	0.28125	weak_down
GSE50927	VILI-low KO vs WT VILI	IFN_ISG	-12.69283342	39	37	15	0.40540540540540543	-0.073882129	0.04201237618918919	0.9061292205005884	0.43139790261310246	0.5981488168953889	0.5686020973868975	weak_down
GSE50927	VILI-low KO vs WT VILI	MHC_APM	-12.69283342	18	16	8	0.5	0.017749093	-0.023861284125000003	0.5981903076171875	0.5698699951171875	0.5165644464499123	0.4499664306640625	weak_up
GSE50927	VILI-low KO vs WT VILI	IFN_AND_APM	-12.69283342	57	53	23	0.4339622641509434	-0.044433564	0.022125988169811324	0.8641604169672483	0.5793974171754428	0.5911048928502531	0.42060258282455715	weak_down
GSE50927	VILI-low KO vs WT VILI	HALLMARK_IFNA	-12.69283342	97	90	39	0.43333333333333335	-0.050156278	-0.00602547113333334	0.9148788024769632	0.7661444559249802	0.7386721263136415	0.2338555440750199	weak_down
GSE50927	VILI-low KO vs WT VILI	HALLMARK_IFNG	-12.69283342	200	186	93	0.5	0.0029942405	0.04951201048924732	0.529212576814641	0.2807312820903122	0.1924000376322586	0.7192687179096878	weak_up
GSE50927	VILI-high KO vs WT VILI	CLAIM6	-10.16213953	6	6	5	0.8333333333333334	0.1249909685	0.3793090543333333	0.109375	0.078125	0.037422688532123015	0.953125	weak_up
GSE50927	VILI-high KO vs WT VILI	IFN_ISG	-10.16213953	39	37	25	0.6756756756756757	0.243557031	0.4946283589189188	0.02351551371975802	0.0014163776431814767	0.0005441529802191325	0.9986594320871518	up
GSE50927	VILI-high KO vs WT VILI	MHC_APM	-10.16213953	18	16	12	0.75	0.19068788949999999	0.1726375586875	0.0384063720703125	0.003814697265625	0.012938269047412188	0.996856689453125	up
GSE50927	VILI-high KO vs WT VILI	IFN_AND_APM	-10.16213953	57	53	37	0.6981132075471698	0.229426821	0.39742358903773584	0.0027431724383800704	0.00014939065448815508	3.883667538603157e-05	0.9998506093455118	up
GSE50927	VILI-high KO vs WT VILI	HALLMARK_IFNA	-10.16213953	97	90	57	0.6333333333333333	0.158602684	0.2236200031444445	0.007433376472813117	0.0010538449443687453	0.0004065827824798287	0.9989461550556312	up
GSE50927	VILI-high KO vs WT VILI	HALLMARK_IFNG	-10.16213953	200	186	123	0.6612903225806451	0.2085200405	0.32897668709677425	6.451577297000293e-06	4.420191445457727e-10	3.551058594175545e-11	0.9999999995579808	up
GSE207704	MCF-7 KO vs WT	CLAIM6	-0.7217067785892088	6	2	1	0.5	-0.49293059911107573	-0.49293059911107573	0.75	NA	NA	NA	weak_down
GSE207704	MCF-7 KO vs WT	IFN_ISG	-0.7217067785892088	39	17	6	0.35294117647058826	-0.28109098084385636	-0.19634808979926627	0.9282684326171875	0.9049530029296875	0.9674948868782982	0.10344696044921875	weak_down
GSE207704	MCF-7 KO vs WT	MHC_APM	-0.7217067785892088	18	8	2	0.25	-0.10140570969147719	0.0380188910042279	0.96484375	0.76953125	0.7994113020965508	0.2734375	weak_down
GSE207704	MCF-7 KO vs WT	IFN_AND_APM	-0.7217067785892088	57	25	8	0.32	-0.11939389264586912	-0.12135065594214814	0.9783573746681213	0.9135207235813141	0.9770137649209208	0.09086492657661438	weak_down
GSE207704	MCF-7 KO vs WT	HALLMARK_IFNA	-0.7217067785892088	97	55	32	0.5818181818181818	0.0824828229610993	0.06165131340332423	0.14030485884917704	0.18949803855956543	0.30535604809071926	0.8105019614404345	weak_up
GSE207704	MCF-7 KO vs WT	HALLMARK_IFNG	-0.7217067785892088	200	109	57	0.5229357798165137	0.020745191603229195	-0.008777325696155287	0.35090559103234165	0.39568411127394437	0.5868405677229992	0.6043158887260556	weak_up
GSE207704	T47D KO vs WT	CLAIM6	-1.05864609406019	6	2	0	0.0	-0.9677138193316283	-0.9677138193316283	1.0	NA	NA	NA	weak_down
GSE207704	T47D KO vs WT	IFN_ISG	-1.05864609406019	39	21	7	0.3333333333333333	-0.3478015085446971	-0.6590019836796632	0.9608230590820312	0.9936542510986328	0.9977942774379002	0.007082939147949219	down
GSE207704	T47D KO vs WT	MHC_APM	-1.05864609406019	18	8	2	0.25	-0.21951284719493327	-0.1907314169949736	0.96484375	0.98046875	0.9608703458290793	0.02734375	down
GSE207704	T47D KO vs WT	IFN_AND_APM	-1.05864609406019	57	29	9	0.3103448275862069	-0.2633283468251895	-0.5298238963183696	0.987940227612853	0.9990918301045895	0.9995901819496102	0.0009890571236610413	down
GSE207704	T47D KO vs WT	HALLMARK_IFNA	-1.05864609406019	97	60	18	0.3	-0.22099043220076392	-0.33761524030835094	0.9994671171104282	0.9998537813174003	0.9999433134336373	0.0001462186825996657	down
GSE207704	T47D KO vs WT	HALLMARK_IFNG	-1.05864609406019	200	113	46	0.40707964601769914	-0.047147649213061325	-0.17907937186029096	0.9809906772086018	0.9912584769285198	0.9861945097968208	0.0087415230714802	down
