Gene_Name	welch_t
SV2A	1.101177433950242
TCTEX1D1	1.1011462971260755
PPP1R3A	1.1002480126144887
UGT2B11	1.0993137892887632
IGF2R	1.0991983518229034
INSL6	1.0991072033113567
FAM71F2	1.0982569621122302
CCNA1	1.09785153937868
KIF1A	1.0975771028581107
MTRNR2L11	1.0973278674769957
GALNTL6	1.0969436553365084
TRIM66	1.0966328563650936
IFT81	1.0962692877552649
KRT12	1.095888076345974
AC244517.10	1.0953851993283559
PRSS2	1.0946870357440293
C10orf67	1.094414012554488
LHX9	1.0941865513920885
AC009879.2	1.0936342059264696
CCDC195	1.093009726242189
ANKS1B	1.092479231128232
MT1E	1.0924078156383088
C10orf99	1.092062293688262
QRFPR	1.0920244214372674
RIPPLY1	1.0917873356142969
EPHA8	1.0916630405678842
MCAM	1.091605452383399
TMEM45A	1.0912920679715667
GRIA4	1.0910955668796518
C1QTNF1	1.0908816098897471
EYA3	1.090565470462025
ANKRD33	1.0898262140626298
NCBP2L	1.0893724963606088
FCER1G	1.0892147229556681
HAUS7	1.0888760171590735
TEX12	1.0884043119187954
PRNP	1.0881848143380248
PRLHR	1.0881458032902507
CRHR1	1.0872373099365127
GAS2L3	1.0867214227320432
A1CF	1.0866353897958285
AC119674.2	1.0865108730058324
PHRF1	1.086371584271473
LAMC1	1.0862535379080316
KLRF2	1.0858218821257017
MEF2B	1.0850110816893954
LRRC8C	1.084992424267206
AL355987.1	1.0847600076504484
SSTR3	1.0830351527480326
AMER1	1.0830076024636097
SSTR2	1.0824126758541326
FYCO1	1.0821938114318457
LYPD4	1.0821552863035886
CCR8	1.0812227218599908
CRHR2	1.0804663983995755
COP1	1.0804241429772616
CMTM5	1.0802991729906644
SEC14L1	1.0800243681737958
C1orf232	1.0795286957264167
C1orf112	1.0794663493631227
MICOS10-NBL1	1.0794458239171516
TMEM47	1.0792291990243565
AC036214.3	1.0788309530711861
GUCY1A1	1.078762167250458
SYT9	1.0786008395498707
DKK4	1.0784112791492777
GSG1	1.078239024340566
ATP2C1	1.0777507558781765
GNMT	1.077152624688848
SYS1-DBNDD2	1.076953659687221
BOLL	1.0755637783727605
MRGPRX3	1.0755483519122941
KCNT1	1.074515227696925
PPIL4	1.074416926510596
UTS2B	1.0742640251620568
ZNF248	1.0738031303447577
OR4K17	1.0723696930221485
SOX21	1.0711879391512968
LRRC43	1.0709079166488487
NLRP11	1.0708899011486095
A4GNT	1.0706095911896696
SLC4A3	1.0697612388667939
OR52M1	1.069607373997267
ANKRD29	1.0695621476944124
SOX11	1.0694037655197923
BPIFA3	1.0693768800354335
AC015688.4	1.0691452805530022
ARNT	1.068965538011926
SIX3	1.0686802533578146
CAV3	1.0684847093071679
HLA-DQA2	1.0684670903642794
TNNT2	1.0684664640217425
CSNK1A1	1.0683541653508426
OR5A1	1.0682227608195705
OR13A1	1.0669147264120924
FOLR2	1.0663851841907963
SLC7A13	1.0663277848752608
EIF4G1	1.066222398073988
OR2AG1	1.0651814738691283
DEFB118	1.0648806357729492
FAM183A	1.0645028268743222
NMUR2	1.0639987898025576
ABL1	1.06291263877316
SNCB	1.062509472699967
CAGE1	1.0617845598601163
TBC1D2B	1.0610401463651589
RB1CC1	1.060900429871105
PTX4	1.0606420071651481
NOXRED1	1.0601270491638142
AC048338.2	1.060002429378175
TDRD5	1.0598952721013712
ELAC2	1.059545579644793
CCL26	1.0590050446495103
LIN28A	1.0588222371711014
SBK3	1.058468928070458
MSTN	1.0581987167345472
PCED1A	1.058095841300599
CTSO	1.0580448822469948
WAPL	1.0575634238412315
ADTRP	1.0573698024871774
PCDHGA4	1.057322030633092
AL138899.3	1.0572032431021212
CD86	1.057081354228748
FAM9B	1.0569370477481166
AC009163.3	1.0563898045852038
APOBEC3B	1.056125863169075
KLHL9	1.0554291523332329
LGALS9C	1.054510972515324
APOC2	1.054140650789225
GAB2	1.0537411187202408
LUZP2	1.0535328004948086
RBL2	1.0532402400891048
HMGCS2	1.0528776838547569
CHKB	1.0522903329552464
TMEM225	1.050962094547256
FOXD4	1.0506288295156345
AC010326.2	1.0504141375191063
GCNT4	1.0500763927599206
CRX	1.050033617421827
MT1HL1	1.0499490031822245
CXCL11	1.0499111224889996
PGPEP1L	1.0498870757951986
RGS21	1.0491615123037692
