cldn4_cut,tumor_gate,immune,radius_um,mean_high,mean_low,delta,n_down_section,n_up_section,p_section,n_down_donor,n_up_donor,p_donor,mix_high,mix_low,mix_all,n_tumor_high,n_tumor_low,frac_high,frac_low,resid_high,resid_low,knn_high,knn_low
q4,marker,cd8,80,9.614861156378655,9.353315660599169,0.2615454957794867,3,5,0.3125,1,4,0.1875,0.3636406612959444,0.3516263823776915,0.23272103688784232,140003,194698,0.08943374079064177,0.08345987573344599,-0.11510305253131733,0.06959297511643284,0.927350364166248,0.8299550048650298
q4,marker,cd8_nk,20,1.069191911001309,1.0166292884798938,0.0525626225214153,1,7,0.078125,1,4,0.3125,0.3628744033013591,0.3991231823980653,0.29484156688594176,140003,194698,0.16155766086015855,0.14292651630721515,0.003350920711065699,-0.020592270205252818,1.467969195921261,1.3323409579247776
q4,marker,cd8_nk,40,4.067732670877053,3.950131520133885,0.11760115074316779,4,4,0.3125,2,3,0.3125,0.3714780707163096,0.40767680712799315,0.3006487341678932,140003,194698,0.14874400833333662,0.13624147265421427,-0.05583436653871754,0.02028544207797423,1.467969195921261,1.3323409579247776
q4,marker,cd8_nk,60,8.827075173435594,8.631608699633892,0.19546647380170157,3,5,0.3828125,1,4,0.3125,0.37976444653164076,0.41315043765972803,0.30676189172993923,140003,194698,0.14491312743093782,0.1347693165118512,-0.1357158704909308,0.0950704129517787,1.467969195921261,1.3323409579247776
q4,marker,cd8_nk,80,15.340185930646577,15.049308917864732,0.29087701278184497,3,5,0.4609375,1,4,0.3125,0.3866927795355294,0.4172644556226249,0.31179677842927933,140003,194698,0.1430051317991402,0.1344277803745731,-0.21862223050253407,0.19037975193335493,1.467969195921261,1.3323409579247776
gt0,marker,cd8,20,0.6495354965522019,0.6024912706199197,0.04704422593228219,1,7,0.015625,1,4,0.125,0.2676504677171224,0.3206964628281666,0.2091132957585616,153305,194698,0.09665729051394413,0.08319475721193441,0.02472361584994467,-0.02488640069706633,0.9505239244218296,0.8299550048650298
gt0,marker,cd8,40,2.582021396376547,2.4315728424896816,0.15044855388686518,3,5,0.109375,1,4,0.125,0.2869162479324253,0.3390541992458368,0.22145462673174565,153305,194698,0.0943163519030959,0.08356741294067958,0.015021471307424287,-0.01295176354793389,0.9505239244218296,0.8299550048650298
gt0,marker,cd8,60,5.615021558170172,5.352217815969583,0.2628037422005889,3,5,0.1953125,1,4,0.1875,0.29886392865640754,0.34665002970764625,0.22795357491990678,153305,194698,0.09225921864948151,0.08341719523852771,-0.02259435088286802,0.02336107994678856,0.9505239244218296,0.8299550048650298
gt0,marker,cd8,80,9.74688683986969,9.353315660599169,0.39357117927052165,3,5,0.25,1,4,0.1875,0.3080666671260586,0.3516263823776915,0.23272103688784232,153305,194698,0.09093912125881042,0.08345987573344599,-0.07005269215536425,0.06959297511643284,0.9505239244218296,0.8299550048650298
gt0,marker,cd8_nk,20,1.0975081203127217,1.0166292884798938,0.08087883183282796,1,7,0.015625,1,4,0.125,0.3418124180213708,0.3991231823980653,0.29484156688594176,153305,194698,0.1672072854782619,0.14292651630721515,0.025276796107489792,-0.020592270205252818,1.5024707146301095,1.3323409579247776
gt0,marker,cd8_nk,40,4.143192719118067,3.950131520133885,0.19306119898418217,3,5,0.1953125,2,3,0.3125,0.34925390447511995,0.40767680712799315,0.3006487341678932,153305,194698,0.15205934540826327,0.13624147265421427,-0.01594442171882603,0.02028544207797423,1.5024707146301095,1.3323409579247776
gt0,marker,cd8_nk,60,8.951371898287059,8.631608699633892,0.3197631986531668,3,5,0.25,1,4,0.1875,0.35913273717049266,0.41315043765972803,0.30676189172993923,153305,194698,0.14746988599198918,0.1347693165118512,-0.0897979295455272,0.0950704129517787,1.5024707146301095,1.3323409579247776
gt0,marker,cd8_nk,80,15.50940350516613,15.049308917864732,0.4600945873013984,3,5,0.3125,1,4,0.3125,0.36739624003510063,0.4172644556226249,0.31179677842927933,153305,194698,0.14501315956338273,0.1344277803745731,-0.18456851199285623,0.19037975193335493,1.5024707146301095,1.3323409579247776
top10,marker,cd8,20,0.6103259471219333,0.6095577271064226,0.00076822001551069,4,4,0.9453125,3,2,1.0,0.351966434602483,0.30953745739681804,0.2091132957585616,37301,212431,0.08816907846500077,0.084807669339696,-0.01076475666296733,-0.016546344116777537,0.8777689786873502,0.8452081118388702
top10,marker,cd8,40,2.449662456721273,2.462698774722672,-0.013036318001399039,5,3,0.4609375,3,2,0.8125,0.3746301771666224,0.3263826997342941,0.22145462673174565,37301,212431,0.08738103546652132,0.08493456455265716,-0.06552187119466028,-0.0002189672010580613,0.8777689786873502,0.8452081118388702
top10,marker,cd8,60,5.388636436623601,5.415523339211469,-0.026886902587867745,6,2,0.546875,4,1,0.625,0.38513172180616156,0.3333240784546004,0.22795357491990678,37301,212431,0.08660313503466596,0.08458479465306047,-0.12775087348511413,0.03660680916780557,0.8777689786873502,0.8452081118388702
top10,marker,cd8,80,9.422234409154719,9.453790367447182,-0.03155595829246316,6,2,0.546875,4,1,0.625,0.3933275866165843,0.337933128187958,0.23272103688784232,37301,212431,0.08611851219742975,0.08446544648162896,-0.1836997314652071,0.08150103661798852,0.8777689786873502,0.8452081118388702
top10,marker,cd8_nk,20,1.0175775586877234,1.028820348950104,-0.01124279026238062,5,3,0.4609375,3,2,0.625,0.32733923321460195,0.3929967253248047,0.29484156688594176,37301,212431,0.14975236052057317,0.14582852577529923,-0.03512016053104558,-0.011079431076128183,1.401676296964756,1.354010227280253
top10,marker,cd8_nk,40,3.946846601221986,3.9941631831635087,-0.047316581941522884,6,2,0.3125,4,1,0.4375,0.33389735313367436,0.400312405554458,0.3006487341678932,37301,212431,0.14150574338939784,0.138299644831476,-0.11511905757762612,0.030945114514709784,1.401676296964756,1.354010227280253
top10,marker,cd8_nk,60,8.662370330686352,8.716845133149588,-0.054474802463236216,6,2,0.546875,4,1,0.625,0.33954262114903233,0.4052628035797818,0.30676189172993923,37301,212431,0.13967753734280275,0.1364330429077592,-0.17808682771492423,0.10030707502878342,1.401676296964756,1.354010227280253
top10,marker,cd8_nk,80,15.133029569886492,15.181953694017093,-0.04892412413060043,6,2,0.546875,4,1,0.625,0.34428096218451415,0.40913169113877784,0.31179677842927933,37301,212431,0.1387737165180844,0.13582694073755935,-0.2276535109247227,0.1864802468554289,1.401676296964756,1.354010227280253
