dataset,gene,comparison,n_control,n_treat,mean_control,mean_treat,log2FC,is_icb_arm,value_type,welch_t,welch_p_two,welch_p_up,mwu_p
GSE157880,Cldn4,PD-1 0Gy vs IgG 0Gy,3,2,2.5564,2.2322,-0.3242,True,log2(abundance+1),-0.8548,0.4702351315089394,0.7648824342455303,0.8
GSE157880,Cldn4,PD-1 4Gy vs IgG 0Gy,3,3,2.5564,3.7007,1.1443,True,log2(abundance+1),2.6067,0.0673284578740003,0.03366422893700015,0.1
GSE157880,Cldn4,PD-1 8Gy vs IgG 0Gy,3,3,2.5564,2.161,-0.3954,True,log2(abundance+1),-0.8186,0.4596007429723458,0.7701996285138271,0.4
GSE157880,Tacstd2,IgG 4Gy vs IgG 0Gy,3,2,2.3578,4.1368,1.779,False,log2(abundance+1),7.077,0.01314829594588788,0.00657414797294394,0.2
GSE157880,Tacstd2,IgG 8Gy vs IgG 0Gy,3,3,2.3578,1.7952,-0.5626,False,log2(abundance+1),-3.2155,0.0554150112894137,0.9722924943552932,0.1
GSE157880,Tacstd2,PD-1 0Gy vs IgG 0Gy,3,2,2.3578,2.7056,0.3478,True,log2(abundance+1),1.03,0.43354228318065857,0.21677114159032929,0.4
GSE157880,Tacstd2,PD-1 4Gy vs IgG 0Gy,3,3,2.3578,3.7764,1.4187,True,log2(abundance+1),7.4784,0.003246052209465684,0.001623026104732842,0.1
GSE157880,Tacstd2,PD-1 8Gy vs IgG 0Gy,3,3,2.3578,2.2583,-0.0994,True,log2(abundance+1),-0.2343,0.8316439363005662,0.584178031849717,1.0
GSE169196,Cldn4,A2V vs IgG,3,3,4.0418,3.2539,-0.7879,False,log2(CPM+1),-1.1633,0.31429478051192733,0.8428526097440363,0.4
GSE169196,Cldn4,A2V+aPD1 vs IgG,3,3,4.0418,3.6475,-0.3944,True,log2(CPM+1),-0.8081,0.4701866617730418,0.7649066691134792,0.7
GSE169196,Tacstd2,A2V vs IgG,3,3,4.1608,4.0855,-0.0753,False,log2(CPM+1),-0.0952,0.9288052293927379,0.5355973853036311,1.0
GSE169196,Tacstd2,A2V+aPD1 vs IgG,3,3,4.1608,4.2872,0.1264,True,log2(CPM+1),0.2291,0.8358606104484734,0.4179303052242367,1.0
GSE197260,Cldn4,gefitinib d14 vs gefitinib+vehicle,1,1,7.7142,5.1497,-2.5645,False,log2(TPM+1),,,,
GSE197260,Cldn4,gefitinib d3 vs gefitinib+vehicle,1,1,7.7142,1.926,-5.7882,False,log2(TPM+1),,,,
GSE197260,Cldn4,gefitinib+anti-PD-1 vs gefitinib+vehicle,1,1,7.7142,1.2016,-6.5126,True,log2(TPM+1),,,,
GSE197260,Cldn4,gefitinib+anti-PD-1+anti-VEGFR2 vs gefitinib+vehicle,1,1,7.7142,3.8176,-3.8966,True,log2(TPM+1),,,,
GSE197260,Cldn4,gefitinib+anti-VEGFR2 vs gefitinib+vehicle,1,1,7.7142,6.5714,-1.1429,False,log2(TPM+1),,,,
GSE197260,Cldn4,vehicle vs gefitinib+vehicle,1,1,7.7142,4.8022,-2.9121,False,log2(TPM+1),,,,
GSE197260,Tacstd2,gefitinib d14 vs gefitinib+vehicle,1,1,6.5546,6.0896,-0.465,False,log2(TPM+1),,,,
GSE197260,Tacstd2,gefitinib d3 vs gefitinib+vehicle,1,1,6.5546,3.0704,-3.4842,False,log2(TPM+1),,,,
GSE197260,Tacstd2,gefitinib+anti-PD-1 vs gefitinib+vehicle,1,1,6.5546,1.0,-5.5546,True,log2(TPM+1),,,,
GSE197260,Tacstd2,gefitinib+anti-PD-1+anti-VEGFR2 vs gefitinib+vehicle,1,1,6.5546,3.7004,-2.8541,True,log2(TPM+1),,,,
GSE197260,Tacstd2,gefitinib+anti-VEGFR2 vs gefitinib+vehicle,1,1,6.5546,5.5236,-1.031,False,log2(TPM+1),,,,
GSE197260,Tacstd2,vehicle vs gefitinib+vehicle,1,1,6.5546,4.009,-2.5456,False,log2(TPM+1),,,,
GSE239485,Cldn4,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0833,-3.8545,-0.7712,True,log2_normalised,-1.2405,0.23776200222522692,0.8811189988873865,0.2786324786324786
GSE239485,Cldn4,PolyIC+anti-PD1+anti-C5aR1 vs Control vehicle,8,8,-3.0833,-2.4975,0.5858,True,log2_normalised,0.9554,0.3574400818475832,0.1787200409237916,0.1605283605283605
GSE239485,Tacstd2,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0925,-0.9992,2.0932,True,log2_normalised,4.6279,0.000630978729467418,0.000315489364733709,0.0006216006216006216
GSE239485,Tacstd2,PolyIC+anti-PD1+anti-C5aR1 vs Control vehicle,8,8,-3.0925,-0.5164,2.5761,True,log2_normalised,4.2003,0.0009744361953293064,0.0004872180976646532,0.0018648018648018648
GSE309199,Cldn4,aPD1 vs Ctrl,3,3,0.4619,0.7161,0.2541,True,log2(CPM+1),0.5609,0.6063662451785281,0.30318312258926405,0.7
GSE309199,Cldn4,aPD1+entinostat vs Ctrl,3,3,0.4619,1.9292,1.4673,True,log2(CPM+1),3.2542,0.03362858546372131,0.016814292731860653,0.1
GSE309199,Cldn4,entinostat vs Ctrl,3,3,0.4619,2.2601,1.7981,False,log2(CPM+1),3.1296,0.04901412390327136,0.02450706195163568,0.1
GSE309199,Tacstd2,aPD1 vs Ctrl,3,3,0.4504,0.9417,0.4913,True,log2(CPM+1),0.7892,0.4742225607157797,0.23711128035788984,0.1840386271964254
GSE309199,Tacstd2,aPD1+entinostat vs Ctrl,3,3,0.4504,1.4816,1.0313,True,log2(CPM+1),1.6827,0.16818568733786607,0.08409284366893303,0.37582508748869836
GSE309199,Tacstd2,entinostat vs Ctrl,3,3,0.4504,1.4852,1.0348,False,log2(CPM+1),2.1298,0.1353513654223439,0.06767568271117196,0.1840386271964254
GSE241978,Cldn4,AhR-KO vs Control,3,3,5.1501,4.556,-0.5941,,,-1.9989,0.1836549805970179,0.9418687676990323,0.1967056024589468
GSE241978,Tacstd2,AhR-KO vs Control,3,3,4.556,4.556,0.0,,,,,,
GSE297630,Cldn4,anti-PD-1 vs Control,3,3,12.44,11.98,-0.46,,,-10.7433,0.0006806128739064,0.9997872387168311,0.1
GSE297630,Tacstd2,anti-PD-1 vs Control,3,3,5.9433,5.79,-0.1533,,,-0.7079,0.5201207851956501,0.7409622580190705,0.7
GSE330658,Cldn4,PTX vs Control,2,2,4.8389,4.9378,0.0989,,,1.3174,0.3228774608683759,0.15919119428107448,0.6666666666666666
GSE330658,Cldn4,PTX-anti-VEGF vs Control,2,2,4.8389,4.8684,0.0295,,,0.1822,0.8815265638491672,0.4361106214258039,1.0
GSE330658,Cldn4,anti-VEGF vs Control,2,2,4.8389,4.9236,0.0848,,,1.7855,0.3247630808358408,0.10805110343289687,0.3333333333333333
GSE330658,Tacstd2,PTX vs Control,2,2,3.0494,3.5185,0.4692,,,5.0923,0.122392631422686,0.018233380002580384,0.3333333333333333
GSE330658,Tacstd2,PTX-anti-VEGF vs Control,2,2,3.0494,2.9831,-0.0662,,,-0.2841,0.8135539440867627,0.5984770811318366,1.0
GSE330658,Tacstd2,anti-VEGF vs Control,2,2,3.0494,2.9481,-0.1012,,,-1.074,0.4642809291568263,0.8023984220666696,0.6666666666666666
