dataset,platform,gene,sample,group,is_control,value_log2,value_type
GSE239485,bulk RNA-seq,Cldn4,D_368_S36,PolyIC+anti-PD1,False,-5.24135185853788,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_370_S38,PolyIC+anti-PD1,False,-5.02071838770082,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_373_S40,PolyIC+anti-PD1,False,-1.27559370225313,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_331_S44,PolyIC+anti-PD1+anti-C5aR1,False,-1.59458449434152,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_352_S48,PolyIC+anti-PD1+anti-C5aR1,False,-1.62339727469713,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_353_S45,PolyIC+anti-PD1+anti-C5aR1,False,-5.20609572194221,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_354_S47,PolyIC+anti-PD1+anti-C5aR1,False,-2.34681131865735,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_355_S43,PolyIC+anti-PD1+anti-C5aR1,False,-3.42536436769801,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_360_S46,PolyIC+anti-PD1+anti-C5aR1,False,-1.55512294376675,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_362_S42,PolyIC+anti-PD1+anti-C5aR1,False,-3.36890282225467,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,T_363_S41,PolyIC+anti-PD1+anti-C5aR1,False,-0.859625920867044,log2_normalised
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC Control model-01,Control,True,12.49,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC Control model-01,Control,True,6.2,log2_RMA
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC Control model-02,Control,True,12.41,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC Control model-02,Control,True,5.88,log2_RMA
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC Control model-03,Control,True,12.42,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC Control model-03,Control,True,5.75,log2_RMA
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC anti-PD-1 antibody model-01,anti-PD-1,False,11.98,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC anti-PD-1 antibody model-01,anti-PD-1,False,5.49,log2_RMA
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC anti-PD-1 antibody model-02,anti-PD-1,False,11.92,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC anti-PD-1 antibody model-02,anti-PD-1,False,5.8,log2_RMA
GSE297630,microarray (Clariom S),Cldn4,Tumor tissue from the LLC anti-PD-1 antibody model-03,anti-PD-1,False,12.04,log2_RMA
GSE297630,microarray (Clariom S),Tacstd2,Tumor tissue from the LLC anti-PD-1 antibody model-03,anti-PD-1,False,6.08,log2_RMA
GSE241978,bulk RNA-seq,Cldn4,CMT Control 1,Control,True,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Cldn4,CMT Control 2,Control,True,5.46433105784792,log2_normalised
GSE241978,bulk RNA-seq,Cldn4,CMT Control 3,Control,True,5.42998489639868,log2_normalised
GSE241978,bulk RNA-seq,Cldn4,CMT AHR KO 1,AhR-KO,False,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Cldn4,CMT AHR KO 2,AhR-KO,False,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Cldn4,CMT AHR KO 3,AhR-KO,False,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT Control 1,Control,True,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT Control 2,Control,True,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT Control 3,Control,True,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT AHR KO 1,AhR-KO,False,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT AHR KO 2,AhR-KO,False,4.5559984636688,log2_normalised
GSE241978,bulk RNA-seq,Tacstd2,CMT AHR KO 3,AhR-KO,False,4.5559984636688,log2_normalised
GSE330658,bulk RNA-seq,Cldn4,GSM9729952_Control,Control,True,4.791421708122826,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729952_Control,Control,True,2.9573534204340066,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729953_Control,Control,True,4.886323485729012,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729953_Control,Control,True,3.14135465109836,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729954_PTX,PTX,False,4.879598084335411,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729954_PTX,PTX,False,3.5135563827242273,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729955_PTX,PTX,False,4.996042945315221,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729955_PTX,PTX,False,3.523518685633378,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729956_anti-VEGF,anti-VEGF,False,4.922386096040641,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729956_anti-VEGF,anti-VEGF,False,2.9275880204516995,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729957_anti-VEGF,anti-VEGF,False,4.924864761177522,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729957_anti-VEGF,anti-VEGF,False,2.9686477217827063,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729958_PTX-anti-VEGF,PTX-anti-VEGF,False,5.023219422029605,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729958_PTX-anti-VEGF,PTX-anti-VEGF,False,3.1972824438192906,log2(TPM+1)
GSE330658,bulk RNA-seq,Cldn4,GSM9729959_PTX-anti-VEGF,PTX-anti-VEGF,False,4.713545516884911,log2(TPM+1)
GSE330658,bulk RNA-seq,Tacstd2,GSM9729959_PTX-anti-VEGF,PTX-anti-VEGF,False,2.7689847889197496,log2(TPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R1,vehicle,True,5.239222803595697,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R10,ATRi,False,5.22612913803814,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R11,ATRi/aPD-L1,False,5.623425275035475,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R12,VEGFRi/aPD-L1,False,5.664164180729186,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R13,vehicle,True,5.597891247014254,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R14,Cisplatin/aPD-L1 /aCTLA4,False,5.633403699448881,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R15,aPD-L1,False,4.908930211475756,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R16,ATRi,False,5.349299102881812,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R17,ATRi/aPD-L1,False,5.321814365133078,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R18,VEGFRi/aPD-L1,False,5.5725973039315635,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R19,vehicle,True,5.7081208812163595,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R2,Cisplatin/aPD-L1 /aCTLA4,False,6.117187623006973,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R20,Cisplatin/aPD-L1 /aCTLA4,False,5.781307629578158,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R21,aPD-L1,False,4.9694721998191955,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R22,ATRi,False,5.365108187094872,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R23,ATRi/aPD-L1,False,5.413855064749404,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R24,VEGFRi/aPD-L1,False,6.039560273759129,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R25,vehicle,True,4.882102680467691,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R26,aPD-L1,False,5.184200245548278,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R27,ATRi/aPD-L1,False,5.8629091922366285,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R3,aPD-L1,False,5.502454296879039,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R4,ATRi,False,5.699052589909515,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R5,ATRi/aPD-L1,False,5.719833791646266,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R6,VEGFRi/aPD-L1,False,5.5489887585501085,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R7,vehicle,True,5.929499506035776,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R8,Cisplatin/aPD-L1 /aCTLA4,False,6.421700316831643,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Cldn4,R9,aPD-L1,False,5.315790828145053,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R1,vehicle,True,6.648147846230446,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R10,ATRi,False,6.616606365824413,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R11,ATRi/aPD-L1,False,6.741945571303373,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R12,VEGFRi/aPD-L1,False,7.105375444662927,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R13,vehicle,True,6.66022126993473,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R14,Cisplatin/aPD-L1 /aCTLA4,False,6.432007151974745,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R15,aPD-L1,False,6.429526171517684,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R16,ATRi,False,6.573753538330095,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R17,ATRi/aPD-L1,False,6.556292879154453,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R18,VEGFRi/aPD-L1,False,7.0401026281526615,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R19,vehicle,True,6.712232893338766,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R2,Cisplatin/aPD-L1 /aCTLA4,False,6.683800558530728,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R20,Cisplatin/aPD-L1 /aCTLA4,False,6.812831339713573,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R21,aPD-L1,False,6.445077024971092,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R22,ATRi,False,7.0521953335328185,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R23,ATRi/aPD-L1,False,6.700794372897991,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R24,VEGFRi/aPD-L1,False,7.009718384122578,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R25,vehicle,True,6.723516025418521,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R26,aPD-L1,False,6.6298711309738945,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R27,ATRi/aPD-L1,False,6.686402305544191,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R3,aPD-L1,False,6.478544669509725,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R4,ATRi,False,6.877580547504381,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R5,ATRi/aPD-L1,False,6.870566740252506,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R6,VEGFRi/aPD-L1,False,7.2014044328025175,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R7,vehicle,True,6.630679487653364,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R8,Cisplatin/aPD-L1 /aCTLA4,False,6.7338103306970645,log2(CPM+1)
E-MTAB-13704,bulk RNA-seq,Tacstd2,R9,aPD-L1,False,6.779263179822241,log2(CPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,vehicle_d3,vehicle,True,4.802193216941825,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_d3,gefitinib d3,False,1.925999418556223,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_d14,gefitinib d14,False,5.149747119504682,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_vehicle_d21,gefitinib+vehicle,True,7.714245517666122,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_dc101_d21,gefitinib+anti-VEGFR2,False,6.571373435973201,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_4h2_d21,gefitinib+anti-PD-1,False,1.2016338611696504,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Cldn4,gef_comb_d21,gefitinib+anti-PD-1+anti-VEGFR2,False,3.817623257511431,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,vehicle_d3,vehicle,True,4.008988783227255,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_d3,gefitinib d3,False,3.070389327891398,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_d14,gefitinib d14,False,6.0895828931247085,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_vehicle_d21,gefitinib+vehicle,True,6.554588851677638,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_dc101_d21,gefitinib+anti-VEGFR2,False,5.523561956057013,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_4h2_d21,gefitinib+anti-PD-1,False,1.0,log2(TPM+1)
GSE197260,bulk RNA-seq (n=1/arm),Tacstd2,gef_comb_d21,gefitinib+anti-PD-1+anti-VEGFR2,False,3.700439718141092,log2(TPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3912860_1_Ctrl_matrix,Control,False,0.4853034374220997,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3912860_1_Ctrl_matrix,Control,False,3.6447406323462834,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3912861_2_CtrlplusPD1_matrix,Control+anti-PD1,False,0.12354150277223219,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3912861_2_CtrlplusPD1_matrix,Control+anti-PD1,False,3.626969548127061,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3912862_3_ko_matrix,Asf1a-KO,False,0.2957873596640306,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3912862_3_ko_matrix,Asf1a-KO,False,4.110209870339998,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3912863_4_KOplusPD1_matrix,Asf1a-KO+anti-PD1,False,0.8043485770829923,log2(pseudobulk CPM+1)
GSE133604,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3912863_4_KOplusPD1_matrix,Asf1a-KO+anti-PD1,False,4.07020824791433,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3704194_Ctrl,Control,False,3.5675249781804204,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3704194_Ctrl,Control,False,2.4029195975164424,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3704195_PD1,anti-PD-1,False,3.5238912356169334,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3704195_PD1,anti-PD-1,False,2.783684317493352,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3704196_YKL,CDK7i (YKL),False,3.606688702552984,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3704196_YKL,CDK7i (YKL),False,4.1768189997956,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM3704197_combo,CDK7i+anti-PD-1,False,3.3372125562165778,log2(pseudobulk CPM+1)
GSE129297,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM3704197_combo,CDK7i+anti-PD-1,False,2.9385654554279546,log2(pseudobulk CPM+1)
GSE297632,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM8995911_Control_GEX_matrix,Control,False,0.4642798781288405,log2(pseudobulk CPM+1)
GSE297632,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM8995911_Control_GEX_matrix,Control,False,0.6132621746422642,log2(pseudobulk CPM+1)
GSE297632,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM8995912_PD_1_treatment_GEX_matrix,anti-PD-1,False,0.9003330654198716,log2(pseudobulk CPM+1)
GSE297632,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM8995912_PD_1_treatment_GEX_matrix,anti-PD-1,False,0.36282776951063617,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915764_A_matrix,CD45 Control,False,0.5424339475374338,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915764_A_matrix,CD45 Control,False,4.392780483454703,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915765_B_matrix,CD45 anti-PD-1,False,0.12651790660218074,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915765_B_matrix,CD45 anti-PD-1,False,3.841560942700657,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915766_C_matrix,CD45 21DC,False,0.11372014555494106,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915766_C_matrix,CD45 21DC,False,3.648090262955496,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915767_D_matrix,CD45 Combo,False,0.12874940535123236,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915767_D_matrix,CD45 Combo,False,4.084241637903075,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915768_AT_matrix,CD3 Control,False,0.49586440688027306,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915768_AT_matrix,CD3 Control,False,2.5747437531732587,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Cldn4,GSM6915769_DT_matrix,CD3 Combo,False,2.10364405773117,log2(pseudobulk CPM+1)
GSE222158,scRNA-seq pseudobulk (n=1/arm),Tacstd2,GSM6915769_DT_matrix,CD3 Combo,False,3.4635207798381695,log2(pseudobulk CPM+1)
