dataset,gene,sample,group,is_control,value_log2,value_type,is_icb_arm
GSE114601,Cd274,s1795,anti-PD1,False,4.211790976252541,log2(norm+1),True
GSE114601,Cd274,s2467,anti-PD1+JQ1,False,4.7745235295902315,log2(norm+1),True
GSE114601,Cd274,s2503,JQ1,False,3.925049964727359,log2(norm+1),False
GSE114601,Cd274,s2521,anti-PD1,False,3.5372960670908418,log2(norm+1),True
GSE114601,Cd274,s2596,Vehicle,True,3.9307373375628862,log2(norm+1),False
GSE114601,Cd274,s2617,Vehicle,True,3.9900472195737944,log2(norm+1),False
GSE114601,Cd274,s2625,JQ1,False,3.996388746447621,log2(norm+1),False
GSE114601,Cd274,s2669,anti-PD1+JQ1,False,3.0565835283663674,log2(norm+1),True
GSE114601,Pdcd1,s1795,anti-PD1,False,1.84799690655495,log2(norm+1),True
GSE114601,Pdcd1,s2467,anti-PD1+JQ1,False,2.2539892662307865,log2(norm+1),True
GSE114601,Pdcd1,s2503,JQ1,False,0.0,log2(norm+1),False
GSE114601,Pdcd1,s2521,anti-PD1,False,0.9107326619029126,log2(norm+1),True
GSE114601,Pdcd1,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Pdcd1,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Pdcd1,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Pdcd1,s2669,anti-PD1+JQ1,False,1.9745293124838819,log2(norm+1),True
GSE114601,Cxcl9,s1795,anti-PD1,False,1.2016338611696504,log2(norm+1),True
GSE114601,Cxcl9,s2467,anti-PD1+JQ1,False,2.2539892662307865,log2(norm+1),True
GSE114601,Cxcl9,s2503,JQ1,False,3.3868109464722167,log2(norm+1),False
GSE114601,Cxcl9,s2521,anti-PD1,False,0.9107326619029126,log2(norm+1),True
GSE114601,Cxcl9,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Cxcl9,s2617,Vehicle,True,1.3785116232537298,log2(norm+1),False
GSE114601,Cxcl9,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cxcl9,s2669,anti-PD1+JQ1,False,3.29130885982897,log2(norm+1),True
GSE114601,Cxcl10,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Cxcl10,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Cxcl10,s2503,JQ1,False,1.9411063109464315,log2(norm+1),False
GSE114601,Cxcl10,s2521,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Cxcl10,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Cxcl10,s2617,Vehicle,True,0.6135316529179271,log2(norm+1),False
GSE114601,Cxcl10,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cxcl10,s2669,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Nkg7,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Nkg7,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Nkg7,s2503,JQ1,False,0.0,log2(norm+1),False
GSE114601,Nkg7,s2521,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Nkg7,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Nkg7,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Nkg7,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Nkg7,s2669,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE157880,Cd274,0-1_S13,IgG 0Gy,True,5.790261166661952,log2(abundance+1),False
GSE157880,Cd274,0-2_S14,IgG 0Gy,True,5.817618141562499,log2(abundance+1),False
GSE157880,Cd274,0-3_S15,IgG 0Gy,True,6.019172591981149,log2(abundance+1),False
GSE157880,Cd274,4_2_S26,IgG 4Gy,False,6.277984747299765,log2(abundance+1),False
GSE157880,Cd274,4_3_S27,IgG 4Gy,False,6.230410547277671,log2(abundance+1),False
GSE157880,Cd274,8_1_S31,IgG 8Gy,False,6.463749955538457,log2(abundance+1),False
GSE157880,Cd274,8_2_S32,IgG 8Gy,False,6.782054662820017,log2(abundance+1),False
GSE157880,Cd274,8_3_S33,IgG 8Gy,False,6.426972508171264,log2(abundance+1),False
GSE157880,Cd274,0-4_S16,PD-1 0Gy,False,4.833780666648399,log2(abundance+1),True
GSE157880,Cd274,0-5_S17,PD-1 0Gy,False,5.056813266194721,log2(abundance+1),True
GSE157880,Cd274,4_4_S28,PD-1 4Gy,False,6.316285152623347,log2(abundance+1),True
GSE157880,Cd274,4_5_S29,PD-1 4Gy,False,6.25883735281439,log2(abundance+1),True
GSE157880,Cd274,4_6_S30,PD-1 4Gy,False,6.815063017192867,log2(abundance+1),True
GSE157880,Cd274,8_4_S34,PD-1 8Gy,False,6.74682331701846,log2(abundance+1),True
GSE157880,Cd274,8_5_S35,PD-1 8Gy,False,6.746232136655182,log2(abundance+1),True
GSE157880,Cd274,8_6_S36,PD-1 8Gy,False,6.211541811503166,log2(abundance+1),True
GSE157880,Cd3d,0-1_S13,IgG 0Gy,True,4.387803664533329,log2(abundance+1),False
GSE157880,Cd3d,0-2_S14,IgG 0Gy,True,4.285601962809033,log2(abundance+1),False
GSE157880,Cd3d,0-3_S15,IgG 0Gy,True,5.209363681798369,log2(abundance+1),False
GSE157880,Cd3d,4_2_S26,IgG 4Gy,False,4.007626092376178,log2(abundance+1),False
GSE157880,Cd3d,4_3_S27,IgG 4Gy,False,3.9452893163422913,log2(abundance+1),False
GSE157880,Cd3d,8_1_S31,IgG 8Gy,False,4.664699000871807,log2(abundance+1),False
GSE157880,Cd3d,8_2_S32,IgG 8Gy,False,4.891336550329528,log2(abundance+1),False
GSE157880,Cd3d,8_3_S33,IgG 8Gy,False,4.61280658720998,log2(abundance+1),False
GSE157880,Cd3d,0-4_S16,PD-1 0Gy,False,4.571670743116119,log2(abundance+1),True
GSE157880,Cd3d,0-5_S17,PD-1 0Gy,False,3.804476968311636,log2(abundance+1),True
GSE157880,Cd3d,4_4_S28,PD-1 4Gy,False,4.48191242153794,log2(abundance+1),True
GSE157880,Cd3d,4_5_S29,PD-1 4Gy,False,4.616757605943627,log2(abundance+1),True
GSE157880,Cd3d,4_6_S30,PD-1 4Gy,False,4.700678297977373,log2(abundance+1),True
GSE157880,Cd3d,8_4_S34,PD-1 8Gy,False,4.805957923200548,log2(abundance+1),True
GSE157880,Cd3d,8_5_S35,PD-1 8Gy,False,5.051802757609573,log2(abundance+1),True
GSE157880,Cd3d,8_6_S36,PD-1 8Gy,False,3.9776554333352103,log2(abundance+1),True
GSE157880,Cd3e,0-1_S13,IgG 0Gy,True,5.324187748822497,log2(abundance+1),False
GSE157880,Cd3e,0-2_S14,IgG 0Gy,True,5.214894141184254,log2(abundance+1),False
GSE157880,Cd3e,0-3_S15,IgG 0Gy,True,5.931236281854753,log2(abundance+1),False
GSE157880,Cd3e,4_2_S26,IgG 4Gy,False,4.445673740004803,log2(abundance+1),False
GSE157880,Cd3e,4_3_S27,IgG 4Gy,False,4.458460751736115,log2(abundance+1),False
GSE157880,Cd3e,8_1_S31,IgG 8Gy,False,5.577480190086263,log2(abundance+1),False
GSE157880,Cd3e,8_2_S32,IgG 8Gy,False,5.545779991230411,log2(abundance+1),False
GSE157880,Cd3e,8_3_S33,IgG 8Gy,False,5.194555946380311,log2(abundance+1),False
GSE157880,Cd3e,0-4_S16,PD-1 0Gy,False,5.544837732721626,log2(abundance+1),True
GSE157880,Cd3e,0-5_S17,PD-1 0Gy,False,4.481815573617863,log2(abundance+1),True
GSE157880,Cd3e,4_4_S28,PD-1 4Gy,False,4.865765433469509,log2(abundance+1),True
GSE157880,Cd3e,4_5_S29,PD-1 4Gy,False,5.0232775337878515,log2(abundance+1),True
GSE157880,Cd3e,4_6_S30,PD-1 4Gy,False,5.071955690630839,log2(abundance+1),True
GSE157880,Cd3e,8_4_S34,PD-1 8Gy,False,5.45291495864018,log2(abundance+1),True
GSE157880,Cd3e,8_5_S35,PD-1 8Gy,False,5.869600011886242,log2(abundance+1),True
GSE157880,Cd3e,8_6_S36,PD-1 8Gy,False,4.849133582869052,log2(abundance+1),True
GSE157880,Cd8a,0-1_S13,IgG 0Gy,True,6.099619227219148,log2(abundance+1),False
GSE157880,Cd8a,0-2_S14,IgG 0Gy,True,6.211191350751573,log2(abundance+1),False
GSE157880,Cd8a,0-3_S15,IgG 0Gy,True,6.613250217428984,log2(abundance+1),False
GSE157880,Cd8a,4_2_S26,IgG 4Gy,False,5.33064085787793,log2(abundance+1),False
GSE157880,Cd8a,4_3_S27,IgG 4Gy,False,5.039331442370546,log2(abundance+1),False
GSE157880,Cd8a,8_1_S31,IgG 8Gy,False,6.132599461713688,log2(abundance+1),False
GSE157880,Cd8a,8_2_S32,IgG 8Gy,False,6.024747406071777,log2(abundance+1),False
GSE157880,Cd8a,8_3_S33,IgG 8Gy,False,6.14632326307,log2(abundance+1),False
GSE157880,Cd8a,0-4_S16,PD-1 0Gy,False,6.384196625328198,log2(abundance+1),True
GSE157880,Cd8a,0-5_S17,PD-1 0Gy,False,5.318378308235309,log2(abundance+1),True
GSE157880,Cd8a,4_4_S28,PD-1 4Gy,False,5.282087613951298,log2(abundance+1),True
GSE157880,Cd8a,4_5_S29,PD-1 4Gy,False,6.047189363712453,log2(abundance+1),True
GSE157880,Cd8a,4_6_S30,PD-1 4Gy,False,5.924767381573783,log2(abundance+1),True
GSE157880,Cd8a,8_4_S34,PD-1 8Gy,False,6.43704459345534,log2(abundance+1),True
GSE157880,Cd8a,8_5_S35,PD-1 8Gy,False,6.836744701966084,log2(abundance+1),True
GSE157880,Cd8a,8_6_S36,PD-1 8Gy,False,5.351232551259051,log2(abundance+1),True
GSE157880,Cldn4,0-1_S13,IgG 0Gy,True,2.779799710526931,log2(abundance+1),False
GSE157880,Cldn4,0-2_S14,IgG 0Gy,True,3.0404874375322732,log2(abundance+1),False
GSE157880,Cldn4,0-3_S15,IgG 0Gy,True,1.8489343536942027,log2(abundance+1),False
GSE157880,Cldn4,4_2_S26,IgG 4Gy,False,3.0502665982310986,log2(abundance+1),False
GSE157880,Cldn4,4_3_S27,IgG 4Gy,False,3.167581123529894,log2(abundance+1),False
GSE157880,Cldn4,8_1_S31,IgG 8Gy,False,1.9352937811827147,log2(abundance+1),False
GSE157880,Cldn4,8_2_S32,IgG 8Gy,False,1.839496077481278,log2(abundance+1),False
GSE157880,Cldn4,8_3_S33,IgG 8Gy,False,1.2324274510690751,log2(abundance+1),False
GSE157880,Cldn4,0-4_S16,PD-1 0Gy,False,2.117778144829329,log2(abundance+1),True
GSE157880,Cldn4,0-5_S17,PD-1 0Gy,False,2.346574010408873,log2(abundance+1),True
GSE157880,Cldn4,4_4_S28,PD-1 4Gy,False,3.2955805109646237,log2(abundance+1),True
GSE157880,Cldn4,4_5_S29,PD-1 4Gy,False,3.6529797377224766,log2(abundance+1),True
GSE157880,Cldn4,4_6_S30,PD-1 4Gy,False,4.1535864837156335,log2(abundance+1),True
GSE157880,Cldn4,8_4_S34,PD-1 8Gy,False,1.5432088006194284,log2(abundance+1),True
GSE157880,Cldn4,8_5_S35,PD-1 8Gy,False,2.32480772378679,log2(abundance+1),True
GSE157880,Cldn4,8_6_S36,PD-1 8Gy,False,2.6151243385697893,log2(abundance+1),True
GSE157880,Cxcl10,0-1_S13,IgG 0Gy,True,6.509062386361898,log2(abundance+1),False
GSE157880,Cxcl10,0-2_S14,IgG 0Gy,True,4.817531167654859,log2(abundance+1),False
GSE157880,Cxcl10,0-3_S15,IgG 0Gy,True,7.5366046877439565,log2(abundance+1),False
GSE157880,Cxcl10,4_2_S26,IgG 4Gy,False,8.131378554598413,log2(abundance+1),False
GSE157880,Cxcl10,4_3_S27,IgG 4Gy,False,7.6085505395306905,log2(abundance+1),False
GSE157880,Cxcl10,8_1_S31,IgG 8Gy,False,7.263147111981337,log2(abundance+1),False
GSE157880,Cxcl10,8_2_S32,IgG 8Gy,False,7.530484371231545,log2(abundance+1),False
GSE157880,Cxcl10,8_3_S33,IgG 8Gy,False,7.332108177679338,log2(abundance+1),False
GSE157880,Cxcl10,0-4_S16,PD-1 0Gy,False,6.1190739190999075,log2(abundance+1),True
GSE157880,Cxcl10,0-5_S17,PD-1 0Gy,False,4.840075441727082,log2(abundance+1),True
GSE157880,Cxcl10,4_4_S28,PD-1 4Gy,False,7.168190721669188,log2(abundance+1),True
GSE157880,Cxcl10,4_5_S29,PD-1 4Gy,False,8.528051623782378,log2(abundance+1),True
GSE157880,Cxcl10,4_6_S30,PD-1 4Gy,False,9.503295062478612,log2(abundance+1),True
GSE157880,Cxcl10,8_4_S34,PD-1 8Gy,False,7.925245840733236,log2(abundance+1),True
GSE157880,Cxcl10,8_5_S35,PD-1 8Gy,False,8.75898933889052,log2(abundance+1),True
GSE157880,Cxcl10,8_6_S36,PD-1 8Gy,False,7.911883289405794,log2(abundance+1),True
GSE157880,Cxcl9,0-1_S13,IgG 0Gy,True,7.136017028221797,log2(abundance+1),False
GSE157880,Cxcl9,0-2_S14,IgG 0Gy,True,6.2061723803896545,log2(abundance+1),False
GSE157880,Cxcl9,0-3_S15,IgG 0Gy,True,7.817885425607146,log2(abundance+1),False
GSE157880,Cxcl9,4_2_S26,IgG 4Gy,False,8.591122113822019,log2(abundance+1),False
GSE157880,Cxcl9,4_3_S27,IgG 4Gy,False,8.45653512573106,log2(abundance+1),False
GSE157880,Cxcl9,8_1_S31,IgG 8Gy,False,7.755922398165721,log2(abundance+1),False
GSE157880,Cxcl9,8_2_S32,IgG 8Gy,False,8.408996262631945,log2(abundance+1),False
GSE157880,Cxcl9,8_3_S33,IgG 8Gy,False,8.108618542517204,log2(abundance+1),False
GSE157880,Cxcl9,0-4_S16,PD-1 0Gy,False,7.822883075709011,log2(abundance+1),True
GSE157880,Cxcl9,0-5_S17,PD-1 0Gy,False,6.592900990121476,log2(abundance+1),True
GSE157880,Cxcl9,4_4_S28,PD-1 4Gy,False,7.461569485018056,log2(abundance+1),True
GSE157880,Cxcl9,4_5_S29,PD-1 4Gy,False,8.64433220060075,log2(abundance+1),True
GSE157880,Cxcl9,4_6_S30,PD-1 4Gy,False,9.357807092773673,log2(abundance+1),True
GSE157880,Cxcl9,8_4_S34,PD-1 8Gy,False,8.97077601998506,log2(abundance+1),True
GSE157880,Cxcl9,8_5_S35,PD-1 8Gy,False,9.464733604973198,log2(abundance+1),True
GSE157880,Cxcl9,8_6_S36,PD-1 8Gy,False,8.577912163202006,log2(abundance+1),True
GSE157880,Gzmb,0-1_S13,IgG 0Gy,True,4.372172051912351,log2(abundance+1),False
GSE157880,Gzmb,0-2_S14,IgG 0Gy,True,4.492173659610827,log2(abundance+1),False
GSE157880,Gzmb,0-3_S15,IgG 0Gy,True,4.3024725987624945,log2(abundance+1),False
GSE157880,Gzmb,4_2_S26,IgG 4Gy,False,4.546487053180673,log2(abundance+1),False
GSE157880,Gzmb,4_3_S27,IgG 4Gy,False,4.384982282346887,log2(abundance+1),False
GSE157880,Gzmb,8_1_S31,IgG 8Gy,False,6.4290334128734505,log2(abundance+1),False
GSE157880,Gzmb,8_2_S32,IgG 8Gy,False,5.174933669717549,log2(abundance+1),False
GSE157880,Gzmb,8_3_S33,IgG 8Gy,False,5.232461221337702,log2(abundance+1),False
GSE157880,Gzmb,0-4_S16,PD-1 0Gy,False,4.0703034506306865,log2(abundance+1),True
GSE157880,Gzmb,0-5_S17,PD-1 0Gy,False,3.2579218239063827,log2(abundance+1),True
GSE157880,Gzmb,4_4_S28,PD-1 4Gy,False,4.783818068628757,log2(abundance+1),True
GSE157880,Gzmb,4_5_S29,PD-1 4Gy,False,5.002666520054405,log2(abundance+1),True
GSE157880,Gzmb,4_6_S30,PD-1 4Gy,False,5.7276019376694105,log2(abundance+1),True
GSE157880,Gzmb,8_4_S34,PD-1 8Gy,False,5.828034904729643,log2(abundance+1),True
GSE157880,Gzmb,8_5_S35,PD-1 8Gy,False,5.711076354249829,log2(abundance+1),True
GSE157880,Gzmb,8_6_S36,PD-1 8Gy,False,5.005296677736302,log2(abundance+1),True
GSE157880,Ifng,0-1_S13,IgG 0Gy,True,1.9255589496792813,log2(abundance+1),False
GSE157880,Ifng,0-2_S14,IgG 0Gy,True,1.337870907059159,log2(abundance+1),False
GSE157880,Ifng,0-3_S15,IgG 0Gy,True,2.7932820605124933,log2(abundance+1),False
GSE157880,Ifng,4_2_S26,IgG 4Gy,False,2.3110496589859224,log2(abundance+1),False
GSE157880,Ifng,4_3_S27,IgG 4Gy,False,1.7915432148996981,log2(abundance+1),False
GSE157880,Ifng,8_1_S31,IgG 8Gy,False,2.3893437825046537,log2(abundance+1),False
GSE157880,Ifng,8_2_S32,IgG 8Gy,False,2.931715200627926,log2(abundance+1),False
GSE157880,Ifng,8_3_S33,IgG 8Gy,False,2.4108837771955804,log2(abundance+1),False
GSE157880,Ifng,0-4_S16,PD-1 0Gy,False,1.6736333053763803,log2(abundance+1),True
GSE157880,Ifng,0-5_S17,PD-1 0Gy,False,1.305649562222234,log2(abundance+1),True
GSE157880,Ifng,4_4_S28,PD-1 4Gy,False,2.071137961046058,log2(abundance+1),True
GSE157880,Ifng,4_5_S29,PD-1 4Gy,False,3.1534989334736427,log2(abundance+1),True
GSE157880,Ifng,4_6_S30,PD-1 4Gy,False,4.406842754655301,log2(abundance+1),True
GSE157880,Ifng,8_4_S34,PD-1 8Gy,False,3.655042646547388,log2(abundance+1),True
GSE157880,Ifng,8_5_S35,PD-1 8Gy,False,3.715860431928649,log2(abundance+1),True
GSE157880,Ifng,8_6_S36,PD-1 8Gy,False,2.27697004206994,log2(abundance+1),True
GSE157880,Nkg7,0-1_S13,IgG 0Gy,True,5.647895845714833,log2(abundance+1),False
GSE157880,Nkg7,0-2_S14,IgG 0Gy,True,5.3165440217866635,log2(abundance+1),False
GSE157880,Nkg7,0-3_S15,IgG 0Gy,True,6.358633620343535,log2(abundance+1),False
GSE157880,Nkg7,4_2_S26,IgG 4Gy,False,5.3609541578000925,log2(abundance+1),False
GSE157880,Nkg7,4_3_S27,IgG 4Gy,False,4.897676073059799,log2(abundance+1),False
GSE157880,Nkg7,8_1_S31,IgG 8Gy,False,6.049225606252097,log2(abundance+1),False
GSE157880,Nkg7,8_2_S32,IgG 8Gy,False,5.997014592081977,log2(abundance+1),False
GSE157880,Nkg7,8_3_S33,IgG 8Gy,False,5.925572241656258,log2(abundance+1),False
GSE157880,Nkg7,0-4_S16,PD-1 0Gy,False,5.814535042835676,log2(abundance+1),True
GSE157880,Nkg7,0-5_S17,PD-1 0Gy,False,4.776719897896606,log2(abundance+1),True
GSE157880,Nkg7,4_4_S28,PD-1 4Gy,False,5.742927817977997,log2(abundance+1),True
GSE157880,Nkg7,4_5_S29,PD-1 4Gy,False,6.082325773979908,log2(abundance+1),True
GSE157880,Nkg7,4_6_S30,PD-1 4Gy,False,6.377909796807412,log2(abundance+1),True
GSE157880,Nkg7,8_4_S34,PD-1 8Gy,False,6.194313637700563,log2(abundance+1),True
GSE157880,Nkg7,8_5_S35,PD-1 8Gy,False,6.608846196480956,log2(abundance+1),True
GSE157880,Nkg7,8_6_S36,PD-1 8Gy,False,5.292108088928874,log2(abundance+1),True
GSE157880,Pdcd1,0-1_S13,IgG 0Gy,True,4.906837695820517,log2(abundance+1),False
GSE157880,Pdcd1,0-2_S14,IgG 0Gy,True,4.620316612982706,log2(abundance+1),False
GSE157880,Pdcd1,0-3_S15,IgG 0Gy,True,5.413996805637752,log2(abundance+1),False
GSE157880,Pdcd1,4_2_S26,IgG 4Gy,False,3.9892752756529766,log2(abundance+1),False
GSE157880,Pdcd1,4_3_S27,IgG 4Gy,False,3.469703674769862,log2(abundance+1),False
GSE157880,Pdcd1,8_1_S31,IgG 8Gy,False,4.6511435613707715,log2(abundance+1),False
GSE157880,Pdcd1,8_2_S32,IgG 8Gy,False,5.124220590652555,log2(abundance+1),False
GSE157880,Pdcd1,8_3_S33,IgG 8Gy,False,5.357372536267784,log2(abundance+1),False
GSE157880,Pdcd1,0-4_S16,PD-1 0Gy,False,6.04437881796627,log2(abundance+1),True
GSE157880,Pdcd1,0-5_S17,PD-1 0Gy,False,4.61078272893204,log2(abundance+1),True
GSE157880,Pdcd1,4_4_S28,PD-1 4Gy,False,3.812344192729447,log2(abundance+1),True
GSE157880,Pdcd1,4_5_S29,PD-1 4Gy,False,5.047119548568551,log2(abundance+1),True
GSE157880,Pdcd1,4_6_S30,PD-1 4Gy,False,5.201551531114399,log2(abundance+1),True
GSE157880,Pdcd1,8_4_S34,PD-1 8Gy,False,5.112512486798595,log2(abundance+1),True
GSE157880,Pdcd1,8_5_S35,PD-1 8Gy,False,5.72648521204309,log2(abundance+1),True
GSE157880,Pdcd1,8_6_S36,PD-1 8Gy,False,4.6227195521541775,log2(abundance+1),True
GSE157880,Prf1,0-1_S13,IgG 0Gy,True,4.000658079499433,log2(abundance+1),False
GSE157880,Prf1,0-2_S14,IgG 0Gy,True,3.1673306280415607,log2(abundance+1),False
GSE157880,Prf1,0-3_S15,IgG 0Gy,True,5.016652312223848,log2(abundance+1),False
GSE157880,Prf1,4_2_S26,IgG 4Gy,False,4.36813973900714,log2(abundance+1),False
GSE157880,Prf1,4_3_S27,IgG 4Gy,False,3.821016248559906,log2(abundance+1),False
GSE157880,Prf1,8_1_S31,IgG 8Gy,False,4.8192236586863295,log2(abundance+1),False
GSE157880,Prf1,8_2_S32,IgG 8Gy,False,4.626906330691323,log2(abundance+1),False
GSE157880,Prf1,8_3_S33,IgG 8Gy,False,4.630259843266861,log2(abundance+1),False
GSE157880,Prf1,0-4_S16,PD-1 0Gy,False,3.827168649292031,log2(abundance+1),True
GSE157880,Prf1,0-5_S17,PD-1 0Gy,False,3.402617135655851,log2(abundance+1),True
GSE157880,Prf1,4_4_S28,PD-1 4Gy,False,4.893590344363883,log2(abundance+1),True
GSE157880,Prf1,4_5_S29,PD-1 4Gy,False,5.093779876344117,log2(abundance+1),True
GSE157880,Prf1,4_6_S30,PD-1 4Gy,False,5.3891365546718,log2(abundance+1),True
GSE157880,Prf1,8_4_S34,PD-1 8Gy,False,5.509816167055003,log2(abundance+1),True
GSE157880,Prf1,8_5_S35,PD-1 8Gy,False,5.301865623936625,log2(abundance+1),True
GSE157880,Prf1,8_6_S36,PD-1 8Gy,False,4.369613048996386,log2(abundance+1),True
GSE157880,Tacstd2,0-1_S13,IgG 0Gy,True,2.6256796236285025,log2(abundance+1),False
