cohort	split	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff
GSE253013	GSE253013	HLA-B_CD8A	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	outgoing	TNK	0.6177367159848227	0.6039290910525625	0.0099009900990099	1.0	True	False	0.0138076249322601	other	True	True
GSE253013	GSE253013	HLA-A_CD8B	MHC-I	Cell-Cell Contact	HLA-A	CD8B	HLA-A	CD8B	outgoing	TNK	0.5350965983875395	0.5293809704116839	0.0495049504950495	1.0	True	False	0.0057156279758556	other	True	True
GSE253013	GSE253013	HLA-A_CD8A	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	outgoing	TNK	0.6018343039839419	0.5963201834728318	0.0495049504950495	1.0	True	False	0.0055141205111101	other	True	True
GSE253013	GSE253013	HLA-DOB_CD4	MHC-II	Cell-Cell Contact	HLA-DOB	CD4	HLA-DOB	CD4	outgoing	TNK	0.0	0.0030579313856924	1.0	0.0099009900990099	False	True	-0.0030579313856924	other	True	True
GSE253013	GSE253013	PPIA_BSG	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	outgoing	TNK	0.633104628091314	0.6390060669438391	0.9801980198019802	0.0198019801980198	False	True	-0.0059014388525251	other	True	True
GSE253013	GSE253013	COL1A2_CD44	COLLAGEN	ECM-Receptor	COL1A2	CD44	COL1A2	CD44	outgoing	TNK	0.0	0.0064474688426808	1.0	0.0099009900990099	False	True	-0.0064474688426808	other	True	True
GSE253013	GSE253013	HLA-DOA_CD4	MHC-II	Cell-Cell Contact	HLA-DOA	CD4	HLA-DOA	CD4	outgoing	TNK	0.0	0.007804180754588	1.0	0.0099009900990099	False	True	-0.007804180754588	other	True	True
GSE253013	GSE253013	THBS1_CD47	THBS	ECM-Receptor	THBS1	CD47	THBS1	CD47	outgoing	TNK	0.0071624368767879	0.0202188538437094	0.99009900990099	0.0198019801980198	False	True	-0.0130564169669215	other	True	True
GSE253013	GSE253013	HLA-F_CD8B	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	outgoing	TNK	0.1145075985203353	0.1306769035665098	0.9801980198019802	0.0297029702970297	False	True	-0.0161693050461745	inhibitory	True	True
GSE253013	GSE253013	HLA-DMB_CD4	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	outgoing	TNK	0.0128212764099054	0.0319446864459234	1.0	0.0099009900990099	False	True	-0.019123410036018	other	True	True
GSE253013	GSE253013	HLA-F_CD8A	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	outgoing	TNK	0.1451688506729125	0.1648616606216774	0.9801980198019802	0.0297029702970297	False	True	-0.0196928099487649	inhibitory	True	True
GSE253013	GSE253013	ICAM1_ITGAL	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	outgoing	TNK	0.0248688876638713	0.0468223629136952	1.0	0.0099009900990099	False	True	-0.0219534752498239	other	True	True
GSE253013	GSE253013	HLA-DQA1_CD4	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	outgoing	TNK	0.0089345879510731	0.0309350642143731	1.0	0.0099009900990099	False	True	-0.0220004762632999	other	True	True
GSE253013	GSE253013	HLA-DQA2_CD4	MHC-II	Cell-Cell Contact	HLA-DQA2	CD4	HLA-DQA2	CD4	outgoing	TNK	0.0040790577847702	0.03096304926286	1.0	0.0099009900990099	False	True	-0.0268839914780898	other	True	True
GSE253013	GSE253013	THBS4_CD47	THBS	ECM-Receptor	THBS4	CD47	THBS4	CD47	outgoing	TNK	0.0023774861659298	0.0393756860848224	1.0	0.0099009900990099	False	True	-0.0369981999188925	other	True	True
GSE253013	GSE253013	CLEC2C_KLRB1	CLEC	Cell-Cell Contact	CD69	KLRB1	CD69	KLRB1	outgoing	TNK	0.0	0.0370355028318507	1.0	0.0099009900990099	False	True	-0.0370355028318507	other	True	True
GSE253013	GSE253013	LAMC1_CD44	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	outgoing	TNK	0.0651690830407682	0.1028946659851378	0.9603960396039604	0.0495049504950495	False	True	-0.0377255829443695	other	True	True
GSE253013	GSE253013	NECTIN2_TIGIT	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	outgoing	TNK	0.0031135120094937	0.0437549944240484	1.0	0.0099009900990099	False	True	-0.0406414824145546	barrier|inhibitory	True	True
GSE253013	GSE253013	HLA-DQB1_CD4	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	outgoing	TNK	0.0363368151409435	0.077772614369158	1.0	0.0099009900990099	False	True	-0.0414357992282145	other	True	True
GSE253013	GSE253013	ICAM1_SPN	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	outgoing	TNK	0.0576828621640977	0.1054703933666103	1.0	0.0099009900990099	False	True	-0.0477875312025126	other	True	True
GSE253013	GSE253013	HLA-DMA_CD4	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	outgoing	TNK	0.0369853059804902	0.0857646780744412	1.0	0.0099009900990099	False	True	-0.048779372093951	other	True	True
GSE253013	GSE253013	HLA-DPB1_CD4	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	outgoing	TNK	0.0767515240652353	0.1319762641346065	1.0	0.0099009900990099	False	True	-0.0552247400693712	other	True	True
GSE253013	GSE253013	HLA-DPA1_CD4	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	outgoing	TNK	0.0701676496692097	0.1361863410519108	1.0	0.0099009900990099	False	True	-0.066018691382701	other	True	True
GSE253013	GSE253013	HLA-DRB1_CD4	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	outgoing	TNK	0.092907616105062	0.169617349235869	1.0	0.0099009900990099	False	True	-0.076709733130807	other	True	True
GSE253013	GSE253013	HLA-DRA_CD4	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	outgoing	TNK	0.0936281541443391	0.1817486852659509	1.0	0.0099009900990099	False	True	-0.0881205311216117	other	True	True
GSE253013	GSE253013	FN1_CD44	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	outgoing	TNK	0.0	0.0915305775624274	1.0	0.0099009900990099	False	True	-0.0915305775624274	other	True	True
GSE253013	GSE253013	COL1A1_CD44	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	outgoing	TNK	0.0	0.0959452402826395	1.0	0.0099009900990099	False	True	-0.0959452402826395	other	True	True
GSE253013	GSE253013	CLEC2B_KLRB1	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	outgoing	TNK	0.0	0.1225965202525647	1.0	0.0099009900990099	False	True	-0.1225965202525647	other	True	True
GSE253013	GSE253013	SFTPD_ADGRE5	ADGRE	Cell-Cell Contact	SFTPD	ADGRE5	SFTPD	ADGRE5	outgoing	TNK	0.1532000089978987	0.3434721732978852	1.0	0.0099009900990099	False	True	-0.1902721642999864	other	True	True
GSE291670	GSE291670	EFNA5_EPHA4	EPHA	Cell-Cell Contact	EFNA5	EPHA4	EFNA5	EPHA4	incoming	TNK	0.2260235630493881	0.0863015818521439	0.0099009900990099	1.0	True	False	0.1397219811972441	other	True	True
GSE291670	GSE291670	APP_TNFRSF21	APP	Cell-Cell Contact	APP	TNFRSF21	APP	TNFRSF21	incoming	TNK	0.13597217335771	0.051002685561279	0.0099009900990099	1.0	True	False	0.0849694877964309	other	True	True
GSE291670	GSE291670	COL4A3_SDC4	COLLAGEN	ECM-Receptor	COL4A3	SDC4	COL4A3	SDC4	incoming	TNK	0.1202620535398586	0.0591231482957155	0.0099009900990099	1.0	True	False	0.0611389052441431	other	True	True
GSE291670	GSE291670	APP_SORL1	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	incoming	TNK	0.0798615703099164	0.0356528456292034	0.0099009900990099	1.0	True	False	0.0442087246807129	other	True	True
GSE291670	GSE291670	LAMA3_DAG1	LAMININ	ECM-Receptor	LAMA3	DAG1	LAMA3	DAG1	incoming	TNK	0.0433077540236492	0.0	0.0099009900990099	1.0	True	False	0.0433077540236492	other	True	True
GSE291670	GSE291670	Q9HDB5_CLSTN1	NRXN	Cell-Cell Contact	NRXN3	CLSTN1	NRXN3	CLSTN1	incoming	TNK	0.0749967244261403	0.0379362495784554	0.0099009900990099	1.0	True	False	0.0370604748476849	other	True	True
GSE291670	GSE291670	COL4A5_SDC4	COLLAGEN	ECM-Receptor	COL4A5	SDC4	COL4A5	SDC4	incoming	TNK	0.0623492533334421	0.0296594976232285	0.0099009900990099	1.0	True	False	0.0326897557102136	other	True	True
GSE291670	GSE291670	COL4A4_SDC4	COLLAGEN	ECM-Receptor	COL4A4	SDC4	COL4A4	SDC4	incoming	TNK	0.0554681110195732	0.0262850063756474	0.0099009900990099	1.0	True	False	0.0291831046439257	other	True	True
GSE291670	GSE291670	CD46_JAG1	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	incoming	TNK	0.0209457774303391	0.0	0.0099009900990099	1.0	True	False	0.0209457774303391	other	True	True
GSE291670	GSE291670	COL4A3_ADGRG6	ADGRG	Cell-Cell Contact	COL4A3	ADGRG6	COL4A3	ADGRG6	incoming	TNK	0.0170104574182944	0.0	0.0099009900990099	1.0	True	False	0.0170104574182944	other	True	True
GSE291670	GSE291670	NRG1_ERBB3	NRG	Secreted Signaling	NRG1	ERBB3	NRG1	ERBB3	incoming	TNK	0.022027225695579	0.0052737781007421	0.0198019801980198	0.99009900990099	True	False	0.0167534475948368	other	True	True
GSE291670	GSE291670	FN1_SDC4	FN1	ECM-Receptor	FN1	SDC4	FN1	SDC4	incoming	TNK	0.0289452799296053	0.0135167795571562	0.0099009900990099	1.0	True	False	0.0154285003724491	other	True	True
GSE291670	GSE291670	LAMC1_DAG1	LAMININ	ECM-Receptor	LAMC1	DAG1	LAMC1	DAG1	incoming	TNK	0.008915132104037	0.0	0.0099009900990099	1.0	True	False	0.008915132104037	other	True	True
GSE291670	GSE291670	EFNA5_EPHA2	EPHA	Cell-Cell Contact	EFNA5	EPHA2	EFNA5	EPHA2	incoming	TNK	0.0088185654232551	0.0	0.0099009900990099	1.0	True	False	0.0088185654232551	other	True	True
GSE291670	GSE291670	COL4A5_ADGRG6	ADGRG	Cell-Cell Contact	COL4A5	ADGRG6	COL4A5	ADGRG6	incoming	TNK	0.0083472148755198	0.0	0.0099009900990099	1.0	True	False	0.0083472148755198	other	True	True
GSE291670	GSE291670	COL4A4_ADGRG6	ADGRG	Cell-Cell Contact	COL4A4	ADGRG6	COL4A4	ADGRG6	incoming	TNK	0.0073790759610688	0.0	0.0099009900990099	1.0	True	False	0.0073790759610688	other	True	True
GSE291670	GSE291670	COL4A2_SDC4	COLLAGEN	ECM-Receptor	COL4A2	SDC4	COL4A2	SDC4	incoming	TNK	0.0060716137573193	0.0028001463247348	0.0099009900990099	1.0	True	False	0.0032714674325844	other	True	True
GSE291670	GSE291670	NRXN3_NLGN1	NRXN	Cell-Cell Contact	NRXN3	NLGN1	NRXN3	NLGN1	incoming	TNK	0.0032047063372318	0.0	0.0396039603960396	1.0	True	False	0.0032047063372318	other	True	True
GSE291670	GSE291670	FLRT3_ADGRL2	ADGRL	Cell-Cell Contact	FLRT3	ADGRL2	FLRT3	ADGRL2	incoming	TNK	0.0027958261226372	0.0012210060098643	0.0198019801980198	1.0	True	False	0.0015748201127729	other	True	True
GSE291670	GSE291670	COL4A2_ADGRG6	ADGRG	Cell-Cell Contact	COL4A2	ADGRG6	COL4A2	ADGRG6	incoming	TNK	0.0007726897334167	0.0	0.0099009900990099	1.0	True	False	0.0007726897334167	other	True	True
GSE291670	GSE291670	SEMA4D_PLXNB1	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB1	SEMA4D	PLXNB1	incoming	TNK	0.0005284939563964	9.950771672925464e-05	0.0099009900990099	1.0	True	False	0.0004289862396672	other	True	True
GSE291670	GSE291670	SEMA4D_PLXNB2	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	SEMA4D	PLXNB2	incoming	TNK	0.0001913661187587	2.150174815834574e-05	0.0495049504950495	0.9801980198019802	True	False	0.0001698643706004	other	True	True
GSE291670	GSE291670	FLRT3_FLRT3	FLRT	Cell-Cell Contact	FLRT3	FLRT3	FLRT3	FLRT3	incoming	TNK	0.0	0.000297800520679	1.0	0.0297029702970297	False	True	-0.000297800520679	other	True	True
GSE291670	GSE291670	NTN4_NTRK2	Netrin	Cell-Cell Contact	NTN4	NTRK2	NTN4	NTRK2	incoming	TNK	0.0	0.0105617504551599	1.0	0.0495049504950495	False	True	-0.0105617504551599	other	True	True
GSE291670	GSE291670	CADM1_CADM1	CADM	Cell-Cell Contact	CADM1	CADM1	CADM1	CADM1	incoming	TNK	0.6148313620119616	0.7087256555910956	1.0	0.0099009900990099	False	True	-0.0938942935791339	barrier	True	True
GSE291670	GSE291670	LAMB3_CD44	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	outgoing	TNK	0.2118610401460144	0.0040741649565749	0.0099009900990099	1.0	True	False	0.2077868751894395	other	True	True
GSE291670	GSE291670	LAMC2_CD44	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	outgoing	TNK	0.1626982678258574	0.0504820963332934	0.0099009900990099	1.0	True	False	0.1122161714925639	other	True	True
GSE291670	GSE291670	COL4A5_CD44	COLLAGEN	ECM-Receptor	COL4A5	CD44	COL4A5	CD44	outgoing	TNK	0.5442822960843858	0.4656379937709761	0.0099009900990099	1.0	True	False	0.0786443023134096	other	True	True
GSE291670	GSE291670	APP_CD74	APP	Cell-Cell Contact	APP	CD74	APP	CD74	outgoing	TNK	0.2421447750396041	0.1814055058943938	0.0099009900990099	1.0	True	False	0.0607392691452103	other	True	True
GSE291670	GSE291670	CD55_ADGRE5	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	outgoing	TNK	0.2359567609122706	0.1871795207678222	0.0099009900990099	1.0	True	False	0.0487772401444484	other	True	True
GSE291670	GSE291670	APP_SORL1	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	outgoing	TNK	0.1440895009641119	0.1045530350177137	0.0099009900990099	1.0	True	False	0.0395364659463982	other	True	True
GSE291670	GSE291670	TGFA_EGFR	EGF	Secreted Signaling	TGFA	EGFR	TGFA	EGFR	outgoing	TNK	0.0371695411009595	0.0	0.0099009900990099	1.0	True	False	0.0371695411009595	other	True	True
GSE291670	GSE291670	SLIT2_ROBO1	SLIT	Secreted Signaling	SLIT2	ROBO1	SLIT2	ROBO1	outgoing	TNK	0.0233488352349565	0.0041253444939181	0.0099009900990099	1.0	True	False	0.0192234907410384	other	True	True
GSE291670	GSE291670	LPAR1_ADGRE5	ADGRE	Cell-Cell Contact	LPAR1	ADGRE5	LPAR1	ADGRE5	outgoing	TNK	0.0533030253564242	0.0341099130689655	0.0099009900990099	1.0	True	False	0.0191931122874586	other	True	True
GSE291670	GSE291670	COL4A6_CD44	COLLAGEN	ECM-Receptor	COL4A6	CD44	COL4A6	CD44	outgoing	TNK	0.0191294231895284	0.0	0.0099009900990099	1.0	True	False	0.0191294231895284	other	True	True
GSE291670	GSE291670	TENM4_ADGRL2	ADGRL	Cell-Cell Contact	TENM4	ADGRL2	TENM4	ADGRL2	outgoing	TNK	0.0158956788140056	0.0059952481323654	0.0099009900990099	1.0	True	False	0.0099004306816402	other	True	True
GSE291670	GSE291670	JAG1_NOTCH2	NOTCH	Cell-Cell Contact	JAG1	NOTCH2	JAG1	NOTCH2	outgoing	TNK	0.0077635532385202	0.0	0.0099009900990099	1.0	True	False	0.0077635532385202	other	True	True
GSE291670	GSE291670	AREG_EGFR	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	outgoing	TNK	0.0072320304902905	0.0	0.0099009900990099	1.0	True	False	0.0072320304902905	other	True	True
GSE291670	GSE291670	HBEGF_ERBB4	EGF	Secreted Signaling	HBEGF	ERBB4	HBEGF	ERBB4	outgoing	TNK	0.0071284512999459	0.0	0.0099009900990099	1.0	True	False	0.0071284512999459	other	True	True
GSE291670	GSE291670	LAMA2_CD44	LAMININ	ECM-Receptor	LAMA2	CD44	LAMA2	CD44	outgoing	TNK	0.0054520988503154	0.0	0.0198019801980198	1.0	True	False	0.0054520988503154	other	True	True
GSE291670	GSE291670	CD99_PILRB	CD99	Cell-Cell Contact	CD99	PILRB	CD99	PILRB	outgoing	TNK	0.0051413738313837	0.0009862871027728	0.0099009900990099	1.0	True	False	0.0041550867286109	other	True	True
GSE291670	GSE291670	HBEGF_EGFR	EGF	Secreted Signaling	HBEGF	EGFR	HBEGF	EGFR	outgoing	TNK	0.0037024530999369	0.0	0.0099009900990099	1.0	True	False	0.0037024530999369	other	True	True
GSE291670	GSE291670	COL4A5_SDC4	COLLAGEN	ECM-Receptor	COL4A5	SDC4	COL4A5	SDC4	outgoing	TNK	0.0107003532971622	0.0078296265486968	0.0099009900990099	1.0	True	False	0.0028707267484654	other	True	True
GSE291670	GSE291670	WNT5B_FZD6	ncWNT	Secreted Signaling	WNT5B	FZD6	WNT5B	FZD6	outgoing	TNK	0.001722015369521	0.0	0.0297029702970297	1.0	True	False	0.001722015369521	other	True	True
GSE291670	GSE291670	EFNA5_EPHA4	EPHA	Cell-Cell Contact	EFNA5	EPHA4	EFNA5	EPHA4	outgoing	TNK	0.0048197152895061	0.0031603116504309	0.0099009900990099	1.0	True	False	0.0016594036390751	other	True	True
GSE291670	GSE291670	TNC_SDC4	TENASCIN	ECM-Receptor	TNC	SDC4	TNC	SDC4	outgoing	TNK	0.0014996524698786	0.0	0.0099009900990099	1.0	True	False	0.0014996524698786	other	True	True
GSE291670	GSE291670	EFNB2_EPHA4	EPHB	Cell-Cell Contact	EFNB2	EPHA4	EFNB2	EPHA4	outgoing	TNK	0.0003836752432818	8.43765505626891e-05	0.0099009900990099	1.0	True	False	0.0002992986927191	other	True	True
GSE291670	GSE291670	COL4A6_SDC4	COLLAGEN	ECM-Receptor	COL4A6	SDC4	COL4A6	SDC4	outgoing	TNK	0.0001765856573243	0.0	0.0099009900990099	1.0	True	False	0.0001765856573243	other	True	True
GSE291670	GSE291670	EFNA1_EPHA4	EPHA	Cell-Cell Contact	EFNA1	EPHA4	EFNA1	EPHA4	outgoing	TNK	0.0001358753688295	0.0	0.0099009900990099	1.0	True	False	0.0001358753688295	other	True	True
GSE291670	GSE291670	FLRT3_FLRT3	FLRT	Cell-Cell Contact	FLRT3	FLRT3	FLRT3	FLRT3	outgoing	TNK	0.0	0.000297800520679	1.0	0.0297029702970297	False	True	-0.000297800520679	other	True	True
GSE291670	GSE291670	FN1_SDC4	FN1	ECM-Receptor	FN1	SDC4	FN1	SDC4	outgoing	TNK	0.0	0.0003889132043995	1.0	0.0099009900990099	False	True	-0.0003889132043995	other	True	True
GSE291670	GSE291670	COL4A1_SDC4	COLLAGEN	ECM-Receptor	COL4A1	SDC4	COL4A1	SDC4	outgoing	TNK	0.0	0.0005969833470188	1.0	0.0099009900990099	False	True	-0.0005969833470188	other	True	True
GSE291670	GSE291670	FLRT3_ADGRL2	ADGRL	Cell-Cell Contact	FLRT3	ADGRL2	FLRT3	ADGRL2	outgoing	TNK	0.0	0.0007624235222503	1.0	0.0297029702970297	False	True	-0.0007624235222503	other	True	True
