contrast	n	n_cells	spearman_rho	spearman_p	note	Sample	patient	paper_group	target	compartment	unit
within BD_immune10: CLDN4 vs CD274	189	189	0.23716419619573728	0.0010167657365866061		BD_immune10	P10	NMPR	CD274	A3-malignant	within_patient
within BD_immune10: CLDN4 vs HLA-A	189	189	0.08763746540135016	0.23047667663313384		BD_immune10	P10	NMPR	HLA-A	A3-malignant	within_patient
within BD_immune10: CLDN4 vs HLA-B	189	189	0.09068726735887642	0.21459399229828807		BD_immune10	P10	NMPR	HLA-B	A3-malignant	within_patient
within BD_immune10: CLDN4 vs HLA-C	189	189	0.24061262829929214	0.0008527914592246783		BD_immune10	P10	NMPR	HLA-C	A3-malignant	within_patient
within BD_immune10: CLDN4 vs B2M	189	189	-0.01081490743357701	0.8825808159643906		BD_immune10	P10	NMPR	B2M	A3-malignant	within_patient
within BD_immune10: CLDN4 vs HLA-DRA	189	189	0.20187992233952148	0.005340909993018498		BD_immune10	P10	NMPR	HLA-DRA	A3-malignant	within_patient
within BD_immune10: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	189	189	0.1295243289539354	0.0756764709108959		BD_immune10	P10	NMPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
within BD_immune12: CLDN4 vs CD274	306	306	0.1071891225275931	0.06110031332456418		BD_immune12	P12	NMPR	CD274	A3-malignant	within_patient
within BD_immune12: CLDN4 vs HLA-A	306	306	0.16227842985916333	0.004427453980050664		BD_immune12	P12	NMPR	HLA-A	A3-malignant	within_patient
within BD_immune12: CLDN4 vs HLA-B	306	306	0.11924855146607642	0.037077890717430305		BD_immune12	P12	NMPR	HLA-B	A3-malignant	within_patient
within BD_immune12: CLDN4 vs HLA-C	306	306	0.25962567934174186	4.181236659632728e-06		BD_immune12	P12	NMPR	HLA-C	A3-malignant	within_patient
within BD_immune12: CLDN4 vs B2M	306	306	0.08022502169420592	0.16154970390586798		BD_immune12	P12	NMPR	B2M	A3-malignant	within_patient
within BD_immune12: CLDN4 vs HLA-DRA	306	306	0.3384234239728028	1.232318657508896e-09		BD_immune12	P12	NMPR	HLA-DRA	A3-malignant	within_patient
within BD_immune12: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	306	306	0.20181559769681182	0.00038158176448106046		BD_immune12	P12	NMPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
