ModelID,CellLineName,OncotreeSubtype,TACSTD2 (4070),CLDN4 (1364),release
ACH-000481,NCI-H2170,Lung Squamous Cell Carcinoma,7.403693786262805,8.974787405160122,24Q2
ACH-000482,RERF-LC-KJ,Lung Adenocarcinoma,9.157447996274298,7.835734632321086,24Q2
ACH-000496,NCI-H1792,Lung Adenocarcinoma,4.558879853475442,7.153298682854903,24Q2
ACH-000510,NCI-H1299,Large Cell Lung Carcinoma,0.1634987322828795,1.819668183496456,24Q2
ACH-000511,Calu-1,Lung Squamous Cell Carcinoma,6.24412594328373,6.3466023752989855,24Q2
ACH-000521,NCI-H2030,Lung Adenocarcinoma,0.4329594072761063,1.070389327891398,24Q2
ACH-000528,ABC-1,Lung Adenocarcinoma,7.385689870739212,8.603477988254005,24Q2
ACH-000553,Sq-1,Lung Squamous Cell Carcinoma,9.11097913063484,8.568070117946721,24Q2
ACH-000562,HCC-78,Lung Adenocarcinoma,9.636479618780534,8.728600810643192,24Q2
ACH-000563,EBC-1,Lung Squamous Cell Carcinoma,7.840652055941782,8.451087446957397,24Q2
ACH-000575,HCC-364,Lung Adenocarcinoma,1.5897634869849773,7.328315891666071,24Q2
ACH-000578,HCC-1171,Lung Adenocarcinoma,8.982565834895489,9.614378575081137,24Q2
ACH-000585,EPLC-272H,Lung Squamous Cell Carcinoma,8.924070185585345,7.23035674505615,24Q2
ACH-000587,NCI-H1975,Lung Adenocarcinoma,5.3125199674749455,7.45022149589718,24Q2
ACH-000589,NCI-H1437,Lung Adenocarcinoma,6.179909090014935,7.278356528010724,24Q2
ACH-000590,NCI-H2073,Lung Adenocarcinoma,6.330737650206952,6.471187460386985,24Q2
ACH-000596,LCLC-97TM1,Large Cell Lung Carcinoma,7.790315911515695,9.30108459093582,24Q2
ACH-000603,BEN,Non-Small Cell Lung Cancer,0.5753123306874368,8.753350480643723,24Q2
ACH-000627,LCLC-103H,Large Cell Lung Carcinoma,4.305240965954483,7.908272516291422,24Q2
ACH-000628,NCI-H596,Lung Adenosquamous Carcinoma,9.605553595494404,7.769507291436245,24Q2
ACH-000638,NCI-H441,Lung Adenocarcinoma,9.17587385548062,8.106484424292539,24Q2
ACH-000662,COR-L23,Large Cell Lung Carcinoma,7.484863164322325,7.970911158577129,24Q2
ACH-000665,SK-MES-1,Lung Squamous Cell Carcinoma,7.525207571284386,7.105908508571158,24Q2
ACH-000666,NCI-H1355,Lung Adenocarcinoma,4.462706750670158,1.263034405833794,24Q2
ACH-000667,HCC-44,Lung Adenocarcinoma,4.516015147003665,5.751410160064371,24Q2
ACH-000669,SW 900,Lung Squamous Cell Carcinoma,6.709290635723358,8.359793477311143,24Q2
ACH-000672,IA-LM,Large Cell Lung Carcinoma,0.4329594072761063,6.011227255423254,24Q2
ACH-000675,NCI-H1734,Lung Adenocarcinoma,1.4698859762744636,7.9066501263953795,24Q2
ACH-000677,SW 1573,Lung Adenocarcinoma,1.632268215499513,3.056583528366368,24Q2
ACH-000681,A549,Lung Adenocarcinoma,0.2016338611696504,2.204766750654613,24Q2
ACH-000690,HCC-2814,Lung Squamous Cell Carcinoma,6.095080491901415,7.300123724569014,24Q2
ACH-000700,NCI-H2882,Lung Squamous Cell Carcinoma,0.2016338611696504,3.817623257511431,24Q2
ACH-000705,LC-1F,Lung Squamous Cell Carcinoma,0.5945485495503542,8.272769732436512,24Q2
ACH-000706,EKVX,Lung Adenocarcinoma,1.613531652917927,1.6780719051126378,24Q2
ACH-000712,HCC-1833,Lung Adenocarcinoma,0.5849625007211562,8.312746845558241,24Q2
ACH-000718,NCI-H2291,Lung Adenocarcinoma,8.58942643932765,9.779932707234156,24Q2
ACH-000731,HCC-2279,Lung Adenosquamous Carcinoma,5.03738222200308,5.9342805936400245,24Q2
ACH-000733,NCI-H1838,Lung Adenocarcinoma,7.210330413537888,8.839707698350368,24Q2
ACH-000737,NCI-H1385,Lung Squamous Cell Carcinoma,0.5160151470036647,7.925584109389362,24Q2
ACH-000744,NCI-H1623,Lung Adenocarcinoma,6.357727932310624,8.588864518190148,24Q2
ACH-000747,NCI-H1703,Lung Squamous Cell Carcinoma,0.3785116232537298,0.8718436485093178,24Q2
ACH-000757,A427,Lung Adenocarcinoma,0.2016338611696504,0.8237493603082727,24Q2
ACH-000766,NCI-H1648,Lung Adenocarcinoma,9.097847785326554,8.380677507222886,24Q2
ACH-000769,LK-2,Lung Squamous Cell Carcinoma,5.211790976252541,2.541019153133559,24Q2
ACH-000774,RERF-LC-Ad2,Lung Adenocarcinoma,8.40981519582048,8.132319783167718,24Q2
ACH-000779,PC-9,Lung Adenocarcinoma,7.915461145743733,7.807354922057604,24Q2
ACH-000781,NCI-H2023,Lung Adenocarcinoma,1.7782085763980875,1.599317793698226,24Q2
ACH-000785,NCI-H2126,Lung Adenocarcinoma,8.774490584953922,7.608365723163637,24Q2
ACH-000787,LXF-289,Lung Adenocarcinoma,3.711494906650088,5.530757457461217,24Q2
ACH-000789,NCI-H810,Large Cell Lung Carcinoma,0.4436066514756146,6.785419772149728,24Q2
ACH-000791,RERF-LC-Ad1,Lung Adenocarcinoma,10.143893360756412,9.783653086390071,24Q2
ACH-000813,T3M-10,Large Cell Lung Carcinoma,4.5496691707264905,5.012568673503056,24Q2
ACH-000825,HOP-92,Non-Small Cell Lung Cancer,8.219700960636958,7.353499735245657,24Q2
ACH-000826,CAL-12T,Non-Small Cell Lung Cancer,9.267582613736998,8.59245703726808,24Q2
ACH-000837,NCI-H322,Lung Adenocarcinoma,7.898389766534846,7.851686585733419,24Q2
ACH-000840,HCC-366,Lung Adenosquamous Carcinoma,4.655351828612554,1.835924074254375,24Q2
ACH-000841,NCI-H2087,Lung Adenocarcinoma,8.132319783167718,8.3387809438947,24Q2
ACH-000843,HARA,Lung Squamous Cell Carcinoma,5.270528942380718,3.2078928516413328,24Q2
ACH-000845,NCI-H1373,Lung Adenocarcinoma,7.475247047287838,7.982594354827899,24Q2
ACH-000851,MOR/CPR,Lung Adenocarcinoma,6.603181229013857,7.696202521253611,24Q2
ACH-000852,NCI-H1435,Lung Adenocarcinoma,8.705943353973835,9.144556281982275,24Q2
ACH-000853,NCI-H661,Large Cell Lung Carcinoma,0.8237493603082727,2.097610796626422,24Q2
ACH-000858,KNS-62,Lung Squamous Cell Carcinoma,7.16400181665555,7.26463025566923,24Q2
ACH-000860,NCI-H358,Lung Adenocarcinoma,7.492414035336726,7.9341036373619165,24Q2
ACH-000861,HOP-62,Lung Adenocarcinoma,1.6369145803558778,4.627606838129649,24Q2
ACH-000867,ChaGo-K-1,Non-Small Cell Lung Cancer,7.084702108011991,7.581049900945041,24Q2
ACH-000868,HCC-1195,Lung Adenosquamous Carcinoma,6.915759896038,8.80135269277206,24Q2
ACH-000869,NCI-H1568,Lung Adenocarcinoma,6.552745936748446,8.339627347580395,24Q2
ACH-000872,HCC515,Lung Adenocarcinoma,5.92837032301897,4.513490745588118,24Q2
ACH-000875,NCI-H2347,Lung Adenocarcinoma,9.138297402341518,8.640027973286244,24Q2
ACH-000878,HCC-15,Lung Squamous Cell Carcinoma,4.805808348701467,7.320755428706466,24Q2
ACH-000886,NCI-H2009,Lung Adenocarcinoma,8.03842520687726,7.349612971824522,24Q2
ACH-000888,NCI-H1793,Lung Adenocarcinoma,8.835545165508693,7.454587186925478,24Q2
ACH-000891,HCC-1438,Large Cell Lung Carcinoma,6.668884984266247,1.599317793698226,24Q2
ACH-000892,NCI-H1563,Lung Adenocarcinoma,5.00943675560809,0.8399595874895318,24Q2
ACH-000893,NCI-H1651,Lung Adenocarcinoma,0.1890338243900171,6.492333914544719,24Q2
ACH-000894,NCI-H1869,Lung Squamous Cell Carcinoma,9.039522271711608,8.397845735630698,24Q2
ACH-000900,NCI-H23,Lung Adenocarcinoma,0.4436066514756146,1.292781749227846,24Q2
ACH-000901,HCC-1359,Giant Cell Carcinoma of the Lung,0.6507645591169022,2.867896463992655,24Q2
ACH-000904,NCI-H2106,Large Cell Lung Carcinoma,0.8639384504239714,6.494095544940635,24Q2
ACH-000916,NCI-H1573,Lung Adenocarcinoma,7.812113112983306,8.778898476008376,24Q2
ACH-000921,NCI-H157-DM,Lung Squamous Cell Carcinoma,1.2141248053528475,0.765534746362977,24Q2
ACH-000924,NCI-H2172,Non-Small Cell Lung Cancer,6.455656002220498,2.957914598632985,24Q2
ACH-000925,DV-90,Lung Adenocarcinoma,7.058099988493412,9.36187799586609,24Q2
ACH-000929,NCI-H2110,Non-Small Cell Lung Cancer,8.766860143829545,8.915401388260412,24Q2
ACH-000945,NCI-H650,Lung Adenocarcinoma,4.558879853475442,1.15704371014558,24Q2
ACH-000951,NCI-H2342,Lung Adenocarcinoma,7.909533114946893,8.997687581487513,24Q2
ACH-000975,HCC2450,Lung Squamous Cell Carcinoma,4.129283016944966,1.1826922975161902,24Q2
ACH-000980,NCI-H1155,Large Cell Lung Carcinoma,0.3561438102252753,5.060047383669939,24Q2
ACH-001075,NCI-H292,Mucoepidermoid Carcinoma of the Lung,9.616107697600578,8.258141995893771,24Q2
ACH-001113,LC-1/sq-SF,Lung Squamous Cell Carcinoma,3.0669502439246266,6.349082146391089,24Q2
ACH-002035,LCAM1,Poorly Differentiated Non-Small Cell Lung Cancer,4.531069492725954,1.541019153133559,24Q2
ACH-002497,NCI-H920,Lung Adenocarcinoma,4.85598969730848,5.420549772116318,24Q2
ACH-002522,SNU-2292,Lung Adenocarcinoma,3.428946344769483,1.5459683691052926,24Q2
ACH-002526,SNU-1327,Lung Adenocarcinoma,7.847809043407229,6.617798025902778,24Q2
ACH-002531,SNU-2535,Lung Adenocarcinoma,8.845960418293286,8.178266467781853,24Q2
ACH-002650,ETCC-016,Lung Adenocarcinoma,8.676944359106912,7.795455272044121,24Q2
ACH-002996,CI34601,Non-Small Cell Lung Cancer,4.034743949324734,0.7570232465074596,24Q2
ACH-003012,A549_CRAF_KD,Lung Adenocarcinoma,0.0,1.8439838440483265,24Q2
ACH-000010,NCI-H2077,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.137503523749935,1.3561438102252754,20Q2
ACH-000012,HCC827,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.924099885640741,7.962144104603358,20Q2
ACH-000015,NCI-H1581,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.1243281350022017,1.1375035237499351,20Q2
ACH-000021,NCI-H1693,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",5.471837762422287,6.280585202564472,20Q2
ACH-000029,HCC-827-GR5,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.769970043303398,8.118473937558411,20Q2
ACH-000030,PC-14,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.376081966650071,8.993844160496252,20Q2
ACH-000033,NCI-H1819,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.161887682376894,8.143791345833382,20Q2
ACH-000035,NCI-H1650,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",9.409560654982776,7.860776615631602,20Q2
ACH-000062,RERF-LC-MS,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",3.187451054027326,5.694323060125386,20Q2
ACH-000066,HCC4006,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.539313931267408,7.583458910130768,20Q2
ACH-000109,NCI-H3255,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",9.174151711152996,10.79457832286071,20Q2
ACH-000121,NCI-H2405,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.1243281350022014,7.074462620704536,20Q2
ACH-000143,,"Non-Small Cell Lung Cancer (NSCLC), unspecified",3.9541963103868754,0.4329594072761063,20Q2
ACH-000150,HCC2935,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.186708532244793,9.775544440350576,20Q2
ACH-000161,COR-L105,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.6135316529179271,4.624100894628114,20Q2
ACH-000176,LOU-NH91,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.3334237337251918,7.463606110051514,20Q2
ACH-000186,NCI-H2444,"Non-Small Cell Lung Cancer (NSCLC), unspecified",6.879583249612783,9.294413978416191,20Q2
ACH-000251,,"Non-Small Cell Lung Cancer (NSCLC), unspecified",0.2868811477881615,9.085445902194271,20Q2
ACH-000261,RERF-LC-AI,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",4.268284666520996,3.0197019144425483,20Q2
ACH-000264,Calu-6,"Non-Small Cell Lung Cancer (NSCLC), unspecified",0.411426245726465,3.4276061727818994,20Q2
ACH-000282,NCI-H1755,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",3.9457949567400608,7.656138798727021,20Q2
ACH-000311,NCI-H2122,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.876394158783242,8.492854620174748,20Q2
ACH-000314,HCC-2108,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.5360529002402097,4.819668183496455,20Q2
ACH-000327,NCI-H1395,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.2750070474998698,2.91456452349394,20Q2
ACH-000337,NCI-H3122,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.01435529297707,7.241458871274651,20Q2
ACH-000339,,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",3.62993940943954,3.3175935046234715,20Q2
ACH-000343,NCI-H522,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.2016338611696504,1.632268215499513,20Q2
ACH-000367,NCI-H226,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.4222330006830478,1.2016338611696504,20Q2
ACH-000378,NCI-H647,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",5.740657771623893,6.545505100691072,20Q2
ACH-000379,NCI-H1781,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.316960287364898,9.492233757297129,20Q2
ACH-000390,LUDLU-1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",7.335658322692879,8.78731491686026,20Q2
ACH-000392,Calu-3,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.867525861162971,7.363433934920989,20Q2
ACH-000395,NCI-H520,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",1.1243281350022014,2.9726926540042644,20Q2
ACH-000414,NCI-H1944,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.5849625007211562,5.013908845490639,20Q2
ACH-000416,NCI-H838,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",2.82781902461732,0.5360529002402097,20Q2
ACH-000434,NCI-H1915,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",1.550900664647523,1.5459683691052926,20Q2
ACH-000438,,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",3.286881147788161,7.300581359795972,20Q2
ACH-000442,RERF-LC-Sq1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",3.1521834190550453,5.083638879250706,20Q2
ACH-000444,LU99,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",3.229587922740652,1.5945485495503542,20Q2
ACH-000447,NCI-H2228,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.834407841806995,6.310703657225108,20Q2
ACH-000448,NCI-H1666,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.298245900951896,6.868637384170314,20Q2
ACH-000451,NCI-H2085,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.634738459915802,8.594959026266386,20Q2
ACH-000454,HCC-95,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",7.80967167790706,7.152690464025959,20Q2
ACH-000463,NCI-H460,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.1634987322828795,4.531693360861466,20Q2
ACH-000481,NCI-H2170,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",6.993108221555395,8.849436378549973,20Q2
ACH-000482,RERF-LC-KJ,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.783980413683794,7.744699314207836,20Q2
ACH-000496,NCI-H1792,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.187451054027326,7.032321287057878,20Q2
ACH-000510,NCI-H1299,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.1243281350022017,1.765534746362977,20Q2
ACH-000511,Calu-1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",5.849999259466098,6.236683944559009,20Q2
ACH-000521,NCI-H2030,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.3448284969974411,1.0285691521967708,20Q2
ACH-000528,ABC-1,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.956637517678087,8.46188866443282,20Q2
ACH-000553,Sq-1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",8.709531891956942,8.44716589977438,20Q2
ACH-000562,HCC-78,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",9.24790378471159,8.621319301014191,20Q2
ACH-000563,EBC-1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",7.437211090286557,8.325260475587555,20Q2
ACH-000575,,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.3448284969974411,7.197609878379472,20Q2
ACH-000578,HCC-1171,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.586314393721116,9.496574196935462,20Q2
ACH-000585,EPLC-272H,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",8.529820946528694,7.1199786096548765,20Q2
ACH-000587,NCI-H1975,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.921245888585589,7.333065878076355,20Q2
ACH-000589,NCI-H1437,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",5.794155897876407,7.177319866495129,20Q2
ACH-000590,NCI-H2073,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",5.942749070828886,6.357200084860054,20Q2
ACH-000596,LCLC-97TM1,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",7.382926582571239,9.174251601758415,20Q2
ACH-000603,BEN,"Non-Small Cell Lung Cancer (NSCLC), unspecified",0.4646682670034443,8.62793508394068,20Q2
ACH-000627,LCLC-103H,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",4.001802242633985,7.787053665550588,20Q2
ACH-000628,NCI-H596,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",9.217788101577217,7.651123465266199,20Q2
ACH-000638,NCI-H441,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.778307153686226,7.991465157534032,20Q2
ACH-000662,COR-L23,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",7.058965822002304,7.833143096358337,20Q2
ACH-000665,SK-MES-1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",7.145167939018385,6.993447932331477,20Q2
ACH-000666,NCI-H1355,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.106013237622119,1.2203299548795556,20Q2
ACH-000667,HCC-44,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.124328135002202,5.632268215499513,20Q2
ACH-000669,SW 900,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",6.313245851787562,8.242459601165267,20Q2
ACH-000672,IA-LM,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.3334237337251918,5.8718436485093175,20Q2
ACH-000675,NCI-H1734,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.2448870591235344,7.785550551739256,20Q2
ACH-000677,SW 1573,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.3673710656485294,3.016139702655253,20Q2
ACH-000681,A549,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.1505596765753814,2.1176950426697547,20Q2
ACH-000690,HCC-2814,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",5.676944359106912,7.159366809743736,20Q2
ACH-000700,,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.1505596765753814,3.701549056943071,20Q2
ACH-000705,LC-1F,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.4750848829487828,8.14542271960022,20Q2
ACH-000706,EKVX,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.3504972470841332,1.599317793698226,20Q2
ACH-000710,NCI-H854,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",3.075532631167357,8.680007818236279,20Q2
ACH-000712,HCC-1833,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.4541758931858021,8.183784233127527,20Q2
ACH-000718,NCI-H2291,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.204962330542514,9.67212474919181,20Q2
ACH-000731,HCC-2279,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.681449265314958,5.812241495189477,20Q2
ACH-000733,NCI-H1838,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.823621998132874,8.728838859491335,20Q2
ACH-000737,NCI-H1385,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.4222330006830478,7.809864573066018,20Q2
ACH-000744,NCI-H1623,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",5.969933274697856,8.472244052391146,20Q2
ACH-000747,NCI-H1703,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",0.2986583155645151,0.8559896973084807,20Q2
ACH-000757,A427,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.1505596765753814,0.8155754288625725,20Q2
ACH-000766,NCI-H1648,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.69665461868,8.259837400589506,20Q2
ACH-000769,LK-2,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",4.814550423461808,2.448900951145128,20Q2
ACH-000774,RERF-LC-Ad2,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.011395000908111,8.015247773698936,20Q2
ACH-000779,,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.4965741969354625,7.674969030624974,20Q2
ACH-000781,NCI-H2023,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.510961919277379,1.5260688116675876,20Q2
ACH-000785,NCI-H2126,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.378424920225314,7.494175567962031,20Q2
ACH-000787,LXF-289,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",3.37851162325373,5.413120146403495,20Q2
ACH-000789,NCI-H810,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.3561438102252753,6.662205499653616,20Q2
ACH-000791,RERF-LC-Ad1,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",9.74148384021673,9.660673389835548,20Q2
ACH-000813,T3M-10,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",4.224966365000275,4.919816770052789,20Q2
ACH-000825,HOP-92,"Non-Small Cell Lung Cancer (NSCLC), unspecified",7.834344630860333,7.236109889889632,20Q2
