contrast_id	gene	n_treat	n_ctrl	mean_treat	mean_ctrl	log2fc	mw_p	welch_p	series	kind	species	note
GSE237361_UWB_olaparib_96h	XRCC1	4	4	5.89212	6.18587	-0.29375	0.2	0.0513494	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	PRKDC	4	4	7.68085	7.77714	-0.0962918	0.685714	0.374439	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	LIG4	4	4	2.34882	2.59828	-0.24946	0.2	0.355747	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	XRCC4	4	4	4.15495	3.79663	0.358316	0.114286	0.0437744	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	NHEJ1	4	4	1.3597	1.40484	-0.0451438	0.685714	0.878895	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	PARP1	4	4	8.2	8.18266	0.0173326	0.685714	0.872477	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BRCA1	4	4	4.57938	4.62881	-0.0494309	0.885714	0.642163	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BRCA2	4	4	6.78631	6.57669	0.20962	0.114286	0.113825	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	RAD51	4	4	4.77387	4.79599	-0.0221141	1	0.818008	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	RAD51C	4	4	4.4396	4.48476	-0.0451596	0.885714	0.737434	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BRIP1	4	4	3.87407	3.99651	-0.122443	0.342857	0.404936	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CGAS	4	4	4.66941	4.56603	0.103385	0.342857	0.638744	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	STING1	4	4	3.3613	2.9667	0.394597	0.0285714	0.0250899	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TBK1	4	4	3.61283	3.37847	0.234355	0.342857	0.168996	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IRF3	4	4	5.4031	5.56934	-0.166243	0.2	0.0978766	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	MAVS	4	4	6.95219	6.96633	-0.0141337	0.885714	0.871871	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ADAR	4	4	7.66631	6.93255	0.73376	0.0285714	0.000510496	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	APOL6	4	4	5.45352	4.32845	1.12506	0.0285714	2.57021e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ARID5B	4	4	6.57475	6.78969	-0.214945	0.485714	0.312154	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ARL4A	4	4	3.73287	3.73841	-0.00553912	1	0.978285	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	AUTS2	4	4	1.47072	1.40839	0.062333	0.485714	0.861625	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	B2M	4	4	9.30717	8.58227	0.724901	0.0285714	5.90432e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BANK1	4	4	0.2064	0.239182	-0.0327821	1	0.727781	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BATF2	4	4	2.12532	0.448075	1.67724	0.0285714	0.00158463	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BPGM	4	4	3.20745	2.90229	0.305165	0.2	0.106978	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BTG1	4	4	7.24065	6.76235	0.478301	0.0285714	0.00369009	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	C1R	4	4	1.65562	1.62179	0.0338324	0.342857	0.898704	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	C1S	4	4	1.25792	0.28414	0.973784	0.0285714	0.0164864	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CASP1	4	4	1.5622	0.858976	0.703224	0.0571429	0.0263519	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CASP3	4	4	3.65666	3.63144	0.0252178	1	0.915131	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CASP4	4	4	6.13502	5.87587	0.259148	0.0285714	0.00509921	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CASP7	4	4	2.42522	1.87121	0.554007	0.2	0.131157	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CASP8	4	4	6.24433	5.67566	0.568665	0.0285714	0.00533592	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CCL2	4	4	2.87007	1.67972	1.19035	0.0571429	0.0270892	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CCL7	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CCRL2	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD38	4	4	0.317103	0.199113	0.11799	1	0.688972	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD40	4	4	6.24857	5.19388	1.05469	0.0285714	0.00439876	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD47	4	4	8.74809	7.88519	0.862893	0.0285714	0.00221724	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD69	4	4	0.602675	0.0967173	0.505958	0.0571429	0.0231742	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD74	4	4	6.26076	5.92587	0.334892	0.0285714	0.0179864	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD86	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CDKN1A	4	4	2.99107	2.08499	0.90608	0.0285714	0.00558494	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CFB	4	4	0.30845	0	0.30845	0.342857	0.216537	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CFH	4	4	1.54777	0.637727	0.910038	0.0285714	0.00099891	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CIITA	4	4	0.0972717	0.0438771	0.0533946	1	0.64206	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CMKLR1	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CMPK2	4	4	5.05117	1.893	3.15818	0.0285714	6.20872e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CMTR1	4	4	4.23172	3.75372	0.477999	0.0285714	0.0323839	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CNP	4	4	6.57096	6.36686	0.204094	0.0285714	0.00652504	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CSF1	4	4	5.48909	3.99461	1.49448	0.0285714	0.00115667	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CSF2RB	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	DDX60	4	4	6.00578	3.86958	2.1362	0.0285714	0.000150596	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	DHX58	4	4	2.98114	1.89597	1.08517	0.0285714	0.000154733	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	EIF2AK2	4	4	8.91779	8.0015	0.916293	0.0285714	0.00014101	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	EIF4E3	4	4	1.54311	1.39307	0.150047	0.885714	0.712833	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ELF1	4	4	6.87155	6.7062	0.165351	0.2	0.168585	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	EPSTI1	4	4	6.90396	4.96633	1.93763	0.0285714	0.00299272	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	FAS	4	4	3.95732	3.78898	0.16834	0.342857	0.321492	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	FCGR1A	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	FGL2	4	4	0	0.0515909	-0.0515909	0.685714	0.391002	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	FPR1	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GBP2	4	4	4.04913	2.88622	1.16291	0.0285714	0.0132115	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GBP4	4	4	2.04396	0.371988	1.67197	0.0285714	0.000340649	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GBP6	4	4	0.059264	0	0.059264	0.685714	0.391002	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GCH1	4	4	2.35258	1.69727	0.655308	0.0285714	0.00069403	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GMPR	4	4	2.65275	1.96918	0.683573	0.114286	0.136245	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GPR18	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	GZMA	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	HELZ2	4	4	7.25007	5.51052	1.73955	0.0285714	2.52512e-07	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	HERC6	4	4	4.70689	2.49146	2.21543	0.0285714	0.000713078	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
