gene	log2FoldChange	pvalue	padj	baseMean	author_contrast
PARP1	-0.57997	9.48973e-12	1.43712e-10	17027.8	BRCA1-deficient Olres vs parent (author DESeq2)
TBK1	-0.809243	2.16208e-10	2.62949e-09	1234.59	BRCA1-deficient Olres vs parent (author DESeq2)
USP18	-0.922769	4.49608e-10	5.19503e-09	798.881	BRCA1-deficient Olres vs parent (author DESeq2)
IFIT3	-1.67014	6.0891e-10	6.90244e-09	255.476	BRCA1-deficient Olres vs parent (author DESeq2)
STAT2	-0.741307	1.02777e-09	1.12111e-08	1710.96	BRCA1-deficient Olres vs parent (author DESeq2)
CGAS	-0.802807	2.24745e-09	2.30933e-08	1259.29	BRCA1-deficient Olres vs parent (author DESeq2)
F11R	-0.53747	4.46685e-09	4.38389e-08	12123	BRCA1-deficient Olres vs parent (author DESeq2)
MX2	-8.3144	1.67188e-07	1.25508e-06	29.6679	BRCA1-deficient Olres vs parent (author DESeq2)
OCLN	-0.622489	6.50435e-05	0.000289147	676.01	BRCA1-deficient Olres vs parent (author DESeq2)
OASL	-1.60846	6.79052e-05	0.000300866	87.4289	BRCA1-deficient Olres vs parent (author DESeq2)
LIG4	-0.668909	9.64048e-05	0.000413419	529.564	BRCA1-deficient Olres vs parent (author DESeq2)
CD274	-1.21471	0.000115817	0.000485041	136.586	BRCA1-deficient Olres vs parent (author DESeq2)
IFIT2	-0.856891	0.000828707	0.00284223	246.617	BRCA1-deficient Olres vs parent (author DESeq2)
CXCL10	-2.41835	0.000900383	0.00306215	38.0518	BRCA1-deficient Olres vs parent (author DESeq2)
TJP2	-0.22665	0.0144236	0.0353862	5508.82	BRCA1-deficient Olres vs parent (author DESeq2)
TJP1	-0.23673	0.0146249	0.0358093	4867.51	BRCA1-deficient Olres vs parent (author DESeq2)
CGNL1	-1.14806	0.0161222	0.0389532	59.2348	BRCA1-deficient Olres vs parent (author DESeq2)
MARVELD2	-0.36474	0.0173175	0.0414373	708.615	BRCA1-deficient Olres vs parent (author DESeq2)
RSAD2	-0.878535	0.0184812	0.0437156	99.7238	BRCA1-deficient Olres vs parent (author DESeq2)
BRCA1	3.50646	0	0	32814.4	BRCA1-proficient Olres vs parent (author DESeq2)
IFI44	3.73439	2.81523e-50	1.80175e-48	294.897	BRCA1-proficient Olres vs parent (author DESeq2)
IFI44L	3.74464	4.02095e-35	1.50625e-33	201.472	BRCA1-proficient Olres vs parent (author DESeq2)
TJP2	0.953582	3.57462e-34	1.28095e-32	5190.77	BRCA1-proficient Olres vs parent (author DESeq2)
MX1	3.09728	5.56049e-33	1.85821e-31	233.007	BRCA1-proficient Olres vs parent (author DESeq2)
IFIT1	2.73668	2.6256e-31	7.9892e-30	263.638	BRCA1-proficient Olres vs parent (author DESeq2)
TACSTD2	0.754102	1.93767e-22	3.65691e-21	10094.5	BRCA1-proficient Olres vs parent (author DESeq2)
TP53BP1	0.907612	4.00403e-20	6.52687e-19	2394.74	BRCA1-proficient Olres vs parent (author DESeq2)
OAS1	1.71589	7.01406e-20	1.12225e-18	372.399	BRCA1-proficient Olres vs parent (author DESeq2)
BST2	0.642543	1.32203e-13	1.33232e-12	3663.72	BRCA1-proficient Olres vs parent (author DESeq2)
BRIP1	0.777394	1.35862e-11	1.14166e-10	1341.16	BRCA1-proficient Olres vs parent (author DESeq2)
OAS2	2.23223	2.07511e-09	1.41584e-08	101.938	BRCA1-proficient Olres vs parent (author DESeq2)
STAT1	0.456872	3.19296e-08	1.9037e-07	7899.08	BRCA1-proficient Olres vs parent (author DESeq2)
IFIH1	0.680733	1.74945e-07	9.57174e-07	1223.88	BRCA1-proficient Olres vs parent (author DESeq2)
STAT2	0.404224	1.65623e-06	7.97269e-06	3556.04	BRCA1-proficient Olres vs parent (author DESeq2)
RSAD2	2.08631	1.08145e-05	4.66469e-05	57.0101	BRCA1-proficient Olres vs parent (author DESeq2)
CGNL1	1.12268	0.000119048	0.000432322	156.813	BRCA1-proficient Olres vs parent (author DESeq2)
MAVS	0.27016	0.000509282	0.0016501	5486.99	BRCA1-proficient Olres vs parent (author DESeq2)
CGN	0.265987	0.00141006	0.00419559	4167.47	BRCA1-proficient Olres vs parent (author DESeq2)
OASL	1.83597	0.00214091	0.00612942	34.0222	BRCA1-proficient Olres vs parent (author DESeq2)
NHEJ1	0.834107	0.00344473	0.00946079	160.869	BRCA1-proficient Olres vs parent (author DESeq2)
CXCL10	2.99612	0.0190587	0.0437878	8.86768	BRCA1-proficient Olres vs parent (author DESeq2)
OCLN	0.266959	0.0193397	0.0443687	1485.51	BRCA1-proficient Olres vs parent (author DESeq2)
PARP1	-0.982207	2.83768e-36	1.12111e-34	5546.74	BRCA1-proficient Olres vs parent (author DESeq2)
BRCA2	-0.957909	4.92519e-18	7.03066e-17	1583.26	BRCA1-proficient Olres vs parent (author DESeq2)
CLDN1	-0.56555	1.59141e-13	1.59454e-12	63879.7	BRCA1-proficient Olres vs parent (author DESeq2)
LIG4	-0.793295	9.40939e-09	5.98886e-08	760.417	BRCA1-proficient Olres vs parent (author DESeq2)
CGAS	-0.65645	4.16424e-07	2.17021e-06	960.427	BRCA1-proficient Olres vs parent (author DESeq2)
PRKDC	-0.350707	2.05266e-06	9.76451e-06	25810.3	BRCA1-proficient Olres vs parent (author DESeq2)
CLDN4	-0.449781	0.00198886	0.00573767	1047.03	BRCA1-proficient Olres vs parent (author DESeq2)
TJP1	-0.223023	0.00963991	0.0239627	4344.35	BRCA1-proficient Olres vs parent (author DESeq2)
RAD51	-0.341144	0.0124877	0.0301862	952.519	BRCA1-proficient Olres vs parent (author DESeq2)
IRF3	-0.417844	0.0142877	0.0339832	594.611	BRCA1-proficient Olres vs parent (author DESeq2)
