metric	contrast	n_a	n_b	median_a	median_b	mean_a	mean_b	q25_a	q75_a	q25_b	q75_b	mannwhitney_U_a	mannwhitney_z	mannwhitney_p_twosided	cliffs_delta_a_minus_b	auc_a_gt_b
CLDN4_frac_pos	pCR_vs_nonMPR	85	112	0.00307503075	0.005225385481	0.005571338959	0.01438291779	0.0005904059041	0.006348737635	0.00182055375	0.01396107155	3442	-3.324510225	0.0008857398548	-0.2768907563	0.3615546218
CLDN4_frac_pos	MPR_excl_pCR_vs_nonMPR	45	112	0.001583417302	0.005225385481	0.005397226079	0.01438291779	0.0005032712632	0.00478202847	0.00182055375	0.01396107155	1630	-3.453119587	0.0005541432813	-0.3531746032	0.3234126984
CLDN4_frac_pos	pCR_vs_MPR_excl_pCR	85	45	0.00307503075	0.001583417302	0.005571338959	0.005397226079	0.0005904059041	0.006348737635	0.0005032712632	0.00478202847	2030.5	0.5751418891	0.5651953399	0.06169934641	0.5308496732
CLDN4_mean_count	mpr_any_vs_nonMPR	130	112	0.002044991379	0.005464396874	0.005728644646	0.02005268744	0.0005250549234	0.006389745775	0.001914578047	0.01578087991	5006	-4.187391724	2.821785634e-05	-0.3123626374	0.3438186813
CLDN4_mean_count	pCR_vs_nonMPR	85	112	0.00307503075	0.005464396874	0.005802827499	0.02005268744	0.0005904059041	0.00664556962	0.001914578047	0.01578087991	3402	-3.425444122	0.0006137951775	-0.2852941176	0.3573529412
CLDN4_mean_count	MPR_excl_pCR_vs_nonMPR	45	112	0.001583417302	0.005464396874	0.005588521479	0.02005268744	0.0005032712632	0.004893238434	0.001914578047	0.01578087991	1604	-3.554053943	0.0003793413986	-0.3634920635	0.3182539683
CLDN4_mean_count	pCR_vs_MPR_excl_pCR	85	45	0.00307503075	0.001583417302	0.005802827499	0.005588521479	0.0005904059041	0.00664556962	0.0005032712632	0.004893238434	2032.5	0.5849315383	0.5585937512	0.06274509804	0.531372549
CLDN4_mean_cpm	mpr_any_vs_nonMPR	130	112	0.6375339456	1.63982602	1.836760887	6.211656912	0.1385531069	2.150627256	0.5033957258	4.599979713	5192	-3.844812063	0.0001206448658	-0.2868131868	0.3565934066
CLDN4_mean_cpm	pCR_vs_nonMPR	85	112	0.9017753164	1.63982602	1.84857363	6.211656912	0.1576189468	2.161167859	0.5033957258	4.599979713	3522	-3.122642431	0.00179235357	-0.2600840336	0.3699579832
CLDN4_mean_cpm	MPR_excl_pCR_vs_nonMPR	45	112	0.4589058939	1.63982602	1.814447928	6.211656912	0.132924205	1.593527441	0.5033957258	4.599979713	1670	-3.297835963	0.000974330368	-0.3373015873	0.3313492063
CLDN4_mean_cpm	pCR_vs_MPR_excl_pCR	85	45	0.9017753164	0.4589058939	1.84857363	1.814447928	0.1576189468	2.161167859	0.132924205	1.593527441	2075.5	0.7954089956	0.4263756289	0.08522875817	0.5426143791
