level	gene	cell_type	n_pos_cells	n_cells_in_type	frac_pos_in_type
sub_cell_type	CLDN4	CD8T_prf_MKI67	197	12268	0.01605803717
sub_cell_type	CLDN4	CD8T_terminal_Tex_LAYN	98	14225	0.006889279438
sub_cell_type	CLDN4	GCB_RGS13	15	4155	0.003610108303
sub_cell_type	CLDN4	ILC3_KIT	75	7185	0.01043841336
sub_cell_type	CLDN4	Mast cell	305	26723	0.01141338922
sub_cell_type	CLDN4	Mφ_CXCL10	48	6176	0.007772020725
sub_cell_type	CLDN4	Mφ_CXCL2	91	9499	0.009579955785
sub_cell_type	CLDN4	Mφ_DNAJB1	108	8664	0.01246537396
sub_cell_type	CLDN4	Mφ_FCGR3A	65	9908	0.006560355268
sub_cell_type	CLDN4	Mφ_FOLR2	118	11558	0.01020937879
sub_cell_type	CLDN4	Mφ_ISG15	19	2251	0.008440693025
sub_cell_type	CLDN4	Mφ_MARCO	305	25707	0.01186447271
sub_cell_type	CLDN4	Mφ_MKI67	147	4780	0.03075313808
sub_cell_type	CLDN4	Mφ_MMP9	28	1911	0.01465201465
sub_cell_type	CLDN4	Mφ_S100A10	33	6329	0.005214093854
sub_cell_type	CLDN4	Mφ_VCAN	247	32204	0.007669854676
sub_cell_type	CLDN4	NK_CD16hi_FGFBP2	215	40286	0.005336841583
sub_cell_type	CLDN4	NK_CD16low_GZMK	184	28551	0.006444607895
sub_cell_type	CLDN4	Neu_FCGR3B	80	12512	0.006393861893
sub_cell_type	CLDN4	Plasma_cell	377	39919	0.009444124352
sub_cell_type	CLDN4	T_gdT_TRDV1	94	23517	0.003997108475
sub_cell_type	CLDN4	T_gdT_TRDV2	43	10435	0.004120747484
sub_cell_type	CLDN4	cDC1_CLEC9A	27	3458	0.007807981492
sub_cell_type	CLDN4	cDC2_CD1C	243	21887	0.01110248092
sub_cell_type	CLDN4	mDC_LAMP3	59	3708	0.01591154261
sub_cell_type	CLDN4	pDC_LILRA4	34	3824	0.008891213389
sub_cell_type	TACSTD2	B_prf_MKI67	33	2690	0.01226765799
sub_cell_type	TACSTD2	Bm_CD74	176	32629	0.005393974685
sub_cell_type	TACSTD2	Bm_FCRL4	42	6432	0.006529850746
sub_cell_type	TACSTD2	Bm_MT2A	22	5975	0.003682008368
sub_cell_type	TACSTD2	Bm_PDE4D	484	74631	0.006485240718
sub_cell_type	TACSTD2	Bm_TNF	205	40284	0.00508886903
sub_cell_type	TACSTD2	Bm_TNFSF9	374	71716	0.005215014781
sub_cell_type	TACSTD2	Bn_TCL1A	113	18645	0.006060606061
sub_cell_type	TACSTD2	CD4T_Tem_GZMA	187	33453	0.005589932144
sub_cell_type	TACSTD2	CD4T_Tfh_CXCL13	243	31642	0.007679666266
sub_cell_type	TACSTD2	CD4T_Th1-like_CXCL13	137	18260	0.007502738226
sub_cell_type	TACSTD2	CD4T_Tm_ANXA1	382	67089	0.00569392896
sub_cell_type	TACSTD2	CD4T_Tm_XCL1	39	6018	0.006480558325
sub_cell_type	TACSTD2	CD4T_Tn_CCR7	416	70896	0.005867749944
sub_cell_type	TACSTD2	CD4T_Treg_CCR8	197	24492	0.008043442757
sub_cell_type	TACSTD2	CD4T_Treg_FOXP3	392	53900	0.007272727273
sub_cell_type	TACSTD2	CD4T_Treg_MKI67	33	2323	0.0142057684
sub_cell_type	TACSTD2	CD8T_ISG15	62	8626	0.007187572455
sub_cell_type	TACSTD2	CD8T_MAIT_KLRB1	74	11728	0.006309686221
sub_cell_type	TACSTD2	CD8T_NK-like_FGFBP2	174	30002	0.005799613359
sub_cell_type	TACSTD2	CD8T_Tem_GZMK+GZMH+	418	60731	0.006882811085
sub_cell_type	TACSTD2	CD8T_Tem_GZMK+NR4A1+	267	57363	0.004654568276
sub_cell_type	TACSTD2	CD8T_Tex_CXCL13	275	45499	0.006044088881
sub_cell_type	TACSTD2	CD8T_Tm_IL7R	365	65845	0.005543321437
sub_cell_type	TACSTD2	CD8T_Trm_ZNF683	292	42240	0.006912878788
sub_cell_type	TACSTD2	CD8T_prf_MKI67	161	12268	0.01312357352
sub_cell_type	TACSTD2	CD8T_terminal_Tex_LAYN	84	14225	0.005905096661
sub_cell_type	TACSTD2	GCB_RGS13	21	4155	0.005054151625
sub_cell_type	TACSTD2	ILC3_KIT	63	7185	0.008768267223
sub_cell_type	TACSTD2	Mast cell	383	26723	0.01433222318
sub_cell_type	TACSTD2	Mφ_CXCL10	113	6176	0.01829663212
sub_cell_type	TACSTD2	Mφ_CXCL2	180	9499	0.01894936309
sub_cell_type	TACSTD2	Mφ_DNAJB1	320	8664	0.03693444137
sub_cell_type	TACSTD2	Mφ_FCGR3A	71	9908	0.007165926524
sub_cell_type	TACSTD2	Mφ_FOLR2	183	11558	0.01583318913
sub_cell_type	TACSTD2	Mφ_ISG15	63	2251	0.02798756108
sub_cell_type	TACSTD2	Mφ_MARCO	633	25707	0.02462364337
sub_cell_type	TACSTD2	Mφ_MKI67	535	4780	0.1119246862
sub_cell_type	TACSTD2	Mφ_MMP9	121	1911	0.06331763475
sub_cell_type	TACSTD2	Mφ_S100A10	109	6329	0.01722231
sub_cell_type	TACSTD2	Mφ_VCAN	398	32204	0.0123587132
sub_cell_type	TACSTD2	NK_CD16hi_FGFBP2	263	40286	0.006528322494
sub_cell_type	TACSTD2	NK_CD16low_GZMK	225	28551	0.007880634654
sub_cell_type	TACSTD2	Neu_FCGR3B	145	12512	0.01158887468
sub_cell_type	TACSTD2	Plasma_cell	359	39919	0.008993211253
sub_cell_type	TACSTD2	T_gdT_TRDV1	113	23517	0.004805034656
sub_cell_type	TACSTD2	T_gdT_TRDV2	57	10435	0.0054623862
sub_cell_type	TACSTD2	cDC1_CLEC9A	2235	3458	0.6463273569
sub_cell_type	TACSTD2	cDC2_CD1C	2681	21887	0.1224928039
sub_cell_type	TACSTD2	mDC_LAMP3	112	3708	0.03020496224
sub_cell_type	TACSTD2	pDC_LILRA4	54	3824	0.01412133891
