cell_index_1based	gene	count
14954	CLDN4	1
15125	TACSTD2	1
15302	CLDN4	1
16323	TACSTD2	1
18111	TACSTD2	1
18642	TACSTD2	9
18663	TACSTD2	23
18691	TACSTD2	1
18702	TACSTD2	2
18772	TACSTD2	37
18833	TACSTD2	1
18877	TACSTD2	3
18941	TACSTD2	5
18960	TACSTD2	17
19029	TACSTD2	1
19220	TACSTD2	5
19300	CLDN4	1
19351	CLDN4	1
19417	TACSTD2	1
19432	CLDN4	1
19468	TACSTD2	2
19513	CLDN4	1
19641	CLDN4	1
19790	CLDN4	1
19838	CLDN4	2
20055	TACSTD2	1
20055	CLDN4	1
20128	CLDN4	1
20294	TACSTD2	1
20394	CLDN4	1
20675	TACSTD2	1
20856	TACSTD2	1
21143	CLDN4	1
21170	CLDN4	1
21250	TACSTD2	1
21258	CLDN4	1
21416	TACSTD2	1
21447	TACSTD2	1
21459	CLDN4	1
21608	TACSTD2	1
21696	TACSTD2	1
21908	CLDN4	1
21912	TACSTD2	1
22115	CLDN4	1
22152	CLDN4	1
22232	CLDN4	1
22330	CLDN4	1
22331	TACSTD2	1
22355	CLDN4	1
22670	CLDN4	1
22697	CLDN4	1
22993	TACSTD2	1
23005	TACSTD2	1
23082	CLDN4	1
23193	TACSTD2	1
23205	TACSTD2	1
23334	TACSTD2	1
23356	CLDN4	1
23406	CLDN4	1
23408	CLDN4	1
23492	CLDN4	1
23503	TACSTD2	2
23567	CLDN4	1
23648	CLDN4	1
23770	TACSTD2	2
23884	TACSTD2	1
23954	TACSTD2	2
24013	CLDN4	1
24028	CLDN4	1
24122	TACSTD2	1
24175	CLDN4	1
24294	TACSTD2	2
24359	CLDN4	1
24410	TACSTD2	1
24451	TACSTD2	1
24531	TACSTD2	1
24762	TACSTD2	1
24809	TACSTD2	1
24842	TACSTD2	1
24849	TACSTD2	1
24852	TACSTD2	2
25005	TACSTD2	1
25019	TACSTD2	1
25239	TACSTD2	1
25334	TACSTD2	1
25395	TACSTD2	2
25404	TACSTD2	2
25414	TACSTD2	7
25424	TACSTD2	1
25426	TACSTD2	8
25484	TACSTD2	6
25510	TACSTD2	12
25518	CLDN4	1
25535	TACSTD2	16
25546	TACSTD2	8
25550	TACSTD2	2
25564	TACSTD2	19
25590	TACSTD2	19
25616	TACSTD2	9
25624	TACSTD2	1
25653	CLDN4	1
25657	TACSTD2	2
25687	TACSTD2	14
25723	TACSTD2	7
25757	TACSTD2	1
25766	TACSTD2	7
25795	CLDN4	1
25851	TACSTD2	23
25860	CLDN4	1
25868	CLDN4	1
25883	TACSTD2	2
25896	TACSTD2	6
25900	TACSTD2	3
25908	TACSTD2	22
25911	TACSTD2	3
25914	TACSTD2	22
25933	TACSTD2	1
28880	TACSTD2	1
31099	TACSTD2	1
31986	TACSTD2	1
32034	TACSTD2	1
32154	TACSTD2	30
32156	TACSTD2	1
32161	TACSTD2	16
34927	TACSTD2	1
37118	TACSTD2	1
37150	TACSTD2	2
37151	TACSTD2	1
37223	TACSTD2	1
37248	TACSTD2	4
37318	TACSTD2	5
37328	TACSTD2	21
37357	TACSTD2	1
37358	TACSTD2	1
37374	TACSTD2	1
37388	TACSTD2	1
37389	TACSTD2	1
37451	TACSTD2	1
37457	TACSTD2	1
37462	TACSTD2	3
37498	TACSTD2	1
37545	TACSTD2	21
37546	TACSTD2	1
37556	TACSTD2	7
37572	TACSTD2	1
37588	TACSTD2	1
37614	TACSTD2	26
37639	TACSTD2	1
37680	TACSTD2	2
37683	TACSTD2	8
37691	TACSTD2	1
37693	TACSTD2	2
37699	TACSTD2	20
37708	TACSTD2	5
37733	TACSTD2	3
37739	TACSTD2	1
37759	TACSTD2	2
37808	TACSTD2	1
37828	TACSTD2	5
37851	TACSTD2	3
37862	TACSTD2	1
37866	TACSTD2	1
37923	TACSTD2	1
37958	TACSTD2	1
37970	TACSTD2	1
37981	TACSTD2	1
37997	TACSTD2	1
38005	TACSTD2	1
38038	TACSTD2	1
38050	TACSTD2	19
38059	TACSTD2	1
38064	TACSTD2	1
38065	TACSTD2	1
38068	CLDN4	2
38069	CLDN4	1
38070	TACSTD2	1
38071	TACSTD2	1
38073	CLDN4	1
38074	CLDN4	1
38077	TACSTD2	2
38082	TACSTD2	1
38094	TACSTD2	1
38097	TACSTD2	1
38097	CLDN4	1
38102	TACSTD2	1
38105	TACSTD2	1
38106	TACSTD2	1
38110	CLDN4	1
38111	TACSTD2	1
38112	TACSTD2	1
38117	TACSTD2	1
38118	TACSTD2	1
38120	TACSTD2	1
38122	CLDN4	1
38126	TACSTD2	1
38135	TACSTD2	1
38136	TACSTD2	1
38136	CLDN4	2
38138	TACSTD2	2
38138	CLDN4	2
38140	TACSTD2	1
38141	TACSTD2	1
38142	CLDN4	1
38145	TACSTD2	1
38148	TACSTD2	1
38150	TACSTD2	1
38154	TACSTD2	1
38156	TACSTD2	1
38158	CLDN4	1
38168	CLDN4	2
38179	TACSTD2	5
38181	CLDN4	1
38183	TACSTD2	1
38184	TACSTD2	1
38185	CLDN4	1
38186	CLDN4	1
38190	TACSTD2	1
38192	TACSTD2	2
38195	TACSTD2	1
38206	TACSTD2	1
38211	CLDN4	1
38220	CLDN4	2
38221	CLDN4	1
38225	CLDN4	2
38229	TACSTD2	1
38233	TACSTD2	1
38235	TACSTD2	1
38236	TACSTD2	1
38236	CLDN4	1
38237	TACSTD2	1
38238	CLDN4	1
38239	TACSTD2	1
38247	CLDN4	2
38258	TACSTD2	5
38258	CLDN4	8
38267	TACSTD2	1
38273	CLDN4	1
38275	TACSTD2	1
38279	TACSTD2	1
38282	TACSTD2	1
38289	TACSTD2	1
38295	TACSTD2	1
38298	CLDN4	1
38299	TACSTD2	1
38307	TACSTD2	1
38308	TACSTD2	1
38309	CLDN4	1
38315	CLDN4	1
38317	CLDN4	2
38318	CLDN4	1
38321	TACSTD2	1
38323	TACSTD2	1
38327	TACSTD2	1
38329	CLDN4	1
38338	CLDN4	1
38340	CLDN4	1
38341	TACSTD2	2
38341	CLDN4	1
38349	TACSTD2	1
38349	CLDN4	2
38350	TACSTD2	1
38351	TACSTD2	1
38358	TACSTD2	1
38372	TACSTD2	1
38385	TACSTD2	1
38386	TACSTD2	2
38386	CLDN4	1
38389	CLDN4	1
38393	TACSTD2	1
38398	CLDN4	1
38411	TACSTD2	1
38417	TACSTD2	1
38421	TACSTD2	1
38425	TACSTD2	1
38426	TACSTD2	1
38427	TACSTD2	1
38428	CLDN4	1
38433	TACSTD2	1
38438	TACSTD2	1
38442	CLDN4	1
38443	TACSTD2	1
38444	TACSTD2	1
38445	CLDN4	1
38452	CLDN4	1
38457	CLDN4	1
38458	TACSTD2	1
38462	CLDN4	1
38465	TACSTD2	1
38479	TACSTD2	2
38479	CLDN4	1
38488	TACSTD2	1
38490	TACSTD2	1
38490	CLDN4	1
38493	TACSTD2	1
38495	TACSTD2	1
38503	CLDN4	1
38505	TACSTD2	1
38506	TACSTD2	1
38507	CLDN4	1
38509	CLDN4	1
38518	TACSTD2	1
38523	TACSTD2	1
38527	TACSTD2	1
38528	TACSTD2	1
38536	TACSTD2	1
38538	TACSTD2	1
38542	TACSTD2	1
38542	CLDN4	1
38545	CLDN4	1
38554	CLDN4	1
38555	TACSTD2	1
38560	TACSTD2	4
38560	CLDN4	1
38563	TACSTD2	1
38566	CLDN4	1
38573	TACSTD2	1
38576	TACSTD2	1
38576	CLDN4	1
38578	TACSTD2	1
38586	TACSTD2	1
38592	CLDN4	1
38593	TACSTD2	1
38593	CLDN4	1
38594	TACSTD2	1
38595	TACSTD2	1
38603	TACSTD2	1
38610	TACSTD2	1
38615	TACSTD2	1
38620	TACSTD2	1
38621	CLDN4	1
38622	CLDN4	1
38623	TACSTD2	1
38630	TACSTD2	1
38632	TACSTD2	1
38637	TACSTD2	1
38641	TACSTD2	1
38643	TACSTD2	2
38651	TACSTD2	1
38657	TACSTD2	1
38658	TACSTD2	1
38660	CLDN4	1
38665	CLDN4	1
38671	TACSTD2	1
38671	CLDN4	1
38677	TACSTD2	1
38677	CLDN4	2
38682	TACSTD2	1
38684	CLDN4	1
38686	TACSTD2	1
38688	TACSTD2	1
38696	TACSTD2	1
38701	TACSTD2	1
38702	TACSTD2	1
38704	TACSTD2	1
38708	TACSTD2	1
38709	TACSTD2	1
38713	CLDN4	1
38716	TACSTD2	1
38718	TACSTD2	1
38719	TACSTD2	1
38719	CLDN4	1
38720	TACSTD2	1
38727	TACSTD2	1
38729	TACSTD2	2
38729	CLDN4	2
38740	CLDN4	1
38742	CLDN4	1
38751	TACSTD2	1
38752	TACSTD2	1
38759	TACSTD2	1
38761	TACSTD2	1
38771	TACSTD2	1
38772	TACSTD2	1
38774	TACSTD2	1
38775	CLDN4	1
38776	TACSTD2	2
38777	TACSTD2	1
38779	TACSTD2	1
38782	TACSTD2	1
38793	TACSTD2	1
38796	CLDN4	3
38798	CLDN4	1
38807	CLDN4	1
38817	TACSTD2	1
38819	TACSTD2	1
38820	TACSTD2	1
38824	TACSTD2	1
38824	CLDN4	1
38825	TACSTD2	1
38836	TACSTD2	1
38837	TACSTD2	1
38841	TACSTD2	1
38845	TACSTD2	1
38850	TACSTD2	1
38852	TACSTD2	1
38855	TACSTD2	1
38857	TACSTD2	2
38858	TACSTD2	1
38865	TACSTD2	1
38866	CLDN4	1
38873	CLDN4	1
38884	TACSTD2	1
38885	TACSTD2	1
38885	CLDN4	1
38888	CLDN4	1
38889	TACSTD2	2
38890	CLDN4	1
38891	CLDN4	1
38903	TACSTD2	1
38904	TACSTD2	1
38908	TACSTD2	1
38910	TACSTD2	1
38910	CLDN4	1
38914	TACSTD2	1
38917	TACSTD2	1
38922	TACSTD2	1
38926	CLDN4	1
38929	TACSTD2	1
38931	CLDN4	1
38940	CLDN4	1
38941	TACSTD2	3
38943	TACSTD2	1
38947	TACSTD2	1
38948	TACSTD2	1
38957	CLDN4	1
38961	CLDN4	1
38967	CLDN4	2
38970	CLDN4	1
38972	TACSTD2	1
38972	CLDN4	1
38981	TACSTD2	3
38981	CLDN4	1
38983	TACSTD2	1
38985	TACSTD2	1
38985	CLDN4	1
38987	CLDN4	1
38998	TACSTD2	1
39000	CLDN4	1
39002	TACSTD2	1
39008	TACSTD2	1
39009	TACSTD2	3
39016	TACSTD2	2
39020	TACSTD2	1
39023	CLDN4	2
39025	TACSTD2	1
39026	CLDN4	1
39032	TACSTD2	1
39037	TACSTD2	1
39040	CLDN4	1
39042	CLDN4	1
39045	TACSTD2	1
39046	TACSTD2	4
39046	CLDN4	2
39055	TACSTD2	1
39057	CLDN4	1
39067	TACSTD2	1
39067	CLDN4	1
39073	TACSTD2	1
39075	CLDN4	1
39079	CLDN4	1
39081	TACSTD2	1
39090	TACSTD2	2
39096	TACSTD2	1
39098	CLDN4	1
39102	TACSTD2	1
39103	TACSTD2	1
39105	TACSTD2	1
39107	TACSTD2	2
39110	TACSTD2	1
39128	TACSTD2	1
39130	TACSTD2	1
39131	TACSTD2	1
39142	TACSTD2	2
39154	CLDN4	1
39161	TACSTD2	1
39168	TACSTD2	2
39170	CLDN4	1
39173	CLDN4	1
39174	TACSTD2	1
39176	TACSTD2	1
39185	TACSTD2	1
39191	TACSTD2	1
39194	TACSTD2	1
39198	TACSTD2	2
39200	TACSTD2	1
39203	CLDN4	1
39206	CLDN4	1
39207	TACSTD2	1
39209	TACSTD2	1
39211	TACSTD2	1
39224	TACSTD2	1
39230	TACSTD2	1
39236	TACSTD2	1
39241	TACSTD2	1
39242	TACSTD2	1
39244	TACSTD2	1
39245	CLDN4	1
39249	TACSTD2	1
39252	CLDN4	1
39253	TACSTD2	1
39269	TACSTD2	1
39293	TACSTD2	1
39295	TACSTD2	1
39297	TACSTD2	1
39302	TACSTD2	1
39306	TACSTD2	1
39307	TACSTD2	1
39307	CLDN4	1
39309	TACSTD2	2
39310	TACSTD2	2
39310	CLDN4	1
39311	CLDN4	2
39318	TACSTD2	1
39320	TACSTD2	1
39324	TACSTD2	1
39327	CLDN4	1
39329	TACSTD2	1
39331	TACSTD2	1
39332	CLDN4	1
39334	TACSTD2	1
39341	CLDN4	1
39344	TACSTD2	1
39345	TACSTD2	1
39349	TACSTD2	1
39353	CLDN4	1
39354	TACSTD2	1
39358	TACSTD2	2
39358	CLDN4	2
39360	TACSTD2	1
39363	TACSTD2	1
39367	CLDN4	1
39370	TACSTD2	1
39370	CLDN4	1
39372	CLDN4	1
39382	TACSTD2	1
39388	TACSTD2	1
39392	TACSTD2	2
39395	TACSTD2	1
39405	TACSTD2	1
39414	TACSTD2	1
39414	CLDN4	1
39417	TACSTD2	1
39418	TACSTD2	1
39420	TACSTD2	1
39424	TACSTD2	1
39425	TACSTD2	1
39441	CLDN4	1
39451	CLDN4	1
39454	CLDN4	1
39457	CLDN4	1
39459	CLDN4	1
39466	TACSTD2	2
39472	TACSTD2	1
39475	CLDN4	1
39487	TACSTD2	2
39489	TACSTD2	1
39495	CLDN4	1
39499	TACSTD2	1
39504	TACSTD2	1
39507	CLDN4	1
39508	TACSTD2	1
39515	TACSTD2	1
39518	CLDN4	1
39519	TACSTD2	1
39524	TACSTD2	2
39524	CLDN4	1
39536	CLDN4	1
39539	TACSTD2	1
39540	TACSTD2	1
39542	CLDN4	1
39548	TACSTD2	1
39549	TACSTD2	1
39551	TACSTD2	1
39556	TACSTD2	1
39556	CLDN4	1
39558	TACSTD2	3
39561	TACSTD2	1
39564	CLDN4	1
39565	CLDN4	1
39572	TACSTD2	1
39575	TACSTD2	1
39578	TACSTD2	1
39583	TACSTD2	1
39584	TACSTD2	1
39588	TACSTD2	1
39589	TACSTD2	1
39594	CLDN4	1
39597	TACSTD2	1
39598	TACSTD2	1
39600	TACSTD2	2
39602	TACSTD2	1
39607	TACSTD2	1
39608	TACSTD2	1
39610	CLDN4	1
39613	TACSTD2	1
39637	CLDN4	1
39656	TACSTD2	1
39659	TACSTD2	1
39671	TACSTD2	1
39673	CLDN4	1
39679	TACSTD2	1
39682	TACSTD2	1
39762	TACSTD2	1
39930	CLDN4	1
40085	TACSTD2	1
40186	CLDN4	1
40249	CLDN4	1
40324	CLDN4	1
40472	CLDN4	1
40525	CLDN4	1
40735	CLDN4	1
40777	TACSTD2	1
40858	CLDN4	1
40879	CLDN4	1
40942	CLDN4	1
41039	CLDN4	1
41128	CLDN4	1
41187	CLDN4	1
41201	TACSTD2	1
41276	CLDN4	1
41280	TACSTD2	1
41320	CLDN4	1
41369	CLDN4	1
41569	TACSTD2	1
41891	TACSTD2	1
41907	TACSTD2	1
41912	TACSTD2	1
41952	TACSTD2	1
42170	CLDN4	1
42217	CLDN4	1
42283	CLDN4	1
42352	TACSTD2	1
42352	CLDN4	1
42363	CLDN4	1
