gene,probe,gsm,group,log2_intensity,within_array_percentile
Krt19,1417156_at,GSM2029393,Normal,11.8723,87.67
Krt19,1417156_at,GSM2029394,Normal,10.8347,76.64
Krt19,1417156_at,GSM2029395,Normal,12.9393,94.25
Krt19,1417156_at,GSM2029396,Normal,11.27,82.62
Krt19,1417156_at,GSM2029397,5_Day_DC101,8.4007,40.94
Krt19,1417156_at,GSM2029398,5_Day_DC101,8.7125,44.68
Krt19,1417156_at,GSM2029399,5_Day_DC101,9.59,60.56
Krt19,1417156_at,GSM2029400,5_Day_DC101,9.7632,61.15
Krt19,1417156_at,GSM2029401,5_Day_DC101,7.3487,27.15
Krt19,1417156_at,GSM2029402,5_Day_DC101,8.3679,42.09
Krt19,1417156_at,GSM2029403,5_Day_DC101,7.8951,33.98
Krt19,1417156_at,GSM2029404,5_Day_DC101,9.79,62.45
Krt19,1417156_at,GSM2029405,5_Day_G6,8.9973,49.82
Krt19,1417156_at,GSM2029406,5_Day_G6,9.0107,50.27
Krt19,1417156_at,GSM2029407,5_Day_G6,9.3469,55.98
Krt19,1417156_at,GSM2029408,5_Day_G6,9.6346,59.72
Krt19,1417156_at,GSM2029409,5_Day_G6,8.0165,35.52
Krt19,1417156_at,GSM2029410,5_Day_G6,9.0156,50.76
Krt19,1417156_at,GSM2029411,5_Day_G6,8.5407,44.09
Krt19,1417156_at,GSM2029412,5_Day_G6,9.6235,61.04
Krt19,1417156_at,GSM2029413,5_Day_NT,7.6047,30.78
Krt19,1417156_at,GSM2029414,5_Day_NT,7.4253,27.26
Krt19,1417156_at,GSM2029415,5_Day_NT,8.477,42.01
Krt19,1417156_at,GSM2029416,5_Day_NT,8.4535,42.38
Krt19,1417156_at,GSM2029417,5_Day_NT,6.3338,17.51
Krt19,1417156_at,GSM2029418,5_Day_NT,6.5798,18.36
Krt19,1417156_at,GSM2029419,5_Day_NT,7.3135,23.82
Krt19,1417156_at,GSM2029420,5_Day_NT,8.3686,38.69
Krt19,1417156_at,GSM2029421,20_Day_DC101,10.2015,67.38
Krt19,1417156_at,GSM2029422,20_Day_DC101,9.1935,51.88
Krt19,1417156_at,GSM2029423,20_Day_DC101,9.1717,52.0
Krt19,1417156_at,GSM2029424,20_Day_DC101,9.9778,64.47
Krt19,1417156_at,GSM2029425,20_Day_DC101,10.3332,69.88
Krt19,1417156_at,GSM2029426,20_Day_DC101,9.3851,54.48
Krt19,1417156_at,GSM2029427,20_Day_DC101,8.1965,36.0
Krt19,1417156_at,GSM2029428,20_Day_DC101,8.7458,46.74
Krt19,1417156_at,GSM2029429,20_Day_G6,9.2075,51.7
Krt19,1417156_at,GSM2029430,20_Day_G6,9.45,57.46
Krt19,1417156_at,GSM2029431,20_Day_G6,7.3518,25.56
Krt19,1417156_at,GSM2029432,20_Day_G6,8.9489,46.96
Krt19,1417156_at,GSM2029433,20_Day_G6,7.5383,29.63
Krt19,1417156_at,GSM2029434,20_Day_G6,8.6489,43.06
Krt19,1417156_at,GSM2029435,20_Day_G6,5.1993,9.28
Krt19,1417156_at,GSM2029436,20_Day_G6,9.4205,55.39
Krt19,1417156_at,GSM2029437,20_Day_NT,7.607,28.28
Krt19,1417156_at,GSM2029438,20_Day_NT,9.0274,48.76
Krt19,1417156_at,GSM2029439,20_Day_NT,7.3776,26.19
Krt19,1417156_at,GSM2029440,20_Day_NT,7.2225,22.61
Krt19,1417156_at,GSM2029441,20_Day_NT,9.6465,58.87
Krt19,1417156_at,GSM2029442,20_Day_NT,9.5162,57.09
Krt19,1417156_at,GSM2029443,20_Day_NT,8.4839,41.87
Krt19,1417156_at,GSM2029444,20_Day_NT,8.3452,36.61
Krt19,1417156_at,GSM2029445,60_Day_DC101,11.3568,82.61
Krt19,1417156_at,GSM2029446,60_Day_DC101,13.1261,95.1
Krt19,1417156_at,GSM2029447,60_Day_DC101,10.6962,75.4
Krt19,1417156_at,GSM2029448,60_Day_DC101,10.3935,70.89
Krt19,1417156_at,GSM2029449,60_Day_DC101,9.8061,60.82
Krt19,1417156_at,GSM2029450,60_Day_DC101,10.4353,71.24
Krt19,1417156_at,GSM2029451,60_Day_G6,9.6641,59.56
Krt19,1417156_at,GSM2029452,60_Day_G6,9.1012,51.6
Krt19,1417156_at,GSM2029453,60_Day_G6,9.2386,53.61
Krt19,1417156_at,GSM2029454,60_Day_G6,11.4341,83.3
Krt19,1417156_at,GSM2029455,60_Day_G6,9.7226,60.64
Krt19,1417156_at,GSM2029456,60_Day_G6,4.9122,7.57
Krt19,1417156_at,GSM2029457,60_Day_G6,4.8063,7.55
Krt19,1417156_at,GSM2029458,60_Day_G6,9.4564,56.19
Krt19,1417156_at,GSM2029459,60_Day_NT,10.4653,71.21
Krt19,1417156_at,GSM2029460,60_Day_NT,11.0534,79.35
Krt19,1417156_at,GSM2029461,60_Day_NT,10.2647,69.85
Krt19,1417156_at,GSM2029462,60_Day_NT,9.3695,54.24
Krt19,1417156_at,GSM2029463,60_Day_NT,8.576,44.28
Krt19,1417156_at,GSM2029464,60_Day_NT,10.3661,70.0
Krt19,1417156_at,GSM2029465,60_Day_NT,9.7784,61.19
Krt19,1417156_at,GSM2029466,60_Day_NT,10.5399,72.3
Il2rb,1417546_at,GSM2029389,Normal,7.7863,32.88
Il2rb,1417546_at,GSM2029390,Normal,6.8209,20.04
Il2rb,1417546_at,GSM2029391,Normal,5.8283,14.89
Il2rb,1417546_at,GSM2029392,Normal,5.7955,13.49
Il2rb,1417546_at,GSM2029393,Normal,8.5099,40.84
Il2rb,1417546_at,GSM2029394,Normal,8.4103,39.86
Il2rb,1417546_at,GSM2029395,Normal,8.2897,39.98
Il2rb,1417546_at,GSM2029396,Normal,8.0243,37.54
Il2rb,1417546_at,GSM2029397,5_Day_DC101,7.5271,28.22
Il2rb,1417546_at,GSM2029398,5_Day_DC101,8.6217,43.23
Il2rb,1417546_at,GSM2029399,5_Day_DC101,8.2013,40.71
Il2rb,1417546_at,GSM2029400,5_Day_DC101,8.841,45.51
Il2rb,1417546_at,GSM2029401,5_Day_DC101,8.6731,45.92
Il2rb,1417546_at,GSM2029402,5_Day_DC101,7.4975,29.85
Il2rb,1417546_at,GSM2029403,5_Day_DC101,8.8406,48.52
Il2rb,1417546_at,GSM2029404,5_Day_DC101,8.023,35.72
Il2rb,1417546_at,GSM2029405,5_Day_G6,8.1766,37.18
Il2rb,1417546_at,GSM2029406,5_Day_G6,6.8116,20.96
Il2rb,1417546_at,GSM2029407,5_Day_G6,8.4157,41.89
Il2rb,1417546_at,GSM2029408,5_Day_G6,8.2868,37.24
Il2rb,1417546_at,GSM2029409,5_Day_G6,8.5643,43.7
Il2rb,1417546_at,GSM2029410,5_Day_G6,8.4458,41.8
Il2rb,1417546_at,GSM2029411,5_Day_G6,7.577,29.95
Il2rb,1417546_at,GSM2029412,5_Day_G6,8.3121,40.86
Il2rb,1417546_at,GSM2029413,5_Day_NT,8.3185,40.95
Il2rb,1417546_at,GSM2029414,5_Day_NT,8.7327,46.03
Il2rb,1417546_at,GSM2029415,5_Day_NT,6.5122,18.11
Il2rb,1417546_at,GSM2029416,5_Day_NT,6.668,20.16
Il2rb,1417546_at,GSM2029417,5_Day_NT,8.5166,43.82
Il2rb,1417546_at,GSM2029418,5_Day_NT,7.9364,33.19
Il2rb,1417546_at,GSM2029419,5_Day_NT,8.578,42.31
Il2rb,1417546_at,GSM2029420,5_Day_NT,7.3002,24.12
Il2rb,1417546_at,GSM2029421,20_Day_DC101,8.1593,34.39
Il2rb,1417546_at,GSM2029422,20_Day_DC101,8.2628,37.39
Il2rb,1417546_at,GSM2029423,20_Day_DC101,8.4493,40.7
Il2rb,1417546_at,GSM2029424,20_Day_DC101,9.1338,50.68
Il2rb,1417546_at,GSM2029425,20_Day_DC101,5.4783,11.49
Il2rb,1417546_at,GSM2029426,20_Day_DC101,7.388,25.52
Il2rb,1417546_at,GSM2029427,20_Day_DC101,7.9153,31.86
Il2rb,1417546_at,GSM2029428,20_Day_DC101,8.426,41.4
Il2rb,1417546_at,GSM2029429,20_Day_G6,8.061,32.97
Il2rb,1417546_at,GSM2029430,20_Day_G6,8.4309,42.4
Il2rb,1417546_at,GSM2029431,20_Day_G6,8.6453,44.12
Il2rb,1417546_at,GSM2029432,20_Day_G6,6.4011,16.15
Il2rb,1417546_at,GSM2029433,20_Day_G6,7.8702,34.26
Il2rb,1417546_at,GSM2029434,20_Day_G6,8.3146,37.85
Il2rb,1417546_at,GSM2029435,20_Day_G6,7.6257,29.85
Il2rb,1417546_at,GSM2029436,20_Day_G6,8.8873,46.71
Il2rb,1417546_at,GSM2029437,20_Day_NT,8.3688,39.19
Il2rb,1417546_at,GSM2029438,20_Day_NT,8.0166,33.74
Il2rb,1417546_at,GSM2029439,20_Day_NT,8.2129,37.51
Il2rb,1417546_at,GSM2029440,20_Day_NT,8.2858,36.77
Il2rb,1417546_at,GSM2029441,20_Day_NT,7.2369,23.53
Il2rb,1417546_at,GSM2029442,20_Day_NT,7.9222,32.82
Il2rb,1417546_at,GSM2029443,20_Day_NT,8.9504,48.7
Il2rb,1417546_at,GSM2029444,20_Day_NT,6.4336,16.11
Il2rb,1417546_at,GSM2029445,60_Day_DC101,7.3317,26.03
Il2rb,1417546_at,GSM2029446,60_Day_DC101,8.4276,41.01
Il2rb,1417546_at,GSM2029447,60_Day_DC101,8.3063,40.95
Il2rb,1417546_at,GSM2029448,60_Day_DC101,8.3326,38.05
Il2rb,1417546_at,GSM2029449,60_Day_DC101,8.3516,36.79
Il2rb,1417546_at,GSM2029450,60_Day_DC101,8.091,36.09
Il2rb,1417546_at,GSM2029451,60_Day_G6,8.1925,36.26
Il2rb,1417546_at,GSM2029452,60_Day_G6,7.8802,32.76
Il2rb,1417546_at,GSM2029453,60_Day_G6,7.2315,25.1
Il2rb,1417546_at,GSM2029454,60_Day_G6,7.989,33.51
Il2rb,1417546_at,GSM2029455,60_Day_G6,8.4663,40.97
Il2rb,1417546_at,GSM2029456,60_Day_G6,7.4947,27.23
Il2rb,1417546_at,GSM2029457,60_Day_G6,7.8297,33.15
Il2rb,1417546_at,GSM2029458,60_Day_G6,6.7115,17.91
Il2rb,1417546_at,GSM2029459,60_Day_NT,8.0321,35.21
Il2rb,1417546_at,GSM2029460,60_Day_NT,5.3089,9.28
Il2rb,1417546_at,GSM2029461,60_Day_NT,8.5779,43.35
Il2rb,1417546_at,GSM2029462,60_Day_NT,8.5318,40.62
Il2rb,1417546_at,GSM2029463,60_Day_NT,7.8717,33.74
Il2rb,1417546_at,GSM2029464,60_Day_NT,9.2558,53.73
Il2rb,1417546_at,GSM2029465,60_Day_NT,9.2019,52.1
Il2rb,1417546_at,GSM2029466,60_Day_NT,8.9214,48.05
Gzmb,1419060_at,GSM2029389,Normal,7.5079,28.96
Gzmb,1419060_at,GSM2029390,Normal,6.7125,19.11
Gzmb,1419060_at,GSM2029391,Normal,7.8415,34.62
Gzmb,1419060_at,GSM2029392,Normal,5.4828,11.62
Gzmb,1419060_at,GSM2029393,Normal,7.9461,31.73
Gzmb,1419060_at,GSM2029394,Normal,5.9186,13.61
Gzmb,1419060_at,GSM2029395,Normal,5.6247,12.48
Gzmb,1419060_at,GSM2029396,Normal,8.1934,39.97
Gzmb,1419060_at,GSM2029397,5_Day_DC101,8.9117,49.05
Gzmb,1419060_at,GSM2029398,5_Day_DC101,6.5152,17.65
Gzmb,1419060_at,GSM2029399,5_Day_DC101,9.4039,57.89
Gzmb,1419060_at,GSM2029400,5_Day_DC101,10.0283,65.2
Gzmb,1419060_at,GSM2029401,5_Day_DC101,9.2547,54.47
Gzmb,1419060_at,GSM2029402,5_Day_DC101,8.5261,44.46
Gzmb,1419060_at,GSM2029403,5_Day_DC101,9.3774,56.63
Gzmb,1419060_at,GSM2029404,5_Day_DC101,8.9696,50.35
Gzmb,1419060_at,GSM2029405,5_Day_G6,9.3314,54.93
Gzmb,1419060_at,GSM2029406,5_Day_G6,9.0458,50.82
Gzmb,1419060_at,GSM2029407,5_Day_G6,8.9043,49.28
Gzmb,1419060_at,GSM2029408,5_Day_G6,9.5006,57.46
Gzmb,1419060_at,GSM2029409,5_Day_G6,9.6609,60.52
Gzmb,1419060_at,GSM2029410,5_Day_G6,9.6209,60.09
Gzmb,1419060_at,GSM2029411,5_Day_G6,8.8392,48.68
Gzmb,1419060_at,GSM2029412,5_Day_G6,8.943,50.8
Gzmb,1419060_at,GSM2029413,5_Day_NT,7.9945,36.25
Gzmb,1419060_at,GSM2029414,5_Day_NT,8.3263,39.97
Gzmb,1419060_at,GSM2029415,5_Day_NT,8.3845,40.66
Gzmb,1419060_at,GSM2029416,5_Day_NT,8.4067,41.68
Gzmb,1419060_at,GSM2029417,5_Day_NT,8.7397,47.21
Gzmb,1419060_at,GSM2029418,5_Day_NT,7.6306,29.05
Gzmb,1419060_at,GSM2029419,5_Day_NT,9.1486,51.64
Gzmb,1419060_at,GSM2029420,5_Day_NT,9.0284,49.37
Gzmb,1419060_at,GSM2029421,20_Day_DC101,7.123,21.52
Gzmb,1419060_at,GSM2029422,20_Day_DC101,8.605,42.75
Gzmb,1419060_at,GSM2029423,20_Day_DC101,7.8017,30.92
Gzmb,1419060_at,GSM2029424,20_Day_DC101,8.541,40.54
Gzmb,1419060_at,GSM2029425,20_Day_DC101,6.1164,15.41
Gzmb,1419060_at,GSM2029426,20_Day_DC101,8.1213,35.13
Gzmb,1419060_at,GSM2029427,20_Day_DC101,6.2882,15.46
Gzmb,1419060_at,GSM2029428,20_Day_DC101,5.0734,8.7
Gzmb,1419060_at,GSM2029429,20_Day_G6,5.9122,12.35
Gzmb,1419060_at,GSM2029430,20_Day_G6,7.3681,27.1
Gzmb,1419060_at,GSM2029431,20_Day_G6,5.1961,9.24
Gzmb,1419060_at,GSM2029432,20_Day_G6,7.6541,27.93
Gzmb,1419060_at,GSM2029433,20_Day_G6,7.8085,33.35
Gzmb,1419060_at,GSM2029434,20_Day_G6,5.4637,10.05
Gzmb,1419060_at,GSM2029435,20_Day_G6,5.4663,10.73
Gzmb,1419060_at,GSM2029436,20_Day_G6,5.6387,11.7
Gzmb,1419060_at,GSM2029437,20_Day_NT,6.4063,16.68
Gzmb,1419060_at,GSM2029438,20_Day_NT,5.5141,11.49
Gzmb,1419060_at,GSM2029439,20_Day_NT,6.1365,15.43
Gzmb,1419060_at,GSM2029440,20_Day_NT,8.1762,34.98
Gzmb,1419060_at,GSM2029441,20_Day_NT,5.6203,11.42
Gzmb,1419060_at,GSM2029442,20_Day_NT,6.4671,17.61
Gzmb,1419060_at,GSM2029443,20_Day_NT,7.9248,33.64
Gzmb,1419060_at,GSM2029444,20_Day_NT,7.2602,22.77
Gzmb,1419060_at,GSM2029445,60_Day_DC101,6.2876,16.69
Gzmb,1419060_at,GSM2029446,60_Day_DC101,8.2661,38.47
Gzmb,1419060_at,GSM2029447,60_Day_DC101,8.777,48.36
Gzmb,1419060_at,GSM2029448,60_Day_DC101,5.4532,10.04
Gzmb,1419060_at,GSM2029449,60_Day_DC101,5.7808,11.35
Gzmb,1419060_at,GSM2029450,60_Day_DC101,5.756,13.55
Gzmb,1419060_at,GSM2029451,60_Day_G6,7.5922,27.75
Gzmb,1419060_at,GSM2029452,60_Day_G6,7.4914,27.62
Gzmb,1419060_at,GSM2029453,60_Day_G6,4.9968,8.66
Gzmb,1419060_at,GSM2029454,60_Day_G6,7.3445,25.21
Gzmb,1419060_at,GSM2029455,60_Day_G6,5.554,11.66
Gzmb,1419060_at,GSM2029456,60_Day_G6,8.0429,34.84
Gzmb,1419060_at,GSM2029457,60_Day_G6,5.5264,11.45
Gzmb,1419060_at,GSM2029458,60_Day_G6,5.8992,12.41
Gzmb,1419060_at,GSM2029459,60_Day_NT,7.5791,28.99
Gzmb,1419060_at,GSM2029460,60_Day_NT,8.4063,39.56
Gzmb,1419060_at,GSM2029461,60_Day_NT,7.7096,29.74
Gzmb,1419060_at,GSM2029462,60_Day_NT,5.8022,12.09
Gzmb,1419060_at,GSM2029463,60_Day_NT,8.5485,43.86
Gzmb,1419060_at,GSM2029464,60_Day_NT,8.2766,38.17
Gzmb,1419060_at,GSM2029465,60_Day_NT,6.067,14.33
Gzmb,1419060_at,GSM2029466,60_Day_NT,6.9829,21.77
Cd3g,1419178_at,GSM2029389,Normal,7.0142,23.2
Cd3g,1419178_at,GSM2029390,Normal,7.6678,29.66
Cd3g,1419178_at,GSM2029391,Normal,7.1242,25.6
Cd3g,1419178_at,GSM2029392,Normal,6.7536,20.26
Cd3g,1419178_at,GSM2029393,Normal,8.1794,35.32
Cd3g,1419178_at,GSM2029394,Normal,7.883,32.1
Cd3g,1419178_at,GSM2029395,Normal,7.3382,26.6
Cd3g,1419178_at,GSM2029396,Normal,7.708,33.05
Cd3g,1419178_at,GSM2029397,5_Day_DC101,7.9366,33.74
Cd3g,1419178_at,GSM2029398,5_Day_DC101,6.7334,19.42
Cd3g,1419178_at,GSM2029399,5_Day_DC101,8.0593,38.64
Cd3g,1419178_at,GSM2029400,5_Day_DC101,8.0666,32.46
Cd3g,1419178_at,GSM2029401,5_Day_DC101,8.4251,42.26
Cd3g,1419178_at,GSM2029402,5_Day_DC101,7.95,35.87
Cd3g,1419178_at,GSM2029403,5_Day_DC101,7.7883,32.39
Cd3g,1419178_at,GSM2029404,5_Day_DC101,7.1854,25.03
Cd3g,1419178_at,GSM2029405,5_Day_G6,8.286,38.84
Cd3g,1419178_at,GSM2029406,5_Day_G6,8.3343,40.01
Cd3g,1419178_at,GSM2029407,5_Day_G6,8.1924,38.47
Cd3g,1419178_at,GSM2029408,5_Day_G6,8.0617,33.74
Cd3g,1419178_at,GSM2029409,5_Day_G6,8.1312,37.15
Cd3g,1419178_at,GSM2029410,5_Day_G6,7.7952,31.7
Cd3g,1419178_at,GSM2029411,5_Day_G6,7.012,23.21
Cd3g,1419178_at,GSM2029412,5_Day_G6,6.6475,19.6
Cd3g,1419178_at,GSM2029413,5_Day_NT,6.3903,18.11
Cd3g,1419178_at,GSM2029414,5_Day_NT,6.8763,21.33
Cd3g,1419178_at,GSM2029415,5_Day_NT,7.6514,29.99
Cd3g,1419178_at,GSM2029416,5_Day_NT,7.3385,27.11
Cd3g,1419178_at,GSM2029417,5_Day_NT,7.3901,27.78
Cd3g,1419178_at,GSM2029418,5_Day_NT,6.8872,20.81
Cd3g,1419178_at,GSM2029419,5_Day_NT,7.3911,24.76
Cd3g,1419178_at,GSM2029420,5_Day_NT,7.4639,26.05
Cd3g,1419178_at,GSM2029421,20_Day_DC101,9.4216,55.03
Cd3g,1419178_at,GSM2029422,20_Day_DC101,8.5914,42.55
Cd3g,1419178_at,GSM2029423,20_Day_DC101,7.217,23.71
Cd3g,1419178_at,GSM2029424,20_Day_DC101,7.4798,25.62
Cd3g,1419178_at,GSM2029425,20_Day_DC101,7.2061,24.31
Cd3g,1419178_at,GSM2029426,20_Day_DC101,7.0122,21.69
Cd3g,1419178_at,GSM2029427,20_Day_DC101,8.2376,36.64
Cd3g,1419178_at,GSM2029428,20_Day_DC101,8.0716,35.63
Cd3g,1419178_at,GSM2029429,20_Day_G6,7.2658,22.8
Cd3g,1419178_at,GSM2029430,20_Day_G6,4.6814,7.15
Cd3g,1419178_at,GSM2029431,20_Day_G6,7.7536,30.65
Cd3g,1419178_at,GSM2029432,20_Day_G6,6.8435,19.5
Cd3g,1419178_at,GSM2029433,20_Day_G6,7.6352,30.88
Cd3g,1419178_at,GSM2029434,20_Day_G6,7.6808,28.5
Cd3g,1419178_at,GSM2029435,20_Day_G6,7.672,30.49
Cd3g,1419178_at,GSM2029436,20_Day_G6,6.2168,15.19
Cd3g,1419178_at,GSM2029437,20_Day_NT,7.992,33.54
Cd3g,1419178_at,GSM2029438,20_Day_NT,6.1685,15.27
Cd3g,1419178_at,GSM2029439,20_Day_NT,6.7841,20.32
Cd3g,1419178_at,GSM2029440,20_Day_NT,7.0689,21.06
Cd3g,1419178_at,GSM2029441,20_Day_NT,7.4465,25.85
Cd3g,1419178_at,GSM2029442,20_Day_NT,6.1214,15.16
Cd3g,1419178_at,GSM2029443,20_Day_NT,7.3276,25.82
Cd3g,1419178_at,GSM2029444,20_Day_NT,7.0341,20.66
Cd3g,1419178_at,GSM2029445,60_Day_DC101,7.3409,26.14
Cd3g,1419178_at,GSM2029446,60_Day_DC101,7.6345,29.04
Cd3g,1419178_at,GSM2029447,60_Day_DC101,8.284,40.61
Cd3g,1419178_at,GSM2029448,60_Day_DC101,7.9461,31.95
Cd3g,1419178_at,GSM2029449,60_Day_DC101,8.054,32.17
Cd3g,1419178_at,GSM2029450,60_Day_DC101,6.2075,16.39
Cd3g,1419178_at,GSM2029451,60_Day_G6,7.3183,24.63
Cd3g,1419178_at,GSM2029452,60_Day_G6,7.8631,32.51
Cd3g,1419178_at,GSM2029453,60_Day_G6,7.2859,25.66
Cd3g,1419178_at,GSM2029454,60_Day_G6,6.8646,20.58
Cd3g,1419178_at,GSM2029455,60_Day_G6,7.8526,32.11
Cd3g,1419178_at,GSM2029456,60_Day_G6,8.7692,46.7
Cd3g,1419178_at,GSM2029457,60_Day_G6,8.6148,45.49
Cd3g,1419178_at,GSM2029458,60_Day_G6,8.3634,37.24
Cd3g,1419178_at,GSM2029459,60_Day_NT,8.2165,38.08
Cd3g,1419178_at,GSM2029460,60_Day_NT,7.9586,32.61
Cd3g,1419178_at,GSM2029461,60_Day_NT,9.4675,57.91
Cd3g,1419178_at,GSM2029462,60_Day_NT,7.4005,24.78
Cd3g,1419178_at,GSM2029463,60_Day_NT,8.9119,49.42
Cd3g,1419178_at,GSM2029464,60_Day_NT,8.2564,37.81
Cd3g,1419178_at,GSM2029465,60_Day_NT,8.1067,34.29
