gene,or_minus_non_or_log2,or_exact_p,or_bh_q,pfs_spearman_rho,pfs_exact_p,pfs_bh_q
USP9Y,1.821252073000001,0.1,1.0,0.6,0.35,1.0
MAGEA12,-1.8201060499999997,0.2,1.0,-0.6,0.35,1.0
CCL28,1.7914327855000005,0.5,1.0,0.2,0.7833333333333333,1.0
IL12RB2,-1.7706086911666663,0.4,1.0,-0.6,0.35,1.0
CFB,1.7575825256666668,0.5,1.0,0.1,0.95,1.0
CXCL3,1.733484601833334,0.2,1.0,0.5,0.45,1.0
CXCL10,1.7305995031666663,0.7,1.0,-0.4,0.5166666666666667,1.0
IL22RA1,-1.7171754698333332,0.2,1.0,-0.9,0.08333333333333333,1.0
TNFSF15,1.7066062701666667,0.2,1.0,0.7,0.23333333333333334,1.0
SPP1,1.704693381666667,0.7,1.0,0.4,0.5166666666666667,1.0
PASD1,1.6671316215000003,0.5,1.0,0.1,0.95,1.0
THBD,-1.6490423708333317,0.3,1.0,-0.2,0.7833333333333333,1.0
THBS1,1.6479555293333341,0.6,1.0,0.7,0.23333333333333334,1.0
TGFB2,1.632148979,0.2,1.0,0.6,0.35,1.0
C5,1.6275565461666668,0.2,1.0,0.2,0.7833333333333333,1.0
A2M,1.6160511433333333,0.6,1.0,0.6,0.35,1.0
CCL15,1.613441176166667,0.6,1.0,-0.2,0.7833333333333333,1.0
CCL17,-1.5908501005,0.4,1.0,-0.7,0.23333333333333334,1.0
IL2RA,-1.5803386436666669,0.1,1.0,-0.9,0.08333333333333333,1.0
CCL11,-1.5743862173333332,0.3,1.0,-0.8,0.13333333333333333,1.0
TNF,1.5322967493333328,0.4,1.0,0.1,0.95,1.0
CCL7,1.5068559226666673,0.6,1.0,-0.2,0.7833333333333333,1.0
IL11,-1.499634320666667,0.2,1.0,-0.7,0.23333333333333334,1.0
LAG3,1.4979124129999999,0.5,1.0,-0.2,0.7833333333333333,1.0
ARG1,-1.4961848776666669,0.3,1.0,-0.7,0.23333333333333334,1.0
TPTE,-1.4940935979999992,0.3,1.0,-0.5,0.45,1.0
IL4,-1.4912125998333332,0.6,1.0,-0.6,0.35,1.0
IDO1,1.4745031595000002,0.6,1.0,-0.2,0.7833333333333333,1.0
MS4A1,1.467303837666667,0.5,1.0,0.2,0.7833333333333333,1.0
CCL3,1.4629022825,0.3,1.0,0.2,0.7833333333333333,1.0
C7,1.461710129,0.8,1.0,0.3,0.6833333333333333,1.0
FOXP3,-1.4571048654999998,0.2,1.0,-0.9,0.08333333333333333,1.0
NFATC2,1.4407930093333334,0.4,1.0,0.7,0.23333333333333334,1.0
CCL4,1.4398452003333322,0.4,1.0,-0.2,0.7833333333333333,1.0
ITGA2,-1.4126964113333322,0.2,1.0,-0.8,0.13333333333333333,1.0
TNFRSF18,-1.4111429810000011,0.2,1.0,-0.6,0.35,1.0
DDX43,1.3770039040000004,0.3,1.0,0.1,0.95,1.0
HAMP,-1.3298958753333334,0.3,1.0,-0.7,0.23333333333333334,1.0
PAX5,-1.326461689166667,0.4,1.0,-0.7,0.23333333333333334,1.0
FCGR2B,1.3136214971666664,0.3,1.0,0.1,0.95,1.0
ST6GAL1,1.3106999823333343,0.3,1.0,0.7,0.23333333333333334,1.0
SPO11,-1.3076556631666665,0.3,1.0,-0.9,0.08333333333333333,1.0
TNFSF18,-1.3075980959999995,0.9,1.0,-0.1,0.95,1.0
CXCL2,1.2977095199999997,0.4,1.0,0.3,0.6833333333333333,1.0
C1S,1.292686803333332,0.3,1.0,0.5,0.45,1.0
TICAM1,-1.2899408394999998,0.2,1.0,-0.8,0.13333333333333333,1.0
CTAGE1,-1.2895064015000002,0.6,1.0,-0.9,0.08333333333333333,1.0
IL34,1.2816736578333332,0.2,1.0,0.6,0.35,1.0
CSF1,1.2788021928333322,0.1,1.0,0.5,0.45,1.0
FPR2,-1.2747678361666663,0.6,1.0,-0.6,0.35,1.0
PDGFRB,1.2534444400000009,0.6,1.0,0.3,0.6833333333333333,1.0
CR1,-1.2492013141666671,0.3,1.0,-0.6,0.35,1.0
IFI27,-1.2400627118333336,0.6,1.0,-0.5,0.45,1.0
IFITM1,1.2354001500000003,0.4,1.0,-0.1,0.95,1.0
IL6,1.2340966596666672,0.5,1.0,0.7,0.23333333333333334,1.0
COLEC12,1.2267527353333332,0.4,1.0,0.7,0.23333333333333334,1.0
SYT17,-1.208315237999999,0.3,1.0,-0.7,0.23333333333333334,1.0
MSR1,1.2026711183333347,0.6,1.0,0.4,0.5166666666666667,1.0
FN1,1.201282785,0.8,1.0,0.3,0.6833333333333333,1.0
ADA,-1.1966348238333335,0.1,1.0,-0.8,0.13333333333333333,1.0
TNFRSF10C,-1.1966203305,0.5,1.0,-0.4,0.5166666666666667,1.0
XCR1,-1.1890486126666664,0.4,1.0,-0.7,0.23333333333333334,1.0
CCL18,-1.1857466951666673,0.6,1.0,0.0,1.0,1.0
TREM1,-1.1829554976666667,0.5,1.0,-0.7,0.23333333333333334,1.0
CD1A,-1.1600599571666663,0.4,1.0,-0.7,0.23333333333333334,1.0
ENG,1.1493272238333336,0.8,1.0,0.6,0.35,1.0
SELL,-1.1440958818333336,0.6,1.0,-0.4,0.5166666666666667,1.0
CD63,1.1414953049999994,0.2,1.0,0.8,0.13333333333333333,1.0
CXCL5,1.141489050833333,0.4,1.0,0.1,0.95,1.0
BIRC5,-1.1403483275,0.1,1.0,-0.7,0.23333333333333334,1.0
NFKB2,1.1371165689999998,0.2,1.0,0.5,0.45,1.0
ITGAM,1.1212597881666655,0.5,1.0,0.3,0.6833333333333333,1.0
EPCAM,1.1143692673333323,0.6,1.0,0.6,0.35,1.0
JAK3,1.107470721166667,0.3,1.0,0.3,0.6833333333333333,1.0
MBL2,-1.1073613734999999,0.7,1.0,-0.6,0.35,1.0
CD28,-1.1066637620000002,0.5,1.0,-0.4,0.5166666666666667,1.0
PYCARD,-1.1006003306666656,0.1,1.0,-0.9,0.08333333333333333,1.0
TGFB1,-1.1000015906666665,0.2,1.0,-1.0,0.016666666666666666,1.0
CSF3R,-1.0920545886666666,0.4,1.0,-0.7,0.23333333333333334,1.0
NCR1,-1.0898342519999993,0.7,1.0,-0.6,0.35,1.0
F12,-1.0894176645,0.4,1.0,-0.5,0.45,1.0
HRAS,-1.0865188136666681,0.2,1.0,-0.9,0.08333333333333333,1.0
CD7,-1.073975963833333,0.7,1.0,-0.6,0.35,1.0
SERPINB2,-1.0709767085,0.7,1.0,-0.4,0.5166666666666667,1.0
CRP,-1.0499716633333334,0.4,1.0,-0.9,0.08333333333333333,1.0
C1R,1.0491109666666656,0.3,1.0,0.3,0.6833333333333333,1.0
LAMP3,-1.0463319238333337,0.3,1.0,-0.9,0.08333333333333333,1.0
FEZ1,-1.0428789108333332,0.4,1.0,-0.2,0.7833333333333333,1.0
RAG1,-1.0356551591666667,0.4,1.0,-0.5,0.45,1.0
CEACAM8,-1.016719292666667,0.8,1.0,-0.7,0.23333333333333334,1.0
ICAM2,1.0104171243333333,0.2,1.0,0.6,0.35,1.0
CREB5,-1.0058252391666667,0.1,1.0,-0.5,0.45,1.0
IL3,-1.002667697333334,0.9,1.0,-0.5,0.45,1.0
CD44,-1.0010067283333317,0.1,1.0,-0.8,0.13333333333333333,1.0
MASP2,-1.000278158166667,0.9,1.0,-0.5,0.45,1.0
CLEC5A,0.9963996371666655,0.8,1.0,-0.1,0.95,1.0
IFNL1,-0.9945058874999999,1.0,1.0,-0.2,0.7833333333333333,1.0
PBK,-0.9898008946666659,0.3,1.0,-0.7,0.23333333333333334,1.0
MST1R,0.987638962666666,0.5,1.0,-0.2,0.7833333333333333,1.0
TNFSF13B,0.9838454685000002,0.4,1.0,-0.1,0.95,1.0
CHIT1,-0.9771917338333331,0.4,1.0,-0.1,0.95,1.0
ELANE,-0.9755220229999999,0.8,1.0,-0.7,0.23333333333333334,1.0
CD81,0.9691584183333344,0.2,1.0,0.9,0.08333333333333333,1.0
IFNA2,-0.9679148538333333,0.4,1.0,-0.5,0.45,1.0
ITGA5,0.9649104773333335,0.8,1.0,0.3,0.6833333333333333,1.0
KIT,-0.9537097931666665,0.5,1.0,-0.4,0.5166666666666667,1.0
SERPING1,0.949839506666665,0.3,1.0,0.3,0.6833333333333333,1.0
IL2RG,0.9469350463333335,0.4,1.0,0.1,0.95,1.0
CCL26,-0.9457667966666667,0.5,1.0,-0.2,0.7833333333333333,1.0
TNFSF4,-0.9457571503333329,0.1,1.0,-0.7,0.23333333333333334,1.0
IL1RN,-0.9416065534999998,0.8,1.0,-0.4,0.5166666666666667,1.0
ICOSLG,0.9405783661666671,0.1,1.0,0.7,0.23333333333333334,1.0
MPPED1,-0.9333601471666668,0.4,1.0,-0.9,0.08333333333333333,1.0
CCL20,0.9321072836666637,0.7,1.0,-0.2,0.7833333333333333,1.0
JAM3,0.926469975833335,0.4,1.0,0.7,0.23333333333333334,1.0
C8B,-0.9239899231666664,0.5,1.0,-0.7,0.23333333333333334,1.0
CD3EAP,-0.9188108073333332,0.1,1.0,-0.9,0.08333333333333333,1.0
CFD,0.9073291468333338,0.6,1.0,0.6,0.35,1.0
FOS,-0.905381976666666,0.9,1.0,0.4,0.5166666666666667,1.0
EGR2,0.9044250288333338,0.4,1.0,0.8,0.13333333333333333,1.0
PPARG,-0.8982474803333345,0.5,1.0,-0.5,0.45,1.0
MNX1,0.8947680133333331,0.5,1.0,0.1,0.95,1.0
IGF1R,-0.8933920200000003,0.4,1.0,-0.2,0.7833333333333333,1.0
CDKN1A,-0.8921097775,0.7,1.0,-0.4,0.5166666666666667,1.0
NRP1,0.8887449093333313,0.7,1.0,0.4,0.5166666666666667,1.0
IL1RL2,-0.8848139374999997,0.6,1.0,-0.3,0.6833333333333333,1.0
POU2AF1,-0.8837018798333336,0.7,1.0,0.1,0.95,1.0
BID,-0.8831192868333329,0.1,1.0,-0.8,0.13333333333333333,1.0
AXL,0.8806844906666669,0.3,1.0,0.5,0.45,1.0
C2,0.8802273051666667,0.4,1.0,0.3,0.6833333333333333,1.0
LGALS3,0.8734278083333322,0.2,1.0,0.9,0.08333333333333333,1.0
CTSS,0.8734271616666671,0.3,1.0,0.1,0.95,1.0
MAF,-0.870599390333334,0.4,1.0,-0.4,0.5166666666666667,1.0
MEFV,-0.8704444103333335,0.7,1.0,-0.6,0.35,1.0
CD1B,-0.8666607514999995,0.4,1.0,-0.7,0.23333333333333334,1.0
CD36,-0.8535880683333321,0.5,1.0,0.0,1.0,1.0
CCR3,-0.8533105036666662,0.9,1.0,-0.3,0.6833333333333333,1.0
KIR3DL1,-0.8531718610000008,0.6,1.0,-0.7,0.23333333333333334,1.0
ITGB3,0.8511061778333353,0.3,1.0,0.7,0.23333333333333334,1.0
MAGEC1,-0.8490943768333334,0.9,1.0,-0.3,0.6833333333333333,1.0
DUSP4,0.8488711696666664,0.7,1.0,0.1,0.95,1.0
ANXA1,-0.8462767966666664,0.9,1.0,-0.4,0.5166666666666667,1.0
MR1,-0.8461219009999992,0.2,1.0,-0.9,0.08333333333333333,1.0
SH2D1B,-0.8451949020000002,0.7,1.0,-0.7,0.23333333333333334,1.0
MIF,-0.8414131883333322,0.3,1.0,-0.4,0.5166666666666667,1.0
SLAMF7,0.8390374798333333,0.3,1.0,0.1,0.95,1.0
CD83,0.8365155036666678,0.1,1.0,0.6,0.35,1.0
CD8B,0.8331400320000002,0.4,1.0,0.1,0.95,1.0
BCL6,-0.8324096305000008,0.2,1.0,-0.6,0.35,1.0
JAK2,0.8239426235000007,0.4,1.0,0.1,0.95,1.0
LILRB1,0.8213010378333339,0.4,1.0,0.2,0.7833333333333333,1.0
BAGE,-0.8180223968333333,0.8,1.0,-0.4,0.5166666666666667,1.0
CYBB,0.8152441621666675,0.1,1.0,0.9,0.08333333333333333,1.0
TNFRSF8,-0.8097491328333328,0.8,1.0,-0.7,0.23333333333333334,1.0
LRP1,0.8090493993333325,0.8,1.0,0.3,0.6833333333333333,1.0
CD19,0.8081889606666675,0.6,1.0,0.1,0.95,1.0
IL1RAP,-0.8069042536666657,0.4,1.0,-0.6,0.35,1.0
TFRC,-0.805841375,0.2,1.0,-0.7,0.23333333333333334,1.0
TNFRSF14,0.8056149276666673,0.2,1.0,0.5,0.45,1.0
CXCL6,-0.8025945528333338,0.7,1.0,-0.6,0.35,1.0
SEMG1,-0.8016190240000007,1.0,1.0,0.0,1.0,1.0
TNFSF10,-0.8014616533333339,0.4,1.0,-0.8,0.13333333333333333,1.0
LTK,-0.7973301628333331,0.5,1.0,-0.3,0.6833333333333333,1.0
IFIT1,0.7969031431666664,0.7,1.0,-0.1,0.95,1.0
CD84,0.7929316923333332,0.4,1.0,0.5,0.45,1.0
IL26,-0.7906264539999999,1.0,1.0,-0.2,0.7833333333333333,1.0
MEF2C,0.7905345768333323,0.6,1.0,0.6,0.35,1.0
NFATC1,0.7871068588333321,0.4,1.0,0.6,0.35,1.0
CSF2,-0.7866753159999993,0.4,1.0,-0.6,0.35,1.0
IL23A,-0.786643577166668,1.0,1.0,-0.1,0.95,1.0
IL18RAP,-0.7851920689999998,0.7,1.0,-0.7,0.23333333333333334,1.0
AMICA1,-0.7830064705000002,0.5,1.0,-0.4,0.5166666666666667,1.0
C6,0.7816573231666668,0.6,1.0,0.1,0.95,1.0
ALCAM,-0.7816510920000006,0.7,1.0,0.2,0.7833333333333333,1.0
ECSIT,-0.7766889081666655,0.1,1.0,-0.6,0.35,1.0
CCL19,0.7738224675000005,0.7,1.0,0.3,0.6833333333333333,1.0
LBP,-0.7703268236666663,0.6,1.0,0.0,1.0,1.0
CXCL14,-0.7671619200000013,0.5,1.0,0.1,0.95,1.0
AICDA,-0.7484991863333326,0.9,1.0,-0.1,0.95,1.0
BCL2,0.7471436481666673,0.1,1.0,1.0,0.016666666666666666,1.0
AKT3,0.7442422551666681,0.9,1.0,0.3,0.6833333333333333,1.0
C8A,-0.7436395101666671,1.0,1.0,-0.1,0.95,1.0
IL22RA2,-0.7431938210000002,0.9,1.0,-0.3,0.6833333333333333,1.0
CXCR4,0.7424629940000003,0.6,1.0,0.6,0.35,1.0
C3AR1,0.7401703911666662,0.1,1.0,0.9,0.08333333333333333,1.0
CD40,0.738142969166665,0.4,1.0,-0.2,0.7833333333333333,1.0
GZMH,0.7369533324999997,0.4,1.0,0.1,0.95,1.0
VEGFA,0.7368157516666667,0.7,1.0,-0.3,0.6833333333333333,1.0
NUP107,0.7355179321666672,0.2,1.0,0.6,0.35,1.0
IFITM2,-0.7344653366666662,0.4,1.0,-0.7,0.23333333333333334,1.0
CCND3,-0.7286697931666666,0.2,1.0,-0.6,0.35,1.0
IL9,0.725894411833333,0.7,1.0,-0.1,0.95,1.0
REL,-0.7225718233333325,0.1,1.0,-0.8,0.13333333333333333,1.0
MAGEC2,-0.7156532613333342,0.7,1.0,-0.4,0.5166666666666667,1.0
MAP3K5,-0.7152128493333318,0.4,1.0,-0.6,0.35,1.0
LIF,0.7073747283333329,0.6,1.0,0.3,0.6833333333333333,1.0
TNFRSF11A,0.7057149903333331,0.3,1.0,0.3,0.6833333333333333,1.0
HLA-E,-0.7053937000000001,0.7,1.0,-0.7,0.23333333333333334,1.0
TFE3,-0.6978050021666666,0.5,1.0,-0.4,0.5166666666666667,1.0
ITGB4,-0.6970342166666672,0.3,1.0,-0.6,0.35,1.0
CD8A,0.6941090503333323,0.6,1.0,-0.1,0.95,1.0
TNFAIP3,0.6854298443333331,0.6,1.0,0.1,0.95,1.0
SPANXB1,-0.6845567140000011,0.7,1.0,-0.6,0.35,1.0
ITGB2,0.6843082178333333,0.1,1.0,0.5,0.45,1.0
CCL23,0.6837603838333335,0.6,1.0,0.2,0.7833333333333333,1.0
NOD2,-0.6836830103333336,0.5,1.0,-0.7,0.23333333333333334,1.0
CD70,-0.6815033151666663,0.2,1.0,-0.9,0.08333333333333333,1.0
CSF3,-0.6802261311666671,0.6,1.0,-0.6,0.35,1.0
KLRB1,-0.6770607653333336,0.7,1.0,-0.4,0.5166666666666667,1.0
ETS1,0.673956329666666,0.6,1.0,0.4,0.5166666666666667,1.0
FCGR1A,0.6728980243333336,0.3,1.0,0.1,0.95,1.0
MAPK3,-0.6630495100000005,0.5,1.0,-0.7,0.23333333333333334,1.0
TLR1,0.6576637535000014,0.5,1.0,-0.2,0.7833333333333333,1.0
PIN1,-0.6558829480000004,0.2,1.0,-0.5,0.45,1.0
IFI16,-0.6462536350000008,0.2,1.0,-0.6,0.35,1.0
CFP,-0.6450034048333331,0.7,1.0,-0.7,0.23333333333333334,1.0
ITGAE,-0.6428991031666662,0.1,1.0,-1.0,0.016666666666666666,1.0
COL3A1,0.6408067900000027,0.9,1.0,0.1,0.95,1.0
ICAM1,0.6378980899999984,0.5,1.0,-0.2,0.7833333333333333,1.0
EBI3,0.6373159575000003,0.2,1.0,0.5,0.45,1.0
SIGIRR,0.6368124023333337,0.3,1.0,0.2,0.7833333333333333,1.0
IL12B,-0.6357131030000005,0.8,1.0,-0.3,0.6833333333333333,1.0
LILRB3,-0.6297752149999996,0.6,1.0,-0.7,0.23333333333333334,1.0
NLRC5,-0.6257962473333336,0.4,1.0,-0.9,0.08333333333333333,1.0
DPP4,-0.6255669609999996,0.3,1.0,-0.9,0.08333333333333333,1.0
KLRC1,-0.6240890971666655,0.7,1.0,-0.6,0.35,1.0
F13A1,-0.6226330170000018,0.7,1.0,0.1,0.95,1.0
CD244,-0.6226159586666666,0.7,1.0,-0.7,0.23333333333333334,1.0
NFATC4,0.6223307471666679,0.4,1.0,0.4,0.5166666666666667,1.0
FCER1A,-0.6196015188333339,0.8,1.0,0.0,1.0,1.0
DOCK9,-0.6168262988333328,0.4,1.0,-0.7,0.23333333333333334,1.0
TP53,0.6155281214999988,0.9,1.0,-0.3,0.6833333333333333,1.0
MFGE8,0.6136412119999992,0.9,1.0,0.3,0.6833333333333333,1.0
TNFRSF17,-0.6132576883333334,0.8,1.0,0.0,1.0,1.0
TRAF2,0.6121202035,0.6,1.0,-0.3,0.6833333333333333,1.0
IFNA17,-0.6114245718333331,0.8,1.0,-0.3,0.6833333333333333,1.0
IFIH1,0.6042903290000012,0.6,1.0,-0.2,0.7833333333333333,1.0
KIR3DL2,-0.6028525480000004,0.6,1.0,-0.9,0.08333333333333333,1.0
CTLA4,-0.5939852084999995,0.4,1.0,-0.5,0.45,1.0
IL1RAPL2,0.5886306139999995,0.8,1.0,-0.2,0.7833333333333333,1.0
ATG10,-0.5849548511666658,0.4,1.0,-0.6,0.35,1.0
CTSW,0.5834416041666666,0.6,1.0,-0.2,0.7833333333333333,1.0
TAL1,-0.5827211511666661,0.6,1.0,-0.4,0.5166666666666667,1.0
CFI,0.582399110499999,0.7,1.0,0.3,0.6833333333333333,1.0
TNFRSF9,0.5787465015000004,0.5,1.0,-0.2,0.7833333333333333,1.0
IFNAR2,0.5777267003333328,0.4,1.0,0.1,0.95,1.0
IL1R2,-0.576543873666667,0.7,1.0,-0.7,0.23333333333333334,1.0
IL23R,-0.5756822590000006,0.8,1.0,-0.6,0.35,1.0
MAP2K4,-0.572296595000001,0.1,1.0,-0.5,0.45,1.0
CASP3,-0.5722284848333317,0.1,1.0,-0.8,0.13333333333333333,1.0
CASP10,-0.5673653201666662,0.6,1.0,-0.6,0.35,1.0
IL10RA,0.5592869076666656,0.2,1.0,0.7,0.23333333333333334,1.0
ZNF205,-0.5566076761666672,0.3,1.0,-0.9,0.08333333333333333,1.0
CCL21,0.5556679280000001,0.9,1.0,0.1,0.95,1.0
RIPK2,0.5551459228333346,0.5,1.0,0.0,1.0,1.0
KIR3DL3,-0.549197865,1.0,1.0,0.0,1.0,1.0
IL4R,-0.5462286808333339,0.6,1.0,-0.6,0.35,1.0
CD99,0.5441103283333337,0.8,1.0,0.3,0.6833333333333333,1.0
ICOS,-0.5440599141666667,0.5,1.0,-0.6,0.35,1.0
RORC,0.5402204885000002,0.9,1.0,-0.3,0.6833333333333333,1.0
IRF8,0.5400411614999996,0.3,1.0,0.1,0.95,1.0
IFNL2,-0.5379420809999997,1.0,1.0,-0.1,0.95,1.0
IL6ST,0.537835478333335,0.5,1.0,0.2,0.7833333333333333,1.0
CARD11,-0.537396785833332,0.7,1.0,-0.2,0.7833333333333333,1.0
MAP2K2,-0.53650457,0.1,1.0,-1.0,0.016666666666666666,1.0
CTCFL,-0.5344243596666667,0.7,1.0,-0.7,0.23333333333333334,1.0
GPI,-0.5340463016666668,0.7,1.0,-0.1,0.95,1.0
PTGDR2,-0.5314114786666666,0.9,1.0,-0.3,0.6833333333333333,1.0
LILRA5,-0.5276842420000012,0.7,1.0,-0.7,0.23333333333333334,1.0
ITGAL,0.5251484305000007,0.7,1.0,-0.1,0.95,1.0
LILRA4,-0.5246656630000004,1.0,1.0,0.0,1.0,1.0
CD80,0.5209601583333328,0.7,1.0,-0.4,0.5166666666666667,1.0
IL13,-0.5172762653333338,1.0,1.0,-0.1,0.95,1.0
IL21,-0.5169408703333325,1.0,1.0,-0.2,0.7833333333333333,1.0
PRM1,-0.5149223658333328,1.0,1.0,-0.1,0.95,1.0
CSF2RB,-0.5142813051666675,0.9,1.0,-0.5,0.45,1.0
UBC,-0.5118883849999989,0.4,1.0,-0.7,0.23333333333333334,1.0
IL10,-0.5111785591666669,0.7,1.0,-0.6,0.35,1.0
TFEB,-0.5110494981666669,0.4,1.0,-0.6,0.35,1.0
TAP2,-0.5106858476666662,0.7,1.0,-0.7,0.23333333333333334,1.0
MAVS,-0.5088133725000006,0.4,1.0,0.0,1.0,1.0
TNFSF12,0.5042765278333317,0.6,1.0,0.7,0.23333333333333334,1.0
IGLL1,-0.5033227783333336,1.0,1.0,0.0,1.0,1.0
CX3CR1,0.5032831436666667,0.7,1.0,0.1,0.95,1.0
MCAM,0.5030657221666672,0.7,1.0,0.6,0.35,1.0
SPACA3,-0.5000647113333336,0.8,1.0,-0.7,0.23333333333333334,1.0
FOXJ1,0.49948520933333374,0.8,1.0,-0.2,0.7833333333333333,1.0
TIGIT,-0.49865601900000023,0.6,1.0,-0.6,0.35,1.0
CCL1,-0.495325595333334,0.9,1.0,-0.3,0.6833333333333333,1.0
MAP4K2,-0.4947407315000003,0.6,1.0,-0.1,0.95,1.0
SLC11A1,-0.49472128766666756,0.8,1.0,-0.3,0.6833333333333333,1.0
CD24,0.49275203500000053,0.8,1.0,-0.1,0.95,1.0
CTSL,0.4917665463333343,0.8,1.0,-0.3,0.6833333333333333,1.0
CTSH,0.4908415108333326,0.6,1.0,0.3,0.6833333333333333,1.0
CCL14,0.4905898783333331,0.9,1.0,0.2,0.7833333333333333,1.0
CEACAM6,-0.49022417800000007,0.9,1.0,-0.3,0.6833333333333333,1.0
IL27,-0.48880457233333363,0.9,1.0,-0.5,0.45,1.0
STAT3,-0.48435027999999924,0.8,1.0,-0.6,0.35,1.0
FUT7,-0.4800156726666671,0.9,1.0,-0.5,0.45,1.0
C1QA,0.47840914383333377,0.7,1.0,0.3,0.6833333333333333,1.0
MAGEB2,-0.4783656338333335,0.9,1.0,-0.2,0.7833333333333333,1.0
ABCB1,0.4768958145000006,0.9,1.0,0.1,0.95,1.0
CD164,0.47508628833333333,0.4,1.0,0.5,0.45,1.0
CCL16,-0.4748294608333321,0.9,1.0,-0.3,0.6833333333333333,1.0
CMKLR1,0.474672039333333,0.3,1.0,0.3,0.6833333333333333,1.0
IL22,-0.4745615315,1.0,1.0,0.0,1.0,1.0
HLA-B,-0.47244648166666714,0.7,1.0,-0.7,0.23333333333333334,1.0
FADD,-0.4682954918333335,0.7,1.0,-0.4,0.5166666666666667,1.0
MYD88,-0.4621922551666664,0.8,1.0,-0.7,0.23333333333333334,1.0
CSF1R,-0.4562728516666663,0.4,1.0,-0.7,0.23333333333333334,1.0
SPINK5,-0.455310664333334,0.9,1.0,-0.4,0.5166666666666667,1.0
CD1E,-0.4543436199999995,0.9,1.0,-0.3,0.6833333333333333,1.0
CD48,0.4535560546666675,0.7,1.0,-0.2,0.7833333333333333,1.0
PSMB7,-0.4528324383333331,0.2,1.0,-0.9,0.08333333333333333,1.0
SSX1,0.450028337,0.8,1.0,-0.1,0.95,1.0
CMA1,-0.449228986833333,0.7,1.0,0.0,1.0,1.0
CD1C,-0.4485841781666666,1.0,1.0,0.0,1.0,1.0
MAPK11,-0.44653918349999966,0.3,1.0,-0.3,0.6833333333333333,1.0
PLA2G1B,-0.444214205333334,1.0,1.0,-0.2,0.7833333333333333,1.0
MASP1,-0.4424796666666664,0.9,1.0,-0.3,0.6833333333333333,1.0
CTSG,-0.44186530816666725,0.8,1.0,0.1,0.95,1.0
RUNX1,0.4415925196666688,0.9,1.0,0.1,0.95,1.0
IFIT2,0.4405761623333344,0.8,1.0,-0.4,0.5166666666666667,1.0
TANK,0.4404494933333325,0.1,1.0,0.6,0.35,1.0
NCAM1,-0.4396309581666653,0.8,1.0,0.1,0.95,1.0
