accession	module	canonical	matched_symbol	present
GSE274351	STING_core	Irf3	Irf3	yes
GSE274351	STING_core	Ikbke	Ikbke	yes
GSE274351	STING_ISG	Ifnb1	Ifnb1	yes
GSE274351	STING_ISG	Cxcl10	Cxcl10	yes
GSE274351	STING_ISG	Isg15	Isg15	yes
GSE274351	STING_ISG	Ifit1	Ifit1	yes
GSE274351	STING_ISG	Rsad2	Rsad2	yes
GSE274351	STING_ISG	Mx1	Mx1	yes
GSE274351	STING_ISG	Stat1	Stat1	yes
GSE274351	STING_ISG	Irf7	Irf7	yes
GSE274351	Cldn4	Cldn4	Cldn4	yes
GSE274351	QC	Stk11	Stk11	yes
GSE274351	QC	Actb	Actb	yes
GSE274351	QC	Gapdh	Gapdh	yes
GSE274351	NHEJ	Xrcc5	Xrcc5	yes
GSE274351	NHEJ	Xrcc6	Xrcc6	yes
GSE274351	NHEJ	Prkdc	Prkdc	yes
GSE274351	NHEJ	Dclre1c	Dclre1c	yes
GSE274351	NHEJ	Lig4	Lig4	yes
GSE274351	NHEJ	Xrcc4	Xrcc4	yes
GSE274351	NHEJ	Nhej1	Nhej1	yes
GSE274351	NHEJ	Poll	Poll	yes
GSE274351	NHEJ	Polm	Polm	yes
GSE274351	NHEJ	Pnkp	Pnkp	yes
GSE274351	NHEJ	Aptx	Aptx	yes
GSE274351	NHEJ	Paxx	Paxx	yes
GSE274351	NHEJ	Aplf	Aplf	yes
GSE274351	STING_core	Cgas	Cgas	yes
GSE274351	STING_core	Sting1	Sting1	yes
GSE274351	STING_core	Tbk1	Tbk1	yes
GSE274351	STING_core	Irf3	Irf3	yes
GSE274351	STING_core	Ikbke	Ikbke	yes
GSE274351	STING_ISG	Ifnb1	Ifnb1	yes
GSE274351	STING_ISG	Cxcl10	Cxcl10	yes
GSE274351	STING_ISG	Isg15	Isg15	yes
GSE274351	STING_ISG	Ifit1	Ifit1	yes
GSE274351	STING_ISG	Rsad2	Rsad2	yes
GSE274351	STING_ISG	Mx1	Mx1	yes
GSE274351	STING_ISG	Stat1	Stat1	yes
GSE274351	STING_ISG	Irf7	Irf7	yes
GSE274351	Cldn4	Cldn4	Cldn4	yes
GSE274351	QC	Stk11	Stk11	yes
GSE274351	QC	Actb	Actb	yes
GSE274351	QC	Gapdh	Gapdh	yes
GSE274352	NHEJ	Xrcc5	Xrcc5	yes
GSE274352	NHEJ	Xrcc6	Xrcc6	yes
GSE274352	NHEJ	Prkdc	Prkdc	yes
GSE274352	NHEJ	Dclre1c	Dclre1c	yes
GSE274352	NHEJ	Lig4	Lig4	yes
GSE274352	NHEJ	Xrcc4	Xrcc4	yes
GSE274352	NHEJ	Nhej1	Nhej1	yes
GSE274352	NHEJ	Poll	Poll	yes
GSE274352	NHEJ	Polm	Polm	yes
GSE274352	NHEJ	Pnkp	Pnkp	yes
GSE274352	NHEJ	Aptx	Aptx	yes
GSE274352	NHEJ	Paxx	Paxx	yes
GSE274352	NHEJ	Aplf	Aplf	yes
GSE274352	STING_core	Cgas	Cgas	yes
GSE274352	STING_core	Sting1	Sting1	yes
GSE274352	STING_core	Tbk1	Tbk1	yes
GSE274352	STING_core	Irf3	Irf3	yes
GSE274352	STING_core	Ikbke	Ikbke	yes
GSE274352	STING_ISG	Ifnb1	Ifnb1	yes
GSE274352	STING_ISG	Cxcl10	Cxcl10	yes
GSE274352	STING_ISG	Isg15	Isg15	yes
GSE274352	STING_ISG	Ifit1	Ifit1	yes
GSE274352	STING_ISG	Rsad2	Rsad2	yes
GSE274352	STING_ISG	Mx1	Mx1	yes
GSE274352	STING_ISG	Stat1	Stat1	yes
GSE274352	STING_ISG	Irf7	Irf7	yes
GSE274352	Cldn4	Cldn4	Cldn4	yes
GSE274352	QC	Stk11	Stk11	yes
GSE274352	QC	Actb	Actb	yes
GSE274352	QC	Gapdh	Gapdh	yes
GSE164758	NHEJ	Xrcc5	Xrcc5	yes
GSE164758	NHEJ	Xrcc6	Xrcc6	yes
GSE164758	NHEJ	Prkdc	Prkdc	yes
GSE164758	NHEJ	Dclre1c	Dclre1c	yes
GSE164758	NHEJ	Lig4	Lig4	yes
GSE164758	NHEJ	Xrcc4	Xrcc4	yes
GSE164758	NHEJ	Nhej1	Nhej1	yes
GSE164758	NHEJ	Poll	Poll	yes
GSE164758	NHEJ	Polm	Polm	yes
GSE164758	NHEJ	Pnkp	Pnkp	yes
GSE164758	NHEJ	Aptx	Aptx	yes
GSE164758	NHEJ	Paxx		no
GSE164758	NHEJ	Aplf	Aplf	yes
GSE164758	STING_core	Cgas	Mb21d1	yes
GSE164758	STING_core	Sting1	Tmem173	yes
GSE164758	STING_core	Tbk1	Tbk1	yes
GSE164758	STING_core	Irf3	Irf3	yes
GSE164758	STING_core	Ikbke	Ikbke	yes
GSE164758	STING_ISG	Ifnb1	Ifnb1	yes
GSE164758	STING_ISG	Cxcl10	Cxcl10	yes
GSE164758	STING_ISG	Isg15	Isg15	yes
GSE164758	STING_ISG	Ifit1	Ifit1	yes
GSE164758	STING_ISG	Rsad2	Rsad2	yes
GSE164758	STING_ISG	Mx1	Mx1	yes
GSE164758	STING_ISG	Stat1	Stat1	yes
GSE164758	STING_ISG	Irf7	Irf7	yes
GSE164758	Cldn4	Cldn4	Cldn4	yes
GSE164758	QC	Stk11	Stk11	yes
GSE164758	QC	Actb	Actb	yes
GSE164758	QC	Gapdh	Gapdh	yes
GSE164758	NHEJ	Xrcc5	Xrcc5	yes
GSE164758	NHEJ	Xrcc6	Xrcc6	yes
GSE164758	NHEJ	Prkdc	Prkdc	yes
GSE164758	NHEJ	Dclre1c	Dclre1c	yes
GSE164758	NHEJ	Lig4	Lig4	yes
GSE164758	NHEJ	Xrcc4	Xrcc4	yes
GSE164758	NHEJ	Nhej1	Nhej1	yes
GSE164758	NHEJ	Poll	Poll	yes
GSE164758	NHEJ	Polm	Polm	yes
GSE164758	NHEJ	Pnkp	Pnkp	yes
GSE164758	NHEJ	Aptx	Aptx	yes
GSE164758	NHEJ	Paxx		no
GSE164758	NHEJ	Aplf	Aplf	yes
GSE164758	STING_core	Cgas	Mb21d1	yes
GSE164758	STING_core	Sting1	Tmem173	yes
GSE164758	STING_core	Tbk1	Tbk1	yes
GSE164758	STING_core	Irf3	Irf3	yes
GSE164758	STING_core	Ikbke	Ikbke	yes
GSE164758	STING_ISG	Ifnb1	Ifnb1	yes
GSE164758	STING_ISG	Cxcl10	Cxcl10	yes
GSE164758	STING_ISG	Isg15	Isg15	yes
GSE164758	STING_ISG	Ifit1	Ifit1	yes
GSE164758	STING_ISG	Rsad2	Rsad2	yes
GSE164758	STING_ISG	Mx1	Mx1	yes
GSE164758	STING_ISG	Stat1	Stat1	yes
GSE164758	STING_ISG	Irf7	Irf7	yes
GSE164758	Cldn4	Cldn4	Cldn4	yes
GSE164758	QC	Stk11	Stk11	yes
GSE164758	QC	Actb	Actb	yes
GSE164758	QC	Gapdh	Gapdh	yes
GSE164758	NHEJ	Xrcc5	Xrcc5	yes
GSE164758	NHEJ	Xrcc6	Xrcc6	yes
GSE164758	NHEJ	Prkdc	Prkdc	yes
GSE164758	NHEJ	Dclre1c	Dclre1c	yes
GSE164758	NHEJ	Lig4	Lig4	yes
GSE164758	NHEJ	Xrcc4	Xrcc4	yes
GSE164758	NHEJ	Nhej1	Nhej1	yes
GSE164758	NHEJ	Poll	Poll	yes
GSE164758	NHEJ	Polm	Polm	yes
GSE164758	NHEJ	Pnkp	Pnkp	yes
GSE164758	NHEJ	Aptx	Aptx	yes
GSE164758	NHEJ	Paxx		no
GSE164758	NHEJ	Aplf	Aplf	yes
GSE164758	STING_core	Cgas	Mb21d1	yes
GSE164758	STING_core	Sting1	Tmem173	yes
GSE164758	STING_core	Tbk1	Tbk1	yes
GSE164758	STING_core	Irf3	Irf3	yes
GSE164758	STING_core	Ikbke	Ikbke	yes
GSE164758	STING_ISG	Ifnb1	Ifnb1	yes
GSE164758	STING_ISG	Cxcl10	Cxcl10	yes
GSE164758	STING_ISG	Isg15	Isg15	yes
GSE164758	STING_ISG	Ifit1	Ifit1	yes
GSE164758	STING_ISG	Rsad2	Rsad2	yes
GSE164758	STING_ISG	Mx1	Mx1	yes
GSE164758	STING_ISG	Stat1	Stat1	yes
GSE164758	STING_ISG	Irf7	Irf7	yes
GSE164758	Cldn4	Cldn4	Cldn4	yes
GSE164758	QC	Stk11	Stk11	yes
GSE164758	QC	Actb	Actb	yes
GSE164758	QC	Gapdh	Gapdh	yes
GSE244452	NHEJ	Xrcc5	Xrcc5	yes
GSE244452	NHEJ	Xrcc6	Xrcc6	yes
GSE244452	NHEJ	Prkdc		no
GSE244452	NHEJ	Dclre1c		no
GSE244452	NHEJ	Lig4		no
GSE244452	NHEJ	Xrcc4		no
GSE244452	NHEJ	Nhej1		no
GSE244452	NHEJ	Poll		no
GSE244452	NHEJ	Polm	Polm	yes
GSE244452	NHEJ	Pnkp	Pnkp	yes
GSE244452	NHEJ	Aptx		no
GSE244452	NHEJ	Paxx	Paxx	yes
GSE244452	NHEJ	Aplf	Aplf	yes
GSE244452	STING_core	Cgas		no
GSE244452	STING_core	Sting1	Tmem173	yes
GSE244452	STING_core	Tbk1	Tbk1	yes
GSE244452	STING_core	Irf3	Irf3	yes
GSE244452	STING_core	Ikbke	Ikbke	yes
GSE244452	STING_ISG	Ifnb1		no
GSE244452	STING_ISG	Cxcl10		no
GSE244452	STING_ISG	Isg15		no
GSE244452	STING_ISG	Ifit1		no
GSE244452	STING_ISG	Rsad2		no
GSE244452	STING_ISG	Mx1	Mx1	yes
GSE244452	STING_ISG	Stat1		no
GSE244452	STING_ISG	Irf7	Irf7	yes
GSE244452	Cldn4	Cldn4	Cldn4	yes
GSE244452	QC	Stk11	Stk11	yes
GSE244452	QC	Actb		no
GSE244452	QC	Gapdh	Gapdh	yes
GSE322570	NHEJ	Xrcc5	Xrcc5	yes
GSE322570	NHEJ	Xrcc6	Xrcc6	yes
GSE322570	NHEJ	Prkdc	Prkdc	yes
GSE322570	NHEJ	Dclre1c	Dclre1c	yes
GSE322570	NHEJ	Lig4	Lig4	yes
GSE322570	NHEJ	Xrcc4	Xrcc4	yes
GSE322570	NHEJ	Nhej1	Nhej1	yes
GSE322570	NHEJ	Poll	Poll	yes
GSE322570	NHEJ	Polm	Polm	yes
GSE322570	NHEJ	Pnkp	Pnkp	yes
GSE322570	NHEJ	Aptx	Aptx	yes
GSE322570	NHEJ	Paxx	Paxx	yes
GSE322570	NHEJ	Aplf	Aplf	yes
GSE322570	STING_core	Cgas	Cgas	yes
GSE322570	STING_core	Sting1	Sting1	yes
GSE322570	STING_core	Tbk1	Tbk1	yes
GSE322570	STING_core	Irf3	Irf3	yes
GSE322570	STING_core	Ikbke	Ikbke	yes
GSE322570	STING_ISG	Ifnb1	Ifnb1	yes
GSE322570	STING_ISG	Cxcl10	Cxcl10	yes
GSE322570	STING_ISG	Isg15	Isg15	yes
GSE322570	STING_ISG	Ifit1	Ifit1	yes
GSE322570	STING_ISG	Rsad2	Rsad2	yes
GSE322570	STING_ISG	Mx1	Mx1	yes
GSE322570	STING_ISG	Stat1	Stat1	yes
GSE322570	STING_ISG	Irf7	Irf7	yes
GSE322570	Cldn4	Cldn4	Cldn4	yes
GSE322570	QC	Stk11	Stk11	yes
GSE322570	QC	Actb	Actb	yes
GSE322570	QC	Gapdh	Gapdh	yes
GSE338923	NHEJ	Xrcc5	Xrcc5	yes
GSE338923	NHEJ	Xrcc6	Xrcc6	yes
GSE338923	NHEJ	Prkdc	Prkdc	yes
GSE338923	NHEJ	Dclre1c	Dclre1c	yes
GSE338923	NHEJ	Lig4	Lig4	yes
GSE338923	NHEJ	Xrcc4	Xrcc4	yes
GSE338923	NHEJ	Nhej1	Nhej1	yes
GSE338923	NHEJ	Poll	Poll	yes
GSE338923	NHEJ	Polm	Polm	yes
GSE338923	NHEJ	Pnkp	Pnkp	yes
GSE338923	NHEJ	Aptx	Aptx	yes
GSE338923	NHEJ	Paxx	Paxx	yes
GSE338923	NHEJ	Aplf	Aplf	yes
GSE338923	STING_core	Cgas	Cgas	yes
GSE338923	STING_core	Sting1	Sting1	yes
GSE338923	STING_core	Tbk1	Tbk1	yes
GSE338923	STING_core	Irf3	Irf3	yes
GSE338923	STING_core	Ikbke	Ikbke	yes
GSE338923	STING_ISG	Ifnb1	Ifnb1	yes
GSE338923	STING_ISG	Cxcl10	Cxcl10	yes
GSE338923	STING_ISG	Isg15	Isg15	yes
GSE338923	STING_ISG	Ifit1	Ifit1	yes
GSE338923	STING_ISG	Rsad2	Rsad2	yes
GSE338923	STING_ISG	Mx1	Mx1	yes
GSE338923	STING_ISG	Stat1	Stat1	yes
GSE338923	STING_ISG	Irf7	Irf7	yes
GSE338923	Cldn4	Cldn4	Cldn4	yes
GSE338923	QC	Stk11	Stk11	yes
GSE338923	QC	Actb	Actb	yes
GSE338923	QC	Gapdh	Gapdh	yes
GSE175479	NHEJ	Xrcc5	Xrcc5	yes
GSE175479	NHEJ	Xrcc6	Xrcc6	yes
GSE175479	NHEJ	Prkdc	Prkdc	yes
GSE175479	NHEJ	Dclre1c	Dclre1c	yes
GSE175479	NHEJ	Lig4	Lig4	yes
GSE175479	NHEJ	Xrcc4	Xrcc4	yes
GSE175479	NHEJ	Nhej1	Nhej1	yes
GSE175479	NHEJ	Poll	Poll	yes
GSE175479	NHEJ	Polm	Polm	yes
GSE175479	NHEJ	Pnkp	Pnkp	yes
GSE175479	NHEJ	Aptx	Aptx	yes
GSE175479	NHEJ	Paxx		no
GSE175479	NHEJ	Aplf	Aplf	yes
GSE175479	STING_core	Cgas	Mb21d1	yes
GSE175479	STING_core	Sting1	Tmem173	yes
GSE175479	STING_core	Tbk1	Tbk1	yes
GSE175479	STING_core	Irf3	Irf3	yes
GSE175479	STING_core	Ikbke	Ikbke	yes
GSE175479	STING_ISG	Ifnb1	Ifnb1	yes
GSE175479	STING_ISG	Cxcl10	Cxcl10	yes
GSE175479	STING_ISG	Isg15	Isg15	yes
GSE175479	STING_ISG	Ifit1	Ifit1	yes
GSE175479	STING_ISG	Rsad2	Rsad2	yes
GSE175479	STING_ISG	Mx1	Mx1	yes
GSE175479	STING_ISG	Stat1	Stat1	yes
GSE175479	STING_ISG	Irf7	Irf7	yes
GSE175479	Cldn4	Cldn4	Cldn4	yes
GSE175479	QC	Stk11	Stk11	yes
GSE175479	QC	Actb	Actb	yes
GSE175479	QC	Gapdh	Gapdh	yes
GSE133895	NHEJ	Xrcc5	Xrcc5	yes
GSE133895	NHEJ	Xrcc6	Xrcc6	yes
GSE133895	NHEJ	Prkdc	Prkdc	yes
GSE133895	NHEJ	Dclre1c	Dclre1c	yes
GSE133895	NHEJ	Lig4	Lig4	yes
GSE133895	NHEJ	Xrcc4	Xrcc4	yes
GSE133895	NHEJ	Nhej1	Nhej1	yes
GSE133895	NHEJ	Poll	Poll	yes
GSE133895	NHEJ	Polm	Polm	yes
GSE133895	NHEJ	Pnkp	Pnkp	yes
GSE133895	NHEJ	Aptx	Aptx	yes
GSE133895	NHEJ	Paxx		no
GSE133895	NHEJ	Aplf	Aplf	yes
GSE133895	STING_core	Cgas	Mb21d1	yes
GSE133895	STING_core	Sting1	Tmem173	yes
GSE133895	STING_core	Tbk1	Tbk1	yes
GSE133895	STING_core	Irf3	Irf3	yes
GSE133895	STING_core	Ikbke	Ikbke	yes
GSE133895	STING_ISG	Ifnb1	Ifnb1	yes
GSE133895	STING_ISG	Cxcl10	Cxcl10	yes
GSE133895	STING_ISG	Isg15	Isg15	yes
GSE133895	STING_ISG	Ifit1	Ifit1	yes
GSE133895	STING_ISG	Rsad2	Rsad2	yes
GSE133895	STING_ISG	Mx1	Mx1	yes
GSE133895	STING_ISG	Stat1	Stat1	yes
GSE133895	STING_ISG	Irf7	Irf7	yes
GSE133895	Cldn4	Cldn4	Cldn4	yes
GSE133895	QC	Stk11	Stk11	yes
GSE133895	QC	Actb	Actb	yes
GSE133895	QC	Gapdh	Gapdh	yes
GSE193895	NHEJ	Xrcc5	Xrcc5	yes
GSE193895	NHEJ	Xrcc6	Xrcc6	yes
GSE193895	NHEJ	Prkdc	Prkdc	yes
GSE193895	NHEJ	Dclre1c	Dclre1c	yes
GSE193895	NHEJ	Lig4	Lig4	yes
GSE193895	NHEJ	Xrcc4	Xrcc4	yes
GSE193895	NHEJ	Nhej1	Nhej1	yes
GSE193895	NHEJ	Poll	Poll	yes
GSE193895	NHEJ	Polm	Polm	yes
GSE193895	NHEJ	Pnkp	Pnkp	yes
GSE193895	NHEJ	Aptx	Aptx	yes
GSE193895	NHEJ	Paxx	Paxx	yes
GSE193895	NHEJ	Aplf	Aplf	yes
GSE193895	STING_core	Cgas	Cgas	yes
GSE193895	STING_core	Sting1	Sting1	yes
GSE193895	STING_core	Tbk1	Tbk1	yes
GSE193895	STING_core	Irf3	Irf3	yes
GSE193895	STING_core	Ikbke	Ikbke	yes
GSE193895	STING_ISG	Ifnb1	Ifnb1	yes
GSE193895	STING_ISG	Cxcl10	Cxcl10	yes
GSE193895	STING_ISG	Isg15	Isg15	yes
GSE193895	STING_ISG	Ifit1	Ifit1	yes
GSE193895	STING_ISG	Rsad2	Rsad2	yes
GSE193895	STING_ISG	Mx1	Mx1	yes
GSE193895	STING_ISG	Stat1	Stat1	yes
GSE193895	STING_ISG	Irf7	Irf7	yes
GSE193895	Cldn4	Cldn4	Cldn4	yes
GSE193895	QC	Stk11	Stk11	yes
GSE193895	QC	Actb	Actb	yes
GSE193895	QC	Gapdh	Gapdh	yes
GSE6135	NHEJ	Xrcc5	Xrcc5	yes
GSE6135	NHEJ	Xrcc6	Xrcc6	yes
GSE6135	NHEJ	Prkdc	Prkdc	yes
GSE6135	NHEJ	Dclre1c		no
GSE6135	NHEJ	Lig4		no
GSE6135	NHEJ	Xrcc4	Xrcc4	yes
GSE6135	NHEJ	Nhej1	Nhej1	yes
GSE6135	NHEJ	Poll	Poll	yes
GSE6135	NHEJ	Polm	Polm	yes
GSE6135	NHEJ	Pnkp	Pnkp	yes
GSE6135	NHEJ	Aptx	Aptx	yes
GSE6135	NHEJ	Paxx		no
GSE6135	NHEJ	Aplf	Aplf	yes
GSE6135	STING_core	Cgas		no
GSE6135	STING_core	Sting1	Tmem173	yes
GSE6135	STING_core	Tbk1	Tbk1	yes
GSE6135	STING_core	Irf3	Irf3	yes
GSE6135	STING_core	Ikbke	Ikbke	yes
GSE6135	STING_ISG	Ifnb1	Ifnb1	yes
GSE6135	STING_ISG	Cxcl10	Cxcl10	yes
GSE6135	STING_ISG	Isg15	Isg15	yes
GSE6135	STING_ISG	Ifit1	Ifit1	yes
GSE6135	STING_ISG	Rsad2	Rsad2	yes
GSE6135	STING_ISG	Mx1	Mx1	yes
GSE6135	STING_ISG	Stat1	Stat1	yes
GSE6135	STING_ISG	Irf7	Irf7	yes
GSE6135	Cldn4	Cldn4	Cldn4	yes
GSE6135	QC	Stk11	Stk11	yes
GSE6135	QC	Actb	Actb	yes
GSE6135	QC	Gapdh	Gapdh	yes
GSE6135	NHEJ	Xrcc5	Xrcc5	yes
GSE6135	NHEJ	Xrcc6	Xrcc6	yes
GSE6135	NHEJ	Prkdc	Prkdc	yes
GSE6135	NHEJ	Dclre1c		no
GSE6135	NHEJ	Lig4		no
GSE6135	NHEJ	Xrcc4	Xrcc4	yes
GSE6135	NHEJ	Nhej1	Nhej1	yes
GSE6135	NHEJ	Poll	Poll	yes
GSE6135	NHEJ	Polm	Polm	yes
GSE6135	NHEJ	Pnkp	Pnkp	yes
GSE6135	NHEJ	Aptx	Aptx	yes
GSE6135	NHEJ	Paxx		no
GSE6135	NHEJ	Aplf	Aplf	yes
GSE6135	STING_core	Cgas		no
GSE6135	STING_core	Sting1	Tmem173	yes
GSE6135	STING_core	Tbk1	Tbk1	yes
GSE6135	STING_core	Irf3	Irf3	yes
GSE6135	STING_core	Ikbke	Ikbke	yes
GSE6135	STING_ISG	Ifnb1	Ifnb1	yes
GSE6135	STING_ISG	Cxcl10	Cxcl10	yes
GSE6135	STING_ISG	Isg15	Isg15	yes
GSE6135	STING_ISG	Ifit1	Ifit1	yes
GSE6135	STING_ISG	Rsad2	Rsad2	yes
GSE6135	STING_ISG	Mx1	Mx1	yes
GSE6135	STING_ISG	Stat1	Stat1	yes
GSE6135	STING_ISG	Irf7	Irf7	yes
GSE6135	Cldn4	Cldn4	Cldn4	yes
GSE6135	QC	Stk11	Stk11	yes
GSE6135	QC	Actb	Actb	yes
GSE6135	QC	Gapdh	Gapdh	yes
GSE69552	NHEJ	Xrcc5	Xrcc5	yes
GSE69552	NHEJ	Xrcc6	Xrcc6	yes
GSE69552	NHEJ	Prkdc	Prkdc	yes
GSE69552	NHEJ	Dclre1c	Dclre1c	yes
GSE69552	NHEJ	Lig4	Lig4	yes
GSE69552	NHEJ	Xrcc4	Xrcc4	yes
GSE69552	NHEJ	Nhej1	Nhej1	yes
GSE69552	NHEJ	Poll	Poll	yes
GSE69552	NHEJ	Polm	Polm	yes
GSE69552	NHEJ	Pnkp	Pnkp	yes
GSE69552	NHEJ	Aptx	Aptx	yes
GSE69552	NHEJ	Paxx		no
GSE69552	NHEJ	Aplf	Aplf	yes
GSE69552	STING_core	Cgas	Mb21d1	yes
GSE69552	STING_core	Sting1	Tmem173	yes
GSE69552	STING_core	Tbk1	Tbk1	yes
GSE69552	STING_core	Irf3	Irf3	yes
GSE69552	STING_core	Ikbke	Ikbke	yes
GSE69552	STING_ISG	Ifnb1	Ifnb1	yes
GSE69552	STING_ISG	Cxcl10	Cxcl10	yes
GSE69552	STING_ISG	Isg15	Isg15	yes
GSE69552	STING_ISG	Ifit1	Ifit1	yes
GSE69552	STING_ISG	Rsad2	Rsad2	yes
GSE69552	STING_ISG	Mx1	Mx1	yes
GSE69552	STING_ISG	Stat1	Stat1	yes
GSE69552	STING_ISG	Irf7	Irf7	yes
GSE69552	Cldn4	Cldn4	Cldn4	yes
GSE69552	QC	Stk11	Stk11	yes
GSE69552	QC	Actb	Actb	yes
GSE69552	QC	Gapdh	Gapdh	yes
GSE69552	NHEJ	Xrcc5	Xrcc5	yes
GSE69552	NHEJ	Xrcc6	Xrcc6	yes
GSE69552	NHEJ	Prkdc	Prkdc	yes
GSE69552	NHEJ	Dclre1c	Dclre1c	yes
GSE69552	NHEJ	Lig4	Lig4	yes
GSE69552	NHEJ	Xrcc4	Xrcc4	yes
GSE69552	NHEJ	Nhej1	Nhej1	yes
GSE69552	NHEJ	Poll	Poll	yes
GSE69552	NHEJ	Polm	Polm	yes
GSE69552	NHEJ	Pnkp	Pnkp	yes
GSE69552	NHEJ	Aptx	Aptx	yes
GSE69552	NHEJ	Paxx		no
GSE69552	NHEJ	Aplf	Aplf	yes
GSE69552	STING_core	Cgas	Mb21d1	yes
GSE69552	STING_core	Sting1	Tmem173	yes
GSE69552	STING_core	Tbk1	Tbk1	yes
GSE69552	STING_core	Irf3	Irf3	yes
GSE69552	STING_core	Ikbke	Ikbke	yes
GSE69552	STING_ISG	Ifnb1	Ifnb1	yes
GSE69552	STING_ISG	Cxcl10	Cxcl10	yes
GSE69552	STING_ISG	Isg15	Isg15	yes
GSE69552	STING_ISG	Ifit1	Ifit1	yes
GSE69552	STING_ISG	Rsad2	Rsad2	yes
GSE69552	STING_ISG	Mx1	Mx1	yes
GSE69552	STING_ISG	Stat1	Stat1	yes
GSE69552	STING_ISG	Irf7	Irf7	yes
GSE69552	Cldn4	Cldn4	Cldn4	yes
GSE69552	QC	Stk11	Stk11	yes
GSE69552	QC	Actb	Actb	yes
GSE69552	QC	Gapdh	Gapdh	yes
GSE21581	NHEJ	Xrcc5	Xrcc5	yes
GSE21581	NHEJ	Xrcc6	Xrcc6	yes
GSE21581	NHEJ	Prkdc	Prkdc	yes
GSE21581	NHEJ	Dclre1c		no
GSE21581	NHEJ	Lig4		no
GSE21581	NHEJ	Xrcc4	Xrcc4	yes
GSE21581	NHEJ	Nhej1	Nhej1	yes
GSE21581	NHEJ	Poll	Poll	yes
GSE21581	NHEJ	Polm	Polm	yes
GSE21581	NHEJ	Pnkp	Pnkp	yes
GSE21581	NHEJ	Aptx	Aptx	yes
GSE21581	NHEJ	Paxx		no
GSE21581	NHEJ	Aplf	Aplf	yes
GSE21581	STING_core	Cgas		no
GSE21581	STING_core	Sting1	Tmem173	yes
GSE21581	STING_core	Tbk1	Tbk1	yes
GSE21581	STING_core	Irf3	Irf3	yes
GSE21581	STING_core	Ikbke	Ikbke	yes
GSE21581	STING_ISG	Ifnb1	Ifnb1	yes
GSE21581	STING_ISG	Cxcl10	Cxcl10	yes
GSE21581	STING_ISG	Isg15	Isg15	yes
GSE21581	STING_ISG	Ifit1	Ifit1	yes
GSE21581	STING_ISG	Rsad2	Rsad2	yes
GSE21581	STING_ISG	Mx1	Mx1	yes
GSE21581	STING_ISG	Stat1	Stat1	yes
GSE21581	STING_ISG	Irf7	Irf7	yes
GSE21581	Cldn4	Cldn4	Cldn4	yes
GSE21581	QC	Stk11	Stk11	yes
GSE21581	QC	Actb	Actb	yes
GSE21581	QC	Gapdh	Gapdh	yes
