accession	design	family	x	y	n	spearman_r	spearman_p	note	fdr_bh	fdr_family
GSE133895	exvivo_sorted	kl_vs_k	Cldn4	STING_ISG	7	0.5714285714285715	0.18020198891152767	within contrast samples only; not a cross-dataset merge		
GSE193895	autochthonous_tumor_fragments	kl_vs_keap1	Cldn4	NHEJ	10	-0.006060606060606061	0.9867429111949892	within contrast samples only; not a cross-dataset merge		
GSE193895	autochthonous_tumor_fragments	kl_vs_keap1	Cldn4	STING_core	10	0.7212121212121211	0.01857315508946023	within contrast samples only; not a cross-dataset merge		
GSE193895	autochthonous_tumor_fragments	kl_vs_keap1	Cldn4	Sting1	10	0.7212121212121211	0.01857315508946023	within contrast samples only; not a cross-dataset merge		
GSE193895	autochthonous_tumor_fragments	kl_vs_keap1	Cldn4	STING_ISG	10	-0.5636363636363636	0.0897240283170912	within contrast samples only; not a cross-dataset merge		
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_kp	Cldn4	NHEJ	12	0.2517482517482518	0.4299187850328841	within contrast samples only; not a cross-dataset merge	0.6878700560526145	kl_vs_kp_spearman
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_kp	Cldn4	STING_core	12	-0.16783216783216784	0.6020994277865379	within contrast samples only; not a cross-dataset merge	0.828681905414845	kl_vs_kp_spearman
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_kp	Cldn4	Sting1	12	-0.5314685314685316	0.07536233505348361	within contrast samples only; not a cross-dataset merge	0.30144934021393444	kl_vs_kp_spearman
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_kp	Cldn4	STING_ISG	12	0.5034965034965035	0.09515736659412467	within contrast samples only; not a cross-dataset merge	0.3383373034457766	kl_vs_kp_spearman
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	NHEJ	12	-0.1258741258741259	0.696683109395766	within contrast samples only; not a cross-dataset merge		
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	STING_core	12	-0.21678321678321683	0.49855598552418845	within contrast samples only; not a cross-dataset merge		
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	Sting1	12	-0.3426573426573427	0.2755674509567803	within contrast samples only; not a cross-dataset merge		
GSE6135	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	STING_ISG	12	0.39860139860139865	0.19933549461780897	within contrast samples only; not a cross-dataset merge		
GSE69552	autochthonous_histology_microarray	kl_vs_kp	Cldn4	NHEJ	17	-0.08578431372549021	0.7433950261372769	within contrast samples only; not a cross-dataset merge	0.8810607717182541	kl_vs_kp_spearman
GSE69552	autochthonous_histology_microarray	kl_vs_kp	Cldn4	STING_core	17	0.2524509803921569	0.32829422956501814	within contrast samples only; not a cross-dataset merge	0.5836341858933656	kl_vs_kp_spearman
GSE69552	autochthonous_histology_microarray	kl_vs_kp	Cldn4	Sting1	17	-0.28186274509803927	0.2730598973799546	within contrast samples only; not a cross-dataset merge	0.5461197947599092	kl_vs_kp_spearman
GSE69552	autochthonous_histology_microarray	kl_vs_kp	Cldn4	STING_ISG	17	-0.16176470588235298	0.5350755062766513	within contrast samples only; not a cross-dataset merge	0.8153531524215639	kl_vs_kp_spearman
GSE69552	autochthonous_histology_microarray	kl_vs_kp_papillary	Cldn4	NHEJ	11	0.009090909090909092	0.9788365001441937	within contrast samples only; not a cross-dataset merge		
GSE69552	autochthonous_histology_microarray	kl_vs_kp_papillary	Cldn4	STING_core	11	-0.17272727272727276	0.6115423848512369	within contrast samples only; not a cross-dataset merge		
GSE69552	autochthonous_histology_microarray	kl_vs_kp_papillary	Cldn4	Sting1	11	-0.17272727272727276	0.6115423848512369	within contrast samples only; not a cross-dataset merge		
GSE69552	autochthonous_histology_microarray	kl_vs_kp_papillary	Cldn4	STING_ISG	11	-0.18181818181818182	0.5926152128455	within contrast samples only; not a cross-dataset merge		
GSE21581	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	NHEJ	18	-0.2260061919504644	0.3671777255550172	within contrast samples only; not a cross-dataset merge		
GSE21581	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	STING_core	18	0.4324045407636739	0.07310819207072548	within contrast samples only; not a cross-dataset merge		
GSE21581	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	Sting1	18	-0.0608875128998968	0.8103299008966292	within contrast samples only; not a cross-dataset merge		
GSE21581	autochthonous_primary_tumor_microarray	kl_vs_k	Cldn4	STING_ISG	18	-0.3065015479876161	0.2160637946112576	within contrast samples only; not a cross-dataset merge		
