term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	rank	fdr_within_rank	fdr_sweep	axis	short	below_usual_min8
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	-0.4282623649565542	-1.0258968325857079	0.22377622377622378	14	-0.2921419639506668	UBB,UBC,DDX41,UBA52,NLRP4,TBK1	6	author_wald	0.2362082362082362	0.2872802872802873	STING	Cytosolic DNA reg.	False
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	-0.6405622747341783	-1.4537877242764463	0.028971028971028972	12	-0.6376224079678273	DDX41,NLRP4,TBK1,IFI16,PRKDC	5	author_wald	0.09174159174159174	0.1294160385069476	STING	IRF3 type-I IFN	False
Cytosolic DNA-sensing pathway	-0.3417254440479687	-1.0680321697076103	0.16683316683316685	44	-0.05187327843367104	CHUK,IKBKE,MAVS,RIPK1,IL18,NFKB1,POLR3B,TBK1,NFKBIA,PYCARD,CASP1,POLR3D	12	author_wald	0.195392842451666	0.2434521999739391	STING	DNA sensing KEGG	False
Non-homologous end-joining	0.569418631837989	1.2950979691915867	0.07592407592407592	12	0.4276228479100916	POLM,FEN1,DCLRE1C,POLL,MRE11	5	author_wald	0.15357369902824447	0.19824619824619824	NHEJ	NHEJ KEGG	False
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	0.35309339179941496	1.067559713653326	0.17482517482517482	39	0.17811866474174032	POLM,TP53BP1,SMC5,DCLRE1C,KDM2A,PAXX,POLL,MRE11,PNKP,ATM,SMARCAL1,DCLRE1B,PRPF19,HMGB2,ERCC8	15	author_wald	0.195392842451666	0.2434521999739391	NHEJ	NHEJ GO	False
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	-0.3371699247349959	-0.6052367287535454	0.46653346653346656	5	-0.15181234251897888	LIG4,ZBTB7A	2	author_wald	0.46653346653346656	0.47656644430837986	NHEJ	NHEJ classical GO	True
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	0.41410102456550774	1.2032451574178749	0.08891108891108891	35	0.2648309347892452	POLM,NSD2,TP53BP1,MDC1,TDP1,DCLRE1C,POLL,MRE11,KAT5	9	author_wald	0.15357369902824447	0.19824619824619824	NHEJ	NHEJ Reactome	False
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	0.5190572487547035	1.2016534081226034	0.11688311688311688	12	0.5190698557231482	FEN1,RBBP8,MRE11,BRCA2,XRCC1	5	author_wald	0.18506493506493504	0.22144522144522144	NHEJ	alt-NHEJ MMEJ	False
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.4184155272522097	1.1071376008875424	0.15584415584415584	21	0.3873002293201405	HLA-F,HLA-C,B2M,HLA-B,HLA-A,NLRC5,TAP1,HLA-E,PSMB8,TAPBPL	10	author_wald	0.195392842451666	0.2387934645999162	APM	APM MHC-I custom	False
Interferon Alpha Response	0.6237539853318324	2.060629083072436	0.000999000999000999	95	0.271316060907436	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,TDRD7,OAS1,CMPK2,UBE2L6,ISG20,MOV10,HERC6,STAT2,BST2,HLA-C,RSAD2,DDX60,OASL,IL4R,IFI35,IFI27,IFIT2,PARP12,PLSCR1	44	author_log2FC	0.006327006327006327	0.01581751581751582	IFN	IFN-α Hallmark	False
Interferon Gamma Response	0.4520095578986989	1.619464479161299	0.000999000999000999	186	0.12157217650986984	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,MX2,IFIT1,DDX58,TDRD7,CMPK2,OAS3,UBE2L6,OAS2,CCL5,MT2A,ISG20,STAT1,HERC6,XAF1,STAT2,BST2,RSAD2,DDX60,NOD1	61	author_log2FC	0.006327006327006327	0.01581751581751582	IFN	IFN-γ Hallmark	False
Interferon Alpha/Beta Signaling R-HSA-909733	0.6540547593621133	2.0144012590466223	0.000999000999000999	58	0.33038098331365956	ISG15,IFITM3,IFIT3,MX1,MX2,IFIT1,HLA-F,IFI6,OAS1,OAS3,OAS2,ISG20,STAT1,XAF1,STAT2,BST2,HLA-C,RSAD2,OASL,IFI35,IFI27,HLA-A,IFIT2,IFIT5,HLA-B	33	author_log2FC	0.006327006327006327	0.01581751581751582	IFN	IFN-α/β Reactome	False
Interferon Gamma Signaling R-HSA-877300	0.3808428852694487	1.2211117750612037	0.07692307692307693	78	0.05871994221015121	TRIM45,HLA-F,OAS1,OAS3,OAS2,MT2A,STAT1,HLA-C,OASL,TRIM46,HLA-A,SP100,HLA-B,PML,B2M,TRIM3,TRIM5,IFNGR1,IRF9,IRF6,TRIM22,IRF3,TRIM17,TRIM21,IRF7	25	author_log2FC	0.1826923076923077	0.19824619824619824	IFN	IFN-γ Reactome	False
Response To Type I Interferon (GO:0034340)	0.7194493871871533	1.4128063743178285	0.04495504495504495	8	0.4065222368467931	ISG15,MX1,IFIT1,SP100,SMPD1	5	author_log2FC	0.14235764235764234	0.1746253746253746	IFN	IFN-I response GO	False
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	0.5742512405487203	1.4370734168854837	0.029970029970029972	22	0.19659162801268548	IFITM3,OAS2,STAT1,STAT2,MYD88,IFI27,SP100,TYK2,IFNAR2,IFITM2,IFNAR1	11	author_log2FC	0.11388611388611389	0.1294160385069476	IFN	IFN-I signaling GO	False
Antigen processing and presentation	-0.3739627527141925	-1.175194356563764	0.07592407592407592	56	-0.07065918133960537	NFYA,CREB1,CTSB,TAP2,PSME3,CD8A,PSME1,CD74,CANX,HLA-DQA1,HLA-DPB1,RFX5,HSPA8,HLA-DQB1,HLA-DRA,HLA-DMB,HLA-DRB1,HLA-DPA1,HLA-DMA	19	author_log2FC	0.1826923076923077	0.19824619824619824	APM	APM KEGG (I+II)	False
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	-0.4284409815728154	-1.037817365041455	0.17382617382617382	17	-0.07387397294845004	ACE,HFE,MFSD6,ERAP1,ERAP2	5	author_log2FC	0.23030303030303031	0.2434521999739391	APM	APM MHC-I GO	False
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.5243660171718456	-1.21845579078641	0.08791208791208792	15	-0.08262526585211492	TBK1,DDX41,NLRP4,PRKDC,IFI16	5	author_log2FC	0.1855921855921856	0.19824619824619824	STING	STING Reactome	False
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.30885699686148516	-0.9781849733991071	0.2127872127872128	61	-0.03974501612387012	CTNNB1,AIM2,POLR3H,CREBBP,DHX9,CHUK,POLR2F,UBA52,NFKB1,RIPK1,NKIRAS2,DHX36,TBK1,DDX41,POLR3B,NLRP4,NFKBIA,PRKDC,IFI16,POLR3D,NKIRAS1	21	author_log2FC	0.2526848151848152	0.2769148659559619	STING	DNA sensors Reactome	False
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	-0.36850461586153893	-0.8519962726621119	0.32167832167832167	14	-0.07108075201155029	UBA52,TBK1,DDX41,NLRP4	4	author_log2FC	0.3490398490398491	0.3639889522242464	STING	Cytosolic DNA reg.	False
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	-0.6604824913541024	-1.458016305383471	0.025974025974025976	12	-0.16103702179390278	TBK1,DDX41,NLRP4,PRKDC,IFI16	5	author_log2FC	0.11388611388611389	0.1294160385069476	STING	IRF3 type-I IFN	False
Cytosolic DNA-sensing pathway	-0.28794894335018434	-0.8731443850977921	0.3306693306693307	44	-0.010494098133618063	POLR3H,MAVS,CHUK,POLR2F,NFKB1,RIPK1,TBK1,POLR3B,NFKBIA,IKBKE,IL18,PYCARD,POLR3D,CASP1	14	author_log2FC	0.3490398490398491	0.36527426062309787	STING	DNA sensing KEGG	False
Non-homologous end-joining	0.5304213395831889	1.1665082239632152	0.13486513486513488	12	0.1237284545794181	POLM,DCLRE1C,FEN1,POLL,MRE11	5	author_log2FC	0.21353646353646358	0.22935397935397936	NHEJ	NHEJ KEGG	False
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	0.3730475736769672	1.070264189765677	0.17682317682317683	39	0.04929594324983232	POLM,DCLRE1C,PAXX,TP53BP1,PNKP,POLL,SMC5,SMARCAL1,MRE11,DCLRE1B,KDM2A,ATM,ERCC8	13	author_log2FC	0.23030303030303031	0.2434521999739391	NHEJ	NHEJ GO	False
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	-0.2428406951777472	-0.42317356373166753	0.4905094905094905	5	-0.023573997607531323	ZBTB7A,LIG4	2	author_log2FC	0.4905094905094905	0.49050949050949044	NHEJ	NHEJ classical GO	True
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	0.3802757184007561	1.057640989199645	0.18181818181818182	35	0.07163623253480128	POLM,NSD2,DCLRE1C,MDC1,TP53BP1,POLL,TDP1,MRE11,ATM,ARTN,KAT5,HERC2,BRCC3	13	author_log2FC	0.23030303030303031	0.24595123186672482	NHEJ	NHEJ Reactome	False
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	0.5489188558414048	1.2203138016634953	0.1068931068931069	12	0.12384983527159192	FEN1,RBBP8,MRE11,XRCC1,BRCA2,ARTN	6	author_log2FC	0.20309690309690312	0.21155927405927408	NHEJ	alt-NHEJ MMEJ	False
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.45082150539049576	1.1402132408526722	0.13386613386613386	21	0.13048409926713514	HLA-F,HLA-C,HLA-A,HLA-B,B2M,NLRC5,TAPBPL,TAP1,HLA-E,PSMB8	10	author_log2FC	0.21353646353646358	0.22935397935397936	APM	APM MHC-I custom	False
Interferon Alpha Response	0.39900431149599747	1.6141212881548583	0.007992007992007992	91	0.6524712228006407	STAT2,IFI44L,TDRD7,MOV10,ISG20,TRIM5,IL4R,DHX58,TRIM26,ISG15,HLA-C,IRF9,IFI44,UBE2L6,IFITM3,PARP12,TRIM21,B2M,PLSCR1,OAS1,IFIT3,IL15,MX1,CMPK2,IFI35	36	welch_author_norm	0.11388611388611389	0.09490509490509491	IFN	IFN-α Hallmark	False
Interferon Gamma Response	0.25706718284834373	1.1385624900136724	0.13686313686313686	178	0.2354658859539767	STAT2,IFI44L,TDRD7,ISG20,MX2,SOD2,IL4R,DHX58,PML,MYD88,CCL5,TRIM26,ISG15,NOD1,NUP93,IRF9,TNFAIP2,MTHFD2,IFI44,NLRC5,UBE2L6,DDX58,IFITM3,HLA-A,PARP12	56	welch_author_norm	0.20587105202489817	0.22935397935397936	IFN	IFN-γ Hallmark	False
Interferon Alpha/Beta Signaling R-HSA-909733	0.3464043430165058	1.2500401746253065	0.0989010989010989	57	0.44186947371368296	STAT2,ISG20,MX2,HLA-F,ISG15,IRF6,HLA-C,IRF9,IFITM3,HLA-A,IFIT1,IRF3,HLA-B,TYK2,OAS1,OAS3,IFIT3,IFI6,MX1,IFI35,BST2,STAT1,IFIT5,OASL,OAS2	29	welch_author_norm	0.1879120879120879	0.19990647650222118	IFN	IFN-α/β Reactome	False
Interferon Gamma Signaling R-HSA-877300	0.3039172353282462	1.1747988599932346	0.12687312687312688	77	0.18840088584927114	TRIM45,TRIM22,TRIM5,HLA-F,TRIM46,PML,TRIM26,IRF6,HLA-C,IRF9,HLA-A,GBP5,MT2A,IRF3,TRIM21,HLA-B,IFNGR1,B2M,TRIM3,OAS1,OAS3,CAMK2A,TRIM17,STAT1,SP100	29	welch_author_norm	0.20587105202489817	0.22935397935397936	IFN	IFN-γ Reactome	False
Response To Type I Interferon (GO:0034340)	-0.35582639984727643	-0.8399012589981852	0.32367632367632365	8	0.14705057527207455	SHMT2,SETD2	2	welch_author_norm	0.3437673437673438	0.3639889522242464	IFN	IFN-I response GO	False
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	0.33916084283809605	0.9927160135334809	0.2707292707292707	21	0.4202693819880232	STAT2,MYD88,IFITM3,TYK2,STAT1,SP100,OAS2,IFNAR2,IFI27,IFNAR1	10	welch_author_norm	0.32386363636363635	0.3262362637362638	IFN	IFN-I signaling GO	False
Antigen processing and presentation	-0.4099358489079559	-1.5513183182508568	0.011988011988011988	53	-0.4309927584411626	CD74,HLA-DPB1,NFYA,CD8A,RFX5,LGMN,TAP2,HLA-DQB1,HLA-DQA1,PSME1,HLA-DRA,RFXANK,HSPA4,HLA-DMB,CREB1,CANX,HLA-DPA1,HSPA8,HLA-DRB1,PSME3,HLA-DMA	21	welch_author_norm	0.11388611388611389	0.10353283080555808	APM	APM KEGG (I+II)	False
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	-0.40799382207194	-1.143728789669886	0.14085914085914086	15	-0.4364426024162315	HFE,ERAP1,MFSD6,ERAP2	4	welch_author_norm	0.20587105202489817	0.22935397935397936	APM	APM MHC-I GO	False
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.437028348122891	-1.2221982164896592	0.0939060939060939	14	-0.579794243156699	NLRP4,DDX41,IFI16,TBK1,PRKDC	5	welch_author_norm	0.1879120879120879	0.19824619824619824	STING	STING Reactome	False
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.35830804634636626	-1.3877283728324314	0.02097902097902098	60	-0.31197572488182407	NLRP4,DDX41,CREBBP,NFKBIA,UBC,CTNNB1,DHX9,RIPK1,POLR3B,NFKB1,NKIRAS2,IFI16,UBA52,DHX36,NKIRAS1,TBK1,PRKDC,POLR3D	18	welch_author_norm	0.13286713286713286	0.1294160385069476	STING	DNA sensors Reactome	False
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	-0.3854896802264635	-1.0880817027731609	0.17482517482517482	14	-0.45073324637860107	NLRP4,DDX41,UBC,UBA52,TBK1	5	welch_author_norm	0.23726273726273725	0.2434521999739391	STING	Cytosolic DNA reg.	False
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	-0.5934010730226138	-1.5379915433031415	0.028971028971028972	11	-0.9902356424481682	NLRP4,DDX41,IFI16,TBK1,PRKDC	5	welch_author_norm	0.13761238761238762	0.1294160385069476	STING	IRF3 type-I IFN	False
Cytosolic DNA-sensing pathway	-0.3335755288498458	-1.2308783447341618	0.07792207792207792	43	-0.11562508414103714	RIPK1,POLR3B,NFKB1,IL18,TBK1,CASP1,PYCARD,POLR3D	8	welch_author_norm	0.1879120879120879	0.19824619824619824	STING	DNA sensing KEGG	False
Non-homologous end-joining	0.5269052110140997	1.3161308325029066	0.08191808191808192	12	0.6752791851564514	POLL,POLM,FEN1,DCLRE1C,MRE11	5	welch_author_norm	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ KEGG	False
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	0.3827236516988796	1.2726522422581228	0.08091908091908091	39	0.39140349032675664	POLL,POLM,PAXX,SMC5,TP53BP1,PNKP,DCLRE1C,KDM2A,SMARCAL1,IFFO1,MRE11,ERCC8,DCLRE1B	13	welch_author_norm	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ GO	False
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	0.37063791589650286	0.73153107188912	0.4175824175824176	5	0.04750176556085874	ERCC8	1	welch_author_norm	0.4175824175824176	0.44078144078144077	NHEJ	NHEJ classical GO	True
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	0.39008324208773343	1.287560557409797	0.07892107892107893	35	0.3710327167826151	NSD2,POLL,TDP1,POLM,TP53BP1,MDC1,DCLRE1C,KAT5,HERC2,MRE11	10	welch_author_norm	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ Reactome	False
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	0.3648815857777602	0.9027849213025896	0.3256743256743257	12	0.5247256982932779	FEN1,RBBP8,MRE11,BRCA2	4	welch_author_norm	0.3437673437673438	0.3639889522242464	NHEJ	alt-NHEJ MMEJ	False
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.32599961680419115	0.9542835925879515	0.2727272727272727	20	0.3781501533059307	HLA-F,HLA-C,NLRC5,HLA-A,HLA-B,B2M,TAPBPL,TAP1	8	welch_author_norm	0.32386363636363635	0.3262362637362638	APM	APM MHC-I custom	False
Interferon Alpha Response	0.4442810754451506	1.6094426713537537	0.006993006993006993	91	0.9497615632377573	STAT2,IFI44L,TDRD7,MOV10,TRIM26,ISG20,TRIM5,IL4R,DHX58,ISG15,HLA-C,IRF9,UBE2L6,IFI44,PARP12,TRIM21,IFITM3,OGFR,B2M,NCOA7,PLSCR1,OAS1,IFIT3,SLC25A28,CMPK2	44	welch_cpm	0.10755910755910757	0.09490509490509491	IFN	IFN-α Hallmark	False
Interferon Gamma Response	0.32498886278393213	1.2665050271339968	0.08491508491508491	178	0.5327435662395971	STAT2,IFI44L,TDRD7,NUP93,TRIM26,ISG20,SOD2,MX2,IL4R,PML,DHX58,MTHFD2,MYD88,NOD1,CCL5,ISG15,TNFAIP2,IRF9,NLRC5,SPPL2A,UBE2L6,IFI44,SECTM1,RBCK1,PARP12	75	welch_cpm	0.2494648208933923	0.19824619824619824	IFN	IFN-γ Hallmark	False
Interferon Alpha/Beta Signaling R-HSA-909733	0.3997141953315072	1.3375586699876634	0.0919080919080919	57	0.776112737720359	STAT2,ISG20,MX2,HLA-F,IRF6,ISG15,HLA-C,IRF9,IRF3,HLA-A,IFITM3,TYK2,HLA-B,IFIT1,OAS3,OAS1,IFIT3,IFI6,MX1,IFI35,BST2,IFIT5,STAT1,OASL,IFNAR2	34	welch_cpm	0.2494648208933923	0.19824619824619824	IFN	IFN-α/β Reactome	False
Interferon Gamma Signaling R-HSA-877300	0.345480269984886	1.2198237318821306	0.14985014985014986	77	0.49451474380166965	TRIM45,TRIM22,TRIM26,TRIM5,HLA-F,PML,TRIM46,IRF6,HLA-C,IRF9,IRF3,HLA-A,JAK2,TRIM21,IFNGR1,MT2A,B2M,HLA-B,NCAM1,TRIM3,GBP5,TRIM17,OAS3,OAS1,CAMK2A	29	welch_cpm	0.28471528471528473	0.23337318419285633	IFN	IFN-γ Reactome	False
Response To Type I Interferon (GO:0034340)	0.3715567424880959	0.813494890197291	0.44755244755244755	8	0.5374123381822073	ISG15,SMPD1,IFIT1,MX1,SP100	5	welch_cpm	0.4724164724164724	0.46214654910307085	IFN	IFN-I response GO	False
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	0.40775563643833573	1.1128991831941393	0.23676323676323677	21	0.7444907355948692	STAT2,MYD88,IFITM3,TYK2,SP100,STAT1,IFNAR2,OAS2,IFNAR1,IFI27,IFITM2	11	welch_cpm	0.3226773226773227	0.2972027972027972	IFN	IFN-I signaling GO	False
Antigen processing and presentation	-0.2252925573758418	-0.9207971894397815	0.11288711288711288	53	0.0015123536630610923	CD8A,PSME1,HLA-DQB1,HLA-DQA1,PSME3,CREB1,HLA-DRA,CANX,HSPA8,HLA-DPA1,HLA-DMB,HLA-DRB1,HLA-DMA	13	welch_cpm	0.25097125097125095	0.21886276988317804	APM	APM KEGG (I+II)	False
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	-0.29769868532038013	-0.8882800046963756	0.1838161838161838	15	0.12501048965310135	HFE,ERAP1,MFSD6,ERAP2	4	welch_cpm	0.31002331002331	0.24595123186672482	APM	APM MHC-I GO	False
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.3440783272719791	-1.0373023153062404	0.11888111888111888	14	-0.10106808136278166	DDX41,NLRP4,IFI16,TBK1,PRKDC	5	welch_cpm	0.25097125097125095	0.22144522144522144	STING	STING Reactome	False
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	0.3037193710407135	1.011353502491931	0.3726273726273726	60	0.3231266470440391	RELA,IKBKB,NFKBIB,TRIM32,POLR1D,MYD88,POLR2L,STAT6,NFKB2,MRE11,POLR2E,IRF3,POLR3A,TRIM21	14	welch_cpm	0.442495004995005	0.4022681863590954	STING	DNA sensors Reactome	False
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	0.3283356148987931	0.8348602561838622	0.44655344655344653	14	0.21729793057095306	TRIM32,IRF3,TRIM21,ZBP1	4	welch_cpm	0.4724164724164724	0.46214654910307085	STING	Cytosolic DNA reg.	False
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	-0.4970186656713145	-1.3701348128292914	0.04595404595404595	11	-0.4671920256702386	DDX41,NLRP4,IFI16,TBK1,PRKDC	5	welch_cpm	0.1746253746253746	0.1746253746253746	STING	IRF3 type-I IFN	False
Cytosolic DNA-sensing pathway	0.2822357336239684	0.9094414814867211	0.4905094905094905	43	0.3654433949247503	RELA,IKBKB,NFKBIB,POLR1D,POLR2L,CCL5,POLR2E,IRF3,POLR3A,DDX58	10	welch_cpm	0.4905094905094905	0.49050949050949044	STING	DNA sensing KEGG	False
Non-homologous end-joining	0.6200609099048493	1.4897757746109708	0.03896103896103896	12	1.1478125715376735	POLL,POLM,FEN1,DCLRE1C,MRE11	5	welch_cpm	0.1746253746253746	0.16092603049124787	NHEJ	NHEJ KEGG	False
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	0.5148971574141461	1.6189002927559948	0.016983016983016984	39	0.9917818443100265	POLL,SMC5,PAXX,POLM,TP53BP1,KDM2A,PNKP,DCLRE1C,SMARCAL1,PRPF19,MRE11,ERCC8,DCLRE1B,ATM,IFFO1	15	welch_cpm	0.10755910755910757	0.1220208363065506	NHEJ	NHEJ GO	False
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	0.5447015763087901	1.0391037045988372	0.27472527472527475	5	0.5726354383678639	ERCC8	1	welch_cpm	0.34798534798534797	0.3262362637362638	NHEJ	NHEJ classical GO	True
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	0.5209425577166256	1.6069833305105943	0.014985014985014986	35	0.9717946484480077	NSD2,POLL,TDP1,POLM,TP53BP1,MDC1,DCLRE1C,HERC2,KAT5,MRE11	10	welch_cpm	0.10755910755910757	0.11863136863136864	NHEJ	NHEJ Reactome	False
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	0.4672780348177038	1.1212042828360238	0.23776223776223776	12	1.031640571440194	FEN1,RBBP8,MRE11,BRCA2	4	welch_cpm	0.3226773226773227	0.2972027972027972	NHEJ	alt-NHEJ MMEJ	False
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.41852461941999025	1.1607676044974902	0.1958041958041958	20	0.7891243709472667	HLA-F,HLA-C,NLRC5,PDIA3,HLA-A,B2M,HLA-B,TAPBP,TAP1,TAPBPL,HLA-E	11	welch_cpm	0.31002331002331	0.2583527583527584	APM	APM MHC-I custom	False
Interferon Alpha Response	0.4022393385664143	1.6157996708859002	0.008991008991008992	91	0.6850407737650259	STAT2,IFI44L,TDRD7,MOV10,ISG20,TRIM5,IL4R,DHX58,TRIM26,ISG15,HLA-C,IRF9,IFI44,UBE2L6,IFITM3,PARP12,TRIM21,B2M,PLSCR1,OAS1,IFIT3,MX1,IL15,IFI35,CMPK2	36	welch_median_ratio	0.11388611388611389	0.09490509490509491	IFN	IFN-α Hallmark	False
Interferon Gamma Response	0.2604065831217794	1.1400179439943705	0.14485514485514486	178	0.264877648399311	STAT2,IFI44L,TDRD7,ISG20,SOD2,MX2,IL4R,PML,DHX58,MYD88,TRIM26,CCL5,ISG15,NOD1,NUP93,IRF9,TNFAIP2,MTHFD2,IFI44,NLRC5,UBE2L6,DDX58,IFITM3,PARP12,HLA-A	57	welch_median_ratio	0.2117113655575194	0.22935397935397936	IFN	IFN-γ Hallmark	False
