set	short	axis	normalization	n_genes	score_KO_minus_WT	exact_p_two	exact_p_KO_gt_WT	n_permutations	fdr_two_sweep	fdr_up_sweep
Response To Type I Interferon (GO:0034340)	IFN-I response GO	IFN	cpm	8	0.5673337104098835	0.2	0.11428571428571428	35	0.4885714285714285	0.35403726708074534
Response To Type I Interferon (GO:0034340)	IFN-I response GO	IFN	median_ratio	8	0.46878958311831287	0.2571428571428571	0.14285714285714285	35	0.4885714285714285	0.35403726708074534
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	IFN-I signaling GO	IFN	author_norm	22	0.26590087816504493	0.22857142857142856	0.11428571428571428	35	0.4885714285714285	0.35403726708074534
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	IFN-I signaling GO	IFN	cpm	22	0.35816817993972183	0.14285714285714285	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	IFN-I signaling GO	IFN	median_ratio	22	0.27504553393026754	0.22857142857142856	0.11428571428571428	35	0.4885714285714285	0.35403726708074534
Antigen processing and presentation	APM KEGG (I+II)	APM	author_norm	56	-0.15057689293965026	0.2571428571428571	0.8857142857142857	35	0.4885714285714285	0.9596938775510203
Antigen processing and presentation	APM KEGG (I+II)	APM	cpm	56	-0.04858055512015813	0.7714285714285715	0.6285714285714286	35	0.8296495956873317	0.8530612244897959
Antigen processing and presentation	APM KEGG (I+II)	APM	median_ratio	56	-0.14184786284156203	0.2571428571428571	0.8857142857142857	35	0.4885714285714285	0.9596938775510203
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	APM MHC-I GO	APM	author_norm	17	-0.05441173397895138	0.6285714285714286	0.6857142857142857	35	0.7961904761904762	0.8685714285714287
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	APM MHC-I GO	APM	cpm	17	0.03268967000589296	0.8	0.4	35	0.8444444444444444	0.6162162162162163
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	APM MHC-I GO	APM	median_ratio	17	-0.045504617950068216	0.6857142857142857	0.6857142857142857	35	0.797667638483965	0.8685714285714287
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	STING Reactome	STING	author_norm	15	-0.18288645525501757	0.11428571428571428	0.9428571428571428	35	0.4885714285714285	0.9596938775510203
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	STING Reactome	STING	cpm	15	-0.06451215595511872	0.4	0.8285714285714286	35	0.5816326530612245	0.9596938775510203
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	STING Reactome	STING	median_ratio	15	-0.17392405988196646	0.11428571428571428	0.9428571428571428	35	0.4885714285714285	0.9596938775510203
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	DNA sensors Reactome	STING	author_norm	61	-0.06098635192875168	0.2857142857142857	0.8857142857142857	35	0.49350649350649345	0.9596938775510203
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	DNA sensors Reactome	STING	cpm	61	0.042748790801645065	0.4857142857142857	0.22857142857142856	35	0.6292207792207792	0.4202764976958525
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	DNA sensors Reactome	STING	median_ratio	61	-0.05156661301193832	0.34285714285714286	0.8285714285714286	35	0.5583673469387755	0.9596938775510203
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	Cytosolic DNA reg.	STING	author_norm	14	-0.11393428044909726	0.2571428571428571	0.8857142857142857	35	0.4885714285714285	0.9596938775510203
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	Cytosolic DNA reg.	STING	cpm	14	-0.009106632882962984	0.9142857142857143	0.5714285714285714	35	0.9475324675324676	0.8142857142857143
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	Cytosolic DNA reg.	STING	median_ratio	14	-0.10475167221175052	0.3142857142857143	0.8571428571428571	35	0.526890756302521	0.9596938775510203
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	IRF3 type-I IFN	STING	author_norm	12	-0.258095351333977	0.08571428571428572	0.9714285714285714	35	0.4885714285714285	0.9714285714285714
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	IRF3 type-I IFN	STING	cpm	12	-0.13972777520518953	0.17142857142857143	0.9428571428571428	35	0.4885714285714285	0.9596938775510203
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	IRF3 type-I IFN	STING	median_ratio	12	-0.24886278939652673	0.11428571428571428	0.9428571428571428	35	0.4885714285714285	0.9596938775510203
Cytosolic DNA-sensing pathway	DNA sensing KEGG	STING	author_norm	44	-0.031305725686224584	0.7142857142857143	0.6571428571428571	35	0.8142857142857143	0.8685714285714287
Cytosolic DNA-sensing pathway	DNA sensing KEGG	STING	cpm	44	0.06519005080429263	0.42857142857142855	0.2571428571428571	35	0.5816326530612245	0.4580357142857142
Cytosolic DNA-sensing pathway	DNA sensing KEGG	STING	median_ratio	44	-0.022773446252992713	0.7714285714285715	0.6285714285714286	35	0.8296495956873317	0.8530612244897959
Non-homologous end-joining	NHEJ KEGG	NHEJ	author_norm	12	0.15234485354533778	0.05714285714285714	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
Non-homologous end-joining	NHEJ KEGG	NHEJ	cpm	12	0.24940594401276606	0.02857142857142857	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
Non-homologous end-joining	NHEJ KEGG	NHEJ	median_ratio	12	0.16197077550904648	0.05714285714285714	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	NHEJ GO	NHEJ	author_norm	39	0.08427859661691262	0.11428571428571428	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	NHEJ GO	NHEJ	cpm	39	0.17674505246565975	0.02857142857142857	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	NHEJ GO	NHEJ	median_ratio	39	0.09392339051035581	0.08571428571428572	0.05714285714285714	35	0.4885714285714285	0.35403726708074534
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	NHEJ classical GO	NHEJ	author_norm	5	0.002551822470464593	1.0	0.4857142857142857	35	1.0	0.7098901098901099
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	NHEJ classical GO	NHEJ	cpm	5	0.10113116956529122	0.2857142857142857	0.17142857142857143	35	0.49350649350649345	0.36190476190476195
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	NHEJ classical GO	NHEJ	median_ratio	5	0.012471129015187543	0.9714285714285714	0.4857142857142857	35	0.9887755102040817	0.7098901098901099
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	NHEJ Reactome	NHEJ	author_norm	35	0.08592690621903909	0.14285714285714285	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	NHEJ Reactome	NHEJ	cpm	35	0.1850080976123074	0.02857142857142857	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	NHEJ Reactome	NHEJ	median_ratio	35	0.09589402499061883	0.11428571428571428	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	alt-NHEJ MMEJ	NHEJ	author_norm	12	0.17864844278108727	0.17142857142857143	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	alt-NHEJ MMEJ	NHEJ	cpm	12	0.26239920710966214	0.05714285714285714	0.02857142857142857	35	0.4885714285714285	0.2714285714285714
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	alt-NHEJ MMEJ	NHEJ	median_ratio	12	0.18824966618148942	0.17142857142857143	0.08571428571428572	35	0.4885714285714285	0.35403726708074534
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	APM MHC-I custom	APM	author_norm	21	0.19489718784795862	0.45714285714285713	0.22857142857142856	35	0.6059800664451828	0.4202764976958525
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	APM MHC-I custom	APM	cpm	21	0.27078135909673495	0.2857142857142857	0.14285714285714285	35	0.49350649350649345	0.35403726708074534
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	APM MHC-I custom	APM	median_ratio	21	0.2036393018305347	0.42857142857142855	0.22857142857142856	35	0.5816326530612245	0.4202764976958525
