CCLE_Code,TACSTD2,CLDN4,S1_Tissue,S1_CellLine,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,ModelID,CellLineName,has_TACSTD2,has_CLDN4,has_both
LCLC103H_LUNG,0.110895394999786,,Lung,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000627,LCLC-103H,True,False,False
LK2_LUNG,-0.552712789456478,-2.24264941636874,Lung,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000769,LK-2,True,True,True
LU65_LUNG,-2.11516727050587,,Lung,LU65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,ACH-000438,Lu-65,True,False,False
LUDLU1_LUNG,1.6576758653625,1.09732336115942,Lung,LUDLU-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000390,LUDLU-1,True,True,True
LXF289_LUNG,-1.88430308971264,,Lung,LXF-289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000787,LXF-289,True,False,False
NCIH1155_LUNG,-1.92210568085099,,Lung,NCI-H1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000980,NCI-H1155,True,False,False
NCIH1299_LUNG,-0.834182839388835,-1.26831048249319,Lung,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000510,NCI-H1299,True,True,True
NCIH1355_LUNG,-1.34487248734271,,Lung,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000666,NCI-H1355,True,False,False
NCIH1435_LUNG,1.483328582339,0.401149343110885,Lung,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000852,NCI-H1435,True,True,True
NCIH1437_LUNG,1.98355746845443,,Lung,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000589,NCI-H1437,True,False,False
NCIH1568_LUNG,-0.253640981085358,0.644483123861004,Lung,CNI-H1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000869,NCI-H1568,True,True,True
NCIH1573_LUNG,0.538564421516332,0.904895344446136,Lung,NCIH1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000916,NCI-H1573,True,True,True
NCIH1581_LUNG,-0.918585538075442,,Lung,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000015,NCI-H1581,True,False,False
NCIH1650_LUNG,2.28243773514674,1.584797934609,Lung,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,ACH-000035,NCI-H1650,True,True,True
NCIH1666_LUNG,1.12307829490342,0.0919837283122551,Lung,NCI-H1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000448,NCI-H1666,True,True,True
NCIH1693_LUNG,0.832171497546333,1.85390699585657,Lung,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000021,NCI-H1693,True,True,True
NCIH1703_LUNG,-0.652791698042157,,Lung,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000747,NCI-H1703,True,False,False
NCIH1792_LUNG,-0.795950451513703,,Lung,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000496,NCI-H1792,True,False,False
NCIH1793_LUNG,-0.083063792179741,,Lung,NCI-H1793,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000888,NCI-H1793,True,False,False
NCIH1944_LUNG,-2.86837669411355,-1.49837294805964,Lung,NCI-H1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000414,NCI-H1944,True,True,True
NCIH1975_LUNG,0.0336846436092726,1.05156867095784,Lung,NCIH1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000587,NCI-H1975,True,True,True
NCIH2009_LUNG,2.90046392497731,,Lung,NCI-H2009,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000886,NCI-H2009,True,False,False
NCIH2030_LUNG,-1.05960072083354,,Lung,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000521,NCI-H2030,True,False,False
NCIH2110_LUNG,1.38376982126725,-0.687148129330744,Lung,NCI-H2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,ACH-000929,NCI-H2110,True,True,True
NCIH2122_LUNG,1.61566830229099,,Lung,NCI-H2122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000311,NCI-H2122,True,False,False
NCIH2126_LUNG,1.8354819076635,,Lung,NCI-H2126,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000785,NCI-H2126,True,False,False
NCIH2170_LUNG,-0.116836720531755,1.43351888686291,Lung,NCIH2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000481,NCI-H2170,True,True,True
NCIH2172_LUNG,-0.414957089414946,-2.02076147165257,Lung,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,ACH-000924,NCI-H2172,True,True,True
NCIH2228_LUNG,-0.38960318536105,,Lung,NCI-H2228,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000447,NCI-H2228,True,False,False
NCIH2291_LUNG,1.15732875736606,1.62027705011321,Lung,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000718,NCI-H2291,True,True,True
NCIH23_LUNG,-1.66944521320683,-3.00559581288356,Lung,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000900,NCI-H23,True,True,True
NCIH292_LUNG,5.58611442824841,,Lung,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,ACH-001075,NCI-H292,True,False,False
NCIH3255_LUNG,0.0984662090825736,0.94867281700122,Lung,NCIH3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000109,NCI-H3255,True,True,True
NCIH358_LUNG,2.02092051722455,2.27815904368953,Lung,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000860,NCI-H358,True,True,True
NCIH441_LUNG,3.83551995512968,0.865934200455243,Lung,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000638,NCI-H441,True,True,True
NCIH460_LUNG,-2.01460867410348,,Lung,NCI-H460,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000463,NCI-H460,True,False,False
NCIH520_LUNG,-2.61515514580385,-1.89315199122283,Lung,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000395,NCI-H520,True,True,True
NCIH522_LUNG,-1.62335456917925,,Lung,NCI-H522,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000343,NCI-H522,True,False,False
NCIH647_LUNG,1.03568725879343,-0.390832839409234,Lung,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,ACH-000378,NCI-H647,True,True,True
NCIH650_LUNG,0.845113452850697,,Lung,NCI-H650,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000945,NCI-H650,True,False,False
NCIH661_LUNG,-2.91049842318675,,Lung,NCI-H661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000853,NCI-H661,True,False,False
NCIH838_LUNG,-1.89744275080729,-2.52590355835083,Lung,NCI-H838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000416,NCI-H838,True,True,True
PC14_LUNG,3.32487029580832,3.62802327698463,Lung,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000030,PC-14,True,True,True
RERFLCMS_LUNG,-0.745382022943137,,Lung,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000062,RERF-LC-MS,True,False,False
RERFLCSQ1_LUNG,-2.3115335708691,-1.47787413312702,Lung,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000442,RERF-LC-Sq1,True,True,True
SKLU1_LUNG,-1.08301421911731,,Lung,SK-LU-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000309,SK-LU-1,True,False,False
SQ1_LUNG,3.2558618180752,,Lung,Sq-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000553,Sq-1,True,False,False
SW1573_LUNG,-0.83930017148715,0.831708353025961,Lung,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000677,SW 1573,True,True,True
