CCLE_Code,TACSTD2,CLDN4,S1_Tissue,S1_CellLine,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,ModelID,CellLineName,has_TACSTD2,has_CLDN4,has_both
CAKI2_KIDNEY,-0.566740222595406,1.05637909224812,Kidney,Caki-2,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,ACH-000234,Caki-2,True,True,True
CAL120_BREAST,1.8008306343101452,-0.859761641295037,Breast,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ACH-000212,CAL-120,True,True,True
CAL27_UPPER_AERODIGESTIVE_TRACT,2.51075208736019,,Upper Aerodigestive Tract,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,ACH-000832,CAL 27,True,False,False
CAL33_UPPER_AERODIGESTIVE_TRACT,3.13284512928896,,Upper Aerodigestive Tract,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,ACH-000518,CAL-33,True,False,False
CAL51_BREAST,-0.901678918627687,,Breast,CAL-51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ACH-000856,CAL-51,True,False,False
CAL851_BREAST,2.84458545366827,1.30195704783087,Breast,CAL-85-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000857,CAL-85-1,True,True,True
CALU1_LUNG,-0.630267655691389,,Lung,Calu-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000511,Calu-1,True,False,False
CALU6_LUNG,-1.58088192975724,,Lung,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000264,Calu-6,True,False,False
CAMA1_BREAST,0.716952434979612,-1.13816659597181,Breast,CAMA-1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ACH-000783,CAMA-1,True,True,True
CAOV3_OVARY,2.72595328025301,1.69756791573409,Ovary,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ACH-000713,Caov-3,True,True,True
CCK81_LARGE_INTESTINE,-0.690035103488649,,Large Intestine,CCK-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000963,CCK-81,True,False,False
CFPAC1_PANCREAS,0.929924478194107,0.868501041122002,Pancreas,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000138,CFPAC-1,True,True,True
CHAGOK1_LUNG,0.614141385155557,,Lung,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,ACH-000867,ChaGo-K-1,True,False,False
CL34_LARGE_INTESTINE,0.284184801246728,,Large Intestine,CL-34,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000895,CL-34,True,False,False
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-3.73928399482905,-2.020419563371,Haematopoietic and Lymphoid Tissue,CMK,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,ACH-000641,CMK,True,True,True
COLO205_LARGE_INTESTINE,3.4044182021014,1.12011865081111,Large Intestine,COLO205,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-001039,COLO 205,True,True,True
COLO320_LARGE_INTESTINE,-2.31818831322913,,Large Intestine,COLO-320,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000202,COLO-320,True,False,False
COLO678_LARGE_INTESTINE,-2.35861978002407,0.761477758958542,Large Intestine,COLO678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000350,COLO-678,True,True,True
COLO679_SKIN,-1.82608717733373,-0.990096862741755,Skin,COLO-679,Skin,Melanoma,Cutaneous Melanoma,ACH-000805,COLO-679,True,True,True
COLO741_SKIN,-1.40137464652644,-1.63977546842474,Skin,COLO 741,Skin,Melanoma,Melanoma,ACH-000582,COLO 741,True,True,True
COLO829_SKIN,-0.175855702127167,-1.49761362063317,Skin,COLO 829,Skin,Melanoma,Cutaneous Melanoma,ACH-000644,COLO 829,True,True,True
CORL105_LUNG,-2.92509722976601,-2.08255300509259,Lung,CORL105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000161,COR-L105,True,True,True
CORL23_LUNG,3.13909136531352,,Lung,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000662,COR-L23,True,False,False
CORL47_LUNG,-1.83301114565456,-1.59425174221189,Lung,COR-L47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,ACH-000695,COR-L47,True,True,True
CORL88_LUNG,-1.72973617467559,2.81733527015499,Lung,COR-L88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,ACH-000508,COR-L88,True,True,True
COV362_OVARY,0.575564077425705,1.55363198632517,Ovary,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ACH-000278,COV362,True,True,True
DANG_PANCREAS,3.04299814452411,,Pancreas,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000243,DAN-G,True,False,False
DAOY_CENTRAL_NERVOUS_SYSTEM,-2.15126223737435,,Central Nervous System,Daoy,CNS/Brain,Embryonal Tumor,Medulloblastoma,ACH-000211,Daoy,True,False,False
DETROIT562_UPPER_AERODIGESTIVE_TRACT,1.28145384599287,-0.0341679293825485,Upper Aerodigestive Tract,DETROIT 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,ACH-000207,Detroit 562,True,True,True
DMS114_LUNG,-1.32058734772584,-1.79906692198814,Lung,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,ACH-000530,DMS 114,True,True,True
DMS273_LUNG,-1.24638140571614,-1.3415908617903,Lung,DMS-273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,ACH-000749,DMS 273,True,True,True
DU145_PROSTATE,2.7572798120102,,Prostate,DU 145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,ACH-000979,DU 145,True,False,False
DV90_LUNG,1.92830661848231,2.5333035825933,Lung,DV90,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000925,DV-90,True,True,True
EBC1_LUNG,2.35288341451137,3.70914297576777,Lung,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000563,EBC-1,True,True,True
EFM192A_BREAST,0.926713907272915,,Breast,EFM-192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ACH-000117,EFM-192A,True,False,False
EFM19_BREAST,2.45290363227519,,Breast,EFM-19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000330,EFM-19,True,False,False
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-2.08073151421121,-1.50999626225838,Haematopoietic and Lymphoid Tissue,EOL-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Eosinophilic Leukemia, NOS",ACH-000198,EOL-1,True,True,True
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-2.2048887313199,,Haematopoietic and Lymphoid Tissue,F-36P,Myeloid,Myelodysplastic Syndromes,Myelodysplastic Syndromes,ACH-000487,F-36P,True,False,False
FADU_UPPER_AERODIGESTIVE_TRACT,4.61441491574313,,Upper Aerodigestive Tract,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,ACH-000846,FaDu,True,False,False
FUOV1_OVARY,-2.55666408555646,-2.56395091975349,Ovary,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ACH-000574,FU-OV-1,True,True,True
G401_SOFT_TISSUE,-2.09679831339788,,Soft Tissue,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,ACH-000096,G-401,True,False,False
G402_SOFT_TISSUE,-1.72993346258528,,Soft Tissue,G-402,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,ACH-000375,G-402,True,False,False
GAMG_CENTRAL_NERVOUS_SYSTEM,-1.45666289310099,,Central Nervous System,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,ACH-000098,GAMG,True,False,False
GB1_CENTRAL_NERVOUS_SYSTEM,-0.19186283781944,-5.08813152755779,Central Nervous System,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,ACH-000738,GB-1,True,True,True
HCC1143_BREAST,3.48765222702588,2.52642699658073,Breast,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000374,HCC1143,True,True,True
HCC1187_BREAST,3.94416375394237,2.47259022196995,Breast,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000111,HCC1187,True,True,True
HCC1395_BREAST,-3.93699083086175,-2.16286876144063,Breast,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000699,HCC1395,True,True,True
HCC1500_BREAST,0.775721410714726,0.265636300353966,Breast,HCC1500,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ACH-000349,HCC1500,True,True,True
HCC15_LUNG,-0.0542793420375973,,Lung,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000878,HCC-15,True,False,False
HCC1806_BREAST,2.82883615971984,,Breast,HCC 1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ACH-000624,HCC1806,True,False,False
HCC1833_LUNG,-2.04417774770678,0.301393242144924,Lung,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000712,HCC-1833,True,True,True
HCC1937_BREAST,2.58577717329933,,Breast,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000223,HCC1937,True,False,False
HCC1954_BREAST,1.54220576841238,3.18901617783708,Breast,HCC 1954,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ACH-000859,HCC1954,True,True,True
HCC2218_BREAST,0.611458271988616,1.02765564543109,Breast,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ACH-000755,HCC2218,True,True,True
HCC38_BREAST,2.32741362643907,2.3331121677672,Breast,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000276,HCC38,True,True,True
HCC44_LUNG,-0.78931032834856,-0.55894243942282,Lung,HCC44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000667,HCC-44,True,True,True
HCC56_LARGE_INTESTINE,-0.966640295336364,1.84379987155741,Large Intestine,HCC-56,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000467,HCC-56,True,True,True
HCC70_BREAST,2.34846962151259,1.33436980234114,Breast,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000668,HCC70,True,True,True
HCC827_LUNG,2.5252116126129,1.80847161075187,Lung,HCC827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000012,HCC-827,True,True,True
HCC95_LUNG,1.65996246468271,0.159743518456201,Lung,HCC-95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000454,HCC-95,True,True,True
HCT116_LARGE_INTESTINE,-0.100966942931505,0.974120729667632,Large Intestine,HCT 116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000971,HCT 116,True,True,True
HCT15_LARGE_INTESTINE,1.5697321855503354,,Large Intestine,HCT-15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000997,HCT-15,True,False,False
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-2.00350120798954,,Haematopoietic and Lymphoid Tissue,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,ACH-000190,HD-MY-Z,True,False,False
HDQP1_BREAST,3.68224282300692,,Breast,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000643,HDQ-P1,True,False,False
HEC108_ENDOMETRIUM,-1.13620029487888,,Endometrium,HEC-108,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000990,HEC-108,True,False,False
HEC1A_ENDOMETRIUM,-2.24223489028252,,Endometrium,HEC-1-A,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000954,HEC-1-A,True,False,False
HEC251_ENDOMETRIUM,2.79666978100647,,Endometrium,HEC-251,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000996,HEC-251,True,False,False
HEC265_ENDOMETRIUM,2.63151471847543,,Endometrium,HEC-265,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000946,HEC-265,True,False,False
HEC50B_ENDOMETRIUM,-2.08783252198495,,Endometrium,HEC-50B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000831,HEC-50B,True,False,False
HEC59_ENDOMETRIUM,-0.575457784095734,0.324690044237529,Endometrium,HEC-59,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000994,HEC-59,True,True,True
HEC6_ENDOMETRIUM,-2.70998658760839,-1.4500436040386,Endometrium,HEC-6,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,ACH-000984,HEC-6,True,True,True
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1.46933982391254,-3.57819953490705,Haematopoietic and Lymphoid Tissue,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,ACH-000005,HEL 92.1.7,True,True,True
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1.17867313976274,,Haematopoietic and Lymphoid Tissue,HEL,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,ACH-000004,HEL,True,False,False
HEP3B217_LIVER,-0.718195805997591,-0.883644373618235,Liver,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000625,Hep 3B2.1-7,True,True,True
HEPG2_LIVER,-0.707173037177753,-0.536043900812571,Liver,Hep G2,Liver,Hepatoblastoma,Hepatoblastoma,ACH-000739,Hep G2,True,True,True
HEYA8_OVARY,1.33805536543041,,Ovary,Hey-A8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ACH-000542,Hey-A8,True,False,False
HGC27_STOMACH,-0.950890982285332,-2.26479266714604,Stomach,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,ACH-000847,HGC-27,True,True,True
HLF_LIVER,-1.20684930281594,-2.03392956319339,Liver,HLF,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000393,HLF,True,True,True
HS294T_SKIN,-0.759029475467566,-0.725149890385826,Skin,Hs 294T,Skin,Melanoma,Melanoma,ACH-000014,Hs 294T,True,True,True
HS695T_SKIN,-0.95623732821848,-0.921413842565593,Skin,Hs 695T,Skin,Melanoma,Melanoma,ACH-000799,Hs 695T,True,True,True
HS944T_SKIN,-0.896942444001731,-1.95842923447634,Skin,Hs 944.T,Skin,Melanoma,Cutaneous Melanoma,ACH-000632,Hs 944.T,True,True,True
HSC3_UPPER_AERODIGESTIVE_TRACT,2.54569034022686,-0.70918403713986,Upper Aerodigestive Tract,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,ACH-000778,HSC-3,True,True,True
HSC4_UPPER_AERODIGESTIVE_TRACT,2.6766428670691,1.87347111289797,Upper Aerodigestive Tract,HSC4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,ACH-000546,HSC-4,True,True,True
HT1080_SOFT_TISSUE,-0.586188511464107,-1.39115167107441,Soft Tissue,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,ACH-000054,HT-1080,True,True,True
HT115_LARGE_INTESTINE,-1.00340741850578,2.18016247958044,Large Intestine,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000986,HT115,True,True,True
HT1197_URINARY_TRACT,2.44366817135894,2.18094264269453,Urinary Tract,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,ACH-000547,HT-1197,True,True,True
HT1376_URINARY_TRACT,3.20893929374137,1.18549927227929,Urinary Tract,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,ACH-000724,HT-1376,True,True,True
HT29_LARGE_INTESTINE,0.463930252101874,2.01118033645608,Large Intestine,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000552,HT-29,True,True,True
HT55_LARGE_INTESTINE,-0.163721884429542,3.27122384668172,Large Intestine,HT55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,ACH-000926,HT-55,True,True,True
HUG1N_STOMACH,0.740765159790499,,Stomach,HuG1-N,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,ACH-000239,HuG1-N,True,False,False
HUH1_LIVER,-0.898240276052207,0.329550756878222,Liver,huH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000475,huH-1,True,True,True
HUH6_LIVER,-1.15408963570978,1.76571005092751,Liver,HuH-6,Liver,Hepatoblastoma,Hepatoblastoma,ACH-000671,HuH-6,True,True,True
HUH7_LIVER,-0.603866082274068,-2.10874202709648,Liver,HuH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000480,HuH-7,True,True,True
HUPT3_PANCREAS,1.98555695896637,,Pancreas,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000118,HUP-T3,True,False,False
HUPT4_PANCREAS,2.06961208302754,,Pancreas,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000213,HUP-T4,True,False,False
IALM_LUNG,-1.25170740133634,1.44201520116742,Lung,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000672,IA-LM,True,True,True
IGR1_SKIN,-0.936963964583086,,Skin,IGR-1,Skin,Melanoma,Melanoma,ACH-000882,IGR-1,True,False,False
IGR37_SKIN,-0.671329045533273,,Skin,IGR-37,Skin,Melanoma,Melanoma,ACH-000650,IGR-37,True,False,False
IGR39_SKIN,-0.57833640557382,-0.45933607683866,Skin,IGR-39,Skin,Melanoma,Melanoma,ACH-000550,IGR-39,True,True,True
IGROV1_OVARY,-1.64619945686873,,Ovary,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,ACH-000966,IGROV1,True,False,False
IM95_STOMACH,3.50174943376198,,Stomach,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,ACH-000919,IM95,True,False,False
IPC298_SKIN,-1.90859039706797,-2.86965077586222,Skin,IPC-298,Skin,Melanoma,Cutaneous Melanoma,ACH-000915,IPC-298,True,True,True
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,0.894869189769856,,Endometrium,Ishikawa (Heraklio) 02 ER-,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000961,Ishikawa (Heraklio) 02 ER-,True,False,False
J82_URINARY_TRACT,0.212496282460855,-0.507557530927844,Urinary Tract,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,ACH-000396,J82,True,True,True
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1.09848630236763,,Haematopoietic and Lymphoid Tissue,JeKo-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,ACH-000357,JeKo-1,True,False,False
JHH1_LIVER,-1.4676412787404,2.9685421459352,Liver,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000620,JHH-1,True,True,True
JHH4_LIVER,-0.216173912273861,0.254242372177072,Liver,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000476,JHH-4,True,True,True
JHH5_LIVER,-0.0160936783725505,0.982331705080002,Liver,JHH-5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000734,JHH-5,True,True,True
JHH6_LIVER,-0.902433233073851,,Liver,JHH-6,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000217,JHH-6,True,False,False
JHH7_LIVER,-0.682916537970555,-1.47186354610302,Liver,JHH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,ACH-000848,JHH-7,True,True,True
JHOS2_OVARY,4.77332196051872,2.61487648970328,Ovary,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ACH-000132,JHOS-2,True,True,True
JHUEM2_ENDOMETRIUM,-1.61479195941901,,Endometrium,JHUEM-2,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ACH-000909,JHUEM-2,True,False,False
JIMT1_BREAST,2.69838947485612,1.64100719002434,Breast,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000711,JIMT-1,True,True,True
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-2.46528919217045,,Haematopoietic and Lymphoid Tissue,JM1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,ACH-000151,JM1,True,False,False
JMSU1_URINARY_TRACT,-0.0353680539974464,-1.04302966999202,Urinary Tract,JMSU-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,ACH-000753,JMSU-1,True,True,True
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.496810917303331,,Haematopoietic and Lymphoid Tissue,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,ACH-000995,JURKAT,True,False,False
K029AX_SKIN,-1.56701239621426,-2.05750760422896,Skin,K029AX,Skin,Melanoma,Cutaneous Melanoma,ACH-000404,K029AX,True,True,True
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-3.10731917772885,-3.55438111126337,Haematopoietic and Lymphoid Tissue,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",ACH-000551,K-562,True,True,True
