gene	log2fc	mean_treat	mean_ctrl	welch_t	welch_p	welch_q
ABCA5	0.149015	670.165	604.301	1.16313	0.399614	0.706022
ABCA6	0.723591	5.80448	3.12072	0.478153	0.700557	0.843261
ABCA7	-0.0733806	1436.4	1511.4	-1.34673	0.32616	0.706022
ABCA8	1.22603	13.4708	5.18615	1.19363	0.442802	0.706022
ABCA9	2.66377	5.33685	0	1	0.5	0.706022
ABCA9-AS1	0	0	0			
ABCB1	0.379111	24.013	18.2327	2.31136	0.230097	0.662715
ABCB10	-0.146075	1243.49	1376.09	-4.08013	0.143325	0.57376
ABCB10P1	-0.54186	2.90224	4.68107	-0.781454	0.539818	0.733232
ABCB10P3	0	0	0			
ABCB10P4	-0.0449503	0.476402	0.523127	-0.0476934	0.966312	0.990635
ABCB11	0.511032	27.9118	19.288	1.69568	0.260646	0.694101
ABCB4	0	0	0			
ABCB5	-1.02661	0	1.03723	-1	0.5	0.706022
ABCB6	-0.234445	1227.75	1444.57	-4.55128	0.125427	0.554126
ABCB7	-0.0436619	1185.33	1221.78	-0.847758	0.504484	0.709106
ABCB8	-0.0987198	1745.16	1868.83	-2.04396	0.286775	0.706022
ABCB9	0.209536	132.071	114.082	1.22525	0.418933	0.706022
ABCC1	0.113297	44676.4	41302	4.55505	0.136216	0.568826
ABCC10	0.179923	438.628	387.082	1.40408	0.312147	0.706022
ABCC11	-0.115145	10.9573	11.9507	-0.50266	0.688678	0.836307
ABCC12	0	0	0			
ABCC13	0	0	0			
ABCC2	-0.0155276	32753.2	33107.6	-0.396082	0.747381	0.874838
ABCC3	-0.032261	18572.8	18992.8	-0.678953	0.571432	0.75718
ABCC4	-0.0855164	2227.97	2364.09	-3.45509	0.0856488	0.507062
ABCC5	0.00999358	723.878	718.875	0.214248	0.85251	0.9356
ABCC5-AS1	0	0	0			
ABCC6	-0.0138452	781.009	788.549	-0.329676	0.788227	0.899328
ABCC6P1	-0.0429953	113.308	116.765	-0.100356	0.929682	0.975346
ABCC6P2	-0.0468836	20.6431	21.358	-0.286016	0.820265	0.916248
ABCC8	0	0	0			
ABCC9	0.7902	18.7287	10.4084	2.6124	0.143183	0.573721
ABCD1	0.432333	1011.75	749.513	3.65994	0.169577	0.602119
ABCD1P2	0	0	0			
ABCD1P3	0	0	0			
ABCD1P4	0	0	0			
ABCD1P5	0	0	0			
ABCD2	0	0	0			
ABCD3	-0.116601	3264.44	3539.31	-7.42479	0.0518367	0.452769
ABCD4	-0.0113832	808.725	815.139	-0.523469	0.688718	0.836307
ABCE1	-0.080823	5549.03	5868.83	-1.08252	0.462481	0.706022
ABCF1	0.24357	4716.35	3983.52	4.72579	0.069205	0.486539
ABCF1-DT	-0.0723809	2.42584	2.6021	-0.433679	0.736645	0.867876
ABCF2	-0.00422633	5508.4	5524.56	-0.0769729	0.949421	0.984256
ABCF2-H2BE1	0.385843	96.9258	73.9457	1.1418	0.441748	0.706022
ABCF2P1	-1.03299	0	1.04625	-1	0.5	0.706022
ABCF3	-0.00168331	1638.28	1640.19	0.0152413	0.989922	0.994452
ABCG1	-0.0391223	1090.94	1120.96	-0.737089	0.571223	0.757086
ABCG2	0.0687062	969.088	923.971	3.37247	0.080306	0.496422
ABCG4	1.28049	1.42921	0	1	0.5	0.706022
ABCG5	0	0	0			
ABCG8	0	0	0			
ABHD1	0	0	0			
ABHD10	-0.270634	822.71	992.672	-3.90796	0.0987558	0.525887
ABHD11	0.0187681	143.02	141.158	-0.0229377	0.98539	0.992005
ABHD11-AS1	0.165621	27.0116	23.9736	0.146316	0.903722	0.963363
ABHD12	0.0481056	2097.33	2028.51	0.947541	0.470093	0.706022
ABHD12B	0	0	0			
ABHD13	0.0935436	1133.53	1062.3	0.934461	0.458927	0.706022
ABHD14A	0.12537	416.5	381.751	1.65702	0.276812	0.706022
ABHD14A-ACY1	2.7104	39.7838	5.23127	0.388349	0.744083	0.873014
ABHD14B	-0.261139	1190.69	1427.15	-5.43588	0.114243	0.543017
ABHD15	0.0984848	979.194	914.515	1.26525	0.34844	0.706022
ABHD16A	0.179218	1378.15	1217.04	2.57087	0.143358	0.5738
ABHD16B	0	0	0			
ABHD17A	-0.0594391	974.489	1015.52	-0.657711	0.584868	0.76604
ABHD17AP1	0.18445	9.60694	8.33394	1.50544	0.372509	0.706022
ABHD17AP3	-0.384336	0.96157	1.56036	-1.20739	0.440216	0.706022
ABHD17AP4	0.335029	8.15143	6.25497	0.699944	0.572184	0.757653
ABHD17AP6	-0.579683	24.0656	36.461	-3.2883	0.187488	0.620539
ABHD17AP7	0	0	0			
ABHD17AP8	0	0	0			
ABHD17AP9	0	0	0			
ABHD17B	0.229403	1140.76	972.906	10.1494	0.0410483	0.429155
ABHD17C	0.0259856	980.565	963.044	0.955971	0.481181	0.706022
ABHD18	-0.185702	567.382	645.461	-1.56181	0.291032	0.706022
ABHD2	0.194553	7767.58	6787.52	7.15396	0.0607038	0.475713
ABHD3	-0.177373	1788.31	2022.4	-3.49298	0.133367	0.56343
ABHD4	-0.0248759	7727.87	7862.3	-0.469512	0.695346	0.840655
ABHD5	-0.150439	1576.4	1749.77	-2.41578	0.248253	0.683729
ABHD6	0.253044	741.298	621.88	2.46259	0.23634	0.670573
ABHD8	-0.225071	332.367	388.651	-2.02134	0.181398	0.612632
ABI1	0.0674928	1976.54	1886.16	0.926077	0.502646	0.707955
ABI2	-0.0692816	1234.23	1295	-1.69354	0.26194	0.69486
ABI3	2.04716	9.56311	1.55585	1.59452	0.254992	0.689371
ABI3BP	0.0444854	81.6458	79.1363	0.204289	0.857121	0.937868
ABITRAM	-0.155823	1181.69	1316.58	-1.00962	0.427295	0.706022
ABITRAMP1	0	0	0			
ABL1	-0.0358882	7816.62	8013.53	-1.09928	0.467613	0.706022
ABL2	0.494906	4739.6	3362.97	11.1311	0.00912605	0.313044
ABLIM1	-0.0648755	10421.7	10901.1	-3.84741	0.125014	0.554083
ABLIM2	-0.00946964	322.532	324.663	0.00252018	0.998384	0.998992
ABLIM3	0.0216417	523.641	515.829	0.21704	0.859907	0.938946
ABO	-0.269096	24.4806	29.7055	-0.940918	0.452079	0.706022
ABR	0.178432	2572.56	2273.16	1.80449	0.278803	0.706022
ABRA	0	0	0			
ABRACL	0.265962	587.008	488.014	11.3374	0.0459144	0.440758
ABRAXAS1	-0.291237	605.915	741.676	-3.63346	0.15942	0.590395
ABRAXAS2	0.0392978	1182.82	1151.01	1.05764	0.402176	0.706022
ABT1	0.124426	906.363	831.387	2.70049	0.12365	0.55283
ABT1P1	0.570626	0.485168	0	1	0.5	0.706022
ABTB1	0.0737346	1193.47	1133.95	2.05269	0.254279	0.688779
ABTB2	0.481329	1083.38	775.76	5.20422	0.0709206	0.486679
ACAA1	0.00659189	1486.49	1479.71	0.102051	0.933795	0.977051
ACAA2	-0.0547823	2042.9	2122	-2.63002	0.22765	0.659953
ACACA	-0.0834154	7015.81	7433.47	-2.94522	0.150972	0.579921
ACACB	0.216668	285.198	245.288	2.62518	0.124961	0.554083
ACAD10	-0.090468	803.165	855.207	-1.39406	0.371109	0.706022
ACAD11	-0.705582	273.624	446.858	-1.08854	0.472683	0.706022
ACAD8	-0.192083	597.153	682.337	-10.5472	0.0482845	0.446143
ACAD9	-0.0955895	797.522	852.222	-2.58327	0.221524	0.653522
ACADL	-0.133946	26.4651	29.1372	-0.262132	0.828418	0.921728
ACADM	-0.114748	2663.72	2884.32	-2.77898	0.121588	0.551454
ACADS	-0.0291403	1146.93	1170.35	-0.292682	0.818441	0.915071
ACADSB	-0.121311	1588.65	1728.1	-3.83878	0.0624205	0.47781
ACADVL	-0.0156444	11770.5	11898.8	-0.328004	0.783199	0.896335
ACAN	1.53884	1.90561	0	1	0.5	0.706022
ACAP1	5.62601	48.3853	0	4.21382	0.148335	0.576689
ACAP2	-0.12788	1575.28	1721.38	-2.07321	0.268465	0.701252
ACAP3	-0.186503	1368.06	1556.99	-3.84705	0.0697134	0.486679
ACAT1	-0.175395	2915.81	3292.88	-3.36236	0.180617	0.611577
ACAT2	-0.158788	3804.57	4247.34	-5.50564	0.0333752	0.413239
ACBD3	0.0770622	3440.13	3261.14	4.18206	0.140797	0.571146
ACBD3-AS1	0	0	0			
ACBD4	-0.242559	354.366	419.43	-0.976415	0.468287	0.706022
ACBD5	0.0439923	3703.54	3592.28	1.61291	0.315812	0.706022
ACBD6	-0.204134	2149.71	2476.61	-3.28559	0.142866	0.573483
ACBD7	3.11978	7.69256	0	268.052	0.00237497	0.224702
ACBD7-DCLRE1CP1	-1.62456	0	2.08349	-384.794	0.00165444	0.224702
ACCS	-0.383251	105.217	137.537	-3.17178	0.097297	0.523769
ACCSL	0	0	0			
ACD	0.0895211	599.207	563.096	1.51466	0.309688	0.706022
ACE	0.964129	10.1359	4.70814	0.926218	0.497826	0.706022
ACE2	0.32806	40.7835	32.285	0.935972	0.504089	0.70891
ACER1	0	0	0			
ACER2	-0.0745889	229.833	242.081	-0.393281	0.759149	0.883304
ACER2P1	0.570626	0.485168	0	1	0.5	0.706022
ACER3	-0.11347	989.371	1070.41	-1.47509	0.370493	0.706022
ACHE	1.39037	54.8796	20.3162	6.33798	0.0880809	0.508568
ACIN1	0.064965	5478.46	5237.19	5.62867	0.0627797	0.47781
ACKR1	0.763986	14.8737	8.34748	1.39474	0.324175	0.706022
ACKR2	0.76217	3.33482	1.55585	0.251405	0.827476	0.921203
ACKR3	0.318819	6309.99	5058.68	7.42117	0.044968	0.439686
ACKR4	1.67242	7.18986	1.56938	1.75688	0.279399	0.706022
ACKR4P1	1.16202	2.40831	0.523127	2.21153	0.217347	0.650322
ACLY	0.0516087	17015.5	16417.5	2.13835	0.222026	0.653859
ACMSD	0.594207	2.85841	1.55585	0.206904	0.856643	0.937682
ACO1	-1.42467	1741.33	4676.33	-221.263	0.000584272	0.224702
ACO2	-0.129093	5207.12	5694.63	-22.157	0.00533795	0.251035
ACOD1	0	0	0			
ACOT1	0.123679	870.326	798.742	1.12228	0.440857	0.706022
ACOT11	-0.130047	86.0299	94.2393	-0.924204	0.501542	0.707156
ACOT12	0	0	0			
ACOT13	-0.162741	2442.26	2734.01	-34.3206	0.0134086	0.357892
ACOT2	-0.0300275	1453.62	1484.21	-0.405168	0.73329	0.865347
ACOT4	1.06635	34.979	16.1808	1.28188	0.337496	0.706022
ACOT6	0	0	0			
ACOT7	0.151835	4680.67	4213	2.10129	0.198627	0.633216
ACOT8	-0.00485867	317.581	318.656	-0.0398116	0.972003	0.990635
ACOT9	0.0472331	2345.1	2269.54	0.40315	0.756013	0.881257
ACOX1	-0.00464038	1231.97	1235.94	0.0033649	0.997829	0.998851
ACOX2	-0.206006	634.277	731.786	-2.69135	0.218134	0.651194
ACOX3	-0.0267812	452.397	460.892	-0.507628	0.699413	0.842785
ACOXL	-0.654786	0.952805	2.07446	-0.292606	0.801299	0.907115
ACOXL-AS1	0	0	0			
ACP1	-0.0367527	3673	3767.8	-0.923544	0.487864	0.706022
ACP2	0.214668	1385.31	1193.65	3.77859	0.0751246	0.492811
ACP3	0	0	0			
ACP4	0.339055	13.4708	10.44	0.698473	0.607666	0.78107
ACP5	-0.38298	0.970336	1.56938	-0.191619	0.86685	0.942608
ACP6	-0.156263	341.162	380.304	-1.01693	0.453721	0.706022
ACP7	2.12759	3.36988	0	12.4835	0.0508881	0.45095
ACR	0.562086	0.476402	0	1	0.5	0.706022
ACRBP	-1.44673	2.42584	8.33845	-1.5086	0.366789	0.706022
ACRP1	1.53884	1.90561	0	1	0.5	0.706022
ACRV1	1.35429	8.1865	2.59308	1.39566	0.385111	0.706022
ACSBG1	2.28469	3.87258	0	1.96724	0.299394	0.706022
ACSBG2	0	0	0			
ACSF2	0.315957	148.108	118.781	3.951	0.0809119	0.496982
ACSF3	-0.350105	902.657	1150.85	-3.87394	0.0711213	0.486854
ACSL1	-0.339593	2103.99	2662.65	-19.3702	0.0320365	0.413239
ACSL3	0.115771	9499.64	8767.03	2.36088	0.215903	0.649816
ACSL3-AS1	0	0	0			
ACSL4	0.132465	2500.83	2281.34	30.4566	0.0174867	0.382715
ACSL5	0.40041	700.041	530.139	6.27216	0.0786971	0.49484
ACSL6	0	0	0			
ACSL6-AS1	0	0	0			
ACSM1	0	0	0			
ACSM2A	0	0	0			
ACSM2B	0	0	0			
ACSM3	-0.106661	146.998	158.354	-0.919465	0.516333	0.718722
ACSM4	0	0	0			
ACSM5	1.6211	5.26672	1.03723	1.74378	0.237324	0.67178
ACSM5P1	0	0	0			
ACSM6	0	0	0			
ACSS1	0.596852	268.492	177.186	2.63931	0.123147	0.551906
ACSS2	-0.14564	2545.64	2816.15	-2.89227	0.136318	0.569014
ACSS3	-0.174686	940.109	1061.25	-1.96552	0.234546	0.668985
ACTA1	1.28049	1.42921	0	1	0.5	0.706022
ACTA2	0.13077	371.406	339.135	1.24268	0.364155	0.706022
ACTA2-AS1	0.613739	2.91101	1.55585	0.212337	0.853037	0.9356
ACTB	0.0833132	54257.1	51212.5	1.3015	0.323177	0.706022
ACTBL2	1.68466	7.21616	1.55585	1.96742	0.295988	0.706022
ACTBP1	0.978442	0.970336	0	1	0.5	0.706022
ACTBP10	0.73554	2.39954	1.04174	3.6859	0.168554	0.601304
ACTBP11	-0.467715	0.476402	1.04174	-1.13306	0.460327	0.706022
ACTBP12	0	0	0			
ACTBP14	0	0	0			
ACTBP2	-0.0706634	1.43797	1.56036	-0.167573	0.882361	0.950985
ACTBP4	0	0	0			
ACTBP7	-0.330652	1.4555	2.088	-0.499803	0.680554	0.831204
ACTBP8	0.570626	0.485168	0	1	0.5	0.706022
ACTBP9	2.65777	5.31055	0	4.29232	0.145717	0.575881
ACTC1	3.03692	7.2074	0	41.5657	0.015313	0.368816
ACTE1P	0	0	0			
ACTG1	-0.217216	128698	149610	-5.32887	0.0511781	0.451356
ACTG1P1	0.189063	37.5626	32.8262	0.578783	0.643309	0.806016
ACTG1P10	-0.306379	1.90561	2.59308	-0.104474	0.926509	0.973485
ACTG1P12	0.562086	0.476402	0	1	0.5	0.706022
ACTG1P14	-0.755191	1.44674	3.12974	-1.53792	0.270743	0.703536
ACTG1P15	0.570626	0.485168	0	1	0.5	0.706022
ACTG1P16	0	0	0			
ACTG1P17	-0.515752	6.26336	9.38471	-1.21405	0.348641	0.706022
ACTG1P18	0	0	0			
ACTG1P19	0	0	0			
ACTG1P20	0.178545	53.1962	46.8874	0.18258	0.884208	0.952195
ACTG1P23	0	0	0			
ACTG1P24	0.642872	3.82875	2.09251	0.726333	0.565391	0.752789
ACTG1P25	2.54452	4.83415	0	2.93257	0.209214	0.643618
ACTG1P3	-0.0481679	0.970336	1.03723	-0.0285716	0.979805	0.990635
ACTG1P4	1.50719	4.81662	1.04625	1.99883	0.263033	0.696266
ACTG1P9	-0.788259	0.485168	1.56487	-1.45962	0.304889	0.706022
ACTG2	0	0	0			
ACTL10	0	0	0			
ACTL6A	-0.0418276	1853.72	1908.28	-0.81203	0.515714	0.71814
ACTL6B	0	0	0			
ACTL7A	0	0	0			
ACTL7B	0	0	0			
ACTL8	-0.393384	7.69256	10.4174	-30.3569	0.00516578	0.248174
ACTL9	0	0	0			
ACTN1	0.279299	6674.07	5499.2	8.82343	0.0687389	0.486427
ACTN1-AS1	0	0	0			
ACTN2	0	0	0			
ACTN3	0	0	0			
ACTN4	0.200304	39308.3	34212.6	5.52323	0.0336908	0.413239
ACTN4P1	0.257874	1.44674	1.04625	0.515377	0.68214	0.832042
ACTN4P2	0	0	0			
ACTR10	-0.100795	1772.44	1900.77	-3.71409	0.148798	0.576718
ACTR1A	0.0408824	4071.6	3957.81	1.43334	0.333578	0.706022
ACTR1AP1	0	0	0			
ACTR1B	-0.142279	1451.76	1602.34	-0.942811	0.517567	0.719652
ACTR2	0.0906053	10633.2	9985.84	3.0379	0.0934366	0.517132
ACTR3	0.0404709	10267.3	9983.23	4.77969	0.0626898	0.47781
ACTR3-AS1	2.76276	5.78695	0	6.24042	0.101156	0.527781
ACTR3B	-0.435559	480.733	650.512	-18.9494	0.0279212	0.413239
ACTR3BP1	0	0	0			
ACTR3BP2	0	0	0			
ACTR3BP3	0	0	0			
ACTR3BP4	0	0	0			
ACTR3BP5	0	0	0			
ACTR3BP6	0	0	0			
ACTR3C	-0.405678	125.966	167.193	-27.2314	0.00452079	0.23229
ACTR3P1	0	0	0			
ACTR3P2	0	0	0			
ACTR3P3	0	0	0			
ACTR5	-0.0557794	374.785	389.598	-0.699635	0.610583	0.782994
ACTR6	0.0793659	1279.43	1210.89	1.60535	0.256762	0.691306
ACTR8	0.0182347	1763.32	1741.16	0.349895	0.778119	0.89339
ACTRT1	0	0	0			
ACTRT2	0	0	0			
ACTRT3	0.179226	41.4264	36.47	0.458459	0.718039	0.855358
ACVR1	0.175156	1142.09	1011.4	3.04551	0.0966558	0.52335
ACVR1B	0.0212542	2186.9	2154.9	0.280266	0.822882	0.918023
ACVR1C	0.819137	37.4925	20.8168	3.08494	0.196686	0.630264
ACVR2A	0.269391	236.38	195.947	1.37929	0.331495	0.706022
ACVR2B	0.0408351	478.634	465.249	0.398207	0.73213	0.864719
ACVR2B-AS1	-0.149349	15.8615	17.7006	-0.893868	0.527803	0.726217
ACVRL1	0.886304	58.6996	31.2974	1.90049	0.28417	0.706022
ACY1	-0.382802	601.405	784.459	-21.4797	0.0278447	0.413239
ACY3	0.33054	48.1311	38.071	0.825926	0.528246	0.726557
ACYP1	0.122664	237.783	218.32	0.710915	0.550938	0.742181
ACYP2	-0.0961682	225.545	241.161	-1.83245	0.316716	0.706022
ADA	0.0433651	644.112	625.009	1.73655	0.250045	0.685917
ADA2	-1.3538	0	1.55585	-1	0.5	0.706022
ADAD1	0	0	0			
ADAD2	0	0	0			
ADAL	0.0696616	115.336	109.852	0.473057	0.703469	0.845259
ADAM10	0.262595	4916.19	4097.9	5.29219	0.0583429	0.470258
ADAM11	-0.241586	35.5255	42.1838	-1.16034	0.440201	0.706022
ADAM12	-0.164525	3863.13	4329.9	-27.0537	0.0153074	0.368816
ADAM15	-0.00217256	4902.47	4909.86	-0.095806	0.937654	0.979383
ADAM17	0.133812	3993.93	3640.06	4.50403	0.0670421	0.483938
ADAM18	1.28049	1.42921	0	1	0.5	0.706022
ADAM19	0.506245	283.742	199.473	7.98682	0.0362669	0.413239
ADAM2	0	0	0			
ADAM20	2.85366	6.22829	0	5.70618	0.110445	0.537628
ADAM20P1	0.978442	0.970336	0	1	0.5	0.706022
ADAM21	0.127689	8.60154	7.78825	0.140345	0.90142	0.961947
ADAM21P1	1.9643	2.90224	0	2.21966	0.269472	0.702309
ADAM22	-0.429823	59.6612	80.7147	-2.91161	0.126098	0.554897
ADAM23	0.0479317	460.645	445.559	0.337148	0.790106	0.900613
ADAM28	1.93545	6.79235	1.03723	0.535771	0.667375	0.821992
ADAM29	0	0	0			
ADAM30	0.978442	0.970336	0	1	0.5	0.706022
ADAM32	0.925891	22.6363	11.4411	1.72446	0.258762	0.693207
ADAM33	0	0	0			
ADAM3A	0	0	0			
ADAM3B	0	0	0			
ADAM5	0	0	0			
ADAM6	0	0	0			
ADAM7	0.965548	0.952805	0	1	0.5	0.706022
ADAM8	0.155993	112.054	100.467	0.828453	0.543134	0.735888
ADAM9	-0.0275125	11990.1	12221	-1.05972	0.412079	0.706022
ADAMDEC1	0	0	0			
ADAMTS1	0.422593	513.514	382.87	10.6496	0.0111149	0.338076
ADAMTS10	0.103754	907.945	844.871	2.99294	0.151734	0.580966
ADAMTS12	0.304118	69.7007	56.2631	5.00938	0.100769	0.527781
ADAMTS13	0.00813737	232.612	231.298	0.120025	0.915544	0.967622
ADAMTS14	0.877281	69.7095	37.4937	12.1877	0.0516576	0.452312
ADAMTS15	0.444502	132.828	97.342	1.70492	0.233992	0.668105
ADAMTS16	0.170857	156.762	139.143	1.01692	0.481718	0.706022
ADAMTS17	0.291952	11.0624	8.85256	2.94279	0.0987057	0.525887
ADAMTS18	1.14839	19.6903	8.33394	7.31752	0.0860629	0.507467
ADAMTS19	0	0	0			
ADAMTS19-AS1	0	0	0			
ADAMTS2	-1.02661	0	1.03723	-1	0.5	0.706022
ADAMTS20	0.852456	41.2336	22.3907	1.821	0.303751	0.706022
ADAMTS3	2.154	17.2995	3.11169	1.93732	0.302596	0.706022
ADAMTS4	1.95781	2.88471	0	200.469	0.00317563	0.224702
ADAMTS5	0	0	0			
ADAMTS6	0.21311	585.199	504.699	5.74521	0.0859118	0.507461
ADAMTS7	0.273009	38.0039	31.2793	0.972499	0.481932	0.706022
ADAMTS7P1	0	0	0			
ADAMTS7P3	0	0	0			
ADAMTS7P4	0	0	0			
ADAMTS8	2.11597	3.33482	0	1	0.5	0.706022
ADAMTS9	0.795501	941.027	541.742	14.7592	0.00911922	0.313044
ADAMTS9-AS1	0	0	0			
ADAMTS9-AS2	-1.27608	2.42584	7.29671	-1.37089	0.394238	0.706022
ADAMTSL1	1.62312	5.27549	1.03723	2.0647	0.237113	0.67155
ADAMTSL2	0	0	0			
ADAMTSL3	0.474428	16.3292	11.4727	1.27613	0.383368	0.706022
ADAMTSL4	0.208028	5019.88	4345.68	2.69555	0.117695	0.546604
ADAMTSL4-AS1	1.76534	2.39954	0	8.9423	0.0708974	0.486679
ADAMTSL4-AS2	-1.03299	0	1.04625	-1	0.5	0.706022
ADAMTSL5	0.00603423	317.052	315.725	0.0245999	0.982799	0.991031
ADAP1	0.444713	436.95	320.775	5.60186	0.0973661	0.523769
ADAP2	-0.149308	162.868	180.736	-1.50503	0.372058	0.706022
ADAR	1.02256	41027.6	20195	39.8658	0.00304899	0.224702
ADARB1	-0.0470613	1600.79	1653.9	-1.36015	0.379874	0.706022
ADARB2	0	0	0			
ADARB2-AS1	0	0	0			
ADAT1	-0.0101601	2055.06	2069.59	-0.232177	0.838758	0.926709
ADAT2	-0.15435	314.884	350.553	-12.0134	0.0457184	0.440644
ADAT3	-0.0311518	121.775	124.454	-0.1986	0.867857	0.94325
ADCK1	-0.211619	186.103	215.663	-3.42114	0.077549	0.493893
ADCK2	-0.271812	749.999	905.698	-8.94245	0.0546181	0.462183
ADCK5	-0.135344	217.128	238.582	-0.661213	0.623401	0.79188
ADCY1	-0.00670164	127.006	127.602	-0.0951587	0.93865	0.979931
ADCY10	-0.586409	5.24043	8.37003	-0.115365	0.918941	0.969839
ADCY10P1	1.85915	17.811	4.18502	1.60253	0.349873	0.706022
ADCY2	-2.50616	0	4.68107	-6.10084	0.10343	0.531063
ADCY3	0.0086453	3052.66	3034.42	0.165403	0.892729	0.956835
ADCY4	0	0	0			
ADCY5	4.30158	18.7199	0	18.162	0.035017	0.413239
ADCY6	0.141058	4532.78	4110.47	2.66104	0.137089	0.569014
ADCY6-DT	1.32936	6.74852	2.08349	3.38801	0.182666	0.614264
ADCY7	-0.16977	624.112	702.175	-4.62348	0.04385	0.438009
ADCY8	-0.100394	3.81122	4.15795	-0.411137	0.73837	0.86917
ADCY9	0.0273926	1080.19	1059.85	0.865506	0.53568	0.730519
ADCYAP1	0.505856	1.90561	1.04625	0.22846	0.842407	0.92865
ADCYAP1R1	0	0	0			
ADD1	0.0229726	5370.67	5285.81	0.515263	0.669936	0.824039
ADD2	-0.265972	437.76	526.585	-2.64582	0.229508	0.661734
ADD3	-0.151486	1411.36	1567.72	-7.83579	0.0173658	0.382715
ADD3-AS1	0	0	0			
ADGB	0	0	0			
ADGRA1	1.95455	2.87595	0	5.38192	0.116955	0.545165
ADGRA1-AS1	0	0	0			
ADGRA2	0.0766766	30.7965	29.1507	0.341085	0.767951	0.88772
ADGRA3	-0.271055	1212.67	1463.52	-2.87089	0.191779	0.624321
ADGRB1	1.10843	37.1037	16.6724	2.8222	0.194196	0.626782
ADGRB2	0.208377	578.652	500.695	1.60432	0.251746	0.68661
ADGRB3	0	0	0			
ADGRD1	1.4525	21.6572	7.27866	2.62744	0.201106	0.636551
ADGRD1-AS1	0	0	0			
ADGRD2	0	0	0			
ADGRE1	2.70742	461.44	69.8013	71.855	0.000198196	0.219024
ADGRE2	0.167269	1500.95	1336.52	2.9115	0.210296	0.644515
ADGRE3	-0.602757	0	0.518615	-1	0.5	0.706022
ADGRE4P	0	0	0			
ADGRE5	0.0207479	2001.16	1972.57	0.312578	0.804591	0.908911
ADGRF1	-1.03299	0	1.04625	-1	0.5	0.706022
ADGRF2	0	0	0			
ADGRF3	0.718679	13.5146	7.81984	0.90759	0.496746	0.706022
ADGRF4	0.979755	202.397	102.136	6.47739	0.0973978	0.523769
ADGRF5	0	0	0			
ADGRF5-AS1	0	0	0			
ADGRF5P1	0	0	0			
ADGRF5P2	0	0	0			
ADGRG1	-0.241332	2589.44	3061.12	-3.58117	0.173139	0.60504
