accession	contrast	class_label	organ	method	family	panel	n_in_set	n_observed	n_up	estimand	estimate	median_log2FC	mean_log2FC	aux_mean_log2FC	sign_p_greater	wilcoxon_p_greater	wilcoxon_p_less	ranksum_p_greater	nes	perm_p	stouffer_p	call	cldn4_log2FC	cldn4_down	concordant_hit	note
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	HALLMARK_IFNG	200	109	57	median_log2FC	0.020745192	0.020745192	-0.0087773257	-0.0087773257	0.35090559	0.39568411	0.60431589	0.58759173				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	HALLMARK_IFNG	200	109		NES	-1.0966621								-1.0966621			not_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0030838463	-0.0030838463	-0.006092264	-0.006092264	0.57472299	0.54016445	0.46874074	0.69191528				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	REACTOME_NHEJ	68	28		NES	-0.59929471								-0.59929471			not_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	IFN_ISG	39	15	6	median_log2FC	-0.065046841	-0.065046841	-0.068291744	-0.068291744	0.84912109	0.73776245	0.28070068					weak_down	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	MHC_APM	18	7	1	median_log2FC	-0.11939389	-0.11939389	-0.14037238	-0.14037238	0.9921875	0.9453125	0.078125					weak_down	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	NHEJ_CORE	8	6	3	median_log2FC	0.031040576	0.031040576	-0.028241559	-0.028241559	0.65625	0.65625	0.421875					weak_up	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	NHEJ_EXT	16	12	9	median_log2FC	0.13803953	0.13803953	0.087556435	0.087556435	0.072998047	0.064697266	0.94506836					weak_up	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	HALLMARK_IFNA	97	49	29	median_log2FC	0.082482823	0.082482823	0.066277154	0.066277154	0.12643487	0.15188861	0.85043949					weak_up	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	HALLMARK_IFNG	200	98	53	median_log2FC	0.026700723	0.026700723	0.043288884	0.043288884	0.23984625	0.1892729	0.8107271					weak_up	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	REACTOME_NHEJ	68	25	12	median_log2FC	-0.041415223	-0.041415223	-0.021212232	-0.021212232	0.65498102	0.67357945	0.33603758					weak_down	-0.72170678	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	IFN_ISG	39	21	7	median_log2FC	-0.34780151	-0.34780151	-0.65900198	-0.65900198	0.96082306	0.99365425	0.0070829391	0.9978275				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	IFN_ISG	39	21		NES	-1.9328561								-1.9328561			not_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	MHC_APM	18	8	2	median_log2FC	-0.21951285	-0.21951285	-0.19073142	-0.19073142	0.96484375	0.98046875	0.02734375	0.96105958				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	MHC_APM	18	8		NES	-1.2964738								-1.2964738			not_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	NHEJ_CORE	8	7	5	median_log2FC	0.091859687	0.091859687	0.2070114	0.2070114	0.2265625	0.109375	0.921875	0.098227753				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	NHEJ_CORE	8	7		NES												not_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	NHEJ_EXT	16	14	8	median_log2FC	0.053435021	0.053435021	0.034634613	0.034634613	0.39526367	0.52423096	0.5	0.47102687				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	NHEJ_EXT	16	14		NES	0.75989121								0.75989121	0.33887043		weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	HALLMARK_IFNA	97	60	18	median_log2FC	-0.22099043	-0.22099043	-0.33761524	-0.33761524	0.99946712	0.99985378	0.00014621868	0.99994751				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	HALLMARK_IFNA	97	60		NES	-1.8501617								-1.8501617			not_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	HALLMARK_IFNG	200	113	46	median_log2FC	-0.047147649	-0.047147649	-0.17907937	-0.17907937	0.98099068	0.99125848	0.0087415231	0.98689029				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	HALLMARK_IFNG	200	113		NES	-1.6083648								-1.6083648			not_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	REACTOME_NHEJ	68	28	19	median_log2FC	0.075261915	0.075261915	0.049640815	0.049640815	0.043579277	0.15804813	0.84738717	0.17267302				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	REACTOME_NHEJ	68	28		NES	0.70019155								0.70019155	0.34551495		weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	IFN_ISG	39	19	7	median_log2FC	-0.26332835	-0.26332835	-0.39404611	-0.39404611	0.91646576	0.97772026	0.024682999					down	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	MHC_APM	18	7	2	median_log2FC	-0.20513589	-0.20513589	-0.14670211	-0.14670211	0.9375	0.9609375	0.0546875					weak_down	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	NHEJ_CORE	8	6	4	median_log2FC	0.078632495	0.078632495	0.068512204	0.068512204	0.34375	0.21875	0.84375					weak_up	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	NHEJ_EXT	16	12	7	median_log2FC	0.053435021	0.053435021	-0.011651486	-0.011651486	0.38720703	0.54516602	0.48486328					weak_up	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	HALLMARK_IFNA	97	54	18	median_log2FC	-0.1868822	-0.1868822	-0.13835003	-0.13835003	0.99546333	0.997029	0.0029710028					down	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	HALLMARK_IFNG	200	101	45	median_log2FC	-0.02589567	-0.02589567	-0.029640897	-0.029640897	0.88384977	0.83411576	0.16588424					weak_down	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5_trim_abs90	sensitivity	REACTOME_NHEJ	68	25	18	median_log2FC	0.085118528	0.085118528	0.046144262	0.046144262	0.021642625	0.063324064	0.94003311					weak_up	-1.0586461	yes	no	Drops panel genes above the 90th percentile of absolute log2FC.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	IFN_ISG	39	17	6	median_log2FC	-0.29505212	-0.29505212	-0.2249889	-0.2249889	0.92826843	0.88765717	0.12174988	0.96810054				weak_down	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.10159805	-0.10159805	0.04861368	0.04861368	0.96484375	0.76953125	0.2734375	0.78812561				weak_down	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.049260983	-0.049260983	-0.10278126	-0.10278126	0.7734375	0.8125	0.234375	0.79664562				weak_down	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.1062078	0.1062078	0.012965686	0.012965686	0.2119751	0.38043213	0.64257812	0.43279042				weak_up	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	HALLMARK_IFNA	97	55	32	median_log2FC	0.087050976	0.087050976	0.080906348	0.080906348	0.14030486	0.17402011	0.82597989	0.28884526				weak_up	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	HALLMARK_IFNG	200	109	57	median_log2FC	0.024612569	0.024612569	-0.016121498	-0.016121498	0.35090559	0.39103314	0.60896686	0.58484958				weak_up	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0035989833	-0.0035989833	-0.005650037	-0.005650037	0.57472299	0.53125926	0.47766108	0.69315486				weak_down	-0.72603315	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.35789297	-0.35789297	-0.78485272	-0.78485272	0.96082306	0.99365425	0.0070829391	0.99767651				down	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21995434	-0.21995434	-0.19520091	-0.19520091	0.96484375	0.98046875	0.02734375	0.95680442				down	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.093888235	0.093888235	0.22075583	0.22075583	0.2265625	0.109375	0.921875	0.10123134				weak_up	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.05513806	0.05513806	0.035856688	0.035856688	0.39526367	0.52423096	0.5	0.47807942				weak_up	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	HALLMARK_IFNA	97	60	18	median_log2FC	-0.22371936	-0.22371936	-0.39927113	-0.39927113	0.99946712	0.99987685	0.00012314927	0.99994293				down	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	HALLMARK_IFNG	200	113	46	median_log2FC	-0.050322177	-0.050322177	-0.21725738	-0.21725738	0.98099068	0.99159215	0.0084078532	0.98672281				down	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.1_min0.5	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.077167103	0.077167103	0.05396511	0.05396511	0.043579277	0.15261283	0.85270099	0.17128444				weak_up	-1.0730834	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	IFN_ISG	39	17	6	median_log2FC	-0.2653987	-0.2653987	-0.17912268	-0.17912268	0.92826843	0.904953	0.10344696	0.96661805				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.1011666	-0.1011666	0.027022407	0.027022407	0.96484375	0.76953125	0.2734375	0.80566395				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.041640324	-0.041640324	-0.093178105	-0.093178105	0.7734375	0.8125	0.234375	0.79439444				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.10424085	0.10424085	0.010909179	0.010909179	0.2119751	0.35742188	0.6651001	0.43065579				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	HALLMARK_IFNA	97	55	32	median_log2FC	0.077405497	0.077405497	0.045300355	0.045300355	0.14030486	0.19407135	0.80592865	0.31966281				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	HALLMARK_IFNG	200	109	57	median_log2FC	0.020514226	0.020514226	-0.0073641571	-0.0073641571	0.35090559	0.38871344	0.61128656	0.58819589				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0024939134	-0.0024939134	-0.0066248994	-0.0066248994	0.57472299	0.54016445	0.46874074	0.6929515				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.33596372	-0.33596372	-0.57045656	-0.57045656	0.96082306	0.99365425	0.0070829391	0.99788765				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21896375	-0.21896375	-0.18556769	-0.18556769	0.96484375	0.98046875	0.02734375	0.96537049				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.089444068	0.089444068	0.192569	0.192569	0.2265625	0.109375	0.921875	0.095414382				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.051483785	0.051483785	0.033467039	0.033467039	0.39526367	0.52423096	0.5	0.46172701				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	HALLMARK_IFNA	97	60	18	median_log2FC	-0.2084006	-0.2084006	-0.29214814	-0.29214814	0.99946712	0.99985789	0.00014211177	0.99994971				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	HALLMARK_IFNG	200	113	46	median_log2FC	-0.041805398	-0.041805398	-0.15278184	-0.15278184	0.98099068	0.99210279	0.007897215	0.98664337				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc1.0_min0.5	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.073063089	0.073063089	0.045699225	0.045699225	0.043579277	0.15804813	0.84738717	0.17469441				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.39274366	-0.39274366	-0.28485977	-0.28485977	0.96082306	0.96767521	0.035068512	0.99621759				down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.10140571	-0.10140571	0.038018891	0.038018891	0.96484375	0.76953125	0.2734375	0.79742151				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.045555537	-0.045555537	-0.098268224	-0.098268224	0.7734375	0.8125	0.234375	0.79783597				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.10531683	0.10531683	0.011939628	0.011939628	0.2119751	0.35742188	0.6651001	0.42672844				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	HALLMARK_IFNA	97	60	34	median_log2FC	0.056075677	0.056075677	0.020084022	0.020084022	0.183147	0.32669499	0.67330501	0.46736295				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	HALLMARK_IFNG	200	114	60	median_log2FC	0.022491624	0.022491624	-0.014570345	-0.014570345	0.31988468	0.40887777	0.59112223	0.58921547				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0030838463	-0.0030838463	-0.006092264	-0.006092264	0.57472299	0.54016445	0.46874074	0.68553371				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.34780151	-0.34780151	-0.65900198	-0.65900198	0.96082306	0.99365425	0.0070829391	0.99775649				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21951285	-0.21951285	-0.19073142	-0.19073142	0.96484375	0.98046875	0.02734375	0.95988009				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.091859687	0.091859687	0.2070114	0.2070114	0.2265625	0.109375	0.921875	0.094698489				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.053435021	0.053435021	0.034634613	0.034634613	0.39526367	0.52423096	0.5	0.46446783				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	HALLMARK_IFNA	97	60	18	median_log2FC	-0.22099043	-0.22099043	-0.33761524	-0.33761524	0.99946712	0.99985378	0.00014621868	0.99994263				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	HALLMARK_IFNG	200	114	46	median_log2FC	-0.048615629	-0.048615629	-0.17995122	-0.17995122	0.98461184	0.99296738	0.007032621	0.9888625				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
