accession	contrast	source_file	module	gene	entrez_id	logFC_KO_minus_WT	logCPM	PValue	FDR	direction	fdr_lt_0.05
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Cxcl9	17329	2.883303775	1.338092825	0.002282902	0.06232753	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Cxcl10	15945	2.542898441	0.761591903	0.004257013	0.093900892	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Cxcl11	56066	5.044394119	-1.071298111	0.010305774	0.167807069	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp2	14469	0.582953916	6.245549072	0.001937604	0.055191191	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp3	55932	0.718229032	5.271887604	0.000512122	0.022326997	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp4	17472	2.385050193	6.968306407	1.59806E-09	4.75148E-07	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp5	229898	1.066884887	4.539726686	0.000397864	0.018691864	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp6	100702	1.370946677	3.268551892	4.32226E-06	0.000493761	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp7	229900	0.580012938	6.470766431	0.012392724	0.188526355	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifi44	99899	0.749481166	3.363330116	0.000843269	0.031234037	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifi204	15951	0.021334142	3.047642961	0.968284057	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifi27		NA	NA	NA	NA	not_in_table	NA
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifi35	70110	0.286246407	5.372681431	0.052181182	0.421508208	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Usp18	24110	0.119993902	4.179000307	0.529799228	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Adar	56417	0.221657554	6.267438271	0.138016113	0.687704255	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Dhx58	80861	0.427253449	2.983984324	0.117277206	0.644104695	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ddx58	230073	0.159132744	6.274661485	0.273179783	0.907447441	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifih1	71586	0.055694069	5.759217096	0.700934367	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Tlr3	142980	-0.045239385	5.324236024	0.768440974	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Tlr7	170743	0.340615601	3.629141607	0.205950622	0.826429702	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Tlr9	81897	-0.370767232	2.286253893	0.269670682	0.902714706	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Nlrc5	434341	0.747974933	4.594037806	0.004173122	0.092615153	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifi47	15953	1.029183663	5.457156	8.3404E-07	0.000127941	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ubd	24108	5.614709844	-0.749370016	0.000834227	0.031059609	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irg1	16365	5.491853096	-0.823370598	0.001384547	0.044128634	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irgm1	15944	0.4589508	5.733639561	0.026111716	0.290345693	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irgm2	54396	1.22132726	6.265766227	1.91286E-05	0.001650176	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Igtp	16145	1.384194995	5.464949104	1.26613E-05	0.001203638	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Tgtp1		NA	NA	NA	NA	not_in_table	NA
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Tgtp2	100039796	1.153428957	6.390181336	0.000637259	0.02585365	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Iigp1	60440	0.898523462	5.295024103	0.00259239	0.067225597	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Gbp2b	14468	0.376903161	6.125918582	0.051656877	0.419772566	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	B2m	12010	0.655249264	9.732933766	0.000930043	0.033588316	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Tap1	21354	0.183633493	6.194316935	0.441394482	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Tap2	21355	-0.008632457	6.638647269	0.962929036	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Tapbp	21356	0.104827622	8.105498367	0.471505925	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Psmb8	16913	0.431991771	6.019475943	0.026174502	0.290707433	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Psmb9	16912	0.901806032	5.006852697	0.001094233	0.037343278	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Psmb10	19171	0.367612833	5.545250733	0.014323027	0.203986117	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Nlrc5	434341	0.747974933	4.594037806	0.004173122	0.092615153	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Ciita	12265	0.279209397	5.169493221	0.160922533	0.74150462	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	Cd74	16149	0.486238793	10.09866603	0.003721585	0.085505885	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-K1	14972	-0.070918061	9.655239381	0.724031147	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-D1	14964	0.354590336	9.93629862	0.066866018	0.48248859	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-K2	630499	4.26166757	6.609061412	1.89577E-69	1.37159E-65	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q1	15006	1.070551135	6.464463267	1.22767E-07	0.000023581	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q2	15013	1.328512748	4.846073968	3.05936E-09	8.62382E-07	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q4		NA	NA	NA	NA	not_in_table	NA
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q6	110557	0.267680314	6.796366737	0.236959507	0.866589065	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q7	15018	-0.55255535	6.395288226	0.061800284	0.46271405	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q8	15019	0.085078576	5.066973689	0.721827387	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Q10	15007	2.173208944	6.047642961	4.38254E-26	7.92692E-23	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-T23	15040	1.045262026	7.359938301	2.91128E-06	0.000365257	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-M2	14990	5.181827916	4.002843352	6.34287E-58	3.4418E-54	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-M3	14991	1.190629395	4.232482637	3.65678E-08	8.01722E-06	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Bl	14963	3.900929037	3.550753708	4.85504E-28	9.57989E-25	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Aa	14960	-0.19803064	8.476319444	0.251045547	0.887883916	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Ab1	14961	0.363992743	8.167405168	0.07374467	0.503129002	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Eb1	14969	0.212679513	8.016496194	0.240161669	0.873004359	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Ea		NA	NA	NA	NA	not_in_table	NA
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-DMb1	14999	0.258243142	5.08225392	0.135833513	0.683571603	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-DMa	14998	0.354197551	5.453243604	0.047759448	0.407067214	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Oa	15001	-1.400402153	2.195488429	1.01011E-05	0.00101502	down	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-Ob	15002	-2.287779872	4.502349076	6.81287E-26	1.05624E-22	down	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	MHC	H2-DMb2	15000	0.23309231	4.305912419	0.310633602	0.960305133	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn1	12737	-0.079914082	3.826547345	0.718607969	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn2	12738	0.965234582	-0.547736155	0.349378196	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn3	12739	0.091112223	7.125918582	0.523842584	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn4	12740	-6.061296179	2.250629984	1.7663E-29	4.0673E-26	down	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn5	12741	0.208424808	8.807902207	0.135865801	0.683571603	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn6	54419	0.725140159	0.250629984	0.279743327	0.917610536	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn7	53624	0.112854612	5.420554985	0.473673217	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn8	54420	-0.549220911	3.517416524	0.012443968	0.188614757	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn10	58187	-0.100039144	4.379913001	0.656163109	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn12	64945	-0.039337491	5.716604448	0.79185611	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn15	60363	-0.608159076	3.186089731	0.059090517	0.450970347	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn18	56492	-0.452490177	9.995127489	0.041302892	0.376994602	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cldn23	71908	-0.549085464	2.444401727	0.081036061	0.529945075	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Tjp1	21872	-0.103722846	9.291946899	0.459751347	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Tjp2	21873	-0.0128493	7.441936003	0.938468817	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Tjp3	27375	0.144523951	4.024098912	0.472928428	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Ocln	18260	-0.045588289	6.309162954	0.764313783	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Marveld2	218518	-0.026034301	4.901681675	0.888516897	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Marveld3	73608	0.36929908	3.629141607	0.090926353	0.563201726	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	F11r	16456	-0.117393214	7.7934684	0.461547387	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Jam2	67374	0.462225091	4.140590183	0.027617759	0.300171987	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Jam3	83964	-0.067036219	3.703488948	0.774992314	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cgn	70737	-0.230523664	7.063769835	0.125268569	0.662406999	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cgnl1	68178	-0.076720885	7.863866938	0.623822646	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Lsr	54135	-0.0173978	5.630874574	0.925610852	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Epcam	17075	-0.088099852	5.990073081	0.527066536	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cdh1	12550	-0.139780571	8.921905662	0.372915549	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	TJ	Cdh5	12562	0.195912267	10.10861098	0.192095212	0.801504533	up	no
