class	program	name	method	coef	se	p	fdr	delta	n_targets	vs_kd	expected	n_genes
TF activity	IFN	IRF2	ulm	-0.5472925099876306	0.30747240879777715	0.08556221266499073	0.2954881065290959	-0.5983211570151346	73.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF2	mlm	-0.028227764011404935	0.18551019227611246	0.8801121788807748	0.9290908557511913	-0.052147019618738355	73.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF2	viper	-0.1769915480068362	0.12807138432478374	0.17753257885584892	0.47077835643024224	-0.2067148720596219	73.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF2	wmean	-0.1049989628394111	0.09773743607298026	0.2915476575106294	0.552247428380218	-0.11889466097625156	73.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF3	ulm	-0.18868859046121228	0.22029781979886276	0.3987349423185353	0.6845333980844218	-0.11162562072213378	69.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF3	mlm	0.06793164916567007	0.2126909210286604	0.7517192043528854	0.8581208488558417	0.1522127837864895	69.0	opposite of KD (higher in CLDN4-high)	down	
TF activity	IFN	IRF3	viper	-0.029922584754879314	0.08902349439003975	0.739200257029208	0.8996810028439279	-0.001128135682763487	69.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF3	wmean	-0.014886347503005604	0.0672643231344561	0.8264010766513324	0.9635397252299949	0.008516993858411315	69.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF7	ulm							not scored	down	
TF activity	IFN	IRF7	mlm							not scored	down	
TF activity	IFN	IRF7	viper							not scored	down	
TF activity	IFN	IRF7	wmean							not scored	down	
TF activity	IFN	IRF8	ulm	-0.07638953419222921	0.12056657393184571	0.531315456645134	0.7713804621278082	-0.09640309057042523	8.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF8	mlm	0.32119083588099284	0.17412177374475435	0.07532772910745877	0.2513745566844411	0.3513196602653464	8.0	opposite of KD (higher in CLDN4-high)	down	
TF activity	IFN	IRF8	viper	-0.21578685358888477	0.15369049971484416	0.17092769193362664	0.4657387569200653	-0.233139216350986	8.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF8	wmean	-0.043403531640776254	0.11289229158224068	0.703436212559133	0.8776390800565433	-0.06317322419727978	8.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF9	ulm	-0.5387443651316515	0.3309075805421566	0.11432513627149452	0.33545666798119805	-0.5335905985406226	45.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF9	mlm	0.2488761588984769	0.14432006060265226	0.09526768966108455	0.2990296536931195	0.2589000959098615	45.0	opposite of KD (higher in CLDN4-high)	down	
TF activity	IFN	IRF9	viper	-0.15025826671678408	0.14348272862216632	0.30364737700556915	0.6361933001629232	-0.14629045940665875	45.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF9	wmean	-0.1579762462777502	0.13802307485582335	0.2617489390852151	0.5382121644645552	-0.15610309545247514	45.0	matches KD (lower in CLDN4-high)	down	
TF activity	MHC	RFX5	ulm	-1.388270502275515	0.7468001891781015	0.0732082071426822	0.26196189784791096	-1.6512242848591772	87.0	matches KD (lower in CLDN4-high)	down	
TF activity	MHC	RFX5	mlm	-1.2897590038183655	0.69432987819691	0.07341291689009656	0.2501285865894214	-1.540613284777744	87.0	matches KD (lower in CLDN4-high)	down	
TF activity	MHC	RFX5	viper	-0.7202776205725449	0.36652590789233375	0.05904055851127478	0.24354230385900846	-0.829482705122838	87.0	matches KD (lower in CLDN4-high)	down	
TF activity	MHC	RFX5	wmean	-0.342579803689536	0.21929737045147546	0.12909590331449472	0.39292423681582556	-0.4163227266033003	87.0	matches KD (lower in CLDN4-high)	down	
TF activity	junction	GRHL2	ulm	0.48108421668641826	0.6187779817658744	0.44317538688913133	0.7035444914849218	0.39288092555651133	74.0	not a KD prediction	none	
TF activity	junction	GRHL2	mlm	0.21156872257279086	0.41707494297665176	0.6158029389138558	0.7973301032164709	0.23197443531858997	74.0	not a KD prediction	none	
TF activity	junction	GRHL2	viper	0.5084863656800186	0.3382249216955904	0.14354979535545798	0.4263428922057102	0.46163286183100927	74.0	not a KD prediction	none	
TF activity	junction	GRHL2	wmean	0.18796746403295564	0.18095960576510267	0.3075156784666983	0.5673352570375433	0.16323913497508524	74.0	not a KD prediction	none	
TF activity	junction	ELF3	ulm	0.466607056003532	0.46731994107007124	0.3263082350534947	0.6133768722208096	0.3844530199687186	52.0	not a KD prediction	none	
TF activity	junction	ELF3	mlm	0.2023916039771936	0.28302761623855005	0.48026822866666147	0.7096500692238729	0.19118059266169257	52.0	not a KD prediction	none	
TF activity	junction	ELF3	viper	0.1768210804446731	0.19197539929179794	0.36461770223733314	0.6853889719271389	0.14632926964578474	52.0	not a KD prediction	none	
TF activity	junction	ELF3	wmean	0.21110246528325413	0.16369472330887788	0.20737641434945775	0.4811780864202262	0.18260824706284984	52.0	not a KD prediction	none	
TF activity	junction	KLF4	ulm	-0.09463010216894883	0.2883071435700719	0.7450984682677428	0.9065852163842446	-0.12660511201220004	48.0	not a KD prediction	none	
TF activity	junction	KLF4	mlm	-0.5000106663315362	0.26949950395554084	0.07374007175664042	0.2501285865894214	-0.5034868430294797	48.0	not a KD prediction	none	
TF activity	junction	KLF4	viper	0.016391122814445852	0.18829202788954882	0.9312288051308413	0.9769124262668666	-0.04001627190201118	48.0	not a KD prediction	none	
TF activity	junction	KLF4	wmean	-0.005357564660891004	0.12345363286486433	0.9656822005855022	0.9958597693537992	-0.017387548513132067	48.0	not a KD prediction	none	
TF activity	junction	TFAP2A	ulm	0.008543900454411946	0.3382261175997202	0.9800198775654243	0.9866640801251899	-0.06784539864984263	123.0	not a KD prediction	none	
TF activity	junction	TFAP2A	mlm	0.34267512422527474	0.17819988465193565	0.06435181822041974	0.23595666680820573	0.3694189176993656	123.0	not a KD prediction	none	
TF activity	junction	TFAP2A	viper	0.32255126042486226	0.152196929484483	0.04274835907188022	0.19837910381794413	0.3168971982671882	123.0	not a KD prediction	none	
TF activity	junction	TFAP2A	wmean	0.047434764719309006	0.09441557848419246	0.6191772014339505	0.820962628686979	0.028681772141679662	123.0	not a KD prediction	none	
TF activity	context	STAT3	ulm	-1.397902707297308	0.5724591146291865	0.020941906652071702	0.10723700475284993	-1.6944649991374652	168.0	not a KD prediction	none	
TF activity	context	STAT3	mlm	-0.4416131229654611	0.26321056929787995	0.10413435408911273	0.3155908486170049	-0.5787505676602238	168.0	not a KD prediction	none	
TF activity	context	STAT3	viper	-0.9320090082512349	0.43866330728285297	0.04226228846556392	0.19837910381794413	-1.1793775724167954	168.0	not a KD prediction	none	
TF activity	context	STAT3	wmean	-0.23703283160481903	0.12500133047650552	0.06793091933676529	0.25866003901306783	-0.2970735087415157	168.0	not a KD prediction	none	
TF activity	context	TP63	ulm	0.1487158640031211	0.4683123484927612	0.7530962393269189	0.9065852163842446	0.12427688093438555	86.0	not a KD prediction	none	
TF activity	context	TP63	mlm	0.0893324796221777	0.36790017291681365	0.809856267024604	0.899993362804164	0.16100498155274923	86.0	not a KD prediction	none	
TF activity	context	TP63	viper	0.0776999453600274	0.1924048878315718	0.6892961812558978	0.8664760873940681	0.06681255360981145	86.0	not a KD prediction	none	
TF activity	context	TP63	wmean	0.08609449288290306	0.1474659045996239	0.5638510007480861	0.7865457777685936	0.0773834817970398	86.0	not a KD prediction	none	
geneset	geneset	IFN_hallmark	mean_logCPM	-0.5843268615202205	0.1759750072508701	0.0024344294684935297				matches KD (lower in CLDN4-high)	down	221.0
geneset	geneset	MHC_I_APM	mean_logCPM	-0.7791349664224808	0.28216697151884335	0.0098832037247188				matches KD (lower in CLDN4-high)	down	21.0
geneset	geneset	TJ_no_CLDN4	mean_logCPM	0.058814424806507004	0.0676845454264725	0.39200997024744677				not a KD prediction	none	191.0
geneset	geneset	OXPHOS	mean_logCPM	0.03653702515504878	0.07751217882460693	0.6409025258243868				not a KD prediction	none	184.0
geneset	geneset	APICAL_JUNCTION	mean_logCPM	-0.11864935564241323	0.10785697751475994	0.2803532771836588				not a KD prediction	none	188.0
gene	gene	gene:NLRC5	gene_logCPM	-0.48467263869935073	0.3805202275645469	0.21288036636793914				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:CIITA	gene_logCPM	-0.311840528280671	0.38252353920369203	0.42159192352926855				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:STAT1	gene_logCPM	-0.991325452635575	0.2733250427950436	0.0010902020152924303				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:IRF1	gene_logCPM	-0.5772973102762711	0.3124740272991927	0.07489867891149359				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:RFX5	gene_logCPM	0.12949593623446518	0.2745313203257339	0.6406719895257019				not a KD prediction	none	1.0
gene	gene	gene:CLDN4	gene_logCPM	1.6262687206974302	0.624750644046386	0.014410067217638127				splitter check (high should be up)	up_splitter	1.0
gene	gene	gene:HLA-A	gene_logCPM	-0.7888887971678137	0.4843564793039115	0.11418570595710915				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:B2M	gene_logCPM	-0.8513860433329157	0.30582868876090086	0.009357395527550987				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:TAP1	gene_logCPM	-1.5896127571860246	0.4091033587454232	0.0005453159959473607				matches KD (lower in CLDN4-high)	down	1.0
gene	gene	gene:TAP2	gene_logCPM	-1.5549866492111017	0.39081690379290474	0.0004237453692395107				matches KD (lower in CLDN4-high)	down	1.0
