cohort	gene	present	n	spearman_rho_vs_CLDN4	spearman_p
ovca26	CASP7	1	11	0.05454545454545456	0.8734465775233149
ovca26	CASP8	1	11	0.46363636363636374	0.15090149929248592
ovca26	CCL2	0	0		
ovca26	CCL5	0	0		
ovca26	CCL7	0	0		
ovca26	CD274	1	2		
ovca26	CD38	1	0		
ovca26	CD40	1	8	0.4285714285714286	0.2894032248467901
ovca26	CD69	0	0		
ovca26	CD74	1	5	0.39999999999999997	0.5046315754686912
ovca26	CD86	0	0		
ovca26	CDKN1A	1	5	0.19999999999999998	0.7470600781046621
ovca26	CFB	1	9	-0.21666666666666667	0.5755148957119259
ovca26	CFH	1	7	-0.07142857142857144	0.879048193148154
ovca26	CIITA	0	0		
ovca26	CLDN3	1	11	-0.24545454545454545	0.4669223669820161
ovca26	CLDN4	1	11	1.0	0.0
ovca26	CLDN7	1	6	-0.2	0.7040000000000001
ovca26	CMKLR1	0	0		
ovca26	CMPK2	1	7	-0.1785714285714286	0.7016579425162727
ovca26	CMTR1	0	0		
ovca26	CSF2RB	0	0		
ovca26	CXCL10	1	1		
ovca26	CXCL11	1	0		
ovca26	CXCL9	0	0		
ovca26	DDX58	1	11	-0.18181818181818182	0.5926152128455
ovca26	DDX60	1	11	-0.15454545454545454	0.6500339654975799
ovca26	DHX58	1	1		
ovca26	EIF2AK2	1	11	0.16363636363636366	0.6306852146425356
ovca26	EIF4E3	1	1		
ovca26	EPSTI1	1	3		
ovca26	ERAP1	1	11	0.22727272727272727	0.501535667604937
ovca26	ERAP2	1	9	0.39999999999999997	0.286105101908313
ovca26	FAS	1	11	-0.39090909090909093	0.23454006709519437
ovca26	FCGR1A	1	0		
ovca26	FGL2	1	5	0.3	0.623837664781073
ovca26	FPR1	1	0		
ovca26	GBP4	1	9	0.11666666666666665	0.765007942926146
ovca26	GBP6	1	11	0.08181818181818183	0.8109903943000459
ovca26	GCH1	1	2		
ovca26	GPR18	0	0		
ovca26	GZMA	0	0		
ovca26	HELZ2	1	11	0.17272727272727276	0.6115423848512369
ovca26	HERC6	1	0		
ovca26	HIF1A	0	0		
ovca26	HLA-A	1	11	0.5	0.11730680301423817
ovca26	HLA-B	1	11	-0.43636363636363645	0.17966487658001118
ovca26	HLA-C	1	11	-0.009090909090909092	0.9788365001441937
ovca26	HLA-DMA	1	2		
ovca26	HLA-DQA1	1	3		
ovca26	HLA-DRB1	1	6	-0.08571428571428573	0.8717434402332361
ovca26	HLA-E	1	7	0.0	1.0
ovca26	HLA-F	1	3		
ovca26	HLA-G	1	9	0.5333333333333333	0.13922686754397814
ovca26	ICAM1	1	11	-0.07272727272727274	0.831716405381337
ovca26	IDO1	1	3		
ovca26	IFI27	1	2		
ovca26	IFI30	1	11	-0.20000000000000004	0.5554454421055853
ovca26	IFI35	1	11	0.27272727272727276	0.4171414371425311
ovca26	IFI44	1	5	-0.19999999999999998	0.7470600781046621
ovca26	IFI44L	1	1		
ovca26	IFI6	1	1		
ovca26	IFIH1	1	11	0.2545454545454546	0.45003657688882837
ovca26	IFIT1	1	11	0.18181818181818182	0.5926152128455
ovca26	IFIT2	1	11	-0.045454545454545456	0.8944269969053026
ovca26	IFIT3	1	10	-0.2121212121212121	0.5563057751029299
ovca26	IFITM2	1	10	0.4424242424242424	0.20042268671194213
ovca26	IFITM3	1	10	0.5272727272727272	0.11730806555020232
ovca26	IFNAR2	0	0		
ovca26	IL10RA	0	0		
ovca26	IL15	0	0		
ovca26	IL15RA	0	0		
ovca26	IL18BP	0	0		
ovca26	IL2RB	0	0		
ovca26	IL4R	0	0		
ovca26	IL6	1	0		
ovca26	IL7	0	0		
ovca26	IRF1	0	0		
ovca26	IRF2	1	5	-0.7	0.1881204043741873
ovca26	IRF4	0	0		
ovca26	IRF5	1	4		
ovca26	IRF7	1	0		
ovca26	IRF8	0	0		
ovca26	IRF9	1	11	0.0	1.0
ovca26	ISG15	1	11	0.20000000000000004	0.5554454421055853
ovca26	ISG20	1	11	0.11818181818181818	0.7292847795197801
ovca26	ISOC1	1	11	0.2545454545454546	0.45003657688882837
ovca26	ITGB7	0	0		
ovca26	JAK2	0	0		
ovca26	KLRK1	0	0		
ovca26	LAP3	1	11	-0.2545454545454546	0.45003657688882837
ovca26	LATS2	0	0		
ovca26	LCP2	1	0		
ovca26	LGALS3BP	1	11	0.10000000000000002	0.7698749998921367
ovca26	LY6E	1	1		
ovca26	LYSMD2	1	11	-0.009090909090909092	0.9788365001441937
ovca26	MARCHF1	0	0		
ovca26	METTL7B	1	10	-0.0303030303030303	0.9337729580941466
ovca26	MT2A	1	10	-0.0303030303030303	0.9337729580941466
ovca26	MTHFD2	1	11	-0.36363636363636365	0.27163754099382253
ovca26	MVP	1	11	0.22727272727272727	0.501535667604937
ovca26	MX1	1	11	0.28181818181818186	0.40114489796047825
ovca26	MX2	1	6	-0.3142857142857143	0.5440932944606415
ovca26	MYD88	1	11	0.10909090909090911	0.7495085962341481
ovca26	NAMPT	1	11	0.10000000000000002	0.7698749998921367
ovca26	NCOA3	1	11	0.3090909090909091	0.35502843970150694
ovca26	NFKB1	1	11	0.3454545454545455	0.2980892209030385
ovca26	NFKBIA	1	7	0.0	1.0
ovca26	NLRC5	0	0		
ovca26	NMI	1	11	-0.009090909090909092	0.9788365001441937
ovca26	NOD1	0	0		
ovca26	NUP93	1	11	-0.4090909090909091	0.21154501034209602
ovca26	OAS2	1	9	0.0	1.0
ovca26	OAS3	1	11	0.4090909090909091	0.21154501034209602
ovca26	OASL	1	10	0.4545454545454545	0.18690481034933196
ovca26	OGFR	1	11	0.22727272727272727	0.501535667604937
ovca26	P2RY14	0	0		
ovca26	PARP12	1	11	0.18181818181818182	0.5926152128455
ovca26	PARP14	1	11	0.4272727272727273	0.18994372496542714
ovca26	PDE4B	0	0		
ovca26	PDIA3	1	11	0.26363636363636367	0.43344073761161456
ovca26	PELI1	0	0		
ovca26	PFKP	1	11	0.24545454545454545	0.4669223669820161
ovca26	PIM1	0	0		
ovca26	PLA2G4A	1	11	0.4000000000000001	0.22286835013352
ovca26	PLSCR1	1	11	-0.3272727272727273	0.3258949410128415
ovca26	PML	1	11	0.33636363636363636	0.31182431390038634
ovca26	PNP	1	11	-0.13636363636363638	0.6893090205863619
ovca26	PNPT1	1	11	0.05454545454545456	0.8734465775233149
ovca26	PSMA2	1	11	0.03636363636363637	0.9154683168905347
ovca26	PSMA3	1	11	0.27272727272727276	0.4171414371425311
ovca26	PSMB10	1	11	0.5636363636363637	0.07095173447637551
ovca26	PSMB2	1	11	-0.29090909090909095	0.3854569696913654
ovca26	PSMB8	1	11	0.6363636363636364	0.03528698122006231
ovca26	PSMB9	1	11	0.5181818181818182	0.1024915397909638
ovca26	PSME1	1	11	0.17272727272727276	0.6115423848512369
ovca26	PSME2	1	11	0.11818181818181818	0.7292847795197801
ovca26	PTGS2	1	5	-0.7	0.1881204043741873
ovca26	PTPN1	1	11	0.3272727272727273	0.3258949410128415
ovca26	PTPN2	1	11	0.17272727272727276	0.6115423848512369
ovca26	PTPN6	1	11	0.06363636363636364	0.8525390725425217
ovca26	RAPGEF6	1	11	0.3454545454545455	0.2980892209030385
ovca26	RBCK1	1	10	-0.10303030303030303	0.7769984634438898
ovca26	RIPK1	1	11	0.4909090909090909	0.12520440713849548
ovca26	RIPK2	1	11	-0.14545454545454548	0.6695786456420787
ovca26	RNF213	1	11	0.5	0.11730680301423817
ovca26	RNF31	1	11	0.41818181818181827	0.20057021703405048
ovca26	RSAD2	1	6	0.7714285714285715	0.07239650145772594
ovca26	RTP4	1	0		
ovca26	SAMD9L	1	9	0.03333333333333333	0.9321567355405039
ovca26	SAMHD1	1	11	0.3545454545454546	0.2846927409558867
ovca26	SECTM1	1	0		
ovca26	SELP	0	0		
ovca26	SERPING1	1	7	-0.1785714285714286	0.7016579425162727
ovca26	SLAMF7	0	0		
ovca26	SLC25A28	0	0		
ovca26	SOCS1	0	0		
ovca26	SOCS3	0	0		
ovca26	SOD2	1	11	0.28181818181818186	0.40114489796047825
ovca26	SP110	1	6	-0.08571428571428573	0.8717434402332361
ovca26	SPPL2A	1	8	0.19047619047619052	0.6514014957024814
ovca26	SRI	1	11	-0.018181818181818184	0.9576852410216187
ovca26	SSPN	0	0		
ovca26	ST3GAL5	1	2		
ovca26	ST8SIA4	0	0		
ovca26	STAT1	1	11	0.4727272727272727	0.1419985202063199
ovca26	STAT2	1	11	0.3090909090909091	0.35502843970150694
ovca26	STAT3	1	11	-0.2545454545454546	0.45003657688882837
ovca26	STAT4	1	9	0.31666666666666665	0.406397014486386
ovca26	TAP1	1	11	0.3272727272727273	0.3258949410128415
ovca26	TAP2	1	11	0.29090909090909095	0.3854569696913654
ovca26	TAPBP	1	11	0.22727272727272727	0.501535667604937
ovca26	TAPBPL	1	6	0.3714285714285715	0.4684781341107872
ovca26	TDRD7	1	11	0.045454545454545456	0.8944269969053026
ovca26	TNFAIP2	1	11	0.23636363636363636	0.4840911622253965
ovca26	TNFAIP3	1	6	0.08571428571428573	0.8717434402332361
ovca26	TNFAIP6	0	0		
ovca26	TNFSF10	1	0		
ovca26	TOR1B	1	10	0.5151515151515151	0.1275528697032343
ovca26	TP53BP1	1	11	0.4909090909090909	0.12520440713849548
ovca26	TRAFD1	1	11	0.07272727272727274	0.831716405381337
ovca26	TRIM14	1	0		
ovca26	TRIM21	1	11	0.7818181818181819	0.004473162252783043
ovca26	TRIM25	1	11	0.30000000000000004	0.37008312228206763
ovca26	TRIM26	1	11	-0.20909090909090913	0.5372209352113227
ovca26	TXNIP	1	9	0.11666666666666665	0.765007942926146
ovca26	UBE2L6	1	11	0.11818181818181818	0.7292847795197801
ovca26	UPP1	1	11	0.36363636363636365	0.27163754099382253
ovca26	USP18	1	2		
ovca26	VAMP5	1	9	0.3666666666666667	0.3317398014330152
ovca26	VAMP8	1	11	-0.1272727272727273	0.709214625773305
ovca26	VCAM1	1	8	-0.04761904761904763	0.9108491685195836
ovca26	WARS1	0	0		
ovca26	XAF1	1	1		
ovca26	XCL1	0	0		
ovca26	XRCC1	1	11	-0.6090909090909091	0.046695709354098905
ovca26	ZBP1	1	2		
ovca26	ZNFX1	1	10	-0.006060606060606061	0.9867429111949892
