interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	source	target	n_source	n_target	ligand_mean	receptor_mean	ligand_prop	receptor_prop	detected	prob	pval	significant
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_high_NMPR	TNK_NMPR	2408	21223	0.0	0.0	0.013704318553209305	0.022522734478116035	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_low_NMPR	TNK_NMPR	2228	21223	0.0	0.0	0.020646318793296814	0.022522734478116035	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK_NMPR	Mal_high_NMPR	21223	2408	0.0	0.0	0.0	0.09925249218940735	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK_NMPR	Mal_low_NMPR	21223	2228	0.0	0.026391256335838876	0.0	0.12028725445270538	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_high_MPR	TNK_MPR	395	12537	0.0	0.0	0.060759492218494415	0.0218553077429533	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_low_MPR	TNK_MPR	575	12537	0.0	0.0	0.03130434826016426	0.0218553077429533	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK_MPR	Mal_high_MPR	12537	395	0.0	0.19851313885714159	0.0003190556017216295	0.29113924503326416	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK_MPR	Mal_low_MPR	12537	575	0.0	0.01608175787650136	0.0003190556017216295	0.10782608389854431	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	Mal_high_NMPR	TNK_NMPR	2408	21223	0.0	0.0	0.013704318553209305	0.005984073970466852	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	Mal_low_NMPR	TNK_NMPR	2228	21223	0.0	0.0	0.020646318793296814	0.005984073970466852	False	0.0	1.0	False
