sample	CLDN4_log2_MAS5p1	quartile
GSM773650	9.416584326485282	Q2Q3
GSM773651	11.48307348496201	Q4
GSM773652	10.658485265292523	Q4
GSM773653	10.585712770012217	Q4
GSM773654	8.852924577409633	Q1
GSM773655	9.653567573262615	Q2Q3
GSM773656	8.95734527627693	Q1
GSM773657	9.861835982144333	Q2Q3
GSM773658	11.133050611846718	Q4
GSM773659	10.65601630999865	Q4
GSM773660	10.079837414330356	Q2Q3
GSM773661	9.153216588282952	Q2Q3
GSM773662	9.847744694654617	Q2Q3
GSM773663	10.197390813681688	Q2Q3
GSM773664	9.928466410652534	Q2Q3
GSM773665	8.838797382257027	Q1
GSM773666	10.747318244240049	Q4
GSM773667	8.882341641330136	Q1
GSM773668	10.113185683656518	Q2Q3
GSM773669	9.955209622227262	Q2Q3
GSM773670	9.62516910111962	Q2Q3
GSM773671	8.97223456006727	Q1
GSM773672	9.890528772202076	Q2Q3
GSM773673	10.919989530422836	Q4
GSM773674	7.8145856701115815	Q1
GSM773675	10.463138513142937	Q4
GSM773676	10.712935505581175	Q4
GSM773677	9.45295201224948	Q2Q3
GSM773678	8.982306277598006	Q1
GSM773679	9.689855616156848	Q2Q3
GSM773680	9.612964305274625	Q2Q3
GSM773681	8.150495196576541	Q1
GSM773682	9.080785289741227	Q1
GSM773683	10.861798382520655	Q4
GSM773684	11.020137264475453	Q4
GSM773685	10.991978745246868	Q4
GSM773686	9.245639693152969	Q2Q3
GSM773687	10.547255088571152	Q4
GSM773688	9.117150605131568	Q2Q3
GSM773689	8.433041641889249	Q1
GSM773690	11.156034395573359	Q4
GSM773691	10.218185167863952	Q2Q3
GSM773692	10.590264231836368	Q4
GSM773693	10.258613494831822	Q2Q3
GSM773694	8.46296067209309	Q1
GSM773695	7.169669501572436	Q1
GSM773696	10.377520730707829	Q2Q3
GSM773697	10.673388850062862	Q4
GSM773698	10.902325365523422	Q4
GSM773699	10.864189859744023	Q4
GSM773700	9.48856662352162	Q2Q3
GSM773701	7.627246411157882	Q1
GSM773702	10.093973934612729	Q2Q3
GSM773703	9.447529193935132	Q2Q3
GSM773704	8.802260114555986	Q1
GSM773705	8.712544539653134	Q1
GSM773706	9.79904487705338	Q2Q3
GSM773707	11.707631725643417	Q4
GSM773708	9.97005986172108	Q2Q3
GSM773709	8.652870063132342	Q1
GSM773710	10.168789058177527	Q2Q3
GSM773711	9.611412907549342	Q2Q3
GSM773712	9.048995201604138	Q1
GSM773713	10.114377567124286	Q2Q3
GSM773714	10.670115535452647	Q4
GSM773715	10.256897077901797	Q2Q3
GSM773716	10.002150604219791	Q2Q3
GSM773717	10.101484624747101	Q2Q3
GSM773718	9.753505092198418	Q2Q3
GSM773719	9.766078969358876	Q2Q3
GSM773720	10.291584795837831	Q2Q3
GSM773721	9.38961800381424	Q2Q3
GSM773722	10.081999174288129	Q2Q3
GSM773723	8.653261771008484	Q1
GSM773724	9.705126750777083	Q2Q3
GSM773725	9.430064226264482	Q2Q3
GSM773726	9.693517623154957	Q2Q3
GSM773727	10.479493312950657	Q4
GSM773728	9.402440586135251	Q2Q3
GSM773729	10.697305303293314	Q4
GSM773730	9.821233308417758	Q2Q3
GSM773731	7.870686515662759	Q1
GSM773732	10.569937042371093	Q4
GSM773733	9.483855269492999	Q2Q3
GSM773734	8.078481215125262	Q1
GSM773735	9.304963866368926	Q2Q3
GSM773736	10.390038763761494	Q2Q3
GSM773737	8.639966494521847	Q1
GSM773738	9.346086401674587	Q2Q3
GSM773739	8.988590681335827	Q1
GSM773740	11.457208689403359	Q4
GSM773741	10.054406518847511	Q2Q3
GSM773742	10.463427815733107	Q4
GSM773743	9.495523488646958	Q2Q3
GSM773744	10.87560553542764	Q4
GSM773745	11.287684621829833	Q4
GSM773746	9.356208749412684	Q2Q3
GSM773747	9.025391250455709	Q1
GSM773748	9.870458275939791	Q2Q3
GSM773749	9.762637332445614	Q2Q3
GSM773750	9.45864406929539	Q2Q3
GSM773751	10.270759600973372	Q2Q3
GSM773752	9.747534595646588	Q2Q3
GSM773753	9.41207227996431	Q2Q3
GSM773754	9.574442911573852	Q2Q3
GSM773755	10.0531169040784	Q2Q3
GSM773756	8.958879206045836	Q1
GSM773757	10.604367807223202	Q4
GSM773758	9.882422349045237	Q2Q3
GSM773759	10.202868738159356	Q2Q3
GSM773760	9.388305795503259	Q2Q3
GSM773761	9.12694834253701	Q2Q3
GSM773762	10.342235822927808	Q2Q3
GSM773763	10.373908188801604	Q2Q3
GSM773764	10.459209254325494	Q4
GSM773765	9.979256692430274	Q2Q3
