score	outcome	rho	p	I2	ci_lo	ci_hi	N
seed_k08	compartment	-0.6433215917648699	2.6870314676217493e-08	0.0	-0.7751274461361412	-0.4578545657626243	65
seed_k09	all_cells	-0.6086409881712266	2.6710891589123345e-07	0.0	-0.7513232530950086	-0.41159757199355734	65
seed_k09	compartment	-0.6203656443134214	1.2747290151746625e-07	0.0	-0.7594126217911156	-0.42712314562699577	65
seed_k10	all_cells	-0.5990193568795252	4.777418356203045e-07	0.0	-0.7446526698644262	-0.3989416523763763	65
seed_k10	compartment	-0.6169801055216336	1.5840566503013285e-07	0.0	-0.7570811923331854	-0.42262834592107623	65
seed_k11	all_cells	-0.5919553505815455	7.21969932930167e-07	0.0	-0.7397366726705484	-0.38969820619835616	65
seed_k11	compartment	-0.6151203685951678	1.7825673631620275e-07	0.0	-0.7557989762495333	-0.4201633338962477	65
seed_k12	all_cells	-0.5776023281852936	1.6141988101009958e-06	0.0	-0.7296992615138543	-0.37104156733563654	65
seed_k12	compartment	-0.6038541232881539	3.5770778582438096e-07	0.0	-0.7480082067068486	-0.4052916023982114	65
seed_k13	all_cells	-0.57304149399311	2.0653673109934718e-06	0.0	-0.726495977896621	-0.36514791864313934	65
seed_k13	compartment	-0.5987975061836761	4.840628282459735e-07	0.0	-0.7444985190401161	-0.39865073488363006	65
seed_k14	all_cells	-0.5632191592532492	3.4617641580795544e-06	0.0	-0.7195745782798441	-0.3525115374803459	65
seed_k14	compartment	-0.5896577786488365	8.237164374627149e-07	0.0	-0.7381343347651932	-0.3867005272544288	65
seed_k15	all_cells	-0.5367260618742123	1.2726416137795409e-05	0.0	-0.700749772576444	-0.3188071812196887	65
seed_k15	compartment	-0.5550266680060175	5.2495556775241115e-06	0.0	-0.7137778030629436	-0.34203038718808615	65
seed_k16	all_cells	-0.5153032587495452	3.33774279571781e-05	0.0	-0.6853588116605878	-0.29195035090016735	65
seed_k16	compartment	-0.5177179584019075	3.00505489882222e-05	0.0	-0.6871012550171356	-0.29496004271184534	65
seed_k17	all_cells	-0.5020953870817881	5.835220317823559e-05	0.0	-0.6757934522900458	-0.27556590187967644	65
seed_k17	compartment	-0.5068813582373985	4.7803374644074765e-05	0.0	-0.6792663038601121	-0.28148776294343975	65
seed_k18	all_cells	-0.522165129868138	2.4707582203945602e-05	0.0	-0.6903052363204397	-0.3005146067770583	65
seed_k18	compartment	-0.5302446462647924	1.7172624283335832e-05	0.0	-0.6961093293378936	-0.3106446257675516	65
seed_k19	all_cells	-0.49265803653788487	8.562427025140318e-05	0.0	-0.6689227421360993	-0.26393887785397263	65
seed_k19	compartment	-0.5121290150836371	3.826500558179344e-05	0.0	-0.6830653163366597	-0.28800067810586427	65
seed_k20	all_cells	-0.4747764469970943	0.00017118794956936655	0.0	-0.6558212145575318	-0.24208916192355515	65
seed_k20	compartment	-0.4957574589366496	7.559791170969677e-05	0.0	-0.6711825527657755	-0.26775011825754774	65
seed_antimode	all_cells	-0.599187952227632	0.0009221323620005693	0.5316229021566679	-0.8009183072209949	-0.2753007423159304	65
seed_antimode	compartment	-0.7355008314458311	3.3824573550768834e-09	0.2207376825922245	-0.8489697668924463	-0.5571986740486801	65
scanvi_k01	all_cells	-0.572025734020426	0.00787343172772201	0.6577531463777784	-0.8111306418350155	-0.1690919649681811	65
scanvi_k01	compartment	-0.5211005970813711	0.0002623381510974021	0.21387854405326057	-0.7104811609615614	-0.2613381003728715	65
scanvi_k02	all_cells	-0.49980911875212564	0.0003209902482767335	0.1616823685882919	-0.6901108158882682	-0.24485852833098548	65
scanvi_k02	compartment	-0.511706112515765	0.0007154562343510398	0.285539778568638	-0.7125507374578509	-0.23335077969638995	65
scanvi_k03	all_cells	-0.5473627903233885	3.06711182138062e-05	0.1106935027339904	-0.7180452461151938	-0.3145783077447662	65
scanvi_k03	compartment	-0.5423654985445668	0.0027821107729571067	0.5057550278396649	-0.7639430716016492	-0.2063775179094636	65
scanvi_k04	all_cells	-0.5750706407559907	1.851848079982529e-06	0.0	-0.7279219649934369	-0.3677679876858485	65
scanvi_k04	compartment	-0.516616252526221	0.006150814923924164	0.5310174195435751	-0.753382064455816	-0.16127492446156289	65
scanvi_k05	all_cells	-0.53301631103263	1.5120423744156216e-05	0.0	-0.6980954317939002	-0.31413124156098665	65
scanvi_k05	compartment	-0.5166194891277458	0.0006984032127987621	0.2981565990675495	-0.7173906966022282	-0.23661657911017825	65
scanvi_k06	all_cells	-0.520958849901937	2.6063127628871828e-05	0.0	-0.689436818696241	-0.2990064629066457	65
scanvi_k06	compartment	-0.5397700233982617	2.1179516991062155e-05	0.05293360979171281	-0.7075035264287021	-0.3144666046821007	65
scanvi_k07	all_cells	-0.5279429539689166	1.9068507487247352e-05	0.0	-0.694458065088028	-0.3077536962231795	65
scanvi_k07	compartment	-0.5365560550559791	1.2827996120165094e-05	0.0	-0.700628231260227	-0.31859266468234404	65
scanvi_k08	all_cells	-0.4994559347419927	6.50419618669679e-05	0.0	-0.6738748774716212	-0.2723073481508414	65
scanvi_k08	compartment	-0.5278885049132535	9.263727232394074e-05	0.13852020674819313	-0.7072390349351623	-0.2846994881608081	65
scanvi_k09	all_cells	-0.48250173844461874	0.00038504562577064557	0.11870720166213086	-0.6733099277562585	-0.23143640724289263	65
scanvi_k09	compartment	-0.5156211926357256	0.00039737176164835445	0.2372665531383482	-0.709404908785915	-0.24935838541970412	65
scanvi_k10	all_cells	-0.4783764898418051	0.0007636874250170081	0.18186680917281667	-0.6773565831937453	-0.2141725238055237	65
scanvi_k10	compartment	-0.5349719848118945	0.0001831255411401541	0.2249885141873275	-0.7210809992478452	-0.27685847521797013	65
scanvi_k11	all_cells	-0.4878516439279987	0.0003555630875892728	0.1296648342555899	-0.6782733366296124	-0.2360292883657007	65
scanvi_k11	compartment	-0.5363310416730767	8.974734126644804e-05	0.1647223745218388	-0.7156808682197828	-0.29062389225151175	65
scanvi_k12	all_cells	-0.4754708762280941	0.0005552117388761762	0.13416719777319355	-0.6699631288721208	-0.2199040480720975	65
scanvi_k12	compartment	-0.526182235279103	0.00022091221876013306	0.21399532243313482	-0.7139439784914726	-0.267825176480279	65
scanvi_k13	all_cells	-0.48392275337076185	0.0005730931221467766	0.16855223102211322	-0.679740681179308	-0.2237080119305426	65
scanvi_k13	compartment	-0.5303777212475366	0.00018681582435667166	0.2118958732141514	-0.7165577826060485	-0.27365195656371594	65
scanvi_k14	all_cells	-0.4712799664058724	0.001367047541460434	0.22704367670424336	-0.6777771472298555	-0.19587383878558368	65
scanvi_k14	compartment	-0.5170717815777447	0.0020794317213134956	0.41442770473400115	-0.7337059430601848	-0.2050145726049124	65
scanvi_k15	all_cells	-0.43613761642532006	0.00530381665322608	0.29073863000743455	-0.6618384427762339	-0.13793936044180882	65
scanvi_k15	compartment	-0.5060306207300364	0.007424084300132516	0.5288774830380517	-0.7466945281233331	-0.14821717451059027	65
scanvi_k16	all_cells	-0.4067337304454343	0.009626652702753735	0.2835896642373452	-0.6401972086932352	-0.10449182143669783	65
scanvi_k16	compartment	-0.443858644455574	0.01438979315825794	0.464873165119688	-0.6957703810527229	-0.09471234846770718	65
scanvi_k17	all_cells	-0.3944292015864039	0.015788239814152255	0.32862008009106786	-0.6385188946385432	-0.07823960573846901	65
scanvi_k17	compartment	-0.4451383708588795	0.02083228214475201	0.5240383162768177	-0.7086893022629435	-0.07256806126855246	65
scanvi_k18	all_cells	-0.3900291478074198	0.022055361615245416	0.3770529269324441	-0.6436682945801894	-0.05918769499470186	65
scanvi_k18	compartment	-0.44269487000439395	0.020428914234874626	0.5151158243905958	-0.7052351369826911	-0.07338286765741754	65
scanvi_k19	all_cells	-0.3632019806017336	0.03906482071457339	0.4055499117492895	-0.6303821646674842	-0.01908670201458529	65
scanvi_k19	compartment	-0.42265597054747683	0.02975215468717714	0.5256906112092682	-0.6950048993149627	-0.04424098205080261	65
scanvi_k20	all_cells	-0.3548777897820752	0.04804438983347612	0.4247956036882368	-0.6284444134412005	-0.003185749257468564	65
scanvi_k20	compartment	-0.4336997645180482	0.028754562784328253	0.5468253076197855	-0.706776595512239	-0.0481384814971542	65
scanvi_antimode	all_cells	-0.5635212345963567	1.264190064454865e-05	0.09699382498797533	-0.7279569452563395	-0.3377837197573052	65
scanvi_antimode	compartment	-0.5806319753558477	0.00018196793253913112	0.3596664408618569	-0.7661034985514767	-0.30589018641557864	65
