score	outcome	dataset	n	rho
seed_k11	compartment	GSE131907	21	-0.6033965608092174
seed_k11	compartment	GSE205335	22	-0.6759563566144124
seed_k11	compartment	GSE189357	9	-0.5333333333333333
seed_k12	all_cells	GSE123902	13	-0.6098901098901099
seed_k12	all_cells	GSE131907	21	-0.596823613523714
seed_k12	all_cells	GSE205335	22	-0.6174492097814003
seed_k12	all_cells	GSE189357	9	-0.2833333333333333
seed_k12	compartment	GSE123902	13	-0.5054945054945055
seed_k12	compartment	GSE131907	21	-0.6112840975518217
seed_k12	compartment	GSE205335	22	-0.6532351345433398
seed_k12	compartment	GSE189357	9	-0.5666666666666667
seed_k13	all_cells	GSE123902	13	-0.532967032967033
seed_k13	all_cells	GSE131907	21	-0.6018817778398986
seed_k13	all_cells	GSE205335	22	-0.6378983096453658
seed_k13	all_cells	GSE189357	9	-0.2833333333333333
seed_k13	compartment	GSE123902	13	-0.42857142857142855
seed_k13	compartment	GSE131907	21	-0.6189657584336076
seed_k13	compartment	GSE205335	22	-0.6634596844753226
seed_k13	compartment	GSE189357	9	-0.5666666666666667
seed_k14	all_cells	GSE123902	13	-0.4945054945054945
seed_k14	all_cells	GSE131907	21	-0.5979393207798119
seed_k14	all_cells	GSE205335	22	-0.6351311485988022
seed_k14	all_cells	GSE189357	9	-0.2761530448893886
seed_k14	compartment	GSE123902	13	-0.37362637362637363
seed_k14	compartment	GSE131907	21	-0.6268506725537809
seed_k14	compartment	GSE205335	22	-0.6617601976479938
seed_k14	compartment	GSE189357	9	-0.5355695416036628
seed_k15	all_cells	GSE123902	13	-0.3956043956043956
seed_k15	all_cells	GSE131907	21	-0.569668110605749
seed_k15	all_cells	GSE205335	22	-0.6089912785462032
seed_k15	all_cells	GSE189357	9	-0.3949719292035284
seed_k15	compartment	GSE123902	13	-0.27472527472527475
seed_k15	compartment	GSE131907	21	-0.5977917945966184
seed_k15	compartment	GSE205335	22	-0.6350020481034226
seed_k15	compartment	GSE189357	9	-0.5462377744304117
seed_k16	all_cells	GSE123902	13	-0.34065934065934067
seed_k16	all_cells	GSE131907	21	-0.5379378359747494
seed_k16	all_cells	GSE205335	22	-0.6001139861089049
seed_k16	all_cells	GSE189357	9	-0.4166666666666667
seed_k16	compartment	GSE123902	13	-0.21428571428571427
seed_k16	compartment	GSE131907	21	-0.5542192474751958
seed_k16	compartment	GSE205335	22	-0.6165167246547656
seed_k16	compartment	GSE189357	9	-0.5
seed_k17	all_cells	GSE123902	13	-0.31868131868131866
seed_k17	all_cells	GSE131907	21	-0.5400140410179354
seed_k17	all_cells	GSE205335	22	-0.578456896892076
seed_k17	all_cells	GSE189357	9	-0.4
seed_k17	compartment	GSE123902	13	-0.1813186813186813
seed_k17	compartment	GSE131907	21	-0.5536770468750157
seed_k17	compartment	GSE205335	22	-0.611253084594657
seed_k17	compartment	GSE189357	9	-0.4666666666666667
seed_k18	all_cells	GSE123902	13	-0.2967032967032967
seed_k18	all_cells	GSE131907	21	-0.606435127360875
seed_k18	all_cells	GSE205335	22	-0.5681179436428876
seed_k18	all_cells	GSE189357	9	-0.42678197846541877
seed_k18	compartment	GSE123902	13	-0.15934065934065933
seed_k18	compartment	GSE131907	21	-0.617484856369594
seed_k18	compartment	GSE205335	22	-0.6054271817328682
seed_k18	compartment	GSE189357	9	-0.510464719340991
seed_k19	all_cells	GSE123902	13	-0.2967032967032967
seed_k19	all_cells	GSE131907	21	-0.5802470360716872
seed_k19	all_cells	GSE205335	22	-0.5615820105305077
seed_k19	all_cells	GSE189357	9	-0.2510482226267169
seed_k19	compartment	GSE123902	13	-0.15934065934065933
seed_k19	compartment	GSE131907	21	-0.5847954450890465
seed_k19	compartment	GSE205335	22	-0.5966102647084669
seed_k19	compartment	GSE189357	9	-0.4937281711658766
seed_k20	all_cells	GSE123902	13	-0.25274725274725274
seed_k20	all_cells	GSE131907	21	-0.5620534000022502
seed_k20	all_cells	GSE205335	22	-0.5515684377916262
seed_k20	all_cells	GSE189357	9	-0.2510482226267169
seed_k20	compartment	GSE123902	13	-0.11538461538461539
seed_k20	compartment	GSE131907	21	-0.5679013544531406
seed_k20	compartment	GSE205335	22	-0.5877368599418968
seed_k20	compartment	GSE189357	9	-0.4937281711658766
seed_antimode	all_cells	GSE123902	13	-0.8076923076923077
seed_antimode	all_cells	GSE131907	21	-0.31820693019939267
seed_antimode	all_cells	GSE205335	22	-0.7388411096493034
seed_antimode	all_cells	GSE189357	9	-0.2833333333333333
seed_antimode	compartment	GSE123902	13	-0.7637362637362637
seed_antimode	compartment	GSE131907	21	-0.517086261574013
seed_antimode	compartment	GSE205335	22	-0.8022192882977367
seed_antimode	compartment	GSE189357	9	-0.8666666666666667
scanvi_k01	all_cells	GSE123902	13	-0.5837175200024016
scanvi_k01	all_cells	GSE131907	21	-0.06931623127792866
scanvi_k01	all_cells	GSE205335	22	-0.6549069585831739
scanvi_k01	all_cells	GSE189357	9	-0.8645309671165333
scanvi_k01	compartment	GSE123902	13	-0.5114752526753717
scanvi_k01	compartment	GSE131907	21	-0.30712422473913004
scanvi_k01	compartment	GSE205335	22	-0.728381502523159
scanvi_k01	compartment	GSE189357	9	-0.33903175181040524
scanvi_k02	all_cells	GSE123902	13	-0.5193449429032402
scanvi_k02	all_cells	GSE131907	21	-0.19861700468679758
scanvi_k02	all_cells	GSE205335	22	-0.6649392403977151
scanvi_k02	all_cells	GSE189357	9	-0.619252282479235
scanvi_k02	compartment	GSE123902	13	-0.44199569608786393
scanvi_k02	compartment	GSE131907	21	-0.3581618117302907
scanvi_k02	compartment	GSE205335	22	-0.739592993236101
scanvi_k02	compartment	GSE189357	9	-0.22594340036404523
scanvi_k03	all_cells	GSE123902	13	-0.35912150307138946
scanvi_k03	all_cells	GSE131907	21	-0.38055598424260406
scanvi_k03	all_cells	GSE205335	22	-0.7334268881403233
scanvi_k03	all_cells	GSE189357	9	-0.5833333333333334
scanvi_k03	compartment	GSE123902	13	-0.26519741765271837
scanvi_k03	compartment	GSE131907	21	-0.552815227109995
scanvi_k03	compartment	GSE205335	22	-0.7893178951681239
scanvi_k03	compartment	GSE189357	9	-0.18333333333333332
scanvi_k04	all_cells	GSE123902	13	-0.30387204106040644
scanvi_k04	all_cells	GSE131907	21	-0.5355299089761504
scanvi_k04	all_cells	GSE205335	22	-0.71652379798271
scanvi_k04	all_cells	GSE189357	9	-0.55
scanvi_k04	compartment	GSE123902	13	-0.19889806323953876
scanvi_k04	compartment	GSE131907	21	-0.5836519803860741
scanvi_k04	compartment	GSE205335	22	-0.7690080252234818
scanvi_k04	compartment	GSE189357	9	-0.1
scanvi_k05	all_cells	GSE123902	13	-0.3493813484042632
scanvi_k05	all_cells	GSE131907	21	-0.4652399058677215
scanvi_k05	all_cells	GSE205335	22	-0.679817146705494
scanvi_k05	all_cells	GSE189357	9	-0.4666666666666667
scanvi_k05	compartment	GSE123902	13	-0.20907860219467722
scanvi_k05	compartment	GSE131907	21	-0.5160933076907812
scanvi_k05	compartment	GSE205335	22	-0.7322862553438375
scanvi_k05	compartment	GSE189357	9	-0.26666666666666666
scanvi_k06	all_cells	GSE123902	13	-0.3493813484042632
scanvi_k06	all_cells	GSE131907	21	-0.4755583010737798
scanvi_k06	all_cells	GSE205335	22	-0.6615670219617223
scanvi_k06	all_cells	GSE189357	9	-0.4
scanvi_k06	compartment	GSE123902	13	-0.2310868761099064
scanvi_k06	compartment	GSE131907	21	-0.5256170696078618
scanvi_k06	compartment	GSE205335	22	-0.7117548650070944
scanvi_k06	compartment	GSE189357	9	-0.38333333333333336
scanvi_k07	all_cells	GSE123902	13	-0.36813186813186816
scanvi_k07	all_cells	GSE131907	21	-0.4742053613836695
scanvi_k07	all_cells	GSE205335	22	-0.6566233212405249
scanvi_k07	all_cells	GSE189357	9	-0.4666666666666667
scanvi_k07	compartment	GSE123902	13	-0.25824175824175827
scanvi_k07	compartment	GSE131907	21	-0.5161464917770896
scanvi_k07	compartment	GSE205335	22	-0.704543702634273
scanvi_k07	compartment	GSE189357	9	-0.35
scanvi_k08	all_cells	GSE123902	13	-0.3131868131868132
scanvi_k08	all_cells	GSE131907	21	-0.49297907787562084
scanvi_k08	all_cells	GSE205335	22	-0.6672452840547531
scanvi_k08	all_cells	GSE189357	9	-0.13333333333333333
scanvi_k08	compartment	GSE123902	13	-0.19230769230769232
scanvi_k08	compartment	GSE131907	21	-0.5214711482367118
scanvi_k08	compartment	GSE205335	22	-0.7115390135494517
scanvi_k08	compartment	GSE189357	9	-0.38333333333333336
scanvi_k09	all_cells	GSE123902	13	-0.19230769230769232
scanvi_k09	all_cells	GSE131907	21	-0.5514702772537402
scanvi_k09	all_cells	GSE205335	22	-0.6481228595773484
scanvi_k09	all_cells	GSE189357	9	-0.11666666666666667
scanvi_k09	compartment	GSE123902	13	-0.06593406593406594
scanvi_k09	compartment	GSE131907	21	-0.5409535615969346
scanvi_k09	compartment	GSE205335	22	-0.6856128759946184
scanvi_k09	compartment	GSE189357	9	-0.5333333333333333
scanvi_k10	all_cells	GSE123902	13	-0.19230769230769232
scanvi_k10	all_cells	GSE131907	21	-0.5805955708413146
scanvi_k10	all_cells	GSE205335	22	-0.6365803944045773
scanvi_k10	all_cells	GSE189357	9	-0.06666666666666667
scanvi_k10	compartment	GSE123902	13	-0.06593406593406594
scanvi_k10	compartment	GSE131907	21	-0.6113252913700779
scanvi_k10	compartment	GSE205335	22	-0.6672452840547531
scanvi_k10	compartment	GSE189357	9	-0.55
scanvi_k11	all_cells	GSE123902	13	-0.22527472527472528
scanvi_k11	all_cells	GSE131907	21	-0.5794786980444243
scanvi_k11	all_cells	GSE205335	22	-0.6377161310582875
scanvi_k11	all_cells	GSE189357	9	-0.06666666666666667
scanvi_k11	compartment	GSE123902	13	-0.09340659340659341
scanvi_k11	compartment	GSE131907	21	-0.6036781470598236
scanvi_k11	compartment	GSE205335	22	-0.6706524940158838
scanvi_k11	compartment	GSE189357	9	-0.5166666666666667
scanvi_k12	all_cells	GSE123902	13	-0.17032967032967034
scanvi_k12	all_cells	GSE131907	21	-0.5781706197192676
scanvi_k12	all_cells	GSE205335	22	-0.6240872912137649
scanvi_k12	all_cells	GSE189357	9	-0.1
scanvi_k12	compartment	GSE123902	13	-0.054945054945054944
scanvi_k12	compartment	GSE131907	21	-0.6010619904095101
scanvi_k12	compartment	GSE205335	22	-0.6581593908250715
scanvi_k12	compartment	GSE189357	9	-0.55
scanvi_k13	all_cells	GSE123902	13	-0.18681318681318682
scanvi_k13	all_cells	GSE131907	21	-0.5766726277950895
scanvi_k13	all_cells	GSE205335	22	-0.6445305509805488
scanvi_k13	all_cells	GSE189357	9	-0.1
scanvi_k13	compartment	GSE123902	13	-0.06593406593406594
scanvi_k13	compartment	GSE131907	21	-0.5956335191851775
scanvi_k13	compartment	GSE205335	22	-0.6683810207084634
scanvi_k13	compartment	GSE189357	9	-0.55
scanvi_k14	all_cells	GSE123902	13	-0.08791208791208792
scanvi_k14	all_cells	GSE131907	21	-0.5727496847488645
scanvi_k14	all_cells	GSE205335	22	-0.6421316789970337
scanvi_k14	all_cells	GSE189357	9	-0.2
scanvi_k14	compartment	GSE123902	13	0.038461538461538464
scanvi_k14	compartment	GSE131907	21	-0.6034794052776277
scanvi_k14	compartment	GSE205335	22	-0.6659143337747017
scanvi_k14	compartment	GSE189357	9	-0.6166666666666667
scanvi_k15	all_cells	GSE123902	13	0.0
scanvi_k15	all_cells	GSE131907	21	-0.5727496847488645
scanvi_k15	all_cells	GSE205335	22	-0.6065577647052919
scanvi_k15	all_cells	GSE189357	9	-0.2
scanvi_k15	compartment	GSE123902	13	0.12637362637362637
scanvi_k15	compartment	GSE131907	21	-0.6034794052776277
scanvi_k15	compartment	GSE205335	22	-0.6303000071261887
scanvi_k15	compartment	GSE189357	9	-0.7166666666666667
scanvi_k16	all_cells	GSE123902	13	0.038461538461538464
scanvi_k16	all_cells	GSE131907	21	-0.5320332236546703
scanvi_k16	all_cells	GSE205335	22	-0.592488021367161
scanvi_k16	all_cells	GSE189357	9	-0.18333333333333332
scanvi_k16	compartment	GSE123902	13	0.15934065934065933
scanvi_k16	compartment	GSE131907	21	-0.5482934077516957
scanvi_k16	compartment	GSE205335	22	-0.613950885820881
scanvi_k16	compartment	GSE189357	9	-0.5666666666666667
scanvi_k17	all_cells	GSE123902	13	0.08241758241758242
scanvi_k17	all_cells	GSE131907	21	-0.5424397414767665
scanvi_k17	all_cells	GSE205335	22	-0.5766732791381044
scanvi_k17	all_cells	GSE189357	9	-0.2
scanvi_k17	compartment	GSE123902	13	0.1978021978021978
scanvi_k17	compartment	GSE131907	21	-0.5560982961182679
scanvi_k17	compartment	GSE205335	22	-0.6094323880411504
scanvi_k17	compartment	GSE189357	9	-0.6166666666666667
scanvi_k18	all_cells	GSE123902	13	0.07692307692307693
scanvi_k18	all_cells	GSE131907	21	-0.5620534000022502
scanvi_k18	all_cells	GSE205335	22	-0.5766732791381044
scanvi_k18	all_cells	GSE189357	9	-0.13333333333333333
scanvi_k18	compartment	GSE123902	13	0.19230769230769232
scanvi_k18	compartment	GSE131907	21	-0.575698627054328
scanvi_k18	compartment	GSE205335	22	-0.6083027635962178
scanvi_k18	compartment	GSE189357	9	-0.5666666666666667
scanvi_k19	all_cells	GSE123902	13	0.13186813186813187
scanvi_k19	all_cells	GSE131907	21	-0.5591682231060718
scanvi_k19	all_cells	GSE205335	22	-0.5451978271246881
scanvi_k19	all_cells	GSE189357	9	-0.13333333333333333
scanvi_k19	compartment	GSE123902	13	0.22527472527472528
scanvi_k19	compartment	GSE131907	21	-0.5650199835804377
scanvi_k19	compartment	GSE205335	22	-0.5841808841937072
scanvi_k19	compartment	GSE189357	9	-0.5666666666666667
scanvi_k20	all_cells	GSE123902	13	0.13736263736263737
scanvi_k20	all_cells	GSE131907	21	-0.5628861953853352
scanvi_k20	all_cells	GSE205335	22	-0.5393956724553278
scanvi_k20	all_cells	GSE189357	9	-0.1
scanvi_k20	compartment	GSE123902	13	0.23076923076923078
scanvi_k20	compartment	GSE131907	21	-0.5687360519193629
scanvi_k20	compartment	GSE205335	22	-0.5766732791381044
scanvi_k20	compartment	GSE189357	9	-0.6333333333333333
scanvi_antimode	all_cells	GSE123902	13	-0.46962042709335544
scanvi_antimode	all_cells	GSE131907	21	-0.3427113570796141
scanvi_antimode	all_cells	GSE205335	22	-0.7307858162546589
scanvi_antimode	all_cells	GSE189357	9	-0.65
scanvi_antimode	compartment	GSE123902	13	-0.38674623407688097
scanvi_antimode	compartment	GSE131907	21	-0.5175483022263246
scanvi_antimode	compartment	GSE205335	22	-0.7923977351894779
scanvi_antimode	compartment	GSE189357	9	-0.31666666666666665
