accession	title	taxon	n_samples	gdstype	pdat	is_human	is_lung	is_ici	is_blood_compartment	mentions_tumor	mentions_response	looks_gene_expression	looks_non_gene_assay	suppl_n	suppl_error
GSE305086	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	Homo sapiens	173	Expression profiling by array	2026/08/03	False	True	True	True	True	True	True	False	4	
GSE306542	Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer	Homo sapiens	2	Expression profiling by high throughput sequencing	2026/04/02	False	True	True	True	True	True	True	False	3	
GSE306693	ImmuniT Platform for Improved Neoantigen Prediction in Lung Cancer	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2025/08/28	False	True	True	True	True	True	True	False	11	
GSE307029	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	Homo sapiens	80	Methylation profiling by genome tiling array	2026/05/15	False	True	True	True	True	True	True	False	4	
GSE308745	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]	Homo sapiens	87	Expression profiling by high throughput sequencing; Other	2026/02/05	False	True	True	True	True	True	True	False	4	
GSE309446	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	Homo sapiens	32	Other	2025/12/17	False	True	True	False	False	True	False	False	4	
GSE309652	Clinically relevant metabolic subtypes of lung cancer for immunotherapy	Homo sapiens	72	Expression profiling by array	2025/09/30	False	True	True	False	False	True	True	False	3	
GSE310370	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	synthetic construct; Homo sapiens	4	Non-coding RNA profiling by array	2026/04/01	False	True	True	True	True	True	True	False	3	
GSE311200	Comprehensive analysis of the correlation between circulating biomarkers and tumor-immune microenvironment in advanced or recurrence non-small cell lung cancer in various treatment options, i.e., immunotherapy, EGFR TKI, and chemotherapy	Homo sapiens	41	Expression profiling by high throughput sequencing	2026/07/01	False	True	True	True	True	True	True	False	2	
GSE312336	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2026/02/05	False	True	True	True	True	True	True	False	4	
GSE315510	Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy	Homo sapiens	30	Expression profiling by high throughput sequencing	2026/03/25	False	True	True	True	True	False	True	False	3	
GSE317309	Combination of a CCL21-gene modified dendritic cell vaccine and pembrolizumab induces immune responses in non-small cell lung cancer	Mus musculus; Homo sapiens	64	Expression profiling by high throughput sequencing	2026/05/01	False	True	True	False	True	True	True	False	4	
GSE319755	Cytotoxic CD39+ tumor-associated NK cells respond to NKG2A blockade in lung cancer (10x Xenium)	Homo sapiens	3	Other	2026/06/05	False	True	True	False	True	False	False	True	3	
GSE319956	FOXM1 is prevalent in lung cancer and targetable via T cell receptor engineering	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/03/11	False	True	False	False	True	False	True	False	3	
GSE320142	NKG2A inhibition promotes NK cell-CD8+ T cell interactions in support of improved anticancer immunity in ovarian carcinoma	Homo sapiens	4	Other	2026/02/26	False	True	True	False	True	True	True	False	3	
GSE322553	Dendritic cell-mediated antigen presentation regulates tertiary lymphoid structure development in cancer.	Homo sapiens	7	Other	2026/07/16	True	True	True	False	True	True	False	False	3	
GSE327192	Dendritic cell-mediated antigen presentation regulates tertiary lymphoid structure development in cancer [MERFISH]	synthetic construct; Homo sapiens	15	Other	2026/07/16	True	True	True	False	True	True	False	False	3	
GSE328294	IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/06/05	False	True	True	False	True	True	True	False	2	
GSE40689	Beta arrestin1 associated genomic regions in nicotine induced Non-Small Cell Lung Carcinoma (NSCLC) cell line A549	Homo sapiens	3	Genome binding/occupancy profiling by high throughput sequencing	2013/12/16	False	True	False	False	False	True	False	True	3	
GSE44617	Nicotinic acetylcholine receptors and EGF induce c-Kit ligand/Stem Cell Factor (SCF) in a β-arrestin-1 and E2F1 dependent manner in NSCLC	Homo sapiens	4	Expression profiling by array	2013/11/10	True	True	False	False	False	True	True	False	3	
GSE84789	Single-cell profiling of non small cell lung cancer associated B-cells.	Homo sapiens	192	Expression profiling by high throughput sequencing	2016/10/11	False	True	True	False	True	True	True	False	2	
GSE84797	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Homo sapiens	29	Expression profiling by array	2016/10/11	True	True	True	False	True	True	True	False	3	
GSE93157	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	Homo sapiens	65	Expression profiling by array	2017/05/15	False	True	True	False	True	False	True	False	2	
GSE99254	T cell landscape of non-small cell lung cancer revealed by deep single-cell RNA sequencing	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/06/25	False	True	False	True	True	False	True	False	4	
GSE99531	A transcriptionally und functionally distinct PD-1+ CD8+ T cell pool with predictive potential in non-small cell lung cancer treated with PD-1 blockade	Homo sapiens	37	Expression profiling by high throughput sequencing	2018/05/22	True	True	True	False	True	True	True	False	3	
GSE99995	Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ	Homo sapiens	12	Expression profiling by array	2020/01/01	False	True	True	False	True	True	True	False	3	
