accession	title	taxon	n_samples	gdstype	pdat	suppfile	ftp	queries	summary
GSE110390	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab	Homo sapiens	159	Expression profiling by high throughput sequencing	2018/02/14	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110390/	lung_ici_blood	An unmet need in cancer treatment is identification of biomarkers of response to PD-1 or PD-L1 immune checkpoint inhibitors that predict therapeutic outcomes in patients with non–small-cell lung carcinoma (NSCLC) and urothelial cancer (UC). Expression of PD-L1 measured by immunohistochemistry has limited capacity for predicting outcomes of immune checkpoint therapy because expression of this biomarker does not correlate highly with treatment response. In addition, PD-L1 as measured on tumor cells, which has been approved by the FDA for both companion and complementary diagnostic utility, does not necessarily reflect anti-tumor activity of tumor-infiltrating lymphocytes. Results presented in this report demonstrate that gene expression levels of four interferon gamma (IFNγ)-inducible mRNAs correlate with improved clinical outcomes in patients with NSCLC or UC treated with the PD-L1 inhibitor durvalumab. This IFNγ gene signature may augment the predictive value of PD-L1 and other biomarkers in identifying cancer patients most likely to respond to therapy with durvalumab or other immune checkpoint inhibitors.
GSE111414	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	Homo sapiens	20	Expression profiling by high throughput sequencing	2021/03/01	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111414/	lung_ici_blood;lung_ici_pbmc;named_accessions	Adaptive immune escape of tumor cells by upregulation of ligands for programmed death 1 (PD-1) has been identified as an important and targetable pathway in many cancer types. Many clinical trials have demonstrated that targeting PD-1 or its ligand PD-L1 with immune checkpoint inhibitors (ICI) can restore anti-tumor immunity and induce durable remission. In patients with non-small cell lung cancer (NSCLC), several trials have demonstrated a survival benefit with ICI in patients with metastatic and locally advanced NSCLC.Yet, most patients have primary resistance to PD-1 or PD-L1 blockade during treatment: approximately 20% of unselected patients with NSCLC achieve a partial response while 40-50% have progressive disease as best response. Understanding mechanisms of primary resistance to PD-(L)1 blockade is important in the search for potentially targetable pathways and may ultimately allow discrimination between patients that benefit from PD-(L)1 blockade and those requiring combination or other approaches. We collected PBMCs and serum samples  from 35 patients with NSCLC before and during PD-1 blockade treatment with nivolumab. We analyzed differentially expressed genes in CD8+ T cells from the peripheral blood of 5 patients with partial response and 5 patients with primary progressive disease to identify mechanisms of resistance to PD-1 therapy. Cells were collected from samples taken before and after 4 weeks of treatment.
GSE115821	Robust prediction of response to immune checkpoint blockade therapy in metastatic melanoma	Homo sapiens	37	Expression profiling by high throughput sequencing	2018/08/20	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115821/	named_accessions	Immune checkpoint blockade (ICB) therapy provides remarkable clinical gains, where melanoma is at the forefront of its success. However, only a subset of patients with advanced tumors currently benefit from these therapies, which at times incur considerable side-effects and costs. Constructing such predictors of patient’s response has remained a serious challenge due to the complexity of the immune response and the shortage of large ICB-treated patient cohorts including both omics and response data. Here we build IMPRES, a predictor of ICB-response in melanoma which encompasses 15 pairwise transcriptomics relations between immune checkpoint genes. It is based on two key conjectures: (a) immune mechanisms underlining spontaneous regression in neuroblastoma can predict ICB response in melanoma, and (b) key immune interactions can be captured via specific pairwise relations of immune checkpoint genes’ expression. IMPRES is validated on 9 published datasets1–6 and on a newly generated dataset of 31 tumor samples treated with anti-PD-1 and 10 tumor samples treated with anti-CTLA-4 (some of these are treated with both antibodies), spanning 297 samples in total. It achieves an overall accuracy of AUC=0.83, outperforming existing predictors, capturing almost all true responders while misclassifying less than half of the non-responders.  Future studies are warranted to determine the value of the approach presented here in other cancer types.
GSE117570	Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC	Homo sapiens	8	Expression profiling by high throughput sequencing	2019/04/30	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117570/	lung_ici_blood	Comparing the relative proportions of immune cells in tumor and adjacent normal tissue from NSCLC patients demonstrates the early changes of tumor immunity and provides insights to guide immunotherapy design. We mapped the immune ecosystem using computational deconvolution of bulk transcriptome data from the Cancer Genome Atlas (TCGA) and single cell RNA sequencing (scRNA-seq) data of dissociated tumors from early-stage non-small cell lung cancer (NSCLC) to investigate early immune landscape changes occurring during tumorigenesis. Computational deconvolution of immune infiltrates in 44 NSCLC and matching adjacent normal samples from TCGA showed heterogeneous patterns of alterations in immune cells. The scRNA-seq analyses of 11,485 cells from 4 treatment-naïve NSCLC patients comparing tumor to adjacent normal tissues showed diverse changes of immune cell compositions. Notably, CD8+ T cells and NK cells are present at low levels in adjacent normal tissues, and are further decreased within tumors. Myeloid cells exhibited marked dynamic reprogramming activities, which were delineated with differentiation paths through trajectory analysis. A common differentiation path from CD14+ monocytes to M2 macrophages was identified among the 4 cases, accompanied by up-regulated genes (e.g. ALCAM/CD166, CD59, IL13RA1, IL7R) with enriched functions (adipogenesis, lysosome), and down-regulated genes (e.g. CXCL2, IL1B, IL6R) with enriched functions (TNFa signaling via NF-kB, inflammatory response). Computational deconvolution and single cell sequencing analyses have revealed a highly dynamic immune reprogramming that occurs in early stage NSCLC development, suggesting that normalizing both immune compartments may represent a viable strategy for treatment of early stage cancer and prevention of progression.
GSE124199	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/12/21	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124199/	lung_ici_blood	Lung adenocarcinoma (LUAD)-derived oncogenic Wnts increase cancer cell proliferative/stemness potential, but whether they also impact the immune microenvironment is unknown. Here we show that LUAD cells use paracrine Wnt1 signaling to induce immune resistance. Wnt1 correlated strongly with tolerogenic genes on the TCGA expression data. In another cohort, Wnt1 was inversely associated with T cell abundance. Altering Wnt1 expression profoundly affected growth of murine lung adenocarcinomas  and this was strongly dependent on conventional dendritic cells and T cells. Mechanistically, Wnt1 lead to transcriptional silencing of CC/CXC chemokines in dendritic cells and T cell cross-tolerance. Wnt-target genes were up-regulated in human intratumoral dendritic cells and decreased upon silencing Wnt1, accompanied by enhanced T cell cytotoxicity. siWnt1-loaded nanoparticles as single therapy or part of combinatorial immunotherapies acted at both arms of the cancer-immune ecosystem to halt tumor growth. Collectively, our studies show that Wnt1 enhances adaptive immune rejection of lung adenocarcinomas and highlight its potential targeting as a novel therapeutic strategy 
GSE127471	High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq]	Homo sapiens	1	Expression profiling by high throughput sequencing	2019/05/06	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127471/	lung_ici_blood	Tissue composition is a major determinant of phenotypic variation and a key factor influencing disease outcomes. Although scRNA-Seq has emerged as a powerful technique for characterizing cellular heterogeneity, it is currently impractical for large sample cohorts and cannot be applied to fixed specimens collected as part of routine clinical care. To overcome these challenges, we extended Cell type Identification By Estimating Relative Subsets Of RNA Transcripts (CIBERSORT) into a new platform for in silico cytometry. Our approach enables the simultaneous inference of cell type abundance and cell type-specific gene expression profiles (GEPs) from bulk tissue transcriptomes. The utility of this integrated framework, called CIBERSORTx, is demonstrated in multiple tumor types, including melanoma, where single cell reference profiles are used to dissect primary clinical specimens, revealing cell type-specific signatures of driver mutations and immunotherapy response. We anticipate that digital cytometry will augment single cell profiling efforts, enabling cost-effective, high throughput tissue characterization without the need for antibodies, disaggregation, or viable cells.
GSE128822	High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression	Homo sapiens	10	Expression profiling by high throughput sequencing	2020/03/03	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128822/	lung_ici_blood	Anti-tumor immune responses are counteracted by CD4+ regulatory T (Treg) cells in the tumor micronenvironment, but the molecular mechanisms responsible for the enhanced suppressive activity of Tregs are poorly defined. High-dimensional single cell profiling of millions of single CD4+ and CD8+ T cells from 53 chemotherapy-na‹ve individuals with lung adenocarcinoma identified the transcription factor IRF4 as constitutively expressed by effector CD4+ Tregs present exclusively in tumors. These IRF4+, but not the quiescent IRF4_ÿTregs expressed a vast array of suppressive molecules, positively correlated with multiple inhibitory and exhausted subpopulations of T cells and were more abundant in rapidly progressing patients. Integration of transcriptomic data and whole genome binding sites of transcription factors further revealed that IRF4, either alone or in combination with its partner BATF, directly controlled a molecular program responsible for Treg hyperproliferation and suppressive functions that included CTLA-4, ICOS, TNFRSF9 (4-1BB) and IL1R2, previously shown to impact survival in lung cancer. Thus, interfering with the IRF4-dependent molecular program may represent a novel immunotherapeutic approach capable to block immunosuppression in the tumor microenvironment without inducing autoimmunity in peripheral tissues.ÿ
GSE129968	EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer	Homo sapiens	12	Other	2020/02/01	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129968/	lung_ici_blood	Cancer cells express high levels of PD-L1, a ligand of the PD-1 receptor on T  cells, allowing tumors to suppress T cell activity 1-3. Clinical trials utilizing  monoclonal antibodies that disrupt the PD-1/PD-L1 immune checkpoint have  yielded remarkable results, with PD-1 immunotherapy approved as a first-line  therapy for human lung cancer patients 4-6. Despite significant progress in  targeting this pathway, the mechanisms through which PD-L1 is upregulated in  non-small cell lung cancer (NSCLC) and other tumor types remain incompletely  understood. Here we used CRISPR-based screening to identify regulators of PDL1  in human lung cancer cells, revealing potent induction of PD-L1 levels upon  disruption of the heme biosynthesis pathway. Impairment of heme production  activates the integrated stress response (ISR), allowing bypass of inhibitory  upstream open reading frames in the PD-L1 5¢ UTR, resulting in enhanced PD-L1  translation and suppression of anti-tumor immunity. We further demonstrated  that ISR-dependent translation of PD-L1 requires the translation initiation factor  EIF5B. EIF5B overexpression, which is frequent in human lung cancers and is  associated with poor prognosis, is sufficient to induce PD-L1. These findings  uncover a new mechanism of immune checkpoint activation and suggest novel  targets for therapeutic intervention.
GSE135164	Genome-wide profiling of non-small cell lung cancer derived cells	Homo sapiens	15	Expression profiling by high throughput sequencing	2019/12/31	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135164/	lung_ici_blood	We established patient-derived cancer cell (PDC) cultures from metastatic non-small cell lung cancer, including two pairs of matched EGFR-mutant PDCs pre-treatment and after resistance to tyrosine-kinase inhibitors (TKIs), and then performed whole-exome and RNA sequencing to delineate their genomic architecture. For validation, we analyzed independent cohorts of primary NSCLC.
GSE136961	Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer	Homo sapiens	21	Expression profiling by high throughput sequencing	2020/02/03	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136961/	lung_ici_blood;named_accessions	Immune checkpoint blockade is promising for treating non-small-cell lung cancer (NSCLC). We used multipanel markers to predict the response to immune checkpoint inhibitors (ICIs) by characterizing gene expression signatures or individual genes in patients who showed durable clinical benefit to ICIs. Twenty-one patients with NSCLC treated with single-agent anti-programmed cell death protein (PD)-1 antibody were analyzed and their clinicopathological characteristics and response to ICIs were characterized. Targeted sequencing of tissue-extracted DNA and RNA was performed using the Oncomine Immune Response Research Assay to evaluate 395 genes involved in the immune response and calculate the tumor mutation burden. Nine (43%) showed a durable clinical benefit (DCB), while the remaining 12 (57%) patients showed non-durable benefit (NDB). The M1 and peripheral T cell signatures showed the best performance for discriminating DCB from NDB (sensitivity, specificity, accuracy = 0.89, 1.0, 0.95, respectively). Progression-free survival (PFS) was significantly longer in patients with high M1 signature or high peripheral T cell signature scores. CD137 and PSMB9 mRNA expression was higher in the DCB group than in the NDB group. Patients with high PSMB9 expression showed longer PFS. M1 signature, peripheral T cell signature and high mRNA expression level of CD137 and PSMB9 showed better predictive performance than known biomarkers (PD-L1, tumor infiltrating lymphocytes, tumor mutation burden). M1 and peripheral T cell signature of tumors may enable prediction of durable response and maximize the benefit of ICIs in patients with NSCLC.
GSE138571	In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma	Homo sapiens; Mus musculus	10	Genome binding/occupancy profiling by high throughput sequencing	2019/11/26	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138571/	lung_ici_blood	Despite substantial progress in lung cancer immunotherapy, the overall response rate in KRAS-mutant lung adenocarcinoma (ADC) patients remains low. Combining standard immunotherapy with adjuvant approaches that enhance adaptive immune responsesâ€”such as epigenetic modulation of anti-tumor immunityâ€”is therefore an attractive strategy. To identify epigenetic regulators of tumor immunity, we constructed an epigenetic-focused sgRNA library, and performed an in vivo CRISPR screen in KrasG12D/P53-/- (KP) lung ADC model. Our data showed that loss of the histone chaperone Asf1a in tumor cells sensitizes tumors to anti-PD-1 treatment. Mechanistic studies revealed that tumor cell intrinsic Asf1a deficiency induced immunogenic macrophage differentiation in the tumor microenvironment by upregulating GM-CSF expression and potentiated T cell activation in combination with anti-PD-1. Our results provide a rationale for a novel combination therapy consisting of Asf1a inhibition and anti-PD-1 immunotherapy.
GSE139327	Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection	Homo sapiens	28	Expression profiling by high throughput sequencing	2020/05/26	DIFF	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139327/	named_accessions	The mechanisms by which HIV increases susceptibility to tuberculosis and other respiratory infections are incompletely understood. We used transcriptomics of paired whole bronchoalveolar lavage (BAL) fluid and peripheral blood mononuclear cells to compare the effect of HIV at the lung mucosal surface and in the peripheral blood. The large majority of HIV-induced differentially expressed genes (DEGs) were specific to either the peripheral or lung mucosa compartments (1,307/1,404, 93%). Type I interferon signaling was the dominant signature of DEGs in HIV-positive blood with a less dominant and qualitatively distinct type I interferon gene set expression pattern in HIV-positive BAL. DEGs in the HIV-positive BAL were significantly enriched for infiltration with cytotoxic CD8+ T cells. Higher expression of representative transcripts and proteins in BAL CD8+ T cells during HIV infection, including IFNG (IFN-), GZMB (Granzyme B) and PDCD1 (PD-1), was confirmed by cell-subset specific transcriptional analysis and flow cytometry. Thus, we report that a whole transcriptomic approach revealed qualitatively distinct effects of HIV in blood and bronchoalveolar compartments. Further work exploring the impact of distinct type I interferon programs and CD8+ T cells infiltration of the lung mucosa during HIV infection may provide novel insights into HIV-induced susceptibility to respiratory pathogens.
