dataset	compartment	sample	patient	timepoint	response_raw	gene	value	metric	probe
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	KRT8	0.07205086915594103	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	KRT8	0.15186603298930454	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	KRT8	0.8057234129893833	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	KRT8	0.9808849934740281	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	KRT8	0.5818997368188474	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	KRT8	0.5110121995091699	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	KRT8	0.09200172900037096	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	KRT8	1.8114670167564424	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	KRT8	1.01497602703716	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	KRT8	0.8062125533479728	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	KRT8	0.5485247275253936	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	KRT8	0.10049722079311704	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	KRT8	0.6842732529267841	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	KRT8	0.20032254364250293	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	KRT18	2.4108302185099704	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	KRT18	1.619628408343433	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	KRT18	1.2293363226406722	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	KRT18	0.6192595422027711	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	KRT18	2.466956452962688	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	KRT18	2.1346764219595964	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	KRT18	0.5468473202773523	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	KRT18	0.9168927358568493	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	KRT18	2.8159272163532925	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	KRT18	2.9207337256561794	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	KRT18	1.9599863695113466	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	KRT18	1.8279401191049751	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	KRT18	1.2122333050343275	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	KRT18	2.612281030391782	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	KRT18	1.1033149884023659	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	KRT18	1.0663505856432751	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	KRT18	2.4801705470890463	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	KRT18	0.9544627311445691	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	KRT18	2.454614517234633	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	KRT18	2.0454636490280436	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	PTPRC	9.978899837333932	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	PTPRC	10.904029189863696	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	PTPRC	10.952776253004254	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	PTPRC	11.34498068580764	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	PTPRC	10.343409997205615	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	PTPRC	11.433325417196444	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	PTPRC	10.02407057490754	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	PTPRC	11.002693849822062	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	PTPRC	10.848001428066912	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	PTPRC	10.863343388640653	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	PTPRC	11.357192363245263	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	PTPRC	10.50531631461715	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	PTPRC	9.468431008867425	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	PTPRC	9.59173618312788	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	PTPRC	10.362371376188156	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	PTPRC	9.805681485670961	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	PTPRC	10.081859953859928	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	PTPRC	10.839420825839303	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	PTPRC	10.001690810398115	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	PTPRC	10.972415506934642	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	CD3D	6.465136182517768	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	CD3D	8.790553684792224	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	CD3D	7.866706467596239	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	CD3D	7.348775655973545	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	CD3D	5.818773513723146	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	CD3D	6.671844735598665	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	CD3D	6.841547265600896	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	CD3D	6.237051718449811	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	CD3D	7.325924092079586	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	CD3D	6.960126717175805	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	CD3D	7.442056028272752	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	CD3D	7.223505526557391	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	CD3D	8.517757256313924	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	CD3D	6.562017936638784	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	CD3D	6.587905950776045	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	CD3D	7.009441027409306	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	CD3D	6.79506555720861	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	CD3D	9.05579283598201	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	CD3D	6.739839563135734	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	CD3D	8.503375191598028	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	CD8A	10.546704853116427	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	CD8A	10.741060995152125	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	CD8A	11.513184677824949	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	CD8A	11.23055029764929	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	CD8A	10.005615869056115	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	CD8A	11.152314140879469	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	CD8A	10.79984613101263	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	CD8A	10.875189117586453	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	CD8A	10.827956354947322	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	CD8A	10.504764654701592	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	CD8A	11.13330944852263	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	CD8A	10.761462587449106	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	CD8A	9.894882710454617	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	CD8A	10.278147723542427	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	CD8A	10.369207922520397	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	CD8A	10.383031566735113	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	CD8A	10.497842102515534	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	CD8A	10.835723846025628	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	CD8A	10.43707417338399	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	CD8A	10.376055471861529	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	GZMB	6.953997677160821	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	GZMB	9.402203937038948	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	GZMB	9.403823768034897	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	GZMB	8.912820154057567	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	GZMB	6.32182976401957	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	GZMB	6.98099367861524	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	GZMB	7.994072002247265	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	GZMB	7.702538962148253	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	GZMB	4.4783156089368195	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	GZMB	4.331470803121822	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	GZMB	8.174346510372754	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	GZMB	8.161725059892335	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	GZMB	8.301450979907493	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	GZMB	5.759778434176681	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	GZMB	7.274562140188416	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	GZMB	7.272221201283107	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	GZMB	7.326436640494698	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	GZMB	10.36749225229094	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	GZMB	5.079756514398203	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	GZMB	7.403603251775098	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	PRF1	9.090489283522148	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	PRF1	9.937414383311408	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	PRF1	11.955308553095632	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	PRF1	11.656604557632484	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	PRF1	9.571490161059678	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	PRF1	11.16022960993299	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	PRF1	10.049111975259127	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	PRF1	10.29388864343758	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	PRF1	9.237492257476472	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	PRF1	8.81817860949787	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	PRF1	11.169715558835616	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	PRF1	9.953273560281046	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	PRF1	7.838988454583912	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	PRF1	8.126044266999905	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	PRF1	9.506882617705253	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	PRF1	9.627253432513157	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	PRF1	9.17212103030605	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	PRF1	10.022370848965169	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	PRF1	8.030134582289952	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	PRF1	8.366505964161131	log2CPM	
GSE202417	PBMC_CD8	GSM6122161	Combo1-NR-1	pre-treatment	NR	TACSTD2	10.4855018	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122162	Combo1-NR-2	post-treatment	NR	TACSTD2	11.36793259	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122163	Combo2-NR-1	pre-treatment	NR	TACSTD2	9.712185655	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122164	Combo2-NR-2	post-treatment	NR	TACSTD2	10.26436875	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122165	Combo6-R-1	pre-treatment	R	TACSTD2	7.509641307	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122166	Combo6-R-2	post-treatment	R	TACSTD2	11.78830183	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122167	Combo8-NR-1	pre-treatment	NR	TACSTD2	7.930759312	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122168	Combo8-NR-2	post-treatment	NR	TACSTD2	7.539229033	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122169	Combo9-NR-1	pre-treatment	NR	TACSTD2	6.78997847	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122170	Combo9-NR-2	post-treatment	NR	TACSTD2	10.90097294	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122171	Combo10-R-1	pre-treatment	R	TACSTD2	7.660443929	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122172	Combo10-R-2	post-treatment	R	TACSTD2	9.422618281	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122173	Combo11-R-1	pre-treatment	R	TACSTD2	12.36822016	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122174	Combo11-R-2	post-treatment	R	TACSTD2	15.88683685	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122175	Combo12-R-1	pre-treatment	R	TACSTD2	7.358455581	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122176	Combo12-R-2	post-treatment	R	TACSTD2	16.90453	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122177	Combo13-R-1	pre-treatment	R	TACSTD2	10.58468918	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122178	Combo13-R-2	post-treatment	R	TACSTD2	8.082810364	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122179	Combo14-NR-1	pre-treatment	NR	TACSTD2	11.91394253	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122180	Combo14-NR-2	post-treatment	NR	TACSTD2	11.63324761	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122181	Combo15-NR-1	pre-treatment	NR	TACSTD2	7.777960995	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122182	Combo15-NR-2	post-treatment	NR	TACSTD2	9.217579792	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122183	Combo16-R-1	pre-treatment	R	TACSTD2	7.610124204	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122184	Combo16-R-2	post-treatment	R	TACSTD2	8.904280249	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122185	Combo17-NR-1	pre-treatment	NR	TACSTD2	8.325638974	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122186	Combo17-NR-2	post-treatment	NR	TACSTD2	11.57578398	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122187	Combo18-NR-1	pre-treatment	NR	TACSTD2	11.94105169	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122188	Combo18-NR-2	post-treatment	NR	TACSTD2	10.30614578	array_intensity	TC0100014340.hg.1
GSE202417	PBMC_CD8	GSM6122161	Combo1-NR-1	pre-treatment	NR	CLDN4	7.279977543	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122162	Combo1-NR-2	post-treatment	NR	CLDN4	8.729675337	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122163	Combo2-NR-1	pre-treatment	NR	CLDN4	8.21543519	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122164	Combo2-NR-2	post-treatment	NR	CLDN4	7.870798468	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122165	Combo6-R-1	pre-treatment	R	CLDN4	9.234168128	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122166	Combo6-R-2	post-treatment	R	CLDN4	8.761354944	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122167	Combo8-NR-1	pre-treatment	NR	CLDN4	9.19161901	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122168	Combo8-NR-2	post-treatment	NR	CLDN4	8.815161494	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122169	Combo9-NR-1	pre-treatment	NR	CLDN4	8.164689377	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122170	Combo9-NR-2	post-treatment	NR	CLDN4	7.222924048	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122171	Combo10-R-1	pre-treatment	R	CLDN4	9.59858671	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122172	Combo10-R-2	post-treatment	R	CLDN4	8.654173234	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122173	Combo11-R-1	pre-treatment	R	CLDN4	8.493316427	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122174	Combo11-R-2	post-treatment	R	CLDN4	8.151468576	array_intensity	TC0700007993.hg.1
GSE202417	PBMC_CD8	GSM6122175	Combo12-R-1	pre-treatment	R	CLDN4	10.45212226	array_intensity	TC0700007993.hg.1
