regulon	tf	program	kind	n_targets	elf3_given	n_patients_paired	n_GSE131907	n_GSE205335	delta_median_high_minus_low	p	wilcoxon_stat	delta_GSE131907	p_GSE131907	delta_GSE205335	p_GSE205335	note	targets	n_cells	n_patients	fdr
STAT2_prior	STAT2	IFN	public_prior	79	False	50.0	29.0	21.0	0.0024718628487312728	9.745764195656648e-08	130.0	0.0028650854091718976	2.0489096641540527e-07	0.0014728639491481312	0.017546653747558594	public prior AUCell; not cisTarget; not ChIP	ADAR;ANKRD1;ATP13A1;BST2;CBL;CCL19;CCL2;CFB;CMTR1;CREBBP;CXCL8;DDX60L;DES;DGKE;DHX58;DTX3L;EIF2AK2;EPSTI1;FAM111A;HGF;HLA-E;IFI35;IFIT2;IFIT3;IFNA1;IFNB1;IFNG;IGF1;IGF2;IL12A;IL20RA;IL21;IL27;IL6;IRF1;IRF7;IRF9;ISG15;JUN;JUND;KRT27;MCL1;ME3;MOV10;MSR1;MX1;MYD88;NFKB2;NMBR;NOS2;OAS1;OAS2;OAS3;OASL;P2RY4;PARP10;PARP14;PARP9;PIM1;PML;PSMB8;PTGS2;RCAN1;SAMD9;SAMHD1;SCARB1;SCARB2;SERPINE1;SIRPA;SOCS1;SP110;SP140L;STAT1;TAP2;TGFA;TRIM21;TRIM56;USF1;XAF1			2.7071567210157355e-07
STAT2_priorANDprog	STAT2	IFN	prior_AND_program	36	False	50.0	29.0	21.0	-0.0019551856204756777	0.0008806696990912855	301.0	-0.0014288855139201195	0.0688701830804348	-0.004050756089649525	0.008009910583496094	prior targets ∩ matching program set	ADAR;BST2;CCL2;CFB;CMTR1;DHX58;EIF2AK2;EPSTI1;IFI35;IFIT2;IFIT3;IL6;IRF1;IRF7;IRF9;ISG15;MOV10;MX1;MYD88;OAS1;OAS2;OAS3;OASL;PARP14;PARP9;PIM1;PML;PSMB8;PTGS2;SAMD9;SAMHD1;SOCS1;SP110;STAT1;TRIM21;XAF1			0.0014204349985343313
STAT2_RNA	STAT2	IFN	tf_rna	0	False	50.0	29.0	21.0	0.04540356993675232	9.051156624195755e-08	129.0	0.04196697473526001	1.601874828338623e-07	0.07059444487094879	0.011346817016601562	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				2.6621048894693394e-07
IRF1_prior	IRF1	IFN_MHC	public_prior	169	False	50.0	29.0	21.0	-0.00015657571620369612	0.6947463342363385	596.0	-0.0001791186975909735	1.0	-0.00013403273481641872	0.6332969665527344	public prior AUCell; not cisTarget; not ChIP	ACHE;AGTR2;AKT1;APOL2;BBC3;BCL2;BCL2L2;BIRC3;BIRC5;BLMH;C1R;CAMK4;CASP1;CASP7;CASP8;CASP9;CCL19;CCL2;CCL4;CCL5;CCNB1;CCND1;CCNE1;CCR5;CD200;CD274;CD38;CD40;CD74;CD80;CDK1;CDK2;CDK4;CDKN1A;CEACAM1;CIITA;COL1A2;CREBBP;CSF3;CTNND1;CTSS;CXCL10;CXCL11;CXCL14;CXCL8;CYBB;DDX58;DOT1L;DST;E2F1;EGFR;EIF2AK2;ERAP2;ETV6;FASLG;FGFR1;FOXP3;GABRA6;GAST;GBP2;GBP5;GHRHR;GPT;HLA-A;HLA-E;HLA-G;HSPA4;ICAM1;IDO1;IFI35;IFIT2;IFIT3;IFNA1;IFNA2;IFNA6;IFNB1;IFNG;IFNGR1;IFNL1;IFNL3;IGBP1;IL10;IL12A;IL12B;IL12RB1;IL15;IL17A;IL18;IL18BP;IL1B;IL23A;IL27;IL2RA;IL4;IL5;IL6;IL7;IRF2;IRF8;JUN;KAT2B;KRT79;LCK;LGALS3;LYZ;MAPK8;MC1R;ME3;MKI67;MMP9;MYB;MYD88;NCF2;NOD1;NOS2;NOS3;NPY2R;ODC1;OGN;OPTN;PDGFD;PIGR;PLAAT3;PLAAT4;PMAIP1;POLH;POLR2K;PRKCG;PRL;PSMB10;PSMB9;PTGS2;RSAD2;SAMHD1;SELL;SERPINB6;SLC22A6;SLC26A6;SLPI;SMARCA4;SOCS1;SOCS2;SP1;SPG7;STAT1;TAP1;TAP2;TAPBP;TAT;TERT;TG;TLR2;TLR3;TLR7;TNF;TNFSF10;TNFSF13B;TP53;TP73;TRAF3IP2;TRIM21;TRIM22;TRIM28;TRIM63;UGT1A9;UPP1;VCAM1;XAF1;ZNFX1			0.754204726888671
IRF1_priorANDprog	IRF1	IFN_MHC	prior_AND_program	48	False	50.0	29.0	21.0	-0.0001485566959175174	0.9542249738357711	631.0	-0.00013835224985912775	0.5361509844660759	-0.00039147763982748385	0.47333431243896484	prior targets ∩ matching program set	C1R;CASP1;CASP7;CASP8;CCL2;CCL5;CD274;CD38;CD40;CD74;CDKN1A;CIITA;CXCL10;CXCL11;DDX58;EIF2AK2;GBP2;HLA-A;HLA-G;ICAM1;IDO1;IFI35;IFIT2;IFIT3;IL15;IL18BP;IL6;IL7;IRF2;IRF8;MYD88;NOD1;PSMB10;PSMB9;PTGS2;RSAD2;SAMHD1;SELL;SOCS1;STAT1;TAP1;TAPBP;TNFSF10;TRIM21;UPP1;VCAM1;XAF1;ZNFX1			0.9542249738357711
IRF1_RNA	IRF1	IFN_MHC	tf_rna	0	False	50.0	29.0	21.0	0.12810956686735153	3.348859145546612e-08	116.0	0.09680716693401337	1.601874828338623e-07	0.16886144876480103	0.009016036987304688	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				1.0465184829833163e-07
IRF7_prior	IRF7	IFN	public_prior	28	False	50.0	29.0	21.0	-0.0010665630161961095	0.0008806696990912855	301.0	-0.0011110630590294374	0.01904408261179924	-0.0009484296041512485	0.026330947875976562	public prior AUCell; not cisTarget; not ChIP	ATF4;CCL19;CCL2;CCL3;CCL5;CD80;CXCL10;CYSLTR2;FOXP3;IFNA1;IFNA2;IFNA5;IFNA8;IFNB1;IFNL1;IFNL2;IFNL3;IL12A;IL12B;IL27;IL33;IRF3;ISG15;NR1H4;PMAIP1;PPARGC1A;TAP2;TNFSF10			0.0014204349985343313
IRF7_priorANDprog	IRF7	IFN	prior_AND_program	5	False	50.0	29.0	21.0	-0.0013424992287296728	0.06633200503891068	447.0	-0.0007849433592007869	0.23825867101550102	-0.002112222352083429	0.1789875030517578	prior targets ∩ matching program set	CCL2;CCL5;CXCL10;ISG15;TNFSF10			0.09212778477626483
IRF7_RNA	IRF7	IFN	tf_rna	0	False	50.0	29.0	21.0	0.064019113779068	1.2141019567479816e-07	133.0	0.05635681748390198	1.6652047634124756e-06	0.07726017385721207	0.008009910583496094	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				3.1950051493367937e-07
IRF9_prior	IRF9	IFN	public_prior	35	False	50.0	29.0	21.0	-0.00010262899167099663	0.5984627102635613	582.0	0.0005060761268305602	0.27462591975927353	-0.0019050234430168199	0.06464958190917969	public prior AUCell; not cisTarget; not ChIP	ADAR;ANKRD1;CCL19;CCND2;CDKN1A;CDKN1B;CXCL10;CXCL8;IFIT1;IFIT3;IFNA1;IFNB1;IFNG;IFNL3;IL12A;IL27;INS;IRF7;ISG15;KSR1;MX1;MYOCD;NCAM1;OAS1;OAS2;OAS3;PDCD1;PML;RSAD2;SAMD9L;SNCA;SP100;SST;STAT1;TNFSF10			0.6649585669595126
IRF9_priorANDprog	IRF9	IFN	prior_AND_program	16	False	50.0	29.0	21.0	-0.0005507478758195817	0.3325668996889135	536.0	0.00022713949529509087	0.7013288475573063	-0.0022829568762502816	0.09579944610595703	prior targets ∩ matching program set	ADAR;CDKN1A;CXCL10;IFIT1;IFIT3;IRF7;ISG15;MX1;OAS1;OAS2;OAS3;PML;RSAD2;SAMD9L;STAT1;TNFSF10			0.3959129758201351
IRF9_RNA	IRF9	IFN	tf_rna	0	False	50.0	29.0	21.0	0.041121259331703186	6.535714192068554e-10	72.0	0.024279844015836716	0.00033221766352653503	0.10395786166191101	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				2.970779178212979e-09
NLRC5_prior	NLRC5	MHC_I	public_prior	0	False	0.0	0.0	0.0								public prior AUCell; not cisTarget; not ChIP				
NLRC5_priorANDprog	NLRC5	MHC_I	prior_AND_program	0	False	0.0	0.0	0.0								prior targets ∩ matching program set				
NLRC5_RNA	NLRC5	MHC_I	tf_rna	0	False	50.0	29.0	21.0	0.005308225750923157	0.022436016948996086	383.0	0.004768624901771545	0.06186574638446707	0.0074753230437636375	0.2428417205810547	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				0.03205145278428013
RFX5_prior	RFX5	MHC_I	public_prior	31	False	50.0	29.0	21.0	-0.003948167245272515	0.001282241835095732	311.0	-0.0037040501103906276	0.025833535939455032	-0.004513079238620703	0.02385425567626953	public prior AUCell; not cisTarget; not ChIP	BTN2A1;BTN2A2;BTN3A1;BTN3A2;CD74;CIITA;COL1A2;CR2;HDAC2;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;HLA-F;HLA-G;IFNG;MR1;PSMB8;SIN3B;SIRT1;TSPAN3			0.0020035028673370814
RFX5_priorANDprog	RFX5	MHC_I	prior_AND_program	4	False	50.0	29.0	21.0	5.505348221922397e-05	0.8109402812359416	612.0	-0.0010608203677510593	0.983013316988945	0.0025510204081632664	0.8381938934326172	prior targets ∩ matching program set	HLA-E;HLA-F;HLA-G;PSMB8			0.8447294596207726
RFX5_RNA	RFX5	MHC_I	tf_rna	0	False	50.0	29.0	21.0	0.022571943700313568	1.4543591948523726e-06	170.0	0.024733975529670715	3.1795352697372437e-05	0.02211228758096695	0.012691497802734375	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				3.305361806482665e-06
GRHL2_prior	GRHL2	TJ	public_prior	10	False	50.0	29.0	21.0	0.010056815847598662	8.855280952957401e-10	75.0	0.007014388489208642	4.697591066360474e-06	0.01882163585816709	0.0001049041748046875	public prior AUCell; not cisTarget; not ChIP	CDC42SE1;CDH1;CLDN3;ERBB3;LAD1;LIPH;NKX2-1;RAB25;TERT;ZEB1			3.6897003970655837e-09
GRHL2_priorANDprog	GRHL2	TJ	prior_AND_program	1	False	50.0	29.0	21.0	0.08243426850130109	1.1368683772161603e-12	23.0	0.0726030554125749	4.0978193283081055e-07	0.1683202243696671	1.9073486328125e-06	prior targets ∩ matching program set	CLDN3			8.120488408686858e-12
GRHL2_RNA	GRHL2	TJ	tf_rna	0	False	50.0	29.0	21.0	0.029720978811383247	3.40367733997482e-11	46.0	0.01644536480307579	1.8388032913208008e-05	0.058099132031202316	1.9073486328125e-06	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				2.1272983374842624e-10
OVOL1_prior	OVOL1	TJ	public_prior	9	False	50.0	29.0	21.0	0.0028383293604709522	3.128163219123792e-05	225.0	0.003329397980448451	0.0006071217358112335	0.0021063040817853526	0.017546653747558594	public prior AUCell; not cisTarget; not ChIP	CDH2;CHUK;GADD45A;GADD45B;ID2;LEMD3;MYC;OVOL2;SGK1			5.792894850229244e-05
OVOL1_priorANDprog	OVOL1	TJ	prior_AND_program	0	False	0.0	0.0	0.0								prior targets ∩ matching program set				
OVOL1_RNA	OVOL1	TJ	tf_rna	0	False	50.0	29.0	21.0	0.045292964205145836	4.4941828036826337e-13	18.0	0.03452271223068237	4.0978193283081055e-07	0.0693069975823164	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				3.745152336402195e-12
OVOL2_prior	OVOL2	TJ	public_prior	1	False	50.0	29.0	21.0	-5.089148271307715e-05	0.00563437787809996	168.0	0.0	0.7945864126678862	-0.0026258476081617525	0.0004493369040712341	public prior AUCell; not cisTarget; not ChIP	SMAD4			0.008285849820735235
OVOL2_priorANDprog	OVOL2	TJ	prior_AND_program	0	False	0.0	0.0	0.0								prior targets ∩ matching program set				
OVOL2_RNA	OVOL2	TJ	tf_rna	0	False	50.0	29.0	21.0	0.018129162024706602	6.010637926934237e-06	194.0	0.013200145214796066	0.00516427680850029	0.03997647762298584	0.00019741058349609375	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				1.252216234777966e-05
KLF5_prior	KLF5	TJ	public_prior	79	False	50.0	29.0	21.0	0.001156345142674351	0.00014903614355255002	258.0	0.0011613310142375849	0.0008884184062480927	0.001084661887844049	0.03191947937011719	public prior AUCell; not cisTarget; not ChIP	ABCG2;ANP32B;APLN;B3GNT9;BIRC5;CCNA2;CCNB1;CCND1;CCNE1;CD55;CDK1;CDKN1A;CDKN2B;CDT1;CEBPA;CTSD;CXCR4;DCN;DHCR24;DYM;E2F3;EGF;EGFR;EGR1;F3;FASN;FGFBP1;FOXA1;FOXO1;FOXQ1;GADD45G;GC;GPS2;GRHL3;GSTP1;GZMA;HFE;HIF1A;HK1;HK3;IBSP;ICAM1;ILK;ITGB2;JUP;KLF4;LAMA1;LAMB3;LTF;MAOB;MAP3K14;MAPK1;MMP9;MYC;MYH10;MYH11;MYH14;MYOCD;NLRP3;NOS2;NOTCH1;PDGFA;PDGFB;PIAS1;PIM1;PLAT;PLG;PPARG;PTK6;RARA;REG1A;SERPINE1;SHH;SMURF2;SOX17;SOX9;TAGLN;TCL1A;VEGFA			0.0002661359706295536
KLF5_priorANDprog	KLF5	TJ	prior_AND_program	0	False	0.0	0.0	0.0								prior targets ∩ matching program set				
KLF5_RNA	KLF5	TJ	tf_rna	0	False	50.0	29.0	21.0	0.16571176052093506	5.861977570020827e-14	9.0	0.13453733921051025	7.078051567077637e-08	0.3161330223083496	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				5.861977570020827e-13
ELF3_prior	ELF3	TJ_GIVEN	public_prior	33	True	50.0	29.0	21.0	0.0038692187794687923	1.2871659293978155e-10	57.0	0.002806415008695551	5.336105823516846e-05	0.00919107783794253	9.5367431640625e-07	public prior AUCell; not cisTarget; not ChIP	ANGPT1;AR;CCL20;CCND3;CLDN7;COL2A1;EGR1;EHF;ERBB2;FOLH1;GADD45GIP1;HP;IL1B;ITGB6;KLK3;KRT4;KRT8;LYZ;MED23;MMP13;MMP9;NOS2;NOTCH3;POU5F1;PRR9;PTGS2;SPRR1A;SPRR1B;SPRR2A;SPRR3;TGFB1;TGFBR2;TIMP3			7.150921829987864e-10
ELF3_priorANDprog	ELF3	TJ_GIVEN	prior_AND_program	1	True	50.0	29.0	21.0	0.031564884271900184	4.8571529021046445e-09	93.0	0.025892479357825893	2.4273991584777832e-05	0.051292837933262225	0.0001049041748046875	prior targets ∩ matching program set	CLDN7			1.8681357315787093e-08
ELF3_RNA	ELF3	TJ_GIVEN	tf_rna	0	True	50.0	29.0	21.0	0.5762447118759155	1.7763568394002505e-15	0.0	0.49308526515960693	3.725290298461914e-09	0.784902811050415	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				8.881784197001252e-14
TP63_prior	TP63	keratin	public_prior	207	False	50.0	29.0	21.0	-0.000949645460868679	8.398093875428003e-06	200.0	-0.0009651393283009839	0.00015582889318466187	-0.0009341515934363741	0.009016036987304688	public prior AUCell; not cisTarget; not ChIP	AACS;ABCB1;ACOT11;ACTB;ADA;AHCYL1;AHR;AKT1;ALDH2;ALOX12;APOD;AQP3;AR;ATM;AVP;AXL;B4GALT1;BAX;BBC3;BCL2;BHLHE40;BNC1;BRCA1;CARM1;CASP1;CCDC28A;CCND3;CD44;CDC25A;CDC25C;CDH1;CDH3;CDK1;CDKN1A;CDKN1B;CDKN1C;CDKN2A;CFC1;CHN1;CHUK;CKAP5;CKS1B;CKS2;CLDN1;CLDN20;CRABP1;CSF1;CSF2;CSN2;CTBP1;CTNNB1;DDB2;DDR1;DEC1;DES;DHRS3;DLX5;DLX6;DYNC1H1;EBP;EEF1A2;EGFR;EPHA2;ERBB2;EVPL;FAS;FASN;FBXO32;FDXR;FGFR3;FLOT2;FLT1;FOXN1;GADD45A;GATA3;GDF15;GLS2;GPR158;GRB10;HBP1;HES1;HGF;HLA-DQB1;HSF2;HSPA4;ID2;ID3;IFNG;IGF1R;IGFBP2;IGFBP3;IGFBP7;IL12A;IL12B;IL13;IL16;IL17A;IL1A;IL2;IL2RB;IL6;IL7;INS;INSR;IREB2;ITCH;JAG1;JAG2;KCTD1;KIAA1671;KLF12;KLF4;KMT5A;KRT14;KRT5;LGALS1;LRMDA;LYN;MARK3;MCCC1;MDM2;ME3;MFGE8;MGMT;MMP2;MRPL41;MRPL42;MXD3;NAPA;NFYA;NOS2;NOTCH1;NOTCH2NLA;NQO1;NR3C1;OGG1;PERP;PJA2;PLEC;PMAIP1;POF1B;POLD2;POLI;PPARA;PRODH;PTEN;PTGS2;RBL2;RGS20;RNGTT;RUNX1;S100A2;SAMD9L;SATB1;SENP2;SERPINB5;SERPINF1;SFN;SGIP1;SHH;SHQ1;SKP2;SLC22A4;SLC38A4;SMARCA1;SMARCA4;SMARCD3;SPATA18;SPPL2A;STAT6;STXBP1;SULT1E1;SUN1;SYN3;SYNE3;TADA3;TBX20;TBXA2R;TCF4;TERT;THOP1;THSD4;TNF;TNFSF10;TNFSF4;TP53;TP53BP2;TP73;TPRG1;TRAF4;TTC39A;TUBB3;VAV3;VDR;VEGFA;VIM;WFDC12;WIPF1;WNT4;WWP1;XPC;YAP1;YBX1;YTHDF3;ZNF541;ZNF750;ZNRF2			1.6796187750856006e-05
TP63_priorANDprog	TP63	keratin	prior_AND_program	8	False	50.0	29.0	21.0	0.00013717599908175462	0.3673427625704484	543.0	0.00022807727456932575	0.6544641703367233	4.62747235941835e-05	0.49480247497558594	prior targets ∩ matching program set	CDH3;EPHA2;EVPL;IL1A;JAG1;KRT14;KRT5;SFN			0.42714274717494
TP63_RNA	TP63	keratin	tf_rna	0	False	50.0	29.0	21.0	0.0007807071087881923	0.07392246519670155	325.0	0.0	0.6475683676310555	0.0021809141617268324	0.04862480166721016	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				0.09989522323878589
GRHL1_prior	GRHL1	keratin	public_prior	2	False	50.0	29.0	21.0	0.0	0.8652111727549715	271.0	0.0	0.6874088693789095	0.0	0.46911315243545415	public prior AUCell; not cisTarget; not ChIP	CYP11A1;IGF2			0.882868543627522
GRHL1_priorANDprog	GRHL1	keratin	prior_AND_program	0	False	0.0	0.0	0.0								prior targets ∩ matching program set				
GRHL1_RNA	GRHL1	keratin	tf_rna	0	False	50.0	29.0	21.0	0.0543505996465683	8.881784197001252e-15	3.0	0.04916179180145264	1.862645149230957e-08	0.06143683474510908	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				1.4802973661668756e-13
KLF4_prior	KLF4	keratin	public_prior	131	False	50.0	29.0	21.0	0.002271760019837976	1.4032918471684752e-07	135.0	0.0013004354780291605	0.0006071217358112335	0.004496652640905194	0.0001049041748046875	public prior AUCell; not cisTarget; not ChIP	ACTA2;ACTG2;AGRP;AGTR1;ALPI;ALPL;AQP3;ASS1;ATF3;BDKRB2;BIRC3;BIRC5;CCL2;CCNB1;CCND1;CCND2;CCNE1;CD14;CD55;CD86;CDH1;CDH2;CDH5;CDK4;CDKN1A;CDKN1B;CDKN1C;CDKN2B;CDX2;CEBPB;CIITA;CLMP;COL8A1;CTBP2;CTNNB1;CXCL10;CYP11A1;CYP1A1;DLK2;DMP1;DSPP;EDN1;ENG;EPCAM;F3;FOXM1;GDF15;GHRL;GPA33;GSTP1;HBA1;HBA2;HDC;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA8;IAPP;ID3;IFITM3;IFNB1;IL10;IL17A;IL1B;IL6;ITGAD;ITIH3;IVL;KPNA2;KRT19;KRT4;LAMA1;LAMA3;LAMC1;LDLR;LEFTY1;LXN;MAPK7;MAPK8;MFN2;MMP2;MSC;MTF2;MYC;MYH10;MYOCD;NANOG;NDRG1;NOS2;NOS3;NOTCH1;NPHS1;NPNT;NPPA;ODC1;PFKP;PLAUR;POU5F1;PSG5;PTGS2;RARA;SCARB1;SCN2A;SELE;SERPINE1;SLC19A2;SLC39A4;SLC46A1;SLC4A7;SLC5A6;SNAI2;SOD1;SOX2;SPRR1A;SPRR2A;STAR;TAGLN;TERT;TGFB1;TGFBR1;THBD;TKT;TNF;TP53;TRH;VCAM1;VDR;VEGFA;VIM;ZNF750			3.508229617921188e-07
KLF4_priorANDprog	KLF4	keratin	prior_AND_program	4	False	50.0	29.0	21.0	0.02432597706445766	4.440892098500626e-14	8.0	0.01958490351886219	2.60770320892334e-08	0.041700343503738135	1.9073486328125e-06	prior targets ∩ matching program set	IVL;KRT19;KRT4;SPRR1A			5.551115123125783e-13
KLF4_RNA	KLF4	keratin	tf_rna	0	False	50.0	29.0	21.0	0.15780778229236603	3.552713678800501e-15	1.0	0.1292698085308075	7.450580596923828e-09	0.31768640875816345	9.5367431640625e-07	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				8.881784197001252e-14
NKX2-1_prior	NKX2-1	control	public_prior	63	False	50.0	29.0	21.0	-0.0007968244766597722	0.4375680954084249	556.0	-0.0012703047789966657	0.09195835143327713	-0.00032073178163297134	0.45236778259277344	public prior AUCell; not cisTarget; not ChIP	ABCA3;ADCYAP1;AGER;APRT;BMP4;BTK;CALCA;CCL11;CCNB1;CCNB2;CEBPA;CHRNA2;CHRNA7;CIP2A;DAXX;E2F3;EBP;FLT1;GH1;GLB1;HGF;HHEX;HLA-A;HMGA2;IKBKB;IL6;INS-IGF2;IRF2BPL;LHX6;LMO3;MDK;MET;MUC5B;NES;NRP2;OCLN;PAX8;PRDM13;PRL;PSAP;PTTG1;RET;SCGB1A1;SCGB3A1;SCGB3A2;SFTPA1;SFTPA2;SFTPB;SFTPC;SFTPD;SLC5A5;SOD2;SP1;SPARC;STK11;TERT;TG;TGFB2;TNF;TPO;TSHR;TTF1;WNT7B			0.4972364720550283
NKX2-1_RNA	NKX2-1	control	tf_rna	0	False	50.0	29.0	21.0	0.0707092434167862	2.3816190477600985e-06	128.0	0.04593786597251892	0.003559824736676251	0.09360677003860474	0.00010334649564653764	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				5.177432712521953e-06
SOX2_prior	SOX2	control	public_prior	343	False	50.0	29.0	21.0	-0.0010070374695276595	1.370373858833318e-08	105.0	-0.0009274914351667506	5.21540641784668e-08	-0.001760475947204158	0.004878997802734375	public prior AUCell; not cisTarget; not ChIP	ABCA13;ABCC3;ABCC4;ABCC6;ABI3BP;ADAM10;ADAMTSL1;ADGRB3;ADGRL2;ADGRL3;AFF3;AGAP1;AGR2;AHR;AKAP6;ALCAM;ALK;ANGPT1;ANKFN1;ANKS1B;ANO2;AP3B1;APP;ARHGAP24;ARHGAP26;ARHGAP32;ARID5B;ASAP1;ASXL1;ATOH1;ATRNL1;BBS9;BDNF;BHLHE40;BIRC5;BMP4;BMPR1B;CACNA2D1;CACNA2D3;CADPS2;CCDC171;CCDC91;CCN2;CCND1;CCNE1;CDH11;CDH18;CDH2;CDK5RAP2;CDKAL1;CDKN1A;CDKN1B;CDX2;CEMIP2;CEP112;CHD9;CHN2;CLASP1;CLASP2;CLIC5;CNTN4;CNTNAP2;COL12A1;COL14A1;COL25A1;CPNE4;CREB5;CSMD1;CSMD3;CTBP2;CTNNA2;CTNNB1;CTNND2;DAAM1;DAB1;DCC;DCLK2;DENND1A;DGKB;DIAPH3;DIS3L2;DKK1;DLG1;DLG2;DLGAP1;DMD;DNAH14;DOCK10;DOCK4;DPP10;DPPA4;DPYD;DTNA;EBF1;EFNA5;EGFR;EGLN3;EIF4G3;ELMO1;ELP4;EMSY;ENAH;EPB41L2;EPHA4;EPHB1;ERBB4;ERC1;ESRRG;ETV1;ETV6;EXOC4;EXOC6B;EXT1;FABP7;FAM13A;FGD4;FGF3;FGF4;FGGY;FHOD3;FILIP1L;FNDC3B;FOXJ1;FOXP1;FOXP2;FRMD4A;GADD45B;GALNTL6;GATA6;GFAP;GLI2;GLI3;GRIA1;GRIK2;GTDC1;HDAC4;HDAC9;HES3;HES5;HES6;HHAT;HIVEP2;HIVEP3;HMCN1;HOXB1;HRC;IMMP2L;INPP4B;IQCH;ISL1;ITGA6;ITPR2;JAG1;JMJD1C;KALRN;KCNIP4;KCNMB2;KDM4C;KIT;L1TD1;LARGE1;LDB2;LEF1;LEFTY1;LHX3;LIN28A;LPP;LRBA;LRIG1;LRP1B;LRRC7;LSAMP;MACROD2;MAGI1;MAGI2;MAML2;MAP1B;MAPK10;MBD5;MCC;MCTP1;MECOM;MEGF10;MKI67;MMP3;MMRN1;MSI2;MTOR;MUC5AC;MYCN;MYO10;NAALADL2;NANOG;NAV2;NAV3;NBEA;NCAM1;NEDD4L;NES;NEUROD1;NEUROG2;NKX2-1;NLGN1;NOTCH1;NPAS3;NR0B1;NR2E1;NR5A2;NRG1;NRP2;NRXN1;NRXN3;NTM;NTNG1;NTRK3;OFCC1;OLA1;OPCML;PACRG;PALLD;PAM;PARD3B;PAX6;PBX3;PCLO;PDE4B;PDE4D;PDLIM5;PGA5;PHACTR1;PHLPP1;PIEZO2;PLAC1;PLCB1;PLCB4;PLCL1;PLXNA2;PMP2;POLR3B;POU2F1;POU4F2;POU5F1;PPARGC1A;PQBP1;PRDM5;PRKG1;PROM1;PRR16;PRUNE2;PTPRD;PTPRM;RABGAP1L;RAD51B;RALGAPA2;RANBP17;RAPGEF2;RBMS3;RBPJ;RERE;RHO;RLIM;ROBO1;ROBO2;RORB;RPS6KC1;RUNX1;RYR2;RYR3;SAMD12;SBF2;SCGB1A1;SDC2;SDK1;SEMA3A;SEMA3C;SEMA3D;SEMA6A;SHANK2;SHH;SIPA1L2;SIX3;SKAP2;SLC22A23;SLC44A3;SLC8A1;SLCO3A1;SLIT3;SORBS1;SORBS2;SORCS1;SOX21;SOX3;SOX5;SOX6;SPAG9;SPOCK1;SPP1;STXBP6;SYT1;TBCK;TEAD1;TENM3;TENM4;THADA;THSD7A;THSD7B;TLE4;TLK1;TMTC2;TNS3;TP63;TRAPPC9;TRIM2;TRIM33;TRIO;TRIP12;TRPC4;TRPM3;TRPS1;TTC28;TUBB3;TULP3;TWIST1;UTF1;VGLL4;VIM;VMP1;VPS13B;VPS13D;WDFY3;XPR1;ZBTB20;ZCCHC7;ZEB2;ZFAND3;ZFP42;ZFPM2;ZIC3;ZMIZ1;ZNF385B;ZNF407;ZNF536;ZSCAN10			4.894192352976135e-08
SOX2_RNA	SOX2	control	tf_rna	0	False	50.0	29.0	21.0	0.023014477221295238	2.210226962994997e-05	186.0	0.00555303692817688	0.04269753537818267	0.10065597295761108	2.384185791015625e-05	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				4.250436467298071e-05
STAT1_pearson_cldn4_high_GSE131907	STAT1	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
STAT2_pearson_cldn4_high_GSE131907	STAT2	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
IRF1_pearson_cldn4_high_GSE131907	IRF1	IFN_MHC	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
IRF7_pearson_cldn4_high_GSE131907	IRF7	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
IRF9_pearson_cldn4_high_GSE131907	IRF9	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
