cohort	endpoint	covariate	composition_name	n_sig_genes	n	rho	p	ci_low	ci_high	k
GSE273377 discovery	ImmuneScore	composition+CLDN4	stromal	221	103	-0.008232710167764298	0.9348779404498995	-0.2033447926843708	0.18750825287045447	2
GSE273377 discovery	ImmuneScore	composition+signature	stromal	221	103	0.1535055443082818	0.12537248243626542	-0.04323068310116236	0.33878103418333066	2
GSE273377 validation	CD8A	unadj	stromal	221	60	-0.4232842456237844	0.00075254108811947	-0.611485106415508	-0.1897548341843655	0
GSE273377 validation	CD8A	CLDN4	stromal	221	60	-0.26508629280004525	0.04245236225911746	-0.4880386044202848	-0.009659758892078717	1
GSE273377 validation	CD8A	signature	stromal	221	60	-0.389240790591054	0.00231143907203984	-0.5868292915680448	-0.1479009347756768	1
GSE273377 validation	CD8A	CLDN4+signature	stromal	221	60	-0.3266671889971168	0.012323538626083977	-0.5394462407403556	-0.07467199470081684	2
GSE273377 validation	CD8A	composition	stromal	221	60	-0.4418049043461996	0.000459934435576963	-0.6269545430706843	-0.20941557224296437	1
GSE273377 validation	CD8A	composition+CLDN4	stromal	221	60	-0.2785370248782052	0.03424342930477147	-0.5008025891901404	-0.021810397681412814	2
GSE273377 validation	CD8A	composition+signature	stromal	221	60	-0.33975030938108985	0.009074038029707639	-0.5497979749939196	-0.08929030029617914	2
GSE273377 validation	ImmuneScore	unadj	stromal	221	60	-0.3297582661850515	0.010082947939517884	-0.5385851995767567	-0.08276367857145189	0
GSE273377 validation	ImmuneScore	CLDN4	stromal	221	60	-0.2651695987550433	0.042385038424425286	-0.4881068637919572	-0.009749354962607048	1
GSE273377 validation	ImmuneScore	signature	stromal	221	60	-0.2838931517437351	0.029330436786596945	-0.5033797198951737	-0.029991238920363584	1
GSE273377 validation	ImmuneScore	CLDN4+signature	stromal	221	60	-0.35038412995251556	0.007008944966739484	-0.5581644890077074	-0.10125193242608115	2
GSE273377 validation	ImmuneScore	composition	stromal	221	60	-0.3551052291342024	0.005783233539611669	-0.5602413140201508	-0.10892849131100796	1
GSE273377 validation	ImmuneScore	composition+CLDN4	stromal	221	60	-0.30419984265823213	0.02025441360893263	-0.5215180975272907	-0.04981848197235135	2
GSE273377 validation	ImmuneScore	composition+signature	stromal	221	60	-0.23663258215254163	0.07371086145619363	-0.46642019669060125	0.023073470863156337	2
GSE282774	CD8A	unadj	stromal	221	58	-0.20579549659054097	0.1211859964175591	-0.44066712263164565	0.055447660051132636	0
GSE282774	CD8A	CLDN4	stromal	221	58	-0.2050277571230738	0.12603259615419335	-0.4419830849595854	0.058674502481001985	1
GSE282774	CD8A	signature	stromal	221	58	-0.13113377134171725	0.3308956579185384	-0.3787595108193813	0.1340130047556415	1
GSE282774	CD8A	CLDN4+signature	stromal	221	58	-0.16343746103418316	0.2287513127372866	-0.40877388013698873	0.10392865571992858	2
GSE282774	CD8A	composition	stromal	221	58	-0.20507867583194858	0.12593651276201198	-0.44202585409065476	0.0586215316568087	1
GSE282774	CD8A	composition+CLDN4	stromal	221	58	-0.19584627616632308	0.1480160858795446	-0.4362834082712315	0.07069416279878026	2
GSE282774	CD8A	composition+signature	stromal	221	58	-0.13396956000603424	0.32493296604943067	-0.3833676274145296	0.13363778361562526	2
GSE282774	ImmuneScore	unadj	stromal	221	58	-0.17905810698575778	0.17866443803162285	-0.4180204556481942	0.0830801194695152	0
GSE282774	ImmuneScore	CLDN4	stromal	221	58	-0.15754399224451227	0.24183765842639826	-0.40162460941247136	0.10743391983303928	1
GSE282774	ImmuneScore	signature	stromal	221	58	-0.06170771015358777	0.6483924715310266	-0.3171754911606016	0.20210967438052682	1
GSE282774	ImmuneScore	CLDN4+signature	stromal	221	58	-0.09217366888671796	0.49926424144054854	-0.34667343416558816	0.17496674545872445	2
GSE282774	ImmuneScore	composition	stromal	221	58	-0.17839644208116884	0.18427613108008267	-0.41946551940688387	0.08617710010956617	1
GSE282774	ImmuneScore	composition+CLDN4	stromal	221	58	-0.13906520449798793	0.3066983751153252	-0.38778808117974317	0.12853459238075846	2
GSE282774	ImmuneScore	composition+signature	stromal	221	58	-0.06825481154119528	0.6171908028786136	-0.32531776746479235	0.19820230703752928	2
GSE233774 tumor	CD8A	unadj	stromal	217	30	-0.43670745272525024	0.0158279865175195	-0.6886325618467825	-0.09070980886289742	0
GSE233774 tumor	CD8A	CLDN4	stromal	217	30	-0.341431555503905	0.06987797912116608	-0.6292011396886006	0.028660614265677203	1
GSE233774 tumor	CD8A	signature	stromal	217	30	-0.3638419821011451	0.052349093920690516	-0.6444148425574173	0.0030735547310926426	1
GSE233774 tumor	CD8A	CLDN4+signature	stromal	217	30	-0.3274564999527632	0.08894318577084474	-0.6242687250495275	0.051969339112953976	2
GSE233774 tumor	CD8A	composition	stromal	217	30	-0.26634845299369014	0.162529014324583	-0.576570358551354	0.11099207353357947	1
GSE233774 tumor	CD8A	composition+CLDN4	stromal	217	30	-0.3972878713093541	0.036309228424712604	-0.6709215236592113	-0.028423903521105808	2
GSE233774 tumor	CD8A	composition+signature	stromal	217	30	-0.25229163008526223	0.1952486255331935	-0.5715699976531268	0.13333538296831393	2
GSE233774 tumor	ImmuneScore	unadj	stromal	217	30	-0.43893214682981085	0.015242568393486356	-0.6900769224984514	-0.09343874232895702	0
GSE233774 tumor	ImmuneScore	CLDN4	stromal	217	30	-0.3129275626954626	0.09836126591656599	-0.6095267796737359	0.060519025779979266	1
GSE233774 tumor	ImmuneScore	signature	stromal	217	30	-0.3404106465076787	0.07077302981518102	-0.6285027864664741	0.02981479814050238	1
GSE233774 tumor	ImmuneScore	CLDN4+signature	stromal	217	30	-0.2963588638861208	0.12568965658895467	-0.6027886712004178	0.08625479651137218	2
GSE233774 tumor	ImmuneScore	composition	stromal	217	30	-0.26811444138251334	0.15965575260086692	-0.5778385457821593	0.10911330624238737	1
GSE233774 tumor	ImmuneScore	composition+CLDN4	stromal	217	30	-0.3580361711912207	0.061382233555548976	-0.644962245261511	0.017359561442026394	2
GSE233774 tumor	ImmuneScore	composition+signature	stromal	217	30	-0.22784895008206169	0.24356923088794774	-0.5538460886394091	0.1587200018810251	2
