tf	target	resource	confidence	effect	reference	note
FOXA1	ESR1	CollecTRI		Activation	CollecTRI2:25752574;CollecTRI2:34561764;CollecTRI2:27496708;CollecTRI2:20501593;CollecTRI:21572391;CollecTRI2:24290378;CollecTRI2:31029427;CollecTRI2:22596188;CollecTRI2:24484401;CollecTRI2:18818283;CollecTRI2:31400761;CollecTRI2:21572391;CollecTRI:20501593;CollecTRI2:36056637;CollecTRI2:33468559;Co	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	FABP1	CollecTRI		Activation	CollecTRI2:23318274;CollecTRI:23318274	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	FOXC1	CollecTRI		Activation	CollecTRI:25303530;CollecTRI2:25303530	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	G6PC2	CollecTRI		Activation	CollecTRI2:11246869;CollecTRI:11246869	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	GCG	CollecTRI		Activation	CollecTRI2:10920385;CollecTRI:15631623;CollecTRI2:15828872;CollecTRI2:11546810;TRRUST:21824252;CollecTRI2:15631623;TRRUST:15828872;CollecTRI2:25057789;CollecTRI2:21824252;CollecTRI2:17003337;CollecTRI:21824252;CollecTRI2:33479193;CollecTRI2:10049364;CollecTRI:15828872	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	GREB1	CollecTRI		Activation	CollecTRI:20068169;CollecTRI:25303530;CollecTRI2:25303530;CollecTRI2:20068169	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HELT	CollecTRI		Repression	CollecTRI:19607821;CollecTRI2:19607821	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HNF1A	CollecTRI		Activation	CollecTRI:9685261;CollecTRI2:9685261	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HNF4A	CollecTRI		Activation	CollecTRI2:25836733;CollecTRI:9685261;CollecTRI2:9685261	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HOXB13	CollecTRI		Activation	CollecTRI2:20018680;CollecTRI:20018680	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HSPA1A	CollecTRI		Activation	HTRIdb:19486887;TRRUST:19486887;CollecTRI:19486887;CollecTRI2:19486887;DoRothEA:19486887	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	HSPA1B	CollecTRI		Activation	CollecTRI:19486887;CollecTRI2:19486887	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	IFI27	CollecTRI		Activation	CollecTRI2:16331276;DoRothEA:16331276;CollecTRI:16331276;HTRIdb:16331276	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	IL6	CollecTRI		Repression	CollecTRI2:31182923;CollecTRI:28270510;CollecTRI2:19436110;CollecTRI2:28270510;CollecTRI:19436110	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	KRT7	CollecTRI		Activation	CollecTRI2:20043065;CollecTRI2:31317696;TRRUST:20043065;CollecTRI2:29788741;CollecTRI:20043065;DoRothEA:20043065	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	LCT	CollecTRI		Activation	nan	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	LMX1A	CollecTRI		Activation	CollecTRI:19607821;CollecTRI2:19607821	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	LMX1B	CollecTRI		Activation	PAZAR:21572391;CollecTRI:19607821;CollecTRI2:19607821	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	LOXL2	CollecTRI		Activation	CollecTRI:20043065;CollecTRI2:20043065	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	MLXIPL	CollecTRI		Activation	CollecTRI2:20534694;CollecTRI:20534694	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	MUC2	CollecTRI		Activation	CollecTRI:18336786;CollecTRI2:19737569;CollecTRI2:18336786	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	MYC	CollecTRI		Activation	CollecTRI2:24512546;CollecTRI2:23530127;CollecTRI:24512546;TRRUST:24512546;CollecTRI2:29669022;CollecTRI2:30043639	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	MYLK	CollecTRI		Activation	CollecTRI2:10896677;CollecTRI:10896677	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NES	CollecTRI		Activation	CollecTRI2:19916800;CollecTRI:22783724;CollecTRI2:22783724;CollecTRI:19916800	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NEUROG2	CollecTRI		Activation	CollecTRI2:25804738;CollecTRI:25804738;CollecTRI:17596284;CollecTRI2:17596284	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NF1	CollecTRI		Activation	TRRUST:8495744;CollecTRI2:38143008;CollecTRI2:8495744;CollecTRI:8495744;DoRothEA:8495744	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NKX2-1	CollecTRI		Activation	TRRUST:23358112;DoRothEA:23358112;CollecTRI:23358112;CollecTRI2:23358112	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NKX2-2	CollecTRI		Repression	CollecTRI:19607821;CollecTRI2:19607821;CollecTRI2:25057789	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NR3C1	CollecTRI		Repression	CollecTRI2:15748903;CollecTRI:15748903;CollecTRI2:38015476	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	NR4A2	CollecTRI		Activation	CollecTRI:17596284;CollecTRI2:17596284	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	PDX1	CollecTRI		Activation	CollecTRI2:19141476;CollecTRI:19141476	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	PPARG	CollecTRI		Repression	CollecTRI:21167261;CollecTRI2:21167261	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	RET	CollecTRI		Activation	CollecTRI2:21947652;TRRUST:21947652;CollecTRI:21947652;DoRothEA:21947652	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	RPRM	CollecTRI		Repression	CollecTRI:19917725;CollecTRI2:31221478;TRRUST:19917725;DoRothEA:19917725;CollecTRI2:19917725	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SCGB1A1	CollecTRI		Activation	CollecTRI2:16214823;CollecTRI2:21224212;CollecTRI2:17220277;CollecTRI2:9545321;CollecTRI2:8216221;CollecTRI:7755566;CollecTRI:9545321;CollecTRI2:7755566;CollecTRI2:8071346	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SERPINC1	CollecTRI		Repression	DoRothEA:8910619;CollecTRI2:8910619;TRRUST:8910619;CollecTRI:8910619	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SFTPB	CollecTRI		Activation	CollecTRI2:16214823;CollecTRI:12161428;CollecTRI:18003659;CollecTRI2:9006959;CollecTRI2:11053014;CollecTRI:11053014;DoRothEA:18003659;TRRUST:18003659;CollecTRI2:7958446;CollecTRI2:12161428;CollecTRI2:18003659;CollecTRI:19096034;CollecTRI:9006959;CollecTRI2:19096034	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SFTPD	CollecTRI		Activation	CollecTRI2:16214823;CollecTRI:16214823	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SHH	CollecTRI		Activation	CollecTRI2:19916800;CollecTRI2:11763995;CollecTRI:19916800;CollecTRI2:32645357	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SLC13A2	CollecTRI		Activation	CollecTRI:18336786;CollecTRI2:18336786	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	SNAI2	CollecTRI		Repression	CollecTRI2:26934447;CollecTRI2:27524420;CollecTRI2:22203039;CollecTRI2:28867731;CollecTRI:22203039	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	TAT	CollecTRI		Activation	CollecTRI:8101632;CollecTRI2:8101632	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	TFF1	CollecTRI		Activation	CollecTRI2:35495601;CollecTRI2:25223786;CollecTRI2:28789340;CollecTRI:10073575;CollecTRI:16087863;PAZAR:10073575;CollecTRI2:10073575;CollecTRI2:16087863;DoRothEA:10073575;TRRUST:10073575	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	TH	CollecTRI		Activation	CollecTRI2:35495601;CollecTRI2:19607821;CollecTRI:17596284;CollecTRI2:17596284;CollecTRI:23637192;CollecTRI2:23637192	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	TTF1	CollecTRI		Activation	CollecTRI2:8668179;CollecTRI:23358112;CollecTRI2:23358112	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	TTR	CollecTRI		Activation	CollecTRI2:9512550;CollecTRI2:9489767;CollecTRI2:11763995;CollecTRI:11544200;CollecTRI:8029022;CollecTRI2:8029022;CollecTRI2:11544200;CollecTRI2:8931989;CollecTRI:7862129;CollecTRI:8931989;CollecTRI2:15959514;CollecTRI:9512550;CollecTRI2:7862129;PAZAR:11544200	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	UBE2C	CollecTRI		Activation	CollecTRI2:19632176;CollecTRI2:21556051;CollecTRI:19632176	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	UCP2	CollecTRI		Repression	CollecTRI:23625627;CollecTRI2:23625627;CollecTRI2:36111163;CollecTRI2:17003337	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	UGT2B15	CollecTRI		Activation	CollecTRI:20736324;CollecTRI2:20736324;TRRUST:20736324;DoRothEA:20736324;HTRIdb:20736324	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	UGT2B17	CollecTRI		Activation	CollecTRI:20736324;CollecTRI2:20736324;CollecTRI:20628005;CollecTRI2:30819787;HTRIdb:20628005;DoRothEA:20628005;TRRUST:20628005;CollecTRI2:20628005	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	ABCA1	DoRothEA	A	Repression	TRRUST:24807696;DoRothEA:24807696;CollecTRI:24807696;CollecTRI2:24807696	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ABCC4	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ABLIM1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ACOXL	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ADAMTSL1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ADGRF1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ADGRG6	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ADGRL2	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ADGRV1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AFDN	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AFF1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AFF3	DoRothEA	B	Unknown	PAZAR:21572391	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AGAP1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AGR2	DoRothEA	A	Activation	TRRUST:16222343;DoRothEA:16222343;CollecTRI2:32606743;CollecTRI:16222343;CollecTRI2:16222343;CollecTRI:20048076;CollecTRI2:20048076;CollecTRI2:25100862	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AKAP13	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AKAP6	DoRothEA	B	Unknown	PAZAR:21572391	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AKAP9	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ALCAM	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ALDH1A2	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AMOTL1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANGPT1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANK3	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANKRD28	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANKRD50	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANKS1B	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ANO6	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	APBB2	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	APOA1	DoRothEA	A	Activation	CollecTRI2:21664629	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	APOB	DoRothEA	A	Activation	CollecTRI:8441395;CollecTRI2:8441395;CollecTRI2:22238690;TRRUST:8441395	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	APP	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARAP2	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARB2A	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP10	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP12	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP15	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP24	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP26	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP32	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP42	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGAP6	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARHGEF3	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARID1B	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ARID5B	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ASAP1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ATOSA	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ATP8B1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ATP8B4	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ATRNL1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	ATXN7	DoRothEA	B	Unknown	PAZAR:21572391	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	AUTS2	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BANK1	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BBX	DoRothEA	B	Unknown	PAZAR:21572391	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BCAR3	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BCAS3	DoRothEA	B	Unknown	PAZAR:21572391	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BCKDHB	DoRothEA	B	Unknown	nan	DoRothEA via OmniPath; not a lung ChIP peak
FOXA1	BCL2	DoRothEA	A	Repression	CollecTRI2:19127412;CollecTRI2:31221478;HTRIdb:19127412;CollecTRI2:28789340;DoRothEA:19127412;CollecTRI:19127412;TRRUST:19127412;CollecTRI2:31371698;CollecTRI2:30043639	DoRothEA via OmniPath; not a lung ChIP peak
