title	geo_accession	source_name	platform_id	sample_type	group	matrix_col
C16+4 follow-up	GSM9161996	Whole blood	GPL570	follow-up	1LIO	C16+4
C17+4 follow-up	GSM9161997	Whole blood	GPL570	follow-up	2LIO	C17+4
C20+4 follow-up	GSM9161998	Whole blood	GPL570	follow-up	1LIO	C20+4
C21+4 follow-up	GSM9161999	Whole blood	GPL570	follow-up	1LIO	C21+4
C23+4 follow-up	GSM9162000	Whole blood	GPL570	follow-up	2LIO	C23+4
C30+4 follow-up	GSM9162001	Whole blood	GPL570	follow-up	1LIO	C30+4
C33+4 follow-up	GSM9162002	Whole blood	GPL570	follow-up	2LIO	C33+4
C34+4 follow-up	GSM9162003	Whole blood	GPL570	follow-up	1LIO	C34+4
C36+4 follow-up	GSM9162004	Whole blood	GPL570	follow-up	2LIO	C36+4
C37+4 follow-up	GSM9162005	Whole blood	GPL570	follow-up	2LIO	C37+4
C42+4 follow-up	GSM9162006	Whole blood	GPL570	follow-up	1LIO	C42+4
C44+4 follow-up	GSM9162007	Whole blood	GPL570	follow-up	1LIO	C44+4
C47+4 follow-up	GSM9162008	Whole blood	GPL570	follow-up	1LIO	C47+4
C50+4 follow-up	GSM9162009	Whole blood	GPL570	follow-up	2LIO	C50+4
C51+4 follow-up	GSM9162010	Whole blood	GPL570	follow-up	2LIO	C51+4
C61+4 follow-up	GSM9162011	Whole blood	GPL570	follow-up	2LIO	C61+4
C63+4 follow-up	GSM9162012	Whole blood	GPL570	follow-up	1LIO	C63+4
C65+4 follow-up	GSM9162013	Whole blood	GPL570	follow-up	2LIO	C65+4
C67+4 follow-up	GSM9162014	Whole blood	GPL570	follow-up	2LIO	C67+4
C72+4 follow-up	GSM9162015	Whole blood	GPL570	follow-up	2LIO	C72+4
C74+4 follow-up	GSM9162016	Whole blood	GPL570	follow-up	1LIO	C74+4
C78+4 follow-up	GSM9162017	Whole blood	GPL570	follow-up	1LIO	C78+4
C82+4 follow-up	GSM9162018	Whole blood	GPL570	follow-up	2LIO	C82+4
C84+4 follow-up	GSM9162019	Whole blood	GPL570	follow-up	1LIO	C84+4
C89+4 follow-up	GSM9162020	Whole blood	GPL570	follow-up	2LIO	C89+4
C95+4 follow-up	GSM9162021	Whole blood	GPL570	follow-up	2LIO	C95+4
C102+4 follow-up	GSM9162022	Whole blood	GPL570	follow-up	2LIO	C102+4
C107+4 follow-up	GSM9162023	Whole blood	GPL570	follow-up	1LIO	C107+4
C109+4 follow-up	GSM9162024	Whole blood	GPL570	follow-up	1LIO	C109+4
C112+4 follow-up	GSM9162025	Whole blood	GPL570	follow-up	2LIO	C112+4
C113+4 follow-up	GSM9162026	Whole blood	GPL570	follow-up	2LIO	C113+4
C116+4 follow-up	GSM9162027	Whole blood	GPL570	follow-up	2LIO	C116+4
C129+4 follow-up	GSM9162028	Whole blood	GPL570	follow-up	2LIO	C129+4
C133+4 follow-up	GSM9162029	Whole blood	GPL570	follow-up	1LIO	C133+4
C138+4 follow-up	GSM9162030	Whole blood	GPL570	follow-up	2LIO	C138+4
C139+4 follow-up	GSM9162031	Whole blood	GPL570	follow-up	2LIO	C139+4
C149+4 follow-up	GSM9162032	Whole blood	GPL570	follow-up	1LIO	C149+4
C150+4 follow-up	GSM9162033	Whole blood	GPL570	follow-up	1LIO	C150+4
C159+4 follow-up	GSM9162034	Whole blood	GPL570	follow-up	2LIO	C159+4
C161+4 follow-up	GSM9162035	Whole blood	GPL570	follow-up	1LIO	C161+4
C162+4 follow-up	GSM9162036	Whole blood	GPL570	follow-up	1LIO	C162+4
C169+4 follow-up	GSM9162037	Whole blood	GPL570	follow-up	1LIO	C169+4
C176+4 follow-up	GSM9162038	Whole blood	GPL570	follow-up	CHTIO	C176+4
C180+4 follow-up	GSM9162039	Whole blood	GPL570	follow-up	CHTIO	C180+4
C185+4 follow-up	GSM9162040	Whole blood	GPL570	follow-up	CHTIO	C185+4
C198+4 follow-up	GSM9162041	Whole blood	GPL570	follow-up	CHTIO	C198+4
C202+4 follow-up	GSM9162042	Whole blood	GPL570	follow-up	2LIO	C202+4
C204+4 follow-up	GSM9162043	Whole blood	GPL570	follow-up	CHTIO	C204+4
C206+4 follow-up	GSM9162044	Whole blood	GPL570	follow-up	1LIO	C206+4
C210+4 follow-up	GSM9162045	Whole blood	GPL570	follow-up	CHTIO	C210+4
C217+4 follow-up	GSM9162046	Whole blood	GPL570	follow-up	1LIO	C217+4
C218+4 follow-up	GSM9162047	Whole blood	GPL570	follow-up	CHTIO	C218+4
C220+4 follow-up	GSM9162048	Whole blood	GPL570	follow-up	1LIO	C220+4
C221+4 follow-up	GSM9162049	Whole blood	GPL570	follow-up	1LIO	C221+4
C235+4 follow-up	GSM9162050	Whole blood	GPL570	follow-up	1LIO	C235+4
C238+4 follow-up	GSM9162051	Whole blood	GPL570	follow-up	1LIO	C238+4
C239+4 follow-up	GSM9162052	Whole blood	GPL570	follow-up	CHTIO	C239+4
C251+4 follow-up	GSM9162053	Whole blood	GPL570	follow-up	CHTIO	C251+4
C261+4 follow-up	GSM9162054	Whole blood	GPL570	follow-up	CHTIO	C261+4
C262+4 follow-up	GSM9162055	Whole blood	GPL570	follow-up	CHTIO	C262+4
C280+4 follow-up	GSM9162056	Whole blood	GPL570	follow-up	CHTIO	C280+4
C283+4 follow-up	GSM9162057	Whole blood	GPL570	follow-up	CHTIO	C283+4
C288+4 follow-up	GSM9162058	Whole blood	GPL570	follow-up	CHTIO	C288+4
C289+4 follow-up	GSM9162059	Whole blood	GPL570	follow-up	CHTIO	C289+4
C290+4 follow-up	GSM9162060	Whole blood	GPL570	follow-up	CHTIO	C290+4
C312+4 follow-up	GSM9162061	Whole blood	GPL570	follow-up	CHTIO	C312+4
C320+4 follow-up	GSM9162062	Whole blood	GPL570	follow-up	CHTIO	C320+4
C322+4 follow-up	GSM9162063	Whole blood	GPL570	follow-up	CHTIO	C322+4
C323+4 follow-up	GSM9162064	Whole blood	GPL570	follow-up	CHTIO	C323+4
C331+4 follow-up	GSM9162065	Whole blood	GPL570	follow-up	CHTIO	C331+4
C400+4 follow-up	GSM9162066	Whole blood	GPL570	follow-up	CHTIO	C400+4
N1 ctrl non-smoker	GSM9162071	Whole blood	GPL570	control group	control group	N1
N2 ctrl non-smoker	GSM9162072	Whole blood	GPL570	control group	control group	N2
N3 ctrl non-smoker	GSM9162073	Whole blood	GPL570	control group	control group	N3
N4 ctrl non-smoker	GSM9162074	Whole blood	GPL570	control group	control group	N4
N5 ctrl non-smoker	GSM9162075	Whole blood	GPL570	control group	control group	N5
N6 ctrl non-smoker	GSM9162076	Whole blood	GPL570	control group	control group	N6
N7 ctrl non-smoker	GSM9162077	Whole blood	GPL570	control group	control group	N7
N8 ctrl non-smoker	GSM9162078	Whole blood	GPL570	control group	control group	N8
N9 ctrl non-smoker	GSM9162079	Whole blood	GPL570	control group	control group	N9
N10 ctrl non-smoker	GSM9162080	Whole blood	GPL570	control group	control group	N10
R1 ctrl smoker	GSM9162081	Whole blood	GPL570	control group	control group	R1
R2 ctrl smoker	GSM9162082	Whole blood	GPL570	control group	control group	R2
R3 ctrl smoker	GSM9162083	Whole blood	GPL570	control group	control group	R3
R4 ctrl smoker	GSM9162084	Whole blood	GPL570	control group	control group	R4
R5 ctrl smoker	GSM9162085	Whole blood	GPL570	control group	control group	R5
R6 ctrl smoker	GSM9162086	Whole blood	GPL570	control group	control group	R6
R7 ctrl smoker	GSM9162087	Whole blood	GPL570	control group	control group	R7
R8 ctrl smoker	GSM9162088	Whole blood	GPL570	control group	control group	R8
R9 ctrl smoker	GSM9162089	Whole blood	GPL570	control group	control group	R9
R10 ctrl smoker	GSM9162090	Whole blood	GPL570	control group	control group	R10
R11 ctrl smoker	GSM9162091	Whole blood	GPL570	control group	control group	R11
