set_name	library	genotype	score_mean_log2fpkm1
CLDN4_TJ_EDGE	KLE-RNA	KL	5.723064793580961
NHEJ_CORE	B6AL10-1-RNA	KP	2.376992439891786
NHEJ_CORE	B6AL10-2-RNA	KP	2.381141743499667
NHEJ_CORE	B6AL10-3-RNA	KP	2.5300524415482033
NHEJ_CORE	B6AL10-4-RNA	KP	2.3772748724104282
NHEJ_CORE	B6AL10-5-RNA	KP	2.4241123466766847
NHEJ_CORE	KL155mix-control-2-RNA	KL	2.649825924964538
NHEJ_CORE	KL47-1-untreated-1-RNA	KL	2.59619154987935
NHEJ_CORE	KLC-RNA	KL	2.442235010628445
NHEJ_CORE	KLD-RNA	KL	2.716826296416436
NHEJ_CORE	KLE-RNA	KL	2.51113600877863
NHEJ_EXTENDED	B6AL10-1-RNA	KP	2.5825036695074997
NHEJ_EXTENDED	B6AL10-2-RNA	KP	2.6068438832713596
NHEJ_EXTENDED	B6AL10-3-RNA	KP	2.805156744190606
NHEJ_EXTENDED	B6AL10-4-RNA	KP	2.517513978889082
NHEJ_EXTENDED	B6AL10-5-RNA	KP	2.5717505396224793
NHEJ_EXTENDED	KL155mix-control-2-RNA	KL	3.1337885745625518
NHEJ_EXTENDED	KL47-1-untreated-1-RNA	KL	2.917140144808023
NHEJ_EXTENDED	KLC-RNA	KL	3.3030385711469745
NHEJ_EXTENDED	KLD-RNA	KL	2.842250648779479
NHEJ_EXTENDED	KLE-RNA	KL	3.313689506434303
NHEJ_KEGG	B6AL10-1-RNA	KP	2.3105269311395165
NHEJ_KEGG	B6AL10-2-RNA	KP	2.3571147129537993
NHEJ_KEGG	B6AL10-3-RNA	KP	2.5484766453525016
NHEJ_KEGG	B6AL10-4-RNA	KP	2.2983281099758157
NHEJ_KEGG	B6AL10-5-RNA	KP	2.3432440006509636
NHEJ_KEGG	KL155mix-control-2-RNA	KL	2.798565106907293
NHEJ_KEGG	KL47-1-untreated-1-RNA	KL	2.6444499628461053
NHEJ_KEGG	KLC-RNA	KL	2.6569342743059234
NHEJ_KEGG	KLD-RNA	KL	2.541479713556211
NHEJ_KEGG	KLE-RNA	KL	2.725123781057642
STING_CORE	B6AL10-1-RNA	KP	2.937594091961153
STING_CORE	B6AL10-2-RNA	KP	2.9827359601856673
STING_CORE	B6AL10-3-RNA	KP	2.3292413917670505
STING_CORE	B6AL10-4-RNA	KP	2.9567896697485745
STING_CORE	B6AL10-5-RNA	KP	2.9445956917739244
STING_CORE	KL155mix-control-2-RNA	KL	3.5978753078015244
STING_CORE	KL47-1-untreated-1-RNA	KL	3.121114045598463
STING_CORE	KLC-RNA	KL	2.997372980453382
STING_CORE	KLD-RNA	KL	3.396951827165117
STING_CORE	KLE-RNA	KL	3.414398680475629
IFN_COMPACT	B6AL10-1-RNA	KP	2.3681168918785787
IFN_COMPACT	B6AL10-2-RNA	KP	2.2380603031165736
IFN_COMPACT	B6AL10-3-RNA	KP	1.091616508854802
IFN_COMPACT	B6AL10-4-RNA	KP	2.367744042290594
IFN_COMPACT	B6AL10-5-RNA	KP	2.4190217209500124
IFN_COMPACT	KL155mix-control-2-RNA	KL	0.940247683448265
IFN_COMPACT	KL47-1-untreated-1-RNA	KL	1.211713631012139
IFN_COMPACT	KLC-RNA	KL	0.9622917940566844
IFN_COMPACT	KLD-RNA	KL	2.0158680100619164
IFN_COMPACT	KLE-RNA	KL	1.000564793245917
IFN_OAS	B6AL10-1-RNA	KP	1.7740457664541485
IFN_OAS	B6AL10-2-RNA	KP	1.6233315258422185
IFN_OAS	B6AL10-3-RNA	KP	0.5338230196329891
IFN_OAS	B6AL10-4-RNA	KP	1.736948961800806
IFN_OAS	B6AL10-5-RNA	KP	1.7795720758443405
IFN_OAS	KL155mix-control-2-RNA	KL	0.3338877414684532
IFN_OAS	KL47-1-untreated-1-RNA	KL	0.45901259259418337
IFN_OAS	KLC-RNA	KL	0.5558472360852306
IFN_OAS	KLD-RNA	KL	1.9089142066560905
IFN_OAS	KLE-RNA	KL	0.6662588893494223
IFN_HALLMARK_ALPHA	B6AL10-1-RNA	KP	3.3402427522993077
IFN_HALLMARK_ALPHA	B6AL10-2-RNA	KP	3.2999029064429832
IFN_HALLMARK_ALPHA	B6AL10-3-RNA	KP	2.4018087762451197
IFN_HALLMARK_ALPHA	B6AL10-4-RNA	KP	3.399030950935254
IFN_HALLMARK_ALPHA	B6AL10-5-RNA	KP	3.325809519264232
IFN_HALLMARK_ALPHA	KL155mix-control-2-RNA	KL	2.255438989369607
IFN_HALLMARK_ALPHA	KL47-1-untreated-1-RNA	KL	2.6144929551681964
IFN_HALLMARK_ALPHA	KLC-RNA	KL	2.3013663449432213
IFN_HALLMARK_ALPHA	KLD-RNA	KL	3.1158152534004726
IFN_HALLMARK_ALPHA	KLE-RNA	KL	2.326727469276786
IFN_HALLMARK_GAMMA	B6AL10-1-RNA	KP	3.0256695210327837
IFN_HALLMARK_GAMMA	B6AL10-2-RNA	KP	2.9911310043400676
IFN_HALLMARK_GAMMA	B6AL10-3-RNA	KP	2.2333177428939375
IFN_HALLMARK_GAMMA	B6AL10-4-RNA	KP	3.031754515724453
IFN_HALLMARK_GAMMA	B6AL10-5-RNA	KP	3.0026111157677167
IFN_HALLMARK_GAMMA	KL155mix-control-2-RNA	KL	2.0897459804657634
IFN_HALLMARK_GAMMA	KL47-1-untreated-1-RNA	KL	2.254006402650329
IFN_HALLMARK_GAMMA	KLC-RNA	KL	2.197591993083794
IFN_HALLMARK_GAMMA	KLD-RNA	KL	2.5603849678513497
IFN_HALLMARK_GAMMA	KLE-RNA	KL	2.191217351845857
APM_MHCI	B6AL10-1-RNA	KP	5.416236870786461
APM_MHCI	B6AL10-2-RNA	KP	5.351416441888036
APM_MHCI	B6AL10-3-RNA	KP	3.7953529661701215
APM_MHCI	B6AL10-4-RNA	KP	5.469198779732263
APM_MHCI	B6AL10-5-RNA	KP	5.186055148075303
APM_MHCI	KL155mix-control-2-RNA	KL	4.11297667574373
APM_MHCI	KL47-1-untreated-1-RNA	KL	4.2870760740877465
APM_MHCI	KLC-RNA	KL	4.444123425282021
APM_MHCI	KLD-RNA	KL	5.383100326563626
APM_MHCI	KLE-RNA	KL	4.491523093403324
APM_KEGG	B6AL10-1-RNA	KP	3.1540500803350926
APM_KEGG	B6AL10-2-RNA	KP	3.128334927469915
APM_KEGG	B6AL10-3-RNA	KP	2.109056308604989
APM_KEGG	B6AL10-4-RNA	KP	3.177577334937349
APM_KEGG	B6AL10-5-RNA	KP	3.0383640051599716
APM_KEGG	KL155mix-control-2-RNA	KL	2.0410851735889897
APM_KEGG	KL47-1-untreated-1-RNA	KL	2.0602543492366134
APM_KEGG	KLC-RNA	KL	2.072754013816736
APM_KEGG	KLD-RNA	KL	2.263622378671312
APM_KEGG	KLE-RNA	KL	2.0528469660062694
CLDN4_NEIGHBORHOOD	B6AL10-1-RNA	KP	3.4197715270834412
CLDN4_NEIGHBORHOOD	B6AL10-2-RNA	KP	3.544690293309101
CLDN4_NEIGHBORHOOD	B6AL10-3-RNA	KP	2.598211745319041
CLDN4_NEIGHBORHOOD	B6AL10-4-RNA	KP	3.256551227535605
CLDN4_NEIGHBORHOOD	B6AL10-5-RNA	KP	3.326975727327272
CLDN4_NEIGHBORHOOD	KL155mix-control-2-RNA	KL	2.7124102710801496
CLDN4_NEIGHBORHOOD	KL47-1-untreated-1-RNA	KL	2.915428870635745
CLDN4_NEIGHBORHOOD	KLC-RNA	KL	3.668413306886366
CLDN4_NEIGHBORHOOD	KLD-RNA	KL	4.075695611426682
CLDN4_NEIGHBORHOOD	KLE-RNA	KL	3.6012773293561935
