accession	model	gene	sample	group	value
GSE157880	HKP1 lung	Tacstd2	8_2_S32	IgG_8Gy	10.9105
GSE157880	HKP1 lung	Tacstd2	8_3_S33	IgG_8Gy	5.17175
GSE157880	HKP1 lung	Tacstd2	0-4_S16	PD-1_0Gy	5.15657
GSE157880	HKP1 lung	Tacstd2	0-5_S17	PD-1_0Gy	3.20248
GSE157880	HKP1 lung	Tacstd2	4_4_S28	PD-1_4Gy	7.01531
GSE157880	HKP1 lung	Tacstd2	4_5_S29	PD-1_4Gy	2.15618
GSE157880	HKP1 lung	Tacstd2	4_6_S30	PD-1_4Gy	13.5705
GSE157880	HKP1 lung	Tacstd2	8_4_S34	PD-1_8Gy	2.70363
GSE157880	HKP1 lung	Tacstd2	8_5_S35	PD-1_8Gy	1.77645
GSE157880	HKP1 lung	Tacstd2	8_6_S36	PD-1_8Gy	
GSE157880	HKP1 lung	Cldn4	0-1_S13	IgG_0Gy	4.00999
GSE157880	HKP1 lung	Cldn4	0-2_S14	IgG_0Gy	1.34962
GSE157880	HKP1 lung	Cldn4	0-3_S15	IgG_0Gy	7.28365
GSE157880	HKP1 lung	Cldn4	4_2_S26	IgG_4Gy	7.98539
GSE157880	HKP1 lung	Cldn4	4_3_S27	IgG_4Gy	3.34025
GSE157880	HKP1 lung	Cldn4	8_1_S31	IgG_8Gy	2.60234
GSE157880	HKP1 lung	Cldn4	8_2_S32	IgG_8Gy	11.5793
GSE157880	HKP1 lung	Cldn4	8_3_S33	IgG_8Gy	5.86757
GSE157880	HKP1 lung	Cldn4	0-4_S16	PD-1_0Gy	5.12676
GSE157880	HKP1 lung	Cldn4	0-5_S17	PD-1_0Gy	7.22769
GSE157880	HKP1 lung	Cldn4	4_4_S28	PD-1_4Gy	4.08615
GSE157880	HKP1 lung	Cldn4	4_5_S29	PD-1_4Gy	2.82456
GSE157880	HKP1 lung	Cldn4	4_6_S30	PD-1_4Gy	8.81903
GSE157880	HKP1 lung	Cldn4	8_4_S34	PD-1_8Gy	2.57885
GSE157880	HKP1 lung	Cldn4	8_5_S35	PD-1_8Gy	1.91442
GSE157880	HKP1 lung	Cldn4	8_6_S36	PD-1_8Gy	
GSE157880	HKP1 lung	Cd8a	0-1_S13	IgG_0Gy	113.305
GSE157880	HKP1 lung	Cd8a	0-2_S14	IgG_0Gy	69.8317
GSE157880	HKP1 lung	Cd8a	0-3_S15	IgG_0Gy	39.2423
GSE157880	HKP1 lung	Cd8a	4_2_S26	IgG_4Gy	31.8844
GSE157880	HKP1 lung	Cd8a	4_3_S27	IgG_4Gy	82.5285
GSE157880	HKP1 lung	Cd8a	8_1_S31	IgG_8Gy	96.9009
GSE157880	HKP1 lung	Cd8a	8_2_S32	IgG_8Gy	65.128
GSE157880	HKP1 lung	Cd8a	8_3_S33	IgG_8Gy	67.5754
GSE157880	HKP1 lung	Cd8a	0-4_S16	PD-1_0Gy	39.8208
GSE157880	HKP1 lung	Cd8a	0-5_S17	PD-1_0Gy	73.0892
GSE157880	HKP1 lung	Cd8a	4_4_S28	PD-1_4Gy	38.9017
GSE157880	HKP1 lung	Cd8a	4_5_S29	PD-1_4Gy	69.1611
GSE157880	HKP1 lung	Cd8a	4_6_S30	PD-1_4Gy	37.9105
GSE157880	HKP1 lung	Cd8a	8_4_S34	PD-1_8Gy	64.1073
GSE157880	HKP1 lung	Cd8a	8_5_S35	PD-1_8Gy	85.645
GSE157880	HKP1 lung	Cd8a	8_6_S36	PD-1_8Gy	
GSE157880	HKP1 lung	Cd274	0-1_S13	IgG_0Gy	106.354
GSE157880	HKP1 lung	Cd274	0-2_S14	IgG_0Gy	85.0422
GSE157880	HKP1 lung	Cd274	0-3_S15	IgG_0Gy	76.6
GSE157880	HKP1 lung	Cd274	4_2_S26	IgG_4Gy	74.0828
GSE157880	HKP1 lung	Cd274	4_3_S27	IgG_4Gy	27.5176
GSE157880	HKP1 lung	Cd274	8_1_S31	IgG_8Gy	63.8562
GSE157880	HKP1 lung	Cd274	8_2_S32	IgG_8Gy	75.5769
GSE157880	HKP1 lung	Cd274	8_3_S33	IgG_8Gy	54.3404
GSE157880	HKP1 lung	Cd274	0-4_S16	PD-1_0Gy	73.1072
GSE157880	HKP1 lung	Cd274	0-5_S17	PD-1_0Gy	55.3998
GSE157880	HKP1 lung	Cd274	4_4_S28	PD-1_4Gy	32.2853
GSE157880	HKP1 lung	Cd274	4_5_S29	PD-1_4Gy	87.2638
GSE157880	HKP1 lung	Cd274	4_6_S30	PD-1_4Gy	78.6877
GSE157880	HKP1 lung	Cd274	8_4_S34	PD-1_8Gy	109.053
GSE157880	HKP1 lung	Cd274	8_5_S35	PD-1_8Gy	106.398
GSE157880	HKP1 lung	Cd274	8_6_S36	PD-1_8Gy	
GSE239485	LLC	Tacstd2	chr	other	
GSE239485	LLC	Tacstd2	DB	other	
GSE239485	LLC	Tacstd2	Type	other	
GSE239485	LLC	Tacstd2	start	other	67511046.0
GSE239485	LLC	Tacstd2	end	other	67512780.0
GSE239485	LLC	Tacstd2	strand	other	
GSE239485	LLC	Tacstd2	C_339_S25	Vehicle	-3.45890526188861
GSE239485	LLC	Tacstd2	C_351_S29	Vehicle	-2.77966153385733
GSE239485	LLC	Tacstd2	C_356_S27	Vehicle	-5.15742511598652
GSE239485	LLC	Tacstd2	C_358_S26	Vehicle	-3.42741408638233
GSE239485	LLC	Tacstd2	C_361_S32	Vehicle	-2.59697658517942
GSE239485	LLC	Tacstd2	C_364_S28	Vehicle	-3.52835113879256
GSE239485	LLC	Tacstd2	C_369_S30	Vehicle	-2.34329371199355
GSE239485	LLC	Tacstd2	C_375_S31	Vehicle	-1.44766839688096
GSE239485	LLC	Tacstd2	D_344_S33	Poly I:C + anti-PD-1	-1.37765183824859
GSE239485	LLC	Tacstd2	D_357_S37	Poly I:C + anti-PD-1	-1.070949146241
GSE239485	LLC	Tacstd2	D_359_S39	Poly I:C + anti-PD-1	-0.682119574288495
GSE239485	LLC	Tacstd2	D_366_S34	Poly I:C + anti-PD-1	-1.87525931868316
GSE239485	LLC	Tacstd2	D_367_S35	Poly I:C + anti-PD-1	-1.83043951105821
GSE239485	LLC	Tacstd2	D_368_S36	Poly I:C + anti-PD-1	-0.597495668763158
GSE239485	LLC	Tacstd2	D_370_S38	Poly I:C + anti-PD-1	-0.62840096492206
GSE239485	LLC	Tacstd2	D_373_S40	Poly I:C + anti-PD-1	0.0683606989642292
GSE239485	LLC	Tacstd2	T_331_S44	Poly I:C + anti-PD-1 + C5aR1i	-0.966553271728476
GSE239485	LLC	Tacstd2	T_352_S48	Poly I:C + anti-PD-1 + C5aR1i	0.750061120830313
GSE239485	LLC	Tacstd2	T_353_S45	Poly I:C + anti-PD-1 + C5aR1i	-2.3987407998846
GSE239485	LLC	Tacstd2	T_354_S47	Poly I:C + anti-PD-1 + C5aR1i	0.0552871249139915
GSE239485	LLC	Tacstd2	T_355_S43	Poly I:C + anti-PD-1 + C5aR1i	0.96695305508075
GSE239485	LLC	Tacstd2	T_360_S46	Poly I:C + anti-PD-1 + C5aR1i	0.89418445759684
GSE239485	LLC	Tacstd2	T_362_S42	Poly I:C + anti-PD-1 + C5aR1i	-1.78394032153352
GSE239485	LLC	Tacstd2	T_363_S41	Poly I:C + anti-PD-1 + C5aR1i	-1.64812181567333
GSE239485	LLC	Cldn4	chr	other	
GSE239485	LLC	Cldn4	DB	other	
GSE239485	LLC	Cldn4	Type	other	
GSE239485	LLC	Cldn4	start	other	134973973.0
GSE239485	LLC	Cldn4	end	other	134975788.0
GSE239485	LLC	Cldn4	strand	other	
GSE239485	LLC	Cldn4	C_339_S25	Vehicle	-1.87394276116745
GSE239485	LLC	Cldn4	C_351_S29	Vehicle	-3.51662712802353
GSE239485	LLC	Cldn4	C_356_S27	Vehicle	-3.57246261526537
GSE239485	LLC	Cldn4	C_358_S26	Vehicle	-3.42741408638233
GSE239485	LLC	Cldn4	C_361_S32	Vehicle	-4.91890468006678
GSE239485	LLC	Cldn4	C_364_S28	Vehicle	-2.79138554462635
GSE239485	LLC	Cldn4	C_369_S30	Vehicle	-1.98072363260884
GSE239485	LLC	Cldn4	C_375_S31	Vehicle	-2.5851719206309
GSE239485	LLC	Cldn4	D_344_S33	Poly I:C + anti-PD-1	-2.51515536199853
GSE239485	LLC	Cldn4	D_357_S37	Poly I:C + anti-PD-1	-4.97783974184952
GSE239485	LLC	Cldn4	D_359_S39	Poly I:C + anti-PD-1	-3.34508458701092
GSE239485	LLC	Cldn4	D_366_S34	Poly I:C + anti-PD-1	-3.46022181940432
GSE239485	LLC	Cldn4	D_367_S35	Poly I:C + anti-PD-1	-5.00036451250052
GSE239485	LLC	Cldn4	D_368_S36	Poly I:C + anti-PD-1	-5.24135185853788
GSE239485	LLC	Cldn4	D_370_S38	Poly I:C + anti-PD-1	-5.02071838770082
GSE239485	LLC	Cldn4	D_373_S40	Poly I:C + anti-PD-1	-1.27559370225313
GSE239485	LLC	Cldn4	T_331_S44	Poly I:C + anti-PD-1 + C5aR1i	-1.59458449434152
GSE239485	LLC	Cldn4	T_352_S48	Poly I:C + anti-PD-1 + C5aR1i	-1.62339727469713
GSE239485	LLC	Cldn4	T_353_S45	Poly I:C + anti-PD-1 + C5aR1i	-5.20609572194221
GSE239485	LLC	Cldn4	T_354_S47	Poly I:C + anti-PD-1 + C5aR1i	-2.34681131865735
GSE239485	LLC	Cldn4	T_355_S43	Poly I:C + anti-PD-1 + C5aR1i	-3.42536436769801
GSE239485	LLC	Cldn4	T_360_S46	Poly I:C + anti-PD-1 + C5aR1i	-1.55512294376675
GSE239485	LLC	Cldn4	T_362_S42	Poly I:C + anti-PD-1 + C5aR1i	-3.36890282225467
GSE239485	LLC	Cldn4	T_363_S41	Poly I:C + anti-PD-1 + C5aR1i	-0.859625920867044
GSE239485	LLC	Cd8a	chr	other	
GSE239485	LLC	Cd8a	DB	other	
GSE239485	LLC	Cd8a	Type	other	
GSE239485	LLC	Cd8a	start	other	71299772.0
GSE239485	LLC	Cd8a	end	other	71314478.0
GSE239485	LLC	Cd8a	strand	other	
GSE239485	LLC	Cd8a	C_339_S25	Vehicle	2.39076046502696
GSE239485	LLC	Cd8a	C_351_S29	Vehicle	2.03796172365411
GSE239485	LLC	Cd8a	C_356_S27	Vehicle	1.76143812128807
GSE239485	LLC	Cd8a	C_358_S26	Vehicle	0.602333257011722
GSE239485	LLC	Cd8a	C_361_S32	Vehicle	0.75352066190471
GSE239485	LLC	Cd8a	C_364_S28	Vehicle	0.769329409848126
GSE239485	LLC	Cd8a	C_369_S30	Vehicle	1.66953032836404
GSE239485	LLC	Cd8a	C_375_S31	Vehicle	1.1152677975102
GSE239485	LLC	Cd8a	D_344_S33	Poly I:C + anti-PD-1	1.90438352951526
GSE239485	LLC	Cd8a	D_357_S37	Poly I:C + anti-PD-1	2.29828466342472
GSE239485	LLC	Cd8a	D_359_S39	Poly I:C + anti-PD-1	1.81141989866907
GSE239485	LLC	Cd8a	D_366_S34	Poly I:C + anti-PD-1	1.74923154622463
GSE239485	LLC	Cd8a	D_367_S35	Poly I:C + anti-PD-1	0.357187492117565
GSE239485	LLC	Cd8a	D_368_S36	Poly I:C + anti-PD-1	1.32850374979307
GSE239485	LLC	Cd8a	D_370_S38	Poly I:C + anti-PD-1	1.3543210436461
GSE239485	LLC	Cd8a	D_373_S40	Poly I:C + anti-PD-1	1.98975086426786
GSE239485	LLC	Cd8a	T_331_S44	Poly I:C + anti-PD-1 + C5aR1i	2.00126632252237
GSE239485	LLC	Cd8a	T_352_S48	Poly I:C + anti-PD-1 + C5aR1i	4.02830677690028
GSE239485	LLC	Cd8a	T_353_S45	Poly I:C + anti-PD-1 + C5aR1i	4.02512545876898
GSE239485	LLC	Cd8a	T_354_S47	Poly I:C + anti-PD-1 + C5aR1i	3.91997522203755
GSE239485	LLC	Cd8a	T_355_S43	Poly I:C + anti-PD-1 + C5aR1i	3.67266771526252
GSE239485	LLC	Cd8a	T_360_S46	Poly I:C + anti-PD-1 + C5aR1i	3.05277636823157
GSE239485	LLC	Cd8a	T_362_S42	Poly I:C + anti-PD-1 + C5aR1i	3.33615352395679
GSE239485	LLC	Cd8a	T_363_S41	Poly I:C + anti-PD-1 + C5aR1i	2.61354575439656
GSE239485	LLC	Cd274	chr	other	
GSE239485	LLC	Cd274	DB	other	
GSE239485	LLC	Cd274	Type	other	
GSE239485	LLC	Cd274	start	other	29344855.0
GSE239485	LLC	Cd274	end	other	29365495.0
GSE239485	LLC	Cd274	strand	other	
GSE239485	LLC	Cd274	C_339_S25	Vehicle	5.68829966305362
GSE239485	LLC	Cd274	C_351_S29	Vehicle	5.6305777969187
GSE239485	LLC	Cd274	C_356_S27	Vehicle	5.37493080930232
GSE239485	LLC	Cd274	C_358_S26	Vehicle	4.80300670871005
GSE239485	LLC	Cd274	C_361_S32	Vehicle	5.4242810353811
GSE239485	LLC	Cd274	C_364_S28	Vehicle	4.20183592274259
GSE239485	LLC	Cd274	C_369_S30	Vehicle	5.22981243103782
GSE239485	LLC	Cd274	C_375_S31	Vehicle	4.87589819340216
GSE239485	LLC	Cd274	D_344_S33	Poly I:C + anti-PD-1	6.5022098432942
GSE239485	LLC	Cd274	D_357_S37	Poly I:C + anti-PD-1	7.44816287147984
GSE239485	LLC	Cd274	D_359_S39	Poly I:C + anti-PD-1	7.31342445066425
GSE239485	LLC	Cd274	D_366_S34	Poly I:C + anti-PD-1	6.71761294237276
GSE239485	LLC	Cd274	D_367_S35	Poly I:C + anti-PD-1	7.18976880936428
GSE239485	LLC	Cd274	D_368_S36	Poly I:C + anti-PD-1	7.32351213168906
GSE239485	LLC	Cd274	D_370_S38	Poly I:C + anti-PD-1	6.42066964164587
GSE239485	LLC	Cd274	D_373_S40	Poly I:C + anti-PD-1	7.84832871317526
GSE239485	LLC	Cd274	T_331_S44	Poly I:C + anti-PD-1 + C5aR1i	6.53516685406054
GSE239485	LLC	Cd274	T_352_S48	Poly I:C + anti-PD-1 + C5aR1i	8.20416195829756
GSE239485	LLC	Cd274	T_353_S45	Poly I:C + anti-PD-1 + C5aR1i	7.78027965749313
GSE239485	LLC	Cd274	T_354_S47	Poly I:C + anti-PD-1 + C5aR1i	8.15857493332601
GSE239485	LLC	Cd274	T_355_S43	Poly I:C + anti-PD-1 + C5aR1i	8.66574039067849
GSE239485	LLC	Cd274	T_360_S46	Poly I:C + anti-PD-1 + C5aR1i	7.79445600664449
GSE239485	LLC	Cd274	T_362_S42	Poly I:C + anti-PD-1 + C5aR1i	6.98754914796708
GSE239485	LLC	Cd274	T_363_S41	Poly I:C + anti-PD-1 + C5aR1i	7.35367019330274
GSE262305	LLC	Tacstd2	BTZ+PDL1-01_FPKM	BTZ+aPDL1	0.058329441
GSE262305	LLC	Tacstd2	BTZ+PDL1-02_FPKM	BTZ+aPDL1	0.124507324
GSE262305	LLC	Tacstd2	BTZ+PDL1-03_FPKM	BTZ+aPDL1	0.300943534
GSE262305	LLC	Tacstd2	Blank-01_FPKM	isotype	0.210129229
GSE262305	LLC	Tacstd2	Blank-02_FPKM	isotype	0.054978601
GSE262305	LLC	Tacstd2	Blank-03_FPKM	isotype	0.214874285
GSE262305	LLC	Tacstd2	PDL1-01_FPKM	aPDL1	0.17301584
GSE262305	LLC	Tacstd2	PDL1-02_FPKM	aPDL1	0.175760232
GSE262305	LLC	Tacstd2	PDL1-03_FPKM	aPDL1	0.214359531
GSE262305	LLC	Cldn4	BTZ+PDL1-01_FPKM	BTZ+aPDL1	0.083591614
GSE262305	LLC	Cldn4	BTZ+PDL1-02_FPKM	BTZ+aPDL1	0.029738465
GSE262305	LLC	Cldn4	BTZ+PDL1-03_FPKM	BTZ+aPDL1	0.0
GSE262305	LLC	Cldn4	Blank-01_FPKM	isotype	0.0
GSE262305	LLC	Cldn4	Blank-02_FPKM	isotype	0.236381261
GSE262305	LLC	Cldn4	Blank-03_FPKM	isotype	0.117312911
GSE262305	LLC	Cldn4	PDL1-01_FPKM	aPDL1	0.055090429
GSE262305	LLC	Cldn4	PDL1-02_FPKM	aPDL1	0.083960353
GSE262305	LLC	Cldn4	PDL1-03_FPKM	aPDL1	0.051205894
GSE262305	LLC	Cd8a	BTZ+PDL1-01_FPKM	BTZ+aPDL1	0.762912255
GSE262305	LLC	Cd8a	BTZ+PDL1-02_FPKM	BTZ+aPDL1	0.736932264
GSE262305	LLC	Cd8a	BTZ+PDL1-03_FPKM	BTZ+aPDL1	0.834625357
GSE262305	LLC	Cd8a	Blank-01_FPKM	isotype	0.703911254
GSE262305	LLC	Cd8a	Blank-02_FPKM	isotype	0.04958434
GSE262305	LLC	Cd8a	Blank-03_FPKM	isotype	0.636704085
GSE262305	LLC	Cd8a	PDL1-01_FPKM	aPDL1	0.825679677
GSE262305	LLC	Cd8a	PDL1-02_FPKM	aPDL1	0.653876029
GSE262305	LLC	Cd8a	PDL1-03_FPKM	aPDL1	0.658534466
GSE262305	LLC	Cd274	BTZ+PDL1-01_FPKM	BTZ+aPDL1	7.7408411
GSE262305	LLC	Cd274	BTZ+PDL1-02_FPKM	BTZ+aPDL1	7.008029295
GSE262305	LLC	Cd274	BTZ+PDL1-03_FPKM	BTZ+aPDL1	11.61935091
GSE262305	LLC	Cd274	Blank-01_FPKM	isotype	5.061610469
GSE262305	LLC	Cd274	Blank-02_FPKM	isotype	4.33248087
GSE262305	LLC	Cd274	Blank-03_FPKM	isotype	8.292556583
GSE262305	LLC	Cd274	PDL1-01_FPKM	aPDL1	7.16862598
GSE262305	LLC	Cd274	PDL1-02_FPKM	aPDL1	9.134891371
GSE262305	LLC	Cd274	PDL1-03_FPKM	aPDL1	10.03734084
GSE274960	LL/2	Tacstd2	LL2_IgG_1	IgG	43.0
GSE274960	LL/2	Tacstd2	LL2_IgG_2	IgG	51.0
GSE274960	LL/2	Tacstd2	LL2_IgG_3	IgG	12.0
GSE274960	LL/2	Tacstd2	LL2_E_1	Entrectinib	28.0
GSE274960	LL/2	Tacstd2	LL2_E_2	Entrectinib	8.0
GSE274960	LL/2	Tacstd2	LL2_E_3	Entrectinib	10.0
GSE274960	LL/2	Tacstd2	LL2_PD_1	aPD1	44.0
GSE274960	LL/2	Tacstd2	LL2_PD_2	aPD1	12.0
GSE274960	LL/2	Tacstd2	LL2_PD_3	aPD1	24.0
GSE274960	LL/2	Tacstd2	LL2_E_PD_1	Entrectinib+aPD1	14.0
GSE274960	LL/2	Tacstd2	LL2_E_PD_2	Entrectinib+aPD1	4.0
GSE274960	LL/2	Tacstd2	LL2_E_PD_3	Entrectinib+aPD1	11.0
GSE274960	LL/2	Tacstd2	LL2_E_PD_4	Entrectinib+aPD1	16.0
GSE274960	LL/2	Tacstd2	LL2_CNTRL_1	shCTRL	0.0
GSE274960	LL/2	Tacstd2	LL2_CNTRL_2	shCTRL	0.0
GSE274960	LL/2	Tacstd2	LL2_CNTRL_3	shCTRL	4.0
GSE274960	LL/2	Tacstd2	LL2_shNTRK_1	shNTRK1	4.0
GSE274960	LL/2	Tacstd2	LL2_shNTRK_2	shNTRK1	4.0
GSE274960	LL/2	Tacstd2	LL2_shNTRK_3	shNTRK1	0.0
GSE274960	LL/2	Cldn4	LL2_IgG_1	IgG	8.0
GSE274960	LL/2	Cldn4	LL2_IgG_2	IgG	20.0
GSE274960	LL/2	Cldn4	LL2_IgG_3	IgG	0.0
GSE274960	LL/2	Cldn4	LL2_E_1	Entrectinib	0.0
GSE274960	LL/2	Cldn4	LL2_E_2	Entrectinib	28.0
GSE274960	LL/2	Cldn4	LL2_E_3	Entrectinib	10.0
GSE274960	LL/2	Cldn4	LL2_PD_1	aPD1	20.0
GSE274960	LL/2	Cldn4	LL2_PD_2	aPD1	8.0
GSE274960	LL/2	Cldn4	LL2_PD_3	aPD1	28.0
GSE274960	LL/2	Cldn4	LL2_E_PD_1	Entrectinib+aPD1	12.0
GSE274960	LL/2	Cldn4	LL2_E_PD_2	Entrectinib+aPD1	91.0
GSE274960	LL/2	Cldn4	LL2_E_PD_3	Entrectinib+aPD1	40.0
GSE274960	LL/2	Cldn4	LL2_E_PD_4	Entrectinib+aPD1	55.0
GSE274960	LL/2	Cldn4	LL2_CNTRL_1	shCTRL	0.0
GSE274960	LL/2	Cldn4	LL2_CNTRL_2	shCTRL	0.0
GSE274960	LL/2	Cldn4	LL2_CNTRL_3	shCTRL	8.0
GSE274960	LL/2	Cldn4	LL2_shNTRK_1	shNTRK1	0.0
GSE274960	LL/2	Cldn4	LL2_shNTRK_2	shNTRK1	8.0
GSE274960	LL/2	Cldn4	LL2_shNTRK_3	shNTRK1	0.0
GSE274960	LL/2	Cd8a	LL2_IgG_1	IgG	111.0
GSE274960	LL/2	Cd8a	LL2_IgG_2	IgG	68.0
GSE274960	LL/2	Cd8a	LL2_IgG_3	IgG	20.0
GSE274960	LL/2	Cd8a	LL2_E_1	Entrectinib	45.0
GSE274960	LL/2	Cd8a	LL2_E_2	Entrectinib	151.0
GSE274960	LL/2	Cd8a	LL2_E_3	Entrectinib	41.0
GSE274960	LL/2	Cd8a	LL2_PD_1	aPD1	108.0
GSE274960	LL/2	Cd8a	LL2_PD_2	aPD1	166.0
GSE274960	LL/2	Cd8a	LL2_PD_3	aPD1	59.0
GSE274960	LL/2	Cd8a	LL2_E_PD_1	Entrectinib+aPD1	694.0
GSE274960	LL/2	Cd8a	LL2_E_PD_2	Entrectinib+aPD1	672.0
GSE274960	LL/2	Cd8a	LL2_E_PD_3	Entrectinib+aPD1	169.0
GSE274960	LL/2	Cd8a	LL2_E_PD_4	Entrectinib+aPD1	217.0
GSE274960	LL/2	Cd8a	LL2_CNTRL_1	shCTRL	0.0
GSE274960	LL/2	Cd8a	LL2_CNTRL_2	shCTRL	0.0
GSE274960	LL/2	Cd8a	LL2_CNTRL_3	shCTRL	0.0
GSE274960	LL/2	Cd8a	LL2_shNTRK_1	shNTRK1	0.0
GSE274960	LL/2	Cd8a	LL2_shNTRK_2	shNTRK1	0.0
GSE274960	LL/2	Cd8a	LL2_shNTRK_3	shNTRK1	0.0
GSE274960	LL/2	Cd274	LL2_IgG_1	IgG	3495.0
GSE274960	LL/2	Cd274	LL2_IgG_2	IgG	1893.0
GSE274960	LL/2	Cd274	LL2_IgG_3	IgG	1803.0
GSE274960	LL/2	Cd274	LL2_E_1	Entrectinib	2497.0
GSE274960	LL/2	Cd274	LL2_E_2	Entrectinib	1958.0
GSE274960	LL/2	Cd274	LL2_E_3	Entrectinib	1411.0
GSE274960	LL/2	Cd274	LL2_PD_1	aPD1	2222.0
GSE274960	LL/2	Cd274	LL2_PD_2	aPD1	2140.0
GSE274960	LL/2	Cd274	LL2_PD_3	aPD1	2366.0
GSE274960	LL/2	Cd274	LL2_E_PD_1	Entrectinib+aPD1	4358.0
GSE274960	LL/2	Cd274	LL2_E_PD_2	Entrectinib+aPD1	4582.0
GSE274960	LL/2	Cd274	LL2_E_PD_3	Entrectinib+aPD1	6800.0
GSE274960	LL/2	Cd274	LL2_E_PD_4	Entrectinib+aPD1	5449.0
GSE274960	LL/2	Cd274	LL2_CNTRL_1	shCTRL	342.0
GSE274960	LL/2	Cd274	LL2_CNTRL_2	shCTRL	322.0
GSE274960	LL/2	Cd274	LL2_CNTRL_3	shCTRL	328.0
GSE274960	LL/2	Cd274	LL2_shNTRK_1	shNTRK1	291.0
GSE274960	LL/2	Cd274	LL2_shNTRK_2	shNTRK1	264.0
GSE274960	LL/2	Cd274	LL2_shNTRK_3	shNTRK1	266.0
GSE297630	LLC	Tacstd2	C-1_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	13.19
GSE297630	LLC	Tacstd2	C-2_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	13.12
GSE297630	LLC	Tacstd2	C-3_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	13.0
GSE297630	LLC	Tacstd2	P-1_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	15.18
GSE297630	LLC	Tacstd2	P-2_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	15.19
GSE297630	LLC	Tacstd2	P-3_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	15.09
GSE297630	LLC	Cldn4	C-1_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	14.12
GSE297630	LLC	Cldn4	C-2_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	14.21
GSE297630	LLC	Cldn4	C-3_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	control	14.18
GSE297630	LLC	Cldn4	P-1_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	13.91
GSE297630	LLC	Cldn4	P-2_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	14.03
GSE297630	LLC	Cldn4	P-3_(Clariom_S_Mouse).sst-rma-gene-full.chp Signal	aPD1_tolerant	14.0
GSE169194	KPM total tumor	Tacstd2	X1740R_159_04	total_IgG	5.16717530974669
