accession	model	design	gene	group_a	group_b	n_a	n_b	mean_a	mean_b	log2FC_b_vs_a	log2FC_KL_vs_KP	welch_p	mwu_p	author_p	value_space	icb	response	genotype	note
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Tacstd2	IgG	Entrectinib+aPD1	3	4	35.333333333333336	11.25	-1.568511979940562		0.17510638266072623	0.22857142857142856		log2_(mean+1)	True	False	False	combo
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Cldn4	IgG	aPD1	3	3	9.333333333333334	18.666666666666668	0.9284467389749661		0.3195695775374019	0.36868826936178156		log2_(mean+1)	True	False	False	monotherapy ICB
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Cldn4	IgG	Entrectinib+aPD1	3	4	9.333333333333334	49.5	2.288977673086076		0.08797747895978078	0.11428571428571428		log2_(mean+1)	True	False	False	combo
GSE297630	LLC subcutaneous survivors	anti-PD-1-tolerant remaining cells vs untreated control	Tacstd2	control	aPD1_tolerant	3	3	13.103333333333333	15.15333333333333	2.049999999999997		4.155736072981077e-05	0.1		already_log_mean_diff	True	True	False	Clariom S log2 signal; not R vs NR mice. Author C-vs-P DE also deposited.
GSE297630	LLC subcutaneous survivors	anti-PD-1-tolerant remaining cells vs untreated control	Cldn4	control	aPD1_tolerant	3	3	14.17	13.979999999999999	-0.19000000000000128		0.01581061221421688	0.1		already_log_mean_diff	True	True	False	Clariom S log2 signal; not R vs NR mice. Author C-vs-P DE also deposited.
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Tacstd2	IgG	A2V+aPD1	3	3	4.181691042310143	4.32900022807059	0.04994739021521812		0.8209254415736627	1.0		log2_mean_plus_eps	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Tacstd2	A2V	A2V+aPD1	3	3	4.104272605787147	4.32900022807059	0.07690730037780469		0.7504344320186521	0.7		log2_mean_plus_eps	True	False	False	ICB on anti-angiogenic background
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Cldn4	IgG	A2V+aPD1	3	3	4.579829729262211	3.871278689993877	-0.24248373483857635		0.43554442009930716	0.7		log2_mean_plus_eps	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Cldn4	A2V	A2V+aPD1	3	3	4.6825221811905235	3.871278689993877	-0.27447559425938994		0.14801820015882192	0.2		log2_mean_plus_eps	True	False	False	ICB on anti-angiogenic background
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Tacstd2	parental	ICB_relapse	6	12	8.373246757401883	8.320587460725402	-0.05265929667648095		0.11548326657065044	0.1840386271964254		already_log_mean_diff	True	True	False	acquired-resistance model; not labeled R vs NR mice
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Cldn4	parental	ICB_relapse	6	12	8.712475934563784	8.92420359706608	0.21172766250229635		0.11986832657337228	0.1840386271964254		already_log_mean_diff	True	True	False	acquired-resistance model; not labeled R vs NR mice
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Tacstd2	parental	ICB_relapse	6	12	8.373246757401883	8.320587460725402	-0.05265929667648095		0.2948708338717264	0.20909090909090908		already_log_mean_diff	True	True	False	acquired-resistance model; not labeled R vs NR mice
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Cldn4	parental	ICB_relapse	6	12	8.712475934563784	8.92420359706608	0.21172766250229635		0.9713469360206071	0.7272727272727273		already_log_mean_diff	True	True	False	acquired-resistance model; not labeled R vs NR mice
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Tacstd2	Lkb1_restored	Lkb1_off	11	17	252.59092385102667	329.53292516813997	0.3822908775564411		0.04220715285183711	0.011079526695110073		log2_mean_plus1	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Tacstd2	KT_WT	Lkb1_off	4	17	257.9015376807385	329.53292516813997	0.35239045537498376		0.32076572827413047	0.36157059314954054		log2_mean_plus1	False	False	True	genotype
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Cldn4	Lkb1_restored	Lkb1_off	11	17	57.12571064578959	93.4811510469207	0.7008500913105573		0.1566728800762934	0.23959108046058852		log2_mean_plus1	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Cldn4	KT_WT	Lkb1_off	4	17	44.5701731923166	93.4811510469207	1.0519366873120686		0.095134039668864	0.08053467000835422		log2_mean_plus1	False	False	True	genotype
GSE137396	GEMM lung nodules	KL vs KP	Tacstd2	KP	KL	5	5	-0.5573288	0.4645424	1.0218712		0.08053030297731555	0.09523809523809523		already_log_mean_diff	False	False	True	already-log median-centered; not ICB
GSE137396	GEMM lung nodules	KL vs KP	Cldn4	KP	KL	5	5	0.19188120000000003	0.6268342	0.434953		0.5784095393347376	1.0		already_log_mean_diff	False	False	True	already-log median-centered; not ICB
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Tacstd2	KP	KL	3	3			-7.43644822403693	7.43644822403693	1.03177506641898e-69		1.03177506641898e-69	author_DEG_KP_vs_KL	False	False	True	DEG table only; RNA is genotype not ICB
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Cldn4	KP	KL	3	3			-8.6050548190832	8.6050548190832	1.26964008923844e-25		1.26964008923844e-25	author_DEG_KP_vs_KL	False	False	True	DEG table only; RNA is genotype not ICB
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Tacstd2	KP	KL	5	5	15.736	12.094	-0.3540488726584228		0.7255282473245136	0.5476190476190477		log2_(mean+1)	False	False	True	no ICB on these samples
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Tacstd2	K	KL	4	5	3.01	12.094	1.7072317422462362		0.3340168455098679	0.7301587301587302		log2_(mean+1)	False	False	True	no ICB
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Cldn4	KP	KL	5	5	17.0	10.382	-0.6612428219717676		0.5204881086403327	0.6723358083659552		log2_(mean+1)	False	False	True	no ICB on these samples
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Cldn4	K	KL	4	5	9.682500000000001	10.382	0.0915047675641578		0.9454790065194957	0.9008653893206502		log2_(mean+1)	False	False	True	no ICB
GSE338923	Lacun3 LUAD cells	STK11 KO vs WT	Cldn4	STK11_WT	STK11_KO	4	4	-1.18872675871716	-3.9685303793632323	-2.7798036206460726		0.015865991253155517	0.02857142857142857		already_log_mean_diff	False	False	True	in vitro; no ICB
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Tacstd2	WT	Ago2KO	4	4	4.3925	11.8525	1.2530228355898727		0.056360101745802464	0.11428571428571428		log2_(mean+1)	False	True	False	RNA without ICI; model-level sensitivity proxy
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Cldn4	WT	Ago2KO	4	4	1.9275	6.592499999999999	1.3749058326662444		0.05320938910478683	0.02857142857142857		log2_(mean+1)	False	True	False	RNA without ICI; model-level sensitivity proxy
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Tacstd2	aPD1+aKLH	aPD1+aLAIR1	3	4	2.0	0.75	-0.777607578663552		0.6057958093751666	0.8254979107046321		log2_(mean+1)	True	False	False	no ICB-untreated arm
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Cldn4	aPD1+aKLH	aPD1+aLAIR1	3	4	9.333333333333334	9.25	-0.011681805047635486		0.989344776301769	0.8584272902604018		log2_(mean+1)	True	False	False	no ICB-untreated arm
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Tacstd2	gef_vehicle_d21	gef_4h2_d21	1	1	93.0	1.0	-5.554588851677638					log2_(mean+1)	True	False	False	n=1 arm; p not computed
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Cldn4	gef_vehicle_d21	gef_4h2_d21	1	1	209.0	1.3	-6.512611656496472					log2_(mean+1)	True	False	False	n=1 arm; p not computed
GSE256071	KP cells vitro	SOX2-high vs control	Tacstd2	KP_ctrl	SOX2	3	3	0.0066616963105072995	0.0	-0.0066616963105072995		0.4226497308103743	0.5049850750938458		already_log_mean_diff	False	False	False	checkpoint-resistance model; no ICB on RNA
GSE256071	KP cells vitro	SOX2-high vs control	Cldn4	KP_ctrl	SOX2	3	3	0.23607183592626765	0.253759040199376	0.017687204273108353		0.7358373617684304	1.0		already_log_mean_diff	False	False	False	checkpoint-resistance model; no ICB on RNA
