accession	model	design	gene	group_a	group_b	icb_contrast	response_contrast	genotype_contrast	note	n_a	n_b	mean_a	mean_b	median_a	median_b	log2fc_mean	welch_p	mwu_p	direction	space	welch_fdr_among_icb	author_row
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Cldn4	IgG	Entrectinib+aPD1	True	False	False	combo	3	4	9.333333333333334	49.5	8.0	47.5	2.288977673086076	0.08797747895978078	0.11428571428571428	up_in_b	log2_mean_plus1	0.4195848996543391	
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Cd8a	IgG	aPD1	True	False	False	monotherapy ICB	3	3	66.33333333333333	111.0	68.0	108.0	0.7341059400269657	0.33434489303622517	0.7	up_in_b	log2_mean_plus1	0.6311408767649335	
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Cd8a	IgG	Entrectinib+aPD1	True	False	False	combo	3	4	66.33333333333333	438.0	68.0	444.5	2.7048281475047196	0.07680163186703842	0.05714285714285714	up_in_b	log2_mean_plus1	0.39680843131303184	
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Cd274	IgG	aPD1	True	False	False	monotherapy ICB	3	3	2397.0	2242.6666666666665	1893.0	2222.0	-0.09597330280001484	0.8059307311551487	0.7	down_in_b	log2_mean_plus1	0.9085037333021677	
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Cd274	IgG	Entrectinib+aPD1	True	False	False	combo	3	4	2397.0	5297.25	1893.0	5015.5	1.1436842606916806	0.014712974830159683	0.05714285714285714	up_in_b	log2_mean_plus1	0.10891755080904961	
GSE297630	LLC subcutaneous survivors	anti-PD-1-tolerant remaining cells vs untreated control	Tacstd2	control	aPD1_tolerant	True	True	False	Clariom S log2 signal; not R vs NR mice. Author C-vs-P DE also deposited.	3	3	13.103333333333333	15.15333333333333	13.12	15.18	0.2097013054988258	4.155736072981077e-05	0.1	up_in_b	log2_mean_plus_eps	0.0008588521217494225	
GSE297630	LLC subcutaneous survivors	anti-PD-1-tolerant remaining cells vs untreated control	Cldn4	control	aPD1_tolerant	True	True	False	Clariom S log2 signal; not R vs NR mice. Author C-vs-P DE also deposited.	3	3	14.17	13.979999999999999	14.18	14.0	-0.019475396158853017	0.01581061221421688	0.1	down_in_b	log2_mean_plus_eps	0.10891755080904961	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Tacstd2	IgG	A2V+aPD1	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo	3	3	4.181691042310143	4.32900022807059	4.13388568790883	4.2205832166176	0.04994739021521812	0.8209254415736627	1.0	up_in_b	log2_mean_plus_eps	0.9088817388851265	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Tacstd2	A2V	A2V+aPD1	True	False	False	ICB on anti-angiogenic background	3	3	4.104272605787147	4.32900022807059	3.55038428989042	4.2205832166176	0.07690730037780469	0.7504344320186521	0.7	up_in_b	log2_mean_plus_eps	0.8616099034288228	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Cldn4	IgG	A2V+aPD1	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo	3	3	4.579829729262211	3.871278689993877	4.26799157682732	4.13569431903108	-0.24248373483857635	0.43554442009930716	0.7	down_in_b	log2_mean_plus_eps	0.658628147467245	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Cldn4	A2V	A2V+aPD1	True	False	False	ICB on anti-angiogenic background	3	3	4.6825221811905235	3.871278689993877	4.63323050307039	4.13569431903108	-0.27447559425938994	0.14801820015882192	0.2	down_in_b	log2_mean_plus_eps	0.5176126997530195	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Cd8a	IgG	A2V+aPD1	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo	3	3	4.031331661916794	3.4366770232446933	4.5373484944009	3.56129562251974	-0.23024214369059423	0.4306234594447845	0.7	down_in_b	log2_mean_plus_eps	0.658628147467245	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Cd8a	A2V	A2V+aPD1	True	False	False	ICB on anti-angiogenic background	3	3	3.8792401184837906	3.4366770232446933	3.59575579765173	3.56129562251974	-0.17475975665033514	0.32272608692006627	0.7	down_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs IgG	Cd274	IgG	A2V+aPD1	True	False	False	no aPD-1 monotherapy; anti-angiogenic combo	3	3	6.911661264936266	7.197166341473967	7.12921187425556	7.22682972571263	0.05839648025011211	0.4490428116872858	1.0	up_in_b	log2_mean_plus_eps	0.6604690799243653	
GSE169194	KPM GEMM total tumor cells	A2V+anti-PD1 vs A2V	Cd274	A2V	A2V+aPD1	True	False	False	ICB on anti-angiogenic background	3	3	6.765402710124757	7.197166341473967	6.80966881147137	7.22682972571263	0.08925317654662142	0.022844487801864752	0.1	up_in_b	log2_mean_plus_eps	0.12875984033778315	
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Tacstd2	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	3	8.1354184403366	8.05834235906409	8.13116904121045	8.02723036073961	-0.013733450501567192	0.11548326657065044	0.1840386271964254	down_in_b	log2_mean_plus_eps	0.4954557498366054	
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Cldn4	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	3	8.224117314855471	8.058408943217536	8.22193000767532	8.02723036073961	-0.029365820382519434	0.11986832657337228	0.1840386271964254	down_in_b	log2_mean_plus_eps	0.4954557498366054	
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Cd8a	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	3	8.10297959365612	8.02723036073961	8.12767553450659	8.02723036073961	-0.013550205831770442	0.18894060177519298	0.19670560245894686	down_in_b	log2_mean_plus_eps	0.5857158655030983	
GSE246922	LLC1 CD45-	ICB-relapsed vs parental CD45- tumor cells	Cd274	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	3	9.301808341357944	9.043857509901542	9.34493634909013	9.03565611345234	-0.04057294785725607	0.01788083810444666	0.1	down_in_b	log2_mean_plus_eps	0.1108611962475693	
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Tacstd2	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	9	8.611075074467166	8.408002494612507	8.71718785432083	8.31749133469909	-0.03443026489690983	0.2948708338717264	0.20909090909090908	down_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Cldn4	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	9	9.200834554272097	9.212801815015593	9.42888968200698	9.14634124416426	0.001875252441941644	0.9713469360206071	0.7272727272727273	up_in_b	log2_mean_plus_eps	0.9894471630658392	
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Cd8a	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	9	8.322037625658288	8.267477832176976	8.33520648038323	8.29083438539221	-0.009489537894491442	0.3160670248563487	0.4563761992959977	down_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE246922	KP CD45-	ICB-relapsed vs parental CD45- tumor cells	Cd274	parental	ICB_relapse	True	True	False	acquired-resistance model; not labeled R vs NR mice	3	9	8.671243345584854	8.851053377133427	8.66704070326319	8.85205167632787	0.029610287004929323	0.00010265285807233418	0.00909090909090909	up_in_b	log2_mean_plus_eps	0.001272895440096944	
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Tacstd2	Lkb1_restored	Lkb1_off	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off	11	17	252.59092385102667	329.53292516813997	242.008100740972	311.942122679483	0.3822908775564411	0.04220715285183711	0.011079526695110073	up_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Tacstd2	KT_WT	Lkb1_off	False	False	True	genotype	4	17	257.9015376807385	329.53292516813997	243.81557090453902	311.942122679483	0.35239045537498376	0.32076572827413047	0.36157059314954054	up_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Cldn4	Lkb1_restored	Lkb1_off	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off	11	17	57.12571064578959	93.4811510469207	54.3213947172045	63.5741299811693	0.7008500913105573	0.1566728800762934	0.23959108046058852	up_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Cldn4	KT_WT	Lkb1_off	False	False	True	genotype	4	17	44.5701731923166	93.4811510469207	30.1797526477719	63.5741299811693	1.0519366873120686	0.095134039668864	0.08053467000835422	up_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Stk11	Lkb1_restored	Lkb1_off	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off	11	17	45.7795480838409	1.161918478073777	47.675684888306	0.51794038489741	-4.435493896666985	2.8001279612553294e-07	1.1504251411644882e-05	down_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Stk11	KT_WT	Lkb1_off	False	False	True	genotype	4	17	76.44387086453929	1.161918478073777	74.38259887880405	0.51794038489741	-5.1627670365456195	0.004369933958583368	0.0025276739181713343	down_in_b	log2_mean_plus1		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs restored	Cd8a	Lkb1_restored	Lkb1_off	False	False	True	KNOWN series; genotype not ICB. Tacstd2 expected higher when LKB1 off	11	17	0.32248854357825524	0.6335744665985935	0.0	0.0	0.9742640889945349	0.26208834401774084	0.3799344874620776	up_in_b	log2_mean_plus_eps		
GSE179500	KL XTR FACS tumor cells	Lkb1 non-restored vs KT wild-type	Cd8a	KT_WT	Lkb1_off	False	False	True	genotype	4	17	1.179314372087105	0.6335744665985935	0.0	0.0	-0.896361197530528	0.6778690348860353	0.877818677692522	down_in_b	log2_mean_plus_eps		
GSE137396	GEMM lung nodules	KL vs KP	Tacstd2	KP	KL	False	False	True	already-log median-centered; not ICB	5	5	-0.5573288	0.4645424	-0.598464	0.911282	1.0218712	0.08053030297731555	0.09523809523809523	up_in_b	already_log_mean_diff		
GSE137396	GEMM lung nodules	KL vs KP	Cldn4	KP	KL	False	False	True	already-log median-centered; not ICB	5	5	0.19188120000000003	0.6268342	-0.017904	0.930579	0.434953	0.5784095393347376	1.0	up_in_b	already_log_mean_diff		
GSE137396	GEMM lung nodules	KL vs KP	Stk11	KP	KL	False	False	True	already-log median-centered; not ICB	5	5	0.8091236	-0.8778986000000002	0.827037	-0.646486	-1.6870222000000004	9.461792734917707e-05	0.007936507936507936	down_in_b	already_log_mean_diff		
GSE137396	GEMM lung nodules	KL vs KP	Cd8a	KP	KL	False	False	True	already-log median-centered; not ICB	5	5	0.5852818	-0.5844836000000001	0.288776	-0.399207	-1.1697654000000002	0.33625998326122014	0.30952380952380953	down_in_b	already_log_mean_diff		
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Tacstd2	KP	KL	False	False	True	DEG table only; RNA is genotype not ICB	3	3					-7.43644822403693	1.03177506641898e-69					{'gene_id': 'ENSMUSG00000051397', 'kp1': '5.81512148565803', 'kp2': '9.4298638702927', 'kp3': '12.3839439531714', 'kl1': '2499.26500005202', 'kl2': '1209.40201282953', 'kl3': '1057.27913001186', 'kp': '9.20964310304071', 'kl': '1588.6487142978', 'log2foldchange': '-7.43644822403693', 'pvalue': '1.03177506641898e-69', 'padj': '4.61478594706994e-67', 'gene_name': 'Tacstd2', 'gene_chr': '6', 'gene_start': '67534062', 'gene_end': '67535796', 'gene_strand': '-', 'gene_length': '1735', 'gene_biotype': 'protein_coding', 'gene_description': 'tumor-associated calcium signal transducer 2 [Source:MGI Symbol;Acc:MGI:1861606]', 'tf_family': '-'}
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Cldn4	KP	KL	False	False	True	DEG table only; RNA is genotype not ICB	3	3					-8.6050548190832	1.26964008923844e-25					{'gene_id': 'ENSMUSG00000047501', 'kp1': '3.87674765710535', 'kp2': '28.2895916108781', 'kp3': '5.15997664715475', 'kl1': '4053.74636462226', 'kl2': '5425.55411800855', 'kl3': '5106.78066272136', 'kp': '12.4421053050461', 'kl': '4862.02704845073', 'log2foldchange': '-8.6050548190832', 'pvalue': '1.26964008923844e-25', 'padj': '8.0612132732183e-24', 'gene_name': 'Cldn4', 'gene_chr': '5', 'gene_start': '134945119', 'gene_end': '134946934', 'gene_strand': '-', 'gene_length': '1816', 'gene_biotype': 'protein_coding', 'gene_description': 'claudin 4 [Source:MGI Symbol;Acc:MGI:1313314]', 'tf_family': '-'}
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Stk11	KP	KL	False	False	True	DEG table only; RNA is genotype not ICB	3	3					0.988671383913069	4.68224371650771e-06					{'gene_id': 'ENSMUSG00000003032', 'kp1': '2090.53617409406', 'kp2': '1830.33657722381', 'kp3': '2333.34143984338', 'kl1': '959.654311801015', 'kl2': '828.607928185472', 'kl3': '1363.44104024695', 'kp': '2084.73806372042', 'kl': '1050.56776007781', 'log2foldchange': '0.988671383913069', 'pvalue': '4.68224371650771e-06', 'padj': '3.26766710409677e-05', 'gene_name': 'Klf4', 'gene_chr': '4', 'gene_start': '55527143', 'gene_end': '55532466', 'gene_strand': '-', 'gene_length': '3049', 'gene_biotype': 'protein_coding', 'gene_description': 'Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]', 'tf_family': 'zf-C2H2'}
GSE244452	KL vs KP subcutaneous	author DEG KP vs KL (no sample matrix)	Cd8a	KP	KL	False	False	True	DEG table only; RNA is genotype not ICB	3	3					1.86811037096573	0.0105494178045496					{'gene_id': 'ENSMUSG00000053044', 'kp1': '12.5994298855924', 'kp2': '37.7194554811708', 'kp3': '34.0558458712213', 'kl1': '12.8879194766665', 'kl2': '5.07725446192078', 'kl3': '5.10269850391823', 'kp': '28.1249104126615', 'kl': '7.68929081416851', 'log2foldchange': '1.86811037096573', 'pvalue': '0.0105494178045496', 'padj': '0.031010388805633', 'gene_name': 'Cd8b1', 'gene_chr': '6', 'gene_start': '71322788', 'gene_end': '71337494', 'gene_strand': '+', 'gene_length': '1483', 'gene_biotype': 'protein_coding', 'gene_description': 'CD8 antigen, beta chain 1 [Source:MGI Symbol;Acc:MGI:88347]', 'tf_family': '-'}
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Tacstd2	KP	KL	False	False	True	no ICB on these samples	5	5	15.736	12.094	12.8	5.14	-0.3540488726584228	0.7255282473245136	0.5476190476190477	down_in_b	log2_mean_plus1		
