contrast_id,accession,geo,in_arrayexpress,organism,perturbation,primary,axis,expected,call,n_measured,n_missing,n_up,n_down,frac_expected,median_log2fc,mean_log2fc,wilcoxon_p_expected_direction,wilcoxon_p_opposite_direction,mw_p_vs_background,background_median_log2fc,n_fdr05_expected_direction,missing_genes
E-GEOD-50927_VILIhigh_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-high vs WT VILI,no,IFN,up,supports,24,5,16,8,0.666667,0.245112,0.591077,0.00752246,0.99311,0.00762231,0,2,Oas1;Oasl;Ifi6;Ifi27;Herc5
E-GEOD-50927_VILIhigh_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-high vs WT VILI,no,APM,up,supports,15,0,12,3,0.8,0.261273,0.257769,0.00131226,0.998993,0.00523563,0,0,
E-GEOD-22493_siRNA_vs_OE,E-GEOD-22493,GSE22493,yes,human,SKOV-3-IP-Luc CLDN4 siRNA (Cy5) vs CLDN4 overexpression control (Cy3),yes,NHEJ,down,null,9,3,5,4,0.444444,0.359417,-0.0803148,0.714844,0.326172,0.695607,-0.0287,0,XRCC6;NHEJ1;PAXX
E-GEOD-22493_siRNA_vs_OE,E-GEOD-22493,GSE22493,yes,human,SKOV-3-IP-Luc CLDN4 siRNA (Cy5) vs CLDN4 overexpression control (Cy3),yes,STING,up,directional,6,3,5,1,0.833333,0.645867,0.798675,0.109375,0.921875,0.0666184,-0.028775,0,CGAS|MB21D1;STING1|TMEM173;TBK1
E-GEOD-22493_siRNA_vs_OE,E-GEOD-22493,GSE22493,yes,human,SKOV-3-IP-Luc CLDN4 siRNA (Cy5) vs CLDN4 overexpression control (Cy3),yes,STING_sensor,up,insufficient,3,3,3,0,1,0.575233,0.63755,,,,,0,CGAS|MB21D1;STING1|TMEM173;TBK1
E-GEOD-22493_siRNA_vs_OE,E-GEOD-22493,GSE22493,yes,human,SKOV-3-IP-Luc CLDN4 siRNA (Cy5) vs CLDN4 overexpression control (Cy3),yes,IFN,up,null,21,8,8,13,0.380952,-0.231767,-0.267949,0.898541,0.10784,0.339443,-0.0283667,0,ISG15;MX2;IFI6;IFI44L;RSAD2;IRF9;IFITM1;IFITM3
E-GEOD-22493_siRNA_vs_OE,E-GEOD-22493,GSE22493,yes,human,SKOV-3-IP-Luc CLDN4 siRNA (Cy5) vs CLDN4 overexpression control (Cy3),yes,APM,up,null,8,8,3,5,0.375,-0.212208,-0.0950271,0.726562,0.320312,0.657727,-0.0284833,0,HLA-A;HLA-B;HLA-C;NLRC5;ERAP1;ERAP2;PDIA3;HLA-E
GSE207704_MCF7_KOvsWT,GSE207704,GSE207704,no,human,"MCF7 CLDN4 CRISPR KO vs WT, collapsed FPKM",no,NHEJ,down,null,11,1,7,4,0.363636,0.107729,0.0541052,0.767578,0.259766,0.585799,0.0253794,0,PAXX
GSE207704_MCF7_KOvsWT,GSE207704,GSE207704,no,human,"MCF7 CLDN4 CRISPR KO vs WT, collapsed FPKM",no,STING,up,insufficient,3,6,3,0,1,0.11692,0.12806,,,,,0,STING1|TMEM173;IKBKE;IRF7;IFNB1;CXCL10;CCL5
GSE207704_MCF7_KOvsWT,GSE207704,GSE207704,no,human,"MCF7 CLDN4 CRISPR KO vs WT, collapsed FPKM",no,STING_sensor,up,insufficient,3,3,3,0,1,0.11692,0.12806,,,,,0,STING1|TMEM173;IKBKE;IRF7
GSE207704_MCF7_KOvsWT,GSE207704,GSE207704,no,human,"MCF7 CLDN4 CRISPR KO vs WT, collapsed FPKM",no,IFN,up,opposite_directional,18,11,5,13,0.277778,-0.445081,-0.382143,0.935131,0.0707588,0.00703834,0.0254415,0,MX1;MX2;OAS2;OASL;IFIT2;IFIT3;IFI27;RSAD2;IRF9;CXCL9;CXCL11
GSE207704_MCF7_KOvsWT,GSE207704,GSE207704,no,human,"MCF7 CLDN4 CRISPR KO vs WT, collapsed FPKM",no,APM,up,insufficient,5,11,2,3,0.4,-0.119518,0.131221,,,,,0,HLA-A;HLA-B;B2M;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5;ERAP2;HLA-E
GSE207704_T47D_KOvsWT,GSE207704,GSE207704,no,human,"T47D CLDN4 CRISPR KO vs WT, collapsed FPKM",yes,NHEJ,down,null,11,1,6,5,0.454545,0.0711057,0.05629,0.51709,0.51709,0.843095,0.00294394,0,PAXX
GSE207704_T47D_KOvsWT,GSE207704,GSE207704,no,human,"T47D CLDN4 CRISPR KO vs WT, collapsed FPKM",yes,STING,up,insufficient,3,6,2,1,0.666667,0.00565011,0.0147676,,,,,0,STING1|TMEM173;IKBKE;IRF7;IFNB1;CXCL10;CCL5
GSE207704_T47D_KOvsWT,GSE207704,GSE207704,no,human,"T47D CLDN4 CRISPR KO vs WT, collapsed FPKM",yes,STING_sensor,up,insufficient,3,3,2,1,0.666667,0.00565011,0.0147676,,,,,0,STING1|TMEM173;IKBKE;IRF7
GSE207704_T47D_KOvsWT,GSE207704,GSE207704,no,human,"T47D CLDN4 CRISPR KO vs WT, collapsed FPKM",yes,IFN,up,opposite,18,11,6,12,0.333333,-0.403815,-0.762611,0.990883,0.0104065,0.00745037,0.0031037,0,MX1;MX2;OAS2;OASL;IFIT2;IFIT3;IFI27;RSAD2;IRF9;CXCL9;CXCL11
GSE207704_T47D_KOvsWT,GSE207704,GSE207704,no,human,"T47D CLDN4 CRISPR KO vs WT, collapsed FPKM",yes,APM,up,insufficient,5,11,1,4,0.2,-0.205402,-0.227964,,,,,0,HLA-A;HLA-B;B2M;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5;ERAP2;HLA-E
GSE207704_mean_MCF7_T47D,GSE207704,GSE207704,no,human,mean log2FC of MCF7 and T47D CLDN4 CRISPR KO vs WT,yes,NHEJ,down,null,11,1,6,5,0.454545,0.0248453,0.0551976,0.767578,0.259766,0.622831,0.0094854,0,PAXX
GSE207704_mean_MCF7_T47D,GSE207704,GSE207704,no,human,mean log2FC of MCF7 and T47D CLDN4 CRISPR KO vs WT,yes,STING,up,insufficient,3,6,3,0,1,0.0338489,0.0714137,,,,,0,STING1|TMEM173;IKBKE;IRF7;IFNB1;CXCL10;CCL5
GSE207704_mean_MCF7_T47D,GSE207704,GSE207704,no,human,mean log2FC of MCF7 and T47D CLDN4 CRISPR KO vs WT,yes,STING_sensor,up,insufficient,3,3,3,0,1,0.0338489,0.0714137,,,,,0,STING1|TMEM173;IKBKE;IRF7
GSE207704_mean_MCF7_T47D,GSE207704,GSE207704,no,human,mean log2FC of MCF7 and T47D CLDN4 CRISPR KO vs WT,yes,IFN,up,opposite,18,11,5,13,0.277778,-0.454249,-0.572377,0.989594,0.011837,0.000575006,0.00984071,0,MX1;MX2;OAS2;OASL;IFIT2;IFIT3;IFI27;RSAD2;IRF9;CXCL9;CXCL11
GSE207704_mean_MCF7_T47D,GSE207704,GSE207704,no,human,mean log2FC of MCF7 and T47D CLDN4 CRISPR KO vs WT,yes,APM,up,insufficient,5,11,2,3,0.4,-0.0880819,-0.0483713,,,,,0,HLA-A;HLA-B;B2M;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5;ERAP2;HLA-E
