gsm	title	source_name	day	treatment	group	organism	tissue	model	strain	assay	epithelial_malignant_scored	cldn4_pctpos	t_fraction	nk_fraction
GSM2029399	can_Ad_VEGF_5_Day_DC101_019	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029400	can_Ad_VEGF_5_Day_DC101_020	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029401	can_Ad_VEGF_5_Day_DC101_021	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029402	can_Ad_VEGF_5_Day_DC101_022	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029403	can_Ad_VEGF_5_Day_DC101_023	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029404	can_Ad_VEGF_5_Day_DC101_024	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029405	can_Ad_VEGF_5_Day_G6_009	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029406	can_Ad_VEGF_5_Day_G6_010	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029407	can_Ad_VEGF_5_Day_G6_011	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029408	can_Ad_VEGF_5_Day_G6_012	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029409	can_Ad_VEGF_5_Day_G6_013	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029410	can_Ad_VEGF_5_Day_G6_014	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029411	can_Ad_VEGF_5_Day_G6_015	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029412	can_Ad_VEGF_5_Day_G6_016	Flank tissue_Ad-VEGF-A164_day 5_G6 treated	5	G6	AdVEGF_d5_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029413	can_Ad_VEGF_5_Day_NT_001	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029414	can_Ad_VEGF_5_Day_NT_002	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029415	can_Ad_VEGF_5_Day_NT_003	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029416	can_Ad_VEGF_5_Day_NT_004	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029417	can_Ad_VEGF_5_Day_NT_005	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029418	can_Ad_VEGF_5_Day_NT_006	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029419	can_Ad_VEGF_5_Day_NT_007	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029420	can_Ad_VEGF_5_Day_NT_008	Flank tissue_Ad-VEGF-A164_day 5_No Treatment	5	NT	AdVEGF_d5_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029421	can_Ad_VEGF_20_Day_DC101_065	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029422	can_Ad_VEGF_20_Day_DC101_066	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029423	can_Ad_VEGF_20_Day_DC101_067	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029424	can_Ad_VEGF_20_Day_DC101_068	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029425	can_Ad_VEGF_20_Day_DC101_069	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029426	can_Ad_VEGF_20_Day_DC101_070	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029427	can_Ad_VEGF_20_Day_DC101_071	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029428	can_Ad_VEGF_20_Day_DC101_072	Flank tissue_Ad-VEGF-A164_day 20_DC101 treated	20	DC101	AdVEGF_d20_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029429	can_Ad_VEGF_20_Day_G6_057	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029430	can_Ad_VEGF_20_Day_G6_058	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029431	can_Ad_VEGF_20_Day_G6_059	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029432	can_Ad_VEGF_20_Day_G6_060	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029433	can_Ad_VEGF_20_Day_G6_061	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029434	can_Ad_VEGF_20_Day_G6_062	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029435	can_Ad_VEGF_20_Day_G6_063	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029436	can_Ad_VEGF_20_Day_G6_064	Flank tissue_Ad-VEGF-A164_day 20_G6 treated	20	G6	AdVEGF_d20_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029437	can_Ad_VEGF_20_Day_NT_049	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029438	can_Ad_VEGF_20_Day_NT_050	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029439	can_Ad_VEGF_20_Day_NT_051	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029440	can_Ad_VEGF_20_Day_NT_052	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029441	can_Ad_VEGF_20_Day_NT_053	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029442	can_Ad_VEGF_20_Day_NT_054	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029443	can_Ad_VEGF_20_Day_NT_055	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029444	can_Ad_VEGF_20_Day_NT_056	Flank tissue_Ad-VEGF-A164_day 20_No Treatment	20	NT	AdVEGF_d20_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029445	can_Ad_VEGF_60_Day_DC101_089	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029446	can_Ad_VEGF_60_Day_DC101_090	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029447	can_Ad_VEGF_60_Day_DC101_091	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029448	can_Ad_VEGF_60_Day_DC101_092	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029449	can_Ad_VEGF_60_Day_DC101_093	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029450	can_Ad_VEGF_60_Day_DC101_094	Flank tissue_Ad-VEGF-A164_day 60_DC101 treated	60	DC101	AdVEGF_d60_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029451	can_Ad_VEGF_60_Day_G6_081	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029452	can_Ad_VEGF_60_Day_G6_082	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029453	can_Ad_VEGF_60_Day_G6_083	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029454	can_Ad_VEGF_60_Day_G6_084	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029455	can_Ad_VEGF_60_Day_G6_085	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029456	can_Ad_VEGF_60_Day_G6_086	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029457	can_Ad_VEGF_60_Day_G6_087	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029458	can_Ad_VEGF_60_Day_G6_088	Flank tissue_Ad-VEGF-A164_day 60_G6 treated	60	G6	AdVEGF_d60_G6	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029459	can_Ad_VEGF_60_Day_NT_073	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029460	can_Ad_VEGF_60_Day_NT_074	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029461	can_Ad_VEGF_60_Day_NT_075	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029462	can_Ad_VEGF_60_Day_NT_076	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029463	can_Ad_VEGF_60_Day_NT_077	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029464	can_Ad_VEGF_60_Day_NT_078	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029465	can_Ad_VEGF_60_Day_NT_079	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029466	can_Ad_VEGF_60_Day_NT_080	Flank tissue_Ad-VEGF-A164_day 60_No Treatment	60	NT	AdVEGF_d60_NT	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
