accession	contrast	gene	unit	setting	scale	role	n_kl	n_kp	mean_kl	mean_kp	median_kl	median_kp	delta_mean	mwu_p	kl_values	kp_values	note
GSE274352	KL_minus_KP	Cldn4	cell_line	cultured_cells_empty_vector	log2(normalized_count+1)	new	3.0	3.0	9.567501230507366	9.763386790418851	9.708965960580574	9.472028010975052	-0.19588555991148482	1.0	8.99601;9.70897;9.99753	10.8195;9.47203;8.99865	Untreated empty-vector cell lines from the same study as GSE274351. IFN-beta and STING arms are not in this contrast. n=3 vs 3 cannot reach two-sided exact Mann-Whitney p < 0.05 (floor 0.10).
GSE274352	KL_minus_KP	TJ7	cell_line	cultured_cells_empty_vector	log2(normalized_count+1)	new	3.0	3.0	9.393723459509795	9.783840780113911	8.988283602335828	9.688348692118609	-0.39011732060411575	0.7	8.82942;8.98828;10.3635	10.2001;9.68835;9.46305	Untreated empty-vector cell lines from the same study as GSE274351. IFN-beta and STING arms are not in this contrast. n=3 vs 3 cannot reach two-sided exact Mann-Whitney p < 0.05 (floor 0.10). TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE274351	KL_minus_KP	Tacstd2	adenoma	lcm_early_adenoma	log2(TPM+1)	rescore	5.0	5.0	2.5397622008248275	3.3996761854140587	2.6182386555954547	3.786596361890807	-0.8599139845892312	0.5476190476190477	5.50112;3.45943;2.61824;0.201634;0.918386	3.72901;3.7866;5.14649;0;4.33628	LCM early adenomas (PNAS 2024). Groups follow supplementary column labels (KL n=5, KP n=5). GEO SOFT instead lists K n=5 and KL n=4. Stk11 TPM in the five KL-labeled columns: 0, 6.45, 19.8, 0.06, 0. Previously scored with Welch; direction was KL < KP.
GSE274351	KL_minus_KP	Cldn4	adenoma	lcm_early_adenoma	log2(TPM+1)	rescore	5.0	5.0	2.224904759724534	3.260678799309244	2.599317793698226	4.553360503335328	-1.0357740395847101	0.6904761904761905	3.22033;2.59932;0;5.30488;0	1.87971;4.55336;4.72465;0;5.14568	LCM early adenomas (PNAS 2024). Groups follow supplementary column labels (KL n=5, KP n=5). GEO SOFT instead lists K n=5 and KL n=4. Stk11 TPM in the five KL-labeled columns: 0, 6.45, 19.8, 0.06, 0. Previously scored with Welch; direction was KL < KP.
GSE274351	KL_minus_KP	TJ7	adenoma	lcm_early_adenoma	log2(TPM+1)	rescore	5.0	5.0	3.8287834486573056	4.521553842088158	4.212580618438941	4.752400183025487	-0.6927703934308527	0.09523809523809523	4.21258;4.37053;4.23847;4.13113;2.1912	4.52306;4.90037;4.90125;3.53069;4.7524	LCM early adenomas (PNAS 2024). Groups follow supplementary column labels (KL n=5, KP n=5). GEO SOFT instead lists K n=5 and KL n=4. Stk11 TPM in the five KL-labeled columns: 0, 6.45, 19.8, 0.06, 0. Previously scored with Welch; direction was KL < KP. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE6135	KL_minus_KP	Tacstd2	mouse	mouse_all_histology	deposited_array_value	new_tacstd2_same_cohort_as_prior_cldn4	7.0	5.0	6.009807698285714	4.2148414484	5.807323947	4.229635806	1.7949662498857144	0.0025252525252525255	6.88444;6.94275;4.81875;7.42598;5.20274;4.98666;5.80732	4.66235;3.78625;4.26889;4.22964;4.12708	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. KL includes adenocarcinoma, adenosquamous, and squamous primaries (L/L or L/-).
GSE6135	KL_minus_KP	Cldn4	mouse	mouse_all_histology	deposited_array_value	new_tacstd2_same_cohort_as_prior_cldn4	7.0	5.0	6.119266131428572	5.8952590655999995	6.191756015499999	5.781537955	0.22400706582857222	0.8762626262626263	7.28544;7.03828;5.40941;7.29168;4.9675;6.19176;4.65079	5.76173;5.71345;5.78154;6.30153;5.91804	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. KL includes adenocarcinoma, adenosquamous, and squamous primaries (L/L or L/-).
GSE6135	KL_minus_KP	TJ7	mouse	mouse_all_histology	deposited_array_value	new_tacstd2_same_cohort_as_prior_cldn4	7.0	5.0	7.626817825579082	7.583571937171428	7.7063672755357135	7.610412442571429	0.04324588840765475	1.0	7.70637;8.08516;7.1396;7.96011;7.37449;7.75164;7.37035	7.11737;7.3794;7.61041;7.82548;7.9852	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. KL includes adenocarcinoma, adenosquamous, and squamous primaries (L/L or L/-). TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE6135	KL_minus_KP	Tacstd2	mouse	mouse_adeno_only	deposited_array_value	sensitivity_adeno_only	4.0	5.0	5.203869650125	4.2148414484	5.09470117775	4.229635806	0.9890282017250005	0.015873015873015872	4.81875;5.20274;4.98666;5.80732	4.66235;3.78625;4.26889;4.22964;4.12708	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. Sensitivity: adenocarcinoma primaries only.
GSE6135	KL_minus_KP	Cldn4	mouse	mouse_adeno_only	deposited_array_value	sensitivity_adeno_only	4.0	5.0	5.3048649091249995	5.8952590655999995	5.1884543305	5.781537955	-0.5903941564749999	0.19047619047619047	5.40941;4.9675;6.19176;4.65079	5.76173;5.71345;5.78154;6.30153;5.91804	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. Sensitivity: adenocarcinoma primaries only.
GSE6135	KL_minus_KP	TJ7	mouse	mouse_adeno_only	deposited_array_value	sensitivity_adeno_only	4.0	5.0	7.40902039521875	7.583571937171428	7.372421871446428	7.610412442571429	-0.17455154195267752	0.4126984126984127	7.1396;7.37449;7.75164;7.37035	7.11737;7.3794;7.61041;7.82548;7.9852	Ji et al. 2007 Mouse Genome 430 2.0. Values are deposited array intensities (already on a log-like scale; not log-transformed again). Unit is the mouse: multiple primaries averaged. L/+ heterozygotes and the 592 metastasis excluded. Sensitivity: adenocarcinoma primaries only. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
