dataset	patient	n_cells	n_malignant	n_cldn4_high	n_cldn4_low	n_tnk	sample_origin	tnk_frac	eligible_paired	mal_CLDN4_mean	mal_CLDN4_pct_pos	orig.ident	tnk_ifn	tnk_cyto	tnk_exh	tnk_ifn_minus_cyto
GSE131907	P0025	4374.0	223.0	82.0	141.0	1599.0	tLung	0.3655692729766804	True	1.3818156719207764	0.7982062780269058		0.10867552447598428	0.33887474282112506	0.12763608978795155	-0.2301992183451408
GSE131907	P1012	7339.0	257.0	64.0	193.0	2413.0	PE|mLN	0.3287913884725439	True	1.3514907360076904	0.8832684824902723		0.18683189439980197	0.4969176506357534	0.09401269642902273	-0.3100857562359514
GSE131907	P0006	6265.0	100.0	42.0	58.0	1539.0	nLung|tLung	0.2456504389465283	True	1.6496440172195437	0.91		0.169427185501263	0.5014550459704229	0.1028979801173721	-0.3320278604691599
GSE131907	P3017	2409.0	1112.0	839.0	273.0	410.0	mBrain	0.170195101701951	True	2.10437536239624	0.8821942446043165		0.13359406954259612	0.4797370072254645	0.10468112763815693	-0.34614293768286836
GSE131907	P3002	2313.0	181.0	19.0	162.0	977.0	mBrain	0.4223951578037181	True	0.8218572735786438	0.585635359116022		0.19612451177090406	0.9548710092037384	0.10086166712322406	-0.7587464974328343
GSE131907	P1028	5182.0	4640.0	3586.0	1054.0	232.0	tL/B	0.0447703589347742	True	2.2467188835144043	0.9633620689655172		0.16121462860610336	0.6220402526003974	0.13755021297505923	-0.46082562399429405
GSE131907	P0028	8116.0	984.0	665.0	319.0	1631.0	nLung|tLung	0.2009610645638245	True	2.02643084526062	0.9583333333333334		0.30919552573686815	0.7291383070738188	0.16754640559000628	-0.4199427813369506
GSE131907	P0019	8231.0	222.0	67.0	155.0	1712.0	nLung|tLung	0.2079941683878022	True	1.390738844871521	0.8378378378378378		0.1723463841699413	0.5096828686031846	0.09275555763659733	-0.33733648443324327
GSE131907	P1010	5144.0	367.0	94.0	273.0	1530.0	mLN	0.2974339035769829	True	1.2945740222930908	0.8446866485013624		0.2573371023463551	0.5272317970437663	0.2361310331949166	-0.26989469469741123
GSE131907	P1049	1775.0	114.0	17.0	97.0	1126.0	tL/B	0.6343661971830986	True	0.7394811511039734	0.4912280701754385		0.2836756916658487	1.3415021608982767	0.10603592202200421	-1.057826469232428
GSE131907	P3007	5730.0	5108.0	2782.0	2326.0	166.0	mBrain	0.0289703315881326	True	1.7547770738601685	0.90407204385278		0.10894806653959677	0.28295412553208216	0.10754184238612652	-0.1740060589924854
GSE131907	P1019	2112.0	217.0	119.0	98.0	1427.0	mLN	0.6756628787878788	True	1.74746572971344	0.9400921658986175		0.27594104824675014	0.9358260879026992	0.14923626131245069	-0.659885039655949
GSE131907	P1051	3275.0	1285.0	247.0	1038.0	1143.0	mLN	0.3490076335877862	True	1.1968406438827517	0.8536964980544747		0.20834112849115627	1.2680353609445905	0.12972981517668813	-1.0596942324534342
GSE131907	P1015	1105.0	256.0	54.0	202.0	479.0	mLN	0.4334841628959276	True	0.8119832873344421	0.47265625		0.21165873797872337	1.1022314203104802	0.1410037273807185	-0.8905726823317568
GSE131907	P3012	3182.0	2811.0	1466.0	1345.0	22.0	mBrain	0.0069138906348208	True	1.687066912651062	0.8633938100320171		0.16662365244701505	0.8480248648141112	0.061978082571710856	-0.6814012123670962
GSE131907	P3006	1070.0	83.0	31.0	52.0	383.0	mBrain	0.3579439252336449	True	1.161139965057373	0.6024096385542169		0.37366495438618585	1.1659930521356208	0.30875139377479044	-0.7923280977494349
GSE131907	P3003	2990.0	2713.0	1904.0	809.0	145.0	mBrain	0.0484949832775919	True	1.998787879943848	0.9314412089937338		0.28490111231803894	1.0104233819459165	0.12802020540194853	-0.7255222696278776
GSE205335	P0006	6090.0	1282.0	735.0	547.0	2998.0		0.4922824302134647	True	1.338077425956726	0.7418096723868954	EBUS-06-3P|EFFUSION-06-3P	0.40676381342927925	0.8244834995961615	0.10435342532582581	-0.41771968616688226
GSE205335	P0017	6266.0	2186.0	1141.0	1045.0	2370.0		0.3782317267794446	True	1.446833848953247	0.6431838975297347	EBUS-17-5P|LM-17-5P	0.3941883376755868	0.8718906162040574	0.2362210994054164	-0.4777022785284706
GSE205335	P0018	5029.0	1180.0	704.0	476.0	2546.0		0.5062636707098827	True	1.4567127227783203	0.6703389830508475	EBUS-18-5P	0.3521017295352067	0.7221495040825435	0.2332585555102144	-0.37004777454733684
GSE205335	P0027	4600.0	1318.0	999.0	319.0	2619.0		0.5693478260869566	True	2.1198792457580566	0.7807283763277694	EBUS-27-5P	0.5063983155450842	1.269163439316409	0.5180618728377989	-0.7627651237713249
GSE205335	P0037	4983.0	3671.0	885.0	2786.0	611.0		0.1226168974513345	True	0.9543756246566772	0.8605284663579407	EBUS-37-3P	0.05500219840905629	0.1199149008108569	0.00829513741856707	-0.06491270240180061
GSE205335	P0062	3057.0	188.0	75.0	113.0	1934.0		0.6326463853451095	True	0.9858523607254028	0.4521276595744681	EBUS-62-5P	0.3485960614925716	0.3454161736049822	0.1513632605118411	0.0031798878875893832
GSE205335	P0063	4297.0	131.0	41.0	90.0	3144.0		0.7316732604142425	True	0.7369170188903809	0.3511450381679389	BRONCHO-63-5P|EBUS-63-5P	0.22858906640612986	0.42707729978220804	0.09607749428999211	-0.19848823337607818
GSE205335	P0076	2454.0	473.0	205.0	268.0	726.0		0.295843520782396	True	1.055733323097229	0.6448202959830867	EBUS-76-3P	0.3774361056275666	0.7859810750399318	0.15207374215658223	-0.4085449694123652
GSE205335	P0005	4521.0	376.0	105.0	271.0	1363.0		0.3014819730148197	True	0.7578378319740295	0.5292553191489362	NECK-05-3P	0.36308310498134233	0.4671147290085043	0.1499820737434285	-0.10403162402716198
GSE205335	P0079	1277.0	543.0	202.0	341.0	501.0		0.3923257635082224	True	0.966748297214508	0.5138121546961326	EBUS-79-5P	0.30690655403304845	0.9914464695113046	0.35005562007427216	-0.6845399154782561
GSE205335	P0084	3534.0	196.0	157.0	39.0	2350.0		0.6649688737973967	True	2.256213903427124	0.8673469387755102	EBUS-84-5P	0.32480883462994825	0.8143863081932068	0.1942473260153617	-0.48957747356325854
GSE205335	P0089	1609.0	1063.0	899.0	164.0	272.0		0.1690490988191423	True	2.15144157409668	0.8777046095954845	EBUS-89-3P	0.10713368401047774	0.5056327001324722	0.055575825091052265	-0.39849901612199445
GSE205335	P0119	2386.0	1222.0	261.0	961.0	621.0		0.2602682313495389	True	0.5610693097114563	0.3608837970540098	EBUS-119-3P	0.570032337171142	1.323269787643637	0.5855750194085496	-0.753237450472495
GSE205335	P0016	11845.0	5336.0	2965.0	2371.0	4415.0		0.3727311101730688	True	1.455070734024048	0.8264617691154422	EBUS-16-5P|LM-16-5P|LN-16-5P	0.20418175910799619	0.27875230009002344	0.09782159887254238	-0.07457054098202726
GSE205335	P0115	4397.0	3769.0	2597.0	1172.0	271.0		0.0616329315442347	True	1.622982144355774	0.888829928362961	LM-115-3P	0.09447996228118427	0.2073553970881871	0.037274237123451064	-0.11287543480700282
GSE205335	P0015	1195.0	291.0	88.0	203.0	473.0		0.3958158995815899	True	0.7684376239776611	0.415807560137457	EBUS-15-3P	0.19564726506359875	1.1372659376689367	0.13275510764547757	-0.9416186726053379
GSE205335	P0025	1222.0	980.0	717.0	263.0	128.0		0.1047463175122749	True	1.694045066833496	0.9285714285714286	EBUS-25-3P	0.2564099985174835	0.46981255350900547	0.10474995084639106	-0.213402554991522
GSE205335	P0056	5103.0	2386.0	733.0	1653.0	1354.0		0.265334117185969	True	0.8104878067970276	0.4970662196144174	EBUS-56-3P|LM-56-3P	0.16381220013136044	0.8154864412333284	0.10134608404976982	-0.6516742411019679
GSE205335	P0072	1273.0	406.0	135.0	271.0	586.0		0.4603299293008641	True	0.9359386563301086	0.5886699507389163	EBUS-72-5P	0.29219853499671444	1.1479711447443282	0.3011816128024033	-0.8557726097476137
GSE205335	LUNG-T31-3P	6428.0	319.0	117.0	202.0	3824.0		0.5948973242065961	True	0.9488405585289	0.5924764890282131	LUNG-T31-3P	0.17627295979036717	0.7132003773003817	0.11651396352265563	-0.5369274175100145
GSE205335	P0030	861.0	603.0	357.0	246.0	140.0		0.1626016260162601	True	1.6170852184295654	0.6169154228855721	EBUS-30-5P	0.17928115703398362	0.8504645302891731	0.10362878195675355	-0.6711833732551895
GSE205335	P0090	976.0	566.0	132.0	434.0	247.0		0.2530737704918033	True	0.6880064606666565	0.381625441696113	EBUS-90-5P	0.4784087671432644	1.2223360208528382	0.6519303210245978	-0.7439272537095738
