gene	n	rho	p	in_ifn	in_cyto	in_exh
SCN8A	51	-0.2818972731869458	0.04506065721287654	False	False	False
ZG16B	51	0.28176166438577077	0.045168420158092325	False	False	False
PLXND1	51	0.28093040209185743	0.04583360047772678	False	False	False
CLDN1	51	0.2797800375186442	0.046767295083864915	False	False	False
TCN1	51	0.27884277654851886	0.047539437489917596	False	False	False
SSTR3	51	-0.27809892060341335	0.048159611351986424	False	False	False
ALOX5	51	0.277459613900935	0.048697867252772434	False	False	False
IFNL1	51	-0.2772242577523388	0.0488972505240975	False	False	False
PTGFRN	51	0.276819643177327	0.04924157353332445	False	False	False
GPR19	51	-0.2764075578113335	0.04959427765184607	False	False	False
PVR	51	-0.2760966339024194	0.049861754274885935	False	False	False
IGF1R	51	-0.27537651577143557	0.05048574794516272	False	False	False
TNC	51	0.274455388683402	0.05129314450992398	False	False	False
SLAMF7	51	-0.2739366515837104	0.05175242372167739	False	False	False
CXADR	51	0.273506706696453	0.05213560987854975	False	False	False
HPX	51	-0.2731145148459999	0.05248715094408612	False	False	False
VSTM4	51	-0.27293577166157057	0.052648003059123955	False	False	False
BTN3A2	51	-0.27203619909502263	0.05346360517903742	False	False	False
RETN	51	-0.2716275669479398	0.053837455298994794	False	False	False
PRSS2	51	0.2708604301405535	0.0545450044058697	False	False	False
LGR4	51	0.2696714049033533	0.05565650534816503	False	False	False
PECAM1	51	-0.26932126696832576	0.05598727632831298	False	False	False
ADIPOR2	51	-0.2690497737556561	0.0562448429257037	False	False	False
ITGAD	51	-0.2684419508131067	0.05682495289060262	False	False	False
PVRIG	51	-0.267904533350405	0.05734187647605187	False	False	False
SERPINE1	51	-0.26719025699847637	0.05803477185402752	False	False	False
BTN2A1	51	-0.2660633484162896	0.05914164058792056	False	False	False
PCDHA4	51	-0.26603955089141346	0.05916519667205352	False	False	False
CFB	51	-0.2658330702694877	0.059369899309003694	False	False	False
F2R	51	-0.2657918552036199	0.05941082756989242	False	False	False
LGI2	51	0.2654049259019413	0.05979617144664544	False	False	False
ADAMTS1	51	-0.2647600201260241	0.06044289633903895	False	False	False
WBP1	51	-0.26463001356467447	0.06057394745219965	False	False	False
LAMA5	51	0.26382981426755436	0.061385608063635425	False	False	False
CD38	51	-0.2629864253393665	0.06225049786954317	False	False	True
IL18RAP	51	-0.26271493212669683	0.06253098128873981	False	False	False
PLXNA1	51	0.26259535446314786	0.06265483945139898	False	False	False
PCDHGA8	51	-0.2625794480143761	0.06267133010271449	False	False	False
PLXNB2	51	0.2625622722635235	0.06268914057888086	False	False	False
MCAM	51	0.2621533711233087	0.06311435133629144	False	False	False
GPC6	51	0.2620832765927942	0.0631874730486498	False	False	False
PTPRO	51	-0.2617997409274679	0.06348394628416854	False	False	False
LGR6	51	-0.260540865802174	0.06481373700238936	False	False	False
COL27A1	51	0.2605107719805889	0.06484579649817038	False	False	False
ANXA2	51	0.2604524886877828	0.06490792280018633	False	False	False
BMP6	51	0.26033136013084524	0.06503719036432606	False	False	False
OPRM1	51	-0.2602727857246897	0.06509977433238252	False	False	False
PCDHA13	51	0.25992076760017513	0.06547690340784214	False	False	False
GPR151	22	0.39825215601677433	0.06639881210266553	False	False	False
CALM2	51	0.2590045248868778	0.06646669295606704	False	False	False
GAD1	51	0.2588417858844495	0.0666437373195584	False	False	False
AMFR	51	-0.25837104072398187	0.06715798194937905	False	False	False
CFTR	51	0.25806234769507375	0.06749691443024682	False	False	False
KLRD1	51	-0.25800904977375566	0.06755557120281179	False	False	False
IYD	51	0.25786881566988257	0.06771009930568483	False	False	False
NPY5R	51	-0.2570645235867826	0.06860182192391924	False	False	False
TMEM59L	51	0.25638877065725835	0.06935824000595754	False	False	False
TNFRSF6B	22	0.3935327505105906	0.06998496574463488	False	False	False
COMP	51	-0.255279781071959	0.07061397855111207	False	False	False
BMP4	51	0.25467055540497063	0.0713114711044931	False	False	False
SPAG11B	51	0.25453938524820463	0.07146235910380921	False	False	False
PTCH2	51	-0.25423928578712224	0.07180852379254649	False	False	False
DDR1	51	0.25344464813382844	0.07273156884876326	False	False	False
NTRK2	51	0.25327474936365324	0.07293013758778738	False	False	False
LSR	51	0.2528506787330317	0.07342764464927955	False	False	False
NPTXR	51	-0.2523602817706233	0.07400631306422825	False	False	False
FCGR3B	51	-0.25229390814406366	0.07408491068143201	False	False	False
ST14	51	0.2521503200875562	0.07425516945862548	False	False	False
AGRN	51	0.2518779990404766	0.07457892358829507	False	False	False
INHBB	51	0.25161767163479426	0.07488946248853763	False	False	False
FGL1	51	-0.2516029025283106	0.07490711085932603	False	False	False
PTPRJ	51	-0.25154415264701885	0.07497734672357542	False	False	False
KIR3DL1	51	-0.25151654908554083	0.07501036494874444	False	False	False
COL4A4	51	0.2508294014938145	0.07583601628216409	False	False	False
TNFSF13	51	-0.25036902095059743	0.07639320046426565	False	False	False
ROBO3	51	-0.2502951313892122	0.07648292715638856	False	False	False
SHH	51	0.24986966462189655	0.07700120762850264	False	False	False
HLA-F	51	-0.24932126696832577	0.07767332252002664	False	False	False
IFI6	51	-0.24914027149321266	0.07789616346197284	True	False	False
SDC4	51	0.24868778280542986	0.07845547288189286	False	False	False
DYSF	51	-0.24793262842008937	0.07939594698356182	False	False	False
CCRL2	51	-0.2476242204005548	0.07978258526817303	False	False	False
EGFL8	51	-0.24759142165444356	0.07982379076881399	False	False	False
KLRC1	51	-0.247420814479638	0.08003839721370831	False	False	False
PRF1	51	-0.24733031674208145	0.08015241839699058	False	True	False
PILRB	51	-0.24687782805429864	0.08072444367272176	False	False	False
BTNL8	51	-0.24677055781240922	0.08086052198862372	False	False	False
IL19	51	-0.24610574835691365	0.0817078993662488	False	False	False
DRD4	51	-0.24600990659457975	0.08183063446646069	False	False	False
ANGPTL5	51	-0.2453041267373225	0.08273892527891766	False	False	False
AQP5	51	0.24528723770812164	0.08276075690590332	False	False	False
GZMH	51	-0.24506787330316743	0.08304472974512266	False	True	False
NKG7	51	-0.24488687782805432	0.08327960849324859	False	True	False
LAMP1	51	-0.24488687782805432	0.08327960849324859	False	False	False
PROK2	51	-0.24417112480221298	0.08421355662800999	False	False	False
PLA2G10	51	0.24410252939335272	0.08430349268055293	False	False	False
CDH15	51	0.24385617374691176	0.08462711283894842	False	False	False
SPX	51	-0.24302983671519682	0.08571972964726603	False	False	False
ITGA11	51	-0.2424718073172016	0.08646380598555349	False	False	False
PDGFRB	51	-0.2415732280879062	0.08767258200293145	False	False	False
TAC1	51	-0.24019223070763068	0.08955601103348969	False	False	False
SLITRK1	51	0.24019223070763068	0.08955601103348969	False	False	False
QRFP	51	0.24019223070763068	0.08955601103348969	False	False	False
MPZL2	51	0.2401122283343099	0.08966607945982921	False	False	False
MGRN1	51	-0.23990950226244345	0.08994546548250873	False	False	False
DKK1	51	-0.2396897781020824	0.0902490435636084	False	False	False
CLEC2D	51	-0.23819004524886875	0.09234250929779515	False	False	False
BAMBI	51	0.23797239803712303	0.09264943571911731	False	False	False
ACVR1B	51	-0.23729351139380678	0.09361190296556693	False	False	False
MMP25	51	-0.2371800727554247	0.09377348151998727	False	False	False
CGB7	51	0.23687214409053983	0.09421317850300406	False	False	False
NTNG2	51	-0.23638313030145539	0.0949147394143466	False	False	False
LGALS9	51	-0.23493212669683256	0.09702029736007099	False	False	False
IL10RA	51	-0.23475113122171945	0.09728545932967013	False	False	False
CHRNB2	51	0.23454225414866567	0.09759216572283456	False	False	False
PMCH	51	0.2344148316066817	0.09777963505448563	False	False	False
GP1BA	51	-0.23418921166864656	0.0981122602359641	False	False	False
RXFP1	51	-0.2338210631931182	0.09865689084874696	False	False	False
VWF	51	-0.2337554770691259	0.09875416246251838	False	False	False
MUC4	51	0.23368735674442423	0.09885527110592286	False	False	False
LRTM2	51	0.23332183560768396	0.09939916958036059	False	False	False
CCL20	51	0.23330316742081447	0.0994270099644079	False	False	False
SEMA3C	51	0.23313206005513057	0.09968246803191617	False	False	False
TLR1	51	-0.23295611259794693	0.09994568090528946	False	False	False
DSG3	51	-0.2328564947131653	0.100094944618432	False	False	False
ADAMTS4	51	-0.23190952774896237	0.1015224578980115	False	False	False
SLAMF6	51	-0.23149321266968326	0.10215498437013609	False	False	False
RYK	51	-0.23085972850678735	0.10312329043923703	False	False	False
COL9A2	51	0.23014095347413885	0.10423051358359804	False	False	False
CCL15	51	-0.2300090753410157	0.10443465237158421	False	False	False
CD79A	51	0.22986425339366517	0.1046591816300684	False	False	False
SPN	51	-0.22941176470588234	0.10536310507553621	False	False	False
TACR1	51	0.22938677163214818	0.10540209189184313	False	False	False
LCTL	51	-0.22938380740239822	0.10540671654375879	False	False	False
ITGAX	51	-0.2293420228417419	0.1054719234513199	False	False	False
NRG4	51	-0.2291773072613388	0.10572927250832904	False	False	False
CX3CL1	51	0.22890906394127927	0.10614940430771835	False	False	False
EDNRB	51	-0.22857275682575098	0.1066779506757361	False	False	False
IL37	51	0.22812706556206358	0.10738151825584655	False	False	False
F2RL2	51	-0.22798096649532962	0.1076129233472338	False	False	False
GNLY	51	-0.22796380090497737	0.10764013688170594	False	True	False
SLC1A5	51	-0.22760180995475113	0.10821525121994298	False	False	False
PATJ	22	0.35177865612648224	0.10838884297068942	False	False	False
TSHR	51	-0.22720458076934236	0.10884905892808357	False	False	False
CCN1	22	0.351313202374046	0.10888921789591895	False	False	False
CD300LB	51	-0.22701964190917268	0.10914511105187302	False	False	False
SIGLEC9	51	-0.22687248499652843	0.10938112189213707	False	False	False
CXCR4	51	0.2266968325791855	0.1096633455423994	False	False	False
NPNT	51	0.22660936155285588	0.1098040945338367	False	False	False
CGA	51	-0.22623753473677083	0.11040394265187248	False	False	False
MMP15	51	0.22621456969208742	0.11044107298573812	False	False	False
CMKLR1	51	-0.22589724592016136	0.11095510717161672	False	False	False
OPRD1	51	0.22535364095312843	0.11183994579655394	False	False	False
MPIG6B	22	0.3484633193263901	0.11198971867166518	False	False	False
CXCL16	51	0.22515837104072398	0.11215910451622661	False	False	False
PRLR	51	0.22417536303007535	0.1137763615733357	False	False	False
CLEC4M	51	-0.22386254892082352	0.11429472151806855	False	False	False
LRP11	51	0.2235413179643153	0.11482890139882367	False	False	False
OAS1	51	-0.22352941176470587	0.11484873691405628	True	False	False
SLAMF9	51	-0.22331766795980398	0.11520193473319686	False	False	False
PTPRC	51	-0.2232579185520362	0.11530174891088749	False	False	False
SHISA4	51	0.22317266921282877	0.1154442759825025	False	False	False
IGF1	51	-0.22296647737011688	0.11578955991090671	False	False	False
NGFR	51	-0.2226099127650059	0.11638850989244637	False	False	False
ADGRG1	51	-0.2225339366515837	0.1165164372872157	False	False	False
MFNG	51	-0.22217194570135745	0.11712742221160347	False	False	False
GPR15	51	-0.2218980310882809	0.11759136544599094	False	False	False
PLG	51	-0.22115938245540884	0.11884941743274449	False	False	False
IGSF5	51	0.22090574554838902	0.11928375650238034	False	False	False
GPR39	51	0.22049703944500543	0.11998617716739471	False	False	False
AIMP1	51	-0.2204524886877828	0.12006293340272783	False	False	False
CD36	51	-0.22032804131047476	0.12027754043809671	False	False	False
COLQ	51	-0.22014461345169758	0.12059438853023864	False	False	False
CD59	51	0.22009049773755657	0.12068798729985047	False	False	False
CCL27	51	-0.21968708766108347	0.12138746395050554	False	False	False
IGSF8	51	-0.2192760180995475	0.12210337743563017	False	False	False
CD86	51	-0.21846988555779998	0.12351660591957654	False	False	False
CCN6	22	-0.33814936904082177	0.12374787759845071	False	False	False
ADRA1B	51	0.21823302455554655	0.12393418879390888	False	False	False
LYPD6	51	0.21821505437240374	0.12396591350549092	False	False	False
GRIN2C	51	-0.2176331812522699	0.12499647888547878	False	False	False
OAS2	51	-0.21665158371040724	0.12674965244792105	False	False	False
NOG	51	-0.21598700531299053	0.12794710357967823	False	False	False
TAP1	51	-0.21556561085972847	0.12871078439735537	False	False	False
GBP5	51	-0.21538461538461537	0.12903984881654526	False	False	False
LY6G6F	51	0.21525529407882	0.12927535300813864	False	False	False
NCSTN	51	-0.21457013574660633	0.13052847946490065	False	False	False
CCL2	51	-0.2142988313683039	0.13102719986574562	False	False	False
GP1BB	22	0.33182465951698575	0.13138357529812053	False	False	False
TAP2	51	-0.21375565610859726	0.1320299829485335	False	False	False
CRISP2	51	0.21351335490821818	0.13247916112755864	False	False	False
IL4	51	0.21233638734476376	0.1346773524654599	False	False	False
GJB6	51	-0.21164369436753072	0.1359837836226847	False	False	False
CDH13	51	-0.21142963893929612	0.13638940726940815	False	False	False
WNT8B	51	0.211369163022715	0.13650416968321027	False	False	False
AVPR1A	51	0.211369163022715	0.13650416968321027	False	False	False
CALCR	51	-0.211369163022715	0.13650416968321027	False	False	False
TNFSF15	51	0.21121443737985787	0.1367981142372777	False	False	False
GRM7	51	-0.21083568880060757	0.13751964952813392	False	False	False
ADM2	51	-0.2108082523020896	0.13757202768408539	False	False	False
IFITM1	51	-0.2106787330316742	0.13781949011292907	False	False	False
ATP1A3	51	-0.21040960031848327	0.13833476413250262	False	False	False
ADAM10	51	-0.21040723981900453	0.1383392898331464	False	False	False
CTF1	51	0.21025294163389124	0.1386353600202671	False	False	False
CX3CR1	51	-0.21006426006933027	0.13899804813156758	False	False	False
HLA-E	51	-0.2100452488687783	0.13903463112939343	False	False	False
TMEM53	51	0.20986900161483601	0.1393741234406854	False	False	False
FCGR2A	51	-0.20985881329767098	0.1393937673457677	False	False	False
SCUBE2	51	0.20981450915518454	0.1394792133564746	False	False	False
NT5E	51	0.2097202097095627	0.139661211537838	False	False	False
IGFL2	51	0.2095152120141232	0.14005746850053227	False	False	False
ULBP3	51	-0.20932964230019505	0.14041689370832386	False	False	False
GRN	51	0.20868778280542982	0.1416653961303165	False	False	False
KCNJ10	51	-0.2086163657606012	0.14180482106293565	False	False	False
SNX14	51	-0.20796380090497735	0.14308353381647634	False	False	False
ITGB1	51	-0.20778280542986424	0.14343971173184103	False	False	False
CCR6	51	0.20769700677276784	0.14360878350486259	False	False	False
CAMP	51	-0.20746696259912678	0.14406283117508786	False	False	False
CR1	51	-0.20719093959961857	0.14460903555226765	False	False	False
SEMA3B	51	0.20707880726377645	0.14483136577324082	False	False	False
SIGLEC15	51	-0.20670513448131228	0.14557409678285002	False	False	False
KIR2DL3	51	-0.20660633484162896	0.14577094747008734	False	False	False
NRXN2	51	-0.20643988942755975	0.1461030235617463	False	False	False
AREG	51	0.20633484162895926	0.14631289350186083	False	False	False
MC4R	51	-0.20610694408047014	0.14676896733933167	False	False	False
DUSP18	51	-0.20597285067873303	0.14703781001957927	False	False	False
CNR1	51	0.20591263254279055	0.1471586594791187	False	False	False
JAM3	51	-0.20587185829546994	0.1472405295181097	False	False	False
LY9	51	-0.20570135746606336	0.14758324130758607	False	False	False
DKK2	51	-0.20566930696999167	0.14764772967455123	False	False	False
VSIG8	51	-0.20536548290292797	0.14826008678732275	False	False	False
CCN3	22	0.31801144135600856	0.14921946756759044	False	False	False
LAMC2	51	0.20388347634453885	0.1512740381454775	False	False	False
PTGDR	51	-0.20376026612151932	0.15152663173817785	False	False	False
EXOC3-AS1	51	0.20366976633643313	0.15171236377544164	False	False	False
IL2RG	51	-0.2032579185520362	0.15255971812782718	False	False	False
TSPAN1	51	0.20321340189933101	0.15265151728025983	False	False	False
OPRL1	51	-0.20319576156657726	0.15268790521537978	False	False	False
CCL3L1	22	-0.31451157538114066	0.1539966672539892	False	False	False
IL2	51	0.2018107947846186	0.15556477378227584	False	False	False
KIR3DL3	51	-0.20116248836492912	0.15692505825009556	False	False	False
HTR2B	51	-0.20083311117981267	0.15761949942260545	False	False	False
CEACAM5	51	0.20062768502290804	0.15805374967402985	False	False	False
TACR2	51	0.20057311802517042	0.1581692462648857	False	False	False
COL9A3	51	0.20057266001742968	0.15817021594678568	False	False	False
ITGAL	51	-0.20054298642533935	0.15823304938970148	False	False	False
LRIG2	51	-0.2000000051209674	0.15938604107155527	False	False	False
DDR2	51	-0.19992480215784572	0.1595462147914182	False	False	False
TRAF2	51	-0.1992760180995475	0.1609329525499496	False	False	False
CD276	51	0.19916652488267736	0.1611678553551552	False	False	False
CIB1	51	0.19909502262443438	0.16132138910697588	False	False	False
CD226	51	-0.1990045248868778	0.16151586446608612	False	False	False
MST1	51	-0.19838903890179801	0.1628430671108251	False	False	False
FZD9	51	0.19825280476438256	0.1631379096751163	False	False	False
MSMB	51	-0.19751714371556306	0.16473679459366367	False	False	False
STAB1	51	-0.19744980460706085	0.16488371847389247	False	False	False
IFIT3	51	-0.19719457013574657	0.16544146982747845	True	False	False
DLL4	51	0.19692231909661762	0.16603792165516273	False	False	False
KL	51	0.19653543875232227	0.16688819874530733	False	False	False
IL21	51	-0.19645205496596843	0.16707187241242727	False	False	False
HLA-G	51	0.19599508340365382	0.16808108094286903	False	False	False
CD46	51	-0.19592760180995475	0.16823048709722588	False	False	False
TBX21	51	-0.19565610859728508	0.1688325569254334	False	False	False
KLRG1	51	-0.19547511312217195	0.1692348061462001	False	False	False
CD9	51	0.19529411764705884	0.1696377514285563	False	False	False
ITGB7	51	-0.19529411764705884	0.1696377514285563	False	False	False
ADAM21	51	0.1952037163704567	0.16983927013182246	False	False	False
LIN7A	51	0.19490026782542422	0.17051697623564904	False	False	False
S100A12	51	-0.19469907566356118	0.17096738926204313	False	False	False
TGFB3	51	-0.19463635969415718	0.17110796914385343	False	False	False
CCL5	51	-0.19447963800904977	0.1714596325238265	False	False	False
TF	51	-0.1944200845254627	0.1715934002720609	False	False	False
BST2	51	-0.1942986425339366	0.1718664151710756	False	False	False
TFR2	51	-0.19386398026928395	0.17284616465218824	False	False	False
GBP1	51	-0.19384615384615386	0.1728864324578743	True	False	False
ROR2	51	0.1938190950833438	0.1729475680263994	False	False	False
SLITRK5	51	-0.19360178112956902	0.17343912718603044	False	False	False
AMIGO2	51	-0.19357466063348414	0.17350054405788087	False	False	False
SEMA3D	51	-0.19289791009916904	0.1750382113387883	False	False	False
COL15A1	51	-0.192843581543497	0.17516207896805921	False	False	False
C6orf15	51	0.19215378456610457	0.17674031162326992	False	False	False
PCDHA7	51	0.19215378456610457	0.17674031162326992	False	False	False
ASGR1	51	-0.19213314320167113	0.17678769607379902	False	False	False
CD248	51	-0.19213314320167113	0.17678769607379902	False	False	False
CCN2	22	0.298668911682048	0.17696241541925972	False	False	False
EFEMP1	51	0.19149829277302258	0.1782495453275432	False	False	False
TREML1	51	-0.19127915477937732	0.17875616520578544	False	False	False
F8	51	-0.1912712957796274	0.17877435349681792	False	False	False
HHIPL2	51	0.1911940799784193	0.1789531270079532	False	False	False
GNAS	51	0.1909502262443439	0.17951855402566844	False	False	False
LILRB3	51	-0.19056331956789244	0.18041831867344885	False	False	False
NRTN	51	-0.1903742149795171	0.1808592668046126	False	False	False
